date,open,high,low,close,volume
2025-01-20,220.3775,224.2005,217.3677,221.1797,49674
2025-01-21,220.8708,223.6703,216.4146,219.1929,470754
2025-01-22,213.7267,220.0683,208.1966,214.5178,859231
2025-01-23,207.8957,208.1224,207.4863,207.7128,365795
2025-01-24,203.6371,205.4037,200.6981,202.4545,427843
2025-01-25,198.2092,200.0713,196.3807,198.2425,97794
2025-01-26,193.3061,194.5282,192.7688,193.989,683007
2025-01-27,192.0406,194.6363,190.331,192.9189,509332
2025-01-28,190.4116,191.2995,188.3663,189.2487,620529
2025-01-29,187.5716,190.5041,185.2619,188.1868,529147
2025-01-30,194.0486,195.6082,191.4923,193.0438,552345
2025-01-31,191.8426,193.8278,189.2767,191.2559,30925
2025-02-01,190.4667,205.7669,177.608,192.7538,512681
2025-02-02,194.3187,195.9337,192.2823,193.8938,301169
2025-02-03,196.7508,196.8388,196.7423,196.8303,992976
2025-02-04,189.7943,190.9235,189.76,190.8891,1088486
2025-02-05,194.4748,195.1646,193.985,194.6744,346659
2025-02-06,186.969,187.0802,186.8428,186.954,609490
2025-02-07,190.4202,191.7469,189.6733,190.9976,66067
2025-02-08,188.5958,189.9281,186.7522,188.0808,725172
2025-02-09,196.528,197.8613,193.9372,195.2619,846745
2025-02-10,194.1181,197.8958,191.6703,195.4314,614371
2025-02-11,197.4473,202.8521,193.1697,198.5505,279188
2025-02-12,202.8279,207.1032,198.5103,202.7846,387448
2025-02-13,207.9445,210.9666,204.3376,207.351,327414
2025-02-14,207.2577,212.0895,203.5824,208.394,86579
2025-02-15,210.9715,213.0456,209.4593,211.5295,393871
2025-02-16,223.1742,227.8506,215.2544,219.8614,444421
2025-02-17,219.9768,222.0714,217.6369,219.7291,574871
2025-02-18,224.5212,225.3158,223.3657,224.159,365608
2025-02-19,230.6244,231.4674,227.2459,228.0797,40001
2025-02-20,226.8765,232.4895,220.645,226.2423,855453
2025-02-21,233.9997,235.9578,230.4673,232.4121,459336
2025-02-22,232.5461,234.5203,229.2098,231.1724,443372
2025-02-23,228.5397,230.3774,226.8549,228.6915,569664
2025-02-24,223.7331,230.1901,219.7773,226.1909,189722
2025-02-25,223.4312,227.8585,220.6797,225.0866,705733
2025-02-26,219.0828,223.4226,215.3439,219.6736,91238
2025-02-27,219.3597,221.3689,217.4433,219.4517,1071940
2025-02-28,216.3515,216.4609,216.2672,216.3765,893752
2025-03-01,209.2225,213.1392,206.6245,210.525,293827
2025-03-02,214.8237,227.0048,201.8793,214.0145,44423
2025-03-03,208.1198,208.7049,206.9787,207.5623,908999
2025-03-04,200.3434,201.8297,198.5332,200.0171,223272
2025-03-05,198.1507,199.3515,196.1665,197.3626,258472
2025-03-06,211.1502,211.6826,208.8009,209.3287,324610
2025-03-07,208.2286,215.9829,199.3954,207.108,430567
2025-03-08,209.3156,209.6633,208.7783,209.1257,742731
2025-03-09,208.2015,211.2078,203.985,206.9736,125640
2025-03-10,211.4402,211.4634,211.3795,211.4027,507190
2025-03-11,212.7097,213.3241,212.2034,212.8175,362638
2025-03-12,212.2628,218.8829,205.0037,211.6032,290968
2025-03-13,212.7057,212.7577,212.697,212.749,642483
2025-03-14,208.3635,208.5031,205.591,205.7288,1181923
2025-03-15,204.3065,208.3675,199.006,203.0418,1396969
2025-03-16,203.943,204.3003,203.5143,203.8715,988891
2025-03-17,207.0472,209.5613,205.0409,207.5502,316172
2025-03-18,199.5687,202.5269,197.7207,200.6687,383594
2025-03-19,207.1636,209.1757,204.8643,206.8736,545383
2025-03-20,206.3796,207.0128,206.0623,206.6951,1116852
2025-03-21,208.9351,209.4289,208.2547,208.7481,520068
2025-03-22,206.7852,207.7255,205.0172,205.9537,726762
2025-03-23,208.0605,212.5315,204.4271,208.8837,1137543
2025-03-24,203.0118,204.9285,201.6751,203.588,853568
2025-03-25,202.4497,202.5056,202.1746,202.2305,208917
2025-03-26,205.256,205.8329,204.4793,205.0555,1149424
2025-03-27,205.4533,213.8871,198.9658,207.34,710414
2025-03-28,209.5659,215.7297,201.3377,207.439,232564
2025-03-29,206.402,206.4698,206.3185,206.3863,130784
2025-03-30,200.3689,201.7392,199.004,200.3743,556800
2025-03-31,200.7989,204.2053,196.3997,199.7889,242039
2025-04-01,195.2689,202.2037,191.4411,198.3161,467175
2025-04-02,189.6103,197.907,183.6615,191.8867,623496
2025-04-03,196.289,196.4415,195.9776,196.1299,140229
2025-04-04,202.7173,204.0516,200.0841,201.4097,1209552
2025-04-05,195.5333,195.6025,194.8707,194.9397,435598
2025-04-06,196.9153,197.2515,196.403,196.739,1350790
2025-04-07,194.8673,194.9184,194.4793,194.5303,335361
2025-04-08,206.8453,208.521,204.7461,206.4184,617022
2025-04-09,214.577,215.5154,212.6995,213.6337,519700
2025-04-10,212.7991,213.2604,212.7967,213.2579,1213702
2025-04-11,209.985,213.8427,207.1122,210.9566,318565
2025-04-12,209.5183,209.5514,209.4567,209.4899,308308
2025-04-13,209.0839,210.6035,206.8804,208.395,228626
2025-04-14,205.6094,206.7313,203.6121,204.7292,41435
2025-04-15,198.7995,200.4955,197.752,199.4446,1062982
2025-04-16,204.8899,210.0261,198.5019,203.6058,682132
2025-04-17,211.1485,214.0162,208.7467,211.609,745486
2025-04-18,210.0871,211.2686,208.052,209.2286,316608
2025-04-19,207.6549,211.6392,204.9948,208.9624,347101
2025-04-20,212.8735,223.2562,203.2393,213.5895,549426
2025-04-21,217.6351,217.7964,217.44,217.6013,40024
2025-04-22,211.7071,219.4898,205.7627,213.4952,498735
2025-04-23,206.8292,206.9808,206.7487,206.9002,530185
2025-04-24,213.8596,217.3436,211.8463,215.3165,630089
2025-04-25,217.1348,217.2606,217.0667,217.1925,33051
2025-04-26,214.5651,219.7334,207.9,213.0315,806480
2025-04-27,215.7211,219.5179,213.3782,217.1595,620117
2025-04-28,210.5852,218.6299,201.8947,209.9137,519756
2025-04-29,205.6131,206.0402,204.4853,204.9109,55912
2025-04-30,206.8011,212.8847,199.9387,205.9987,422697
2025-05-01,206.2525,210.1029,200.7555,204.5745,1046001
2025-05-02,209.0063,211.4015,206.1968,208.5872,226452
2025-05-03,212.932,214.1516,211.3542,212.5718,1280843
2025-05-04,212.8717,217.2322,205.5107,209.8084,721460
2025-05-05,204.2292,216.2249,195.1858,207.0562,128419
2025-05-06,206.8561,207.5183,206.7213,207.3832,394722
2025-05-07,209.9913,211.6145,208.6571,210.2785,347674
2025-05-08,211.6109,212.7126,209.3721,210.4679,93369
2025-05-09,211.0375,225.371,199.1488,213.3519,170147
2025-05-10,216.6328,216.8158,216.4532,216.6363,104055
2025-05-11,224.0538,225.4968,221.8678,223.306,417432
2025-05-12,219.5581,222.8104,218.3534,221.5945,284575
2025-05-13,220.9512,221.0399,220.875,220.9637,505990
2025-05-14,216.945,218.2903,215.8999,217.2437,230402
2025-05-15,211.6534,220.5268,201.9885,210.8273,171147
2025-05-16,212.2439,214.2503,211.1683,213.1701,450845
2025-05-17,208.5127,209.0103,208.1105,208.6079,168022
2025-05-18,207.1534,207.1546,207.1513,207.1525,1168478
2025-05-19,209.8699,210.4645,209.4873,210.0815,135604
2025-05-20,204.867,211.5745,197.0139,203.6826,490308
2025-05-21,209.1344,210.7346,206.4719,208.064,831944
2025-05-22,208.1071,208.1686,208.0584,208.1199,350671
