date,open,high,low,close,volume
2025-01-20,239.6604,240.7445,235.4645,236.5345,33477
2025-01-21,239.8998,241.4745,238.0399,239.6128,589719
2025-01-22,240.7055,246.5972,236.3522,242.2166,608962
2025-01-23,237.5571,239.4913,235.557,237.4906,110902
2025-01-24,237.9797,240.5904,236.6028,239.2064,629910
2025-01-25,237.8119,238.8833,236.8757,237.9465,924174
2025-01-26,238.3196,238.3489,238.0055,238.0348,124923
2025-01-27,241.9452,242.2895,241.6701,242.0143,629262
2025-01-28,236.8304,242.7116,229.0461,234.8788,763968
2025-01-29,234.6392,241.6576,226.8433,233.8377,528179
2025-01-30,226.2695,227.1786,225.2121,226.1206,326439
2025-01-31,231.1507,234.9698,228.6176,232.4229,868815
2025-02-01,236.491,255.4558,222.3548,241.0473,8501
2025-02-02,239.0162,240.6289,236.1346,237.7387,95924
2025-02-03,235.5514,236.8087,235.1478,236.4037,469961
2025-02-04,238.0297,239.1057,236.9653,238.0412,569791
2025-02-05,238.3576,243.264,234.008,238.9044,19382
2025-02-06,243.5691,244.4158,243.0542,243.9002,1213323
2025-02-07,244.263,244.6496,243.816,244.2024,666760
2025-02-08,246.3886,246.6118,246.3518,246.575,129677
2025-02-09,244.2398,248.8068,241.2793,245.8271,1131926
2025-02-10,248.9153,249.3147,248.2082,248.6071,762447
2025-02-11,248.5788,248.6454,248.3214,248.3879,662525
2025-02-12,250.7637,254.0654,244.188,247.446,21130
2025-02-13,250.0988,250.8729,249.3541,250.1281,487254
2025-02-14,255.2297,256.0635,254.9801,255.8133,230677
2025-02-15,255.0514,256.798,251.9286,253.6657,1024288
2025-02-16,251.9684,252.0697,251.7305,251.8317,525293
2025-02-17,246.1666,246.818,246.066,246.7172,525150
2025-02-18,250.2041,251.5383,247.8317,249.1603,61838
2025-02-19,258.8432,260.8033,257.1091,259.0677,177612
2025-02-20,260.1435,266.5135,253.4732,259.8357,777124
2025-02-21,268.1237,272.2792,262.3933,266.524,325875
2025-02-22,271.7139,273.4409,269.7127,271.438,291749
2025-02-23,271.4718,272.4617,269.3388,270.3245,338019
2025-02-24,269.3216,275.694,260.578,266.8929,29421
2025-02-25,260.2827,268.0276,252.7326,260.472,528377
2025-02-26,260.6529,269.7146,248.6473,257.603,898958
2025-02-27,251.9494,254.8296,249.8151,252.689,40334
2025-02-28,252.993,256.7306,248.5887,252.3162,830742
2025-03-01,256.8969,267.317,249.0128,259.3575,298470
2025-03-02,256.8734,263.3951,248.8102,255.2917,1418836
2025-03-03,266.3718,266.5299,265.704,265.8618,942924
2025-03-04,256.7164,265.6991,251.9327,260.8386,340714
2025-03-05,257.8553,267.0955,250.9388,260.1183,491912
2025-03-06,254.7673,256.6666,252.988,254.8866,915243
2025-03-07,261.6966,262.881,258.2937,259.468,706338
2025-03-08,267.6069,268.8694,266.6212,267.8827,391675
2025-03-09,264.5072,264.9006,264.449,264.8422,136694
2025-03-10,261.4179,265.1655,259.4457,263.1799,684051
2025-03-11,260.6258,263.2823,258.4845,261.1368,245483
2025-03-12,269.234,279.1755,261.4658,271.3462,798671
2025-03-13,267.9251,285.5326,253.1743,270.6327,550635
2025-03-14,277.8168,282.4208,273.9664,278.5602,310684
2025-03-15,294.2619,298.3822,289.255,293.3627,1111887
2025-03-16,293.9444,295.0786,293.0945,294.2278,712415
2025-03-17,300.5508,301.307,300.1095,300.8653,1051667
2025-03-18,286.7962,290.0348,285.3512,288.5809,845941
2025-03-19,289.6719,290.7858,288.7937,289.9068,1039609
2025-03-20,289.2316,291.6662,287.0857,289.5182,391023
2025-03-21,287.9165,294.3075,280.7531,287.1266,1196685
2025-03-22,286.754,290.7946,283.6885,287.7188,472189
2025-03-23,283.7715,284.8352,281.201,282.259,342464
2025-03-24,278.4679,278.6105,278.1776,278.3201,15996
2025-03-25,278.9568,282.394,276.6036,280.0317,41182
2025-03-26,281.7116,281.9488,281.3802,281.6173,703942
2025-03-27,286.092,297.8426,272.0372,283.6891,377870
2025-03-28,275.79,280.4324,272.7012,277.3263,467576
2025-03-29,277.4414,278.8875,275.3878,276.8307,104776
2025-03-30,268.9121,268.9122,268.821,268.8211,598130
2025-03-31,276.2055,285.3253,267.9434,277.0384,885457
2025-04-01,292.8168,309.2477,279.5944,295.8866,111193
2025-04-02,299.1886,300.0869,298.9482,299.846,515532
2025-04-03,299.8006,301.2916,298.92,300.4092,14928
2025-04-04,295.036,295.1273,294.2611,294.3522,890805
2025-04-05,296.7147,299.7784,294.0695,297.1295,780318
2025-04-06,296.4244,297.0666,294.9838,295.6242,415578
2025-04-07,296.4381,302.4967,290.187,296.2415,796844
2025-04-08,298.7691,299.934,296.2703,297.43,36175
2025-04-09,291.7751,293.6752,289.7265,291.6256,930746
2025-04-10,301.0684,302.3963,300.0676,301.3944,843462
2025-04-11,297.9387,303.2004,295.7993,301.0387,231978
2025-04-12,304.4086,305.5613,301.6114,302.7578,407997
2025-04-13,312.2629,315.1503,309.8701,312.7537,1230726
2025-04-14,307.7935,317.703,299.4162,309.2851,38195
2025-04-15,307.5506,310.3936,304.1069,306.9443,1244106
2025-04-16,308.5212,310.2058,307.0843,308.7677,234032
2025-04-17,310.3196,314.494,305.0091,309.1681,950461
2025-04-18,310.725,324.6776,296.6969,310.646,460507
2025-04-19,306.4061,313.6092,299.2713,306.4728,540824
2025-04-20,317.1323,328.6268,304.0761,315.5119,1038184
2025-04-21,318.6703,320.9878,315.8735,318.1874,959739
2025-04-22,319.8078,320.0434,319.5323,319.7678,483865
2025-04-23,320.7285,323.4489,317.3696,320.0846,431865
2025-04-24,316.712,317.9303,315.3042,316.5219,250576
2025-04-25,316.753,318.1214,315.4305,316.7986,397671
2025-04-26,330.9062,334.9463,320.8986,324.8649,77043
2025-04-27,316.2698,325.0316,303.3297,311.9725,274013
2025-04-28,309.5172,311.139,308.8682,310.488,742966
2025-04-29,308.7622,322.6815,291.0691,304.8102,271608
2025-04-30,307.4541,311.0806,302.9521,306.5682,235070
2025-05-01,309.2607,310.3344,307.9027,308.9755,811144
2025-05-02,302.6579,318.4555,286.6224,302.4069,880645
2025-05-03,304.2597,306.2804,302.7497,304.7678,185357
2025-05-04,305.0791,310.4397,299.8127,305.1718,351816
2025-05-05,311.4681,312.6626,309.9302,311.1233,274266
2025-05-06,301.9346,306.5968,299.4832,304.1275,354358
2025-05-07,292.5882,299.3095,286.7404,293.4445,554623
2025-05-08,297.4208,299.8981,293.5634,296.0291,1099765
2025-05-09,308.0777,315.3869,298.2256,305.473,792296
2025-05-10,287.8246,297.6149,281.3115,291.0292,998313
2025-05-11,289.5034,290.2971,286.0419,286.8283,483905
2025-05-12,283.0626,283.5157,282.3998,282.8525,418776
2025-05-13,270.2629,273.2955,268.3585,271.3831,555844
2025-05-14,271.1427,271.1885,270.9426,270.9883,311408
2025-05-15,264.4149,265.004,263.9601,264.5489,473246
2025-05-16,266.3864,268.2938,263.9366,265.84,176810
2025-05-17,268.7327,275.6218,261.4233,268.3014,722048
2025-05-18,274.6765,275.6887,273.6854,274.6976,614667
2025-05-19,274.0198,277.4395,271.6195,275.0304,90480
2025-05-20,267.8137,276.1989,258.6899,267.0513,619680
2025-05-21,275.3411,277.0913,273.2911,275.0394,957348
2025-05-22,270.6621,270.9387,270.5331,270.8096,445011
2025-05-23,269.8703,273.1444,266.9492,270.2195,306383
2025-05-24,267.8711,272.0105,265.0843,269.2098,651263
2025-05-25,267.5645,276.5899,261.5538,270.513,692897
2025-05-26,278.4566,281.8815,275.2045,278.6275,435146
2025-05-27,278.3359,279.2034,277.5607,278.4279,1295001
2025-05-28,276.2469,279.9508,272.8312,276.5316,86525
2025-05-29,280.2718,281.6834,278.9933,280.4043,409887
2025-05-30,279.6799,281.1326,276.1668,277.6088,489910
2025-05-31,285.0103,285.3489,284.8467,285.1852,757728
2025-06-01,277.9872,278.7012,276.1714,276.8825,289348
2025-06-02,269.1298,269.7156,267.6129,268.1967,428517
2025-06-03,274.1442,288.452,259.6678,273.9664,575313
2025-06-04,272.1655,273.1794,271.5842,272.5973,19924
2025-06-05,271.6091,274.0067,270.4586,272.851,353489
2025-06-06,267.7836,271.811,264.2447,268.2656,535799
2025-06-07,263.2913,265.7346,261.2401,263.6804,507164
2025-06-08,268.9115,271.3163,263.3595,265.7359,262762
2025-06-09,264.5495,271.4661,255.9608,262.8326,272313
2025-06-10,262.537,262.7842,261.904,262.1508,658690
2025-06-11,263.6084,264.5674,261.9795,262.936,477977
2025-06-12,263.9243,265.9898,261.5589,263.622,835266
2025-06-13,264.1589,267.6734,261.3424,264.8496,439348
2025-06-14,258.8384,268.715,252.4709,262.2632,207135
2025-06-15,257.3306,271.459,240.0636,254.0096,330769
2025-06-16,256.608,259.1516,254.2386,256.7807,39513
2025-06-17,256.3224,256.3276,256.3222,256.3275,96613
2025-06-18,259.7459,261.2149,258.3835,259.852,690100
2025-06-19,262.1463,263.65,260.2153,261.7165,323450
2025-06-20,258.6467,260.4495,256.5596,258.3604,74131
2025-06-21,255.8302,259.2735,251.8923,255.3289,813950
2025-06-22,253.1625,256.1698,251.1621,254.1615,425851
2025-06-23,258.635,262.6677,255.0124,259.0394,676830
2025-06-24,262.2575,266.4251,259.4241,263.5774,24704
2025-06-25,261.3397,262.9312,259.2604,260.849,388785
2025-06-26,251.7242,263.0339,244.1502,255.3508,494669
2025-06-27,254.8706,258.9713,252.5977,256.6824,327252
2025-06-28,255.179,257.932,252.8193,255.5687,282296
2025-06-29,257.179,258.908,255.9528,257.6795,843363
2025-06-30,266.713,267.8656,265.3382,266.4898,290036
2025-07-01,266.8893,267.7802,265.5513,266.4406,619862
2025-07-02,260.6885,264.7811,259.3181,263.3964,1094450
2025-07-03,274.3801,277.0983,271.4996,274.2161,316202
2025-07-04,281.2647,283.8456,279.1308,281.7083,116524
2025-07-05,277.4825,279.2454,276.2401,278.0008,308828
2025-07-06,281.7761,284.2004,280.3131,282.7325,536734
2025-07-07,292.5321,297.0234,283.8327,288.2583,47289
2025-07-08,295.9891,298.3444,293.7696,296.124,1143467
2025-07-09,296.4743,298.4103,295.7607,297.6937,601731
2025-07-10,304.9205,307.0847,303.1346,305.2966,626812
2025-07-11,304.7935,306.0475,303.6446,304.8982,608690
2025-07-12,300.2247,300.4753,300.2102,300.4607,568412
2025-07-13,307.979,322.4738,289.8638,304.1799,1157384
2025-07-14,304.3664,307.1827,301.2762,304.09,577610
2025-07-15,302.6726,303.7927,301.8088,302.9282,46009
2025-07-16,306.727,308.2841,303.92,305.4706,969531
2025-07-17,306.8696,309.1123,306.4765,308.7168,513149
2025-07-18,305.8813,306.614,305.1923,305.9248,660055
2025-07-19,295.0155,300.9375,289.5341,295.4481,551194
2025-07-20,292.0548,292.153,291.9639,292.0621,83221
2025-07-21,289.2911,289.7568,288.5243,288.9895,549290
2025-07-22,281.18,287.01,276.9379,282.7442,222733
2025-07-23,281.496,282.6141,280.063,281.1799,100097
2025-07-24,273.9964,275.1819,271.87,273.0514,796308
2025-07-25,277.1245,277.9482,276.1004,276.9235,1017097
2025-07-26,281.5827,282.4206,278.7241,279.556,226271
2025-07-27,275.5851,276.744,274.756,275.9139,348442
2025-07-28,269.2356,274.3913,265.8713,271.0048,760500
2025-07-29,266.5622,273.8637,263.5524,270.806,824929
2025-07-30,268.5977,269.3029,266.3888,267.09,776604
2025-07-31,269.281,276.7034,263.5414,270.9287,575805
2025-08-01,273.6603,277.9023,270.4969,274.7266,98465
2025-08-02,277.1616,279.3418,276.192,278.3681,509735
2025-08-03,273.1122,273.6712,273.0846,273.6435,861932
2025-08-04,265.8654,266.0666,265.7499,265.9511,207190
2025-08-05,277.0138,277.5272,276.3532,276.8663,227495
2025-08-06,270.4882,271.583,269.5476,270.6418,61024
2025-08-07,257.8094,260.9885,255.1663,258.3399,111418
2025-08-08,261.404,264.0088,258.1035,260.7013,592744
2025-08-09,267.6228,270.5278,265.4107,268.3101,502518
2025-08-10,278.6424,279.1484,278.2592,278.7651,652234
2025-08-11,273.2283,274.8303,271.111,272.71,154470
2025-08-12,275.0181,279.8897,270.9608,275.8205,1147510
2025-08-13,282.2179,284.5632,279.638,281.9813,102640
2025-08-14,293.2863,296.0417,288.8406,291.58,702205
2025-08-15,289.4584,303.3017,278.5105,292.2483,1241437
2025-08-16,288.2806,288.8157,287.3142,287.8485,577298
2025-08-17,288.1377,289.5662,285.9913,287.4162,289410
2025-08-18,284.1563,285.0626,283.1341,284.0401,960275
2025-08-19,289.9084,291.627,288.5363,290.2532,526600
2025-08-20,300.3259,309.8137,287.2842,296.656,1060896
2025-08-21,297.0219,298.7902,295.5123,297.2794,297877
2025-08-22,291.2537,292.0335,290.6191,291.3986,58215
2025-08-23,296.9347,301.1028,291.3742,295.5224,73325
2025-08-24,295.5451,304.3767,288.2411,297.0358,916086
2025-08-25,304.7853,305.4943,304.5997,305.3084,38553
2025-08-26,307.5632,308.3888,306.7972,307.6226,617415
2025-08-27,305.5347,312.0858,299.1225,305.6708,265611
