date,open,high,low,close,volume
2025-01-20,295.9264,302.7981,291.7,298.5345,686172
2025-01-21,293.4864,296.4774,290.9509,293.938,398546
2025-01-22,302.6079,312.0787,290.8823,300.2802,517246
2025-01-23,305.4974,323.3567,283.4496,301.049,978285
2025-01-24,299.3127,300.7985,297.3523,298.8356,1074465
2025-01-25,293.8764,294.1605,293.6203,293.9044,286838
2025-01-26,286.8506,292.9546,281.3563,287.4488,1027965
2025-01-27,281.3952,283.3039,279.0843,280.9903,142835
2025-01-28,291.3283,297.6465,284.6171,290.9267,400947
2025-01-29,288.9215,289.5657,287.5884,288.2311,429105
2025-01-30,284.2451,284.4688,283.971,284.1947,615936
2025-01-31,282.8497,285.3081,279.5828,282.0341,125980
2025-02-01,280.914,289.3725,274.6562,283.0668,715579
2025-02-02,281.2882,282.1383,280.4076,281.2576,522047
2025-02-03,288.2291,299.689,273.9494,285.2925,217899
2025-02-04,284.5561,291.1501,277.2411,283.8179,203020
2025-02-05,279.216,284.6226,275.2788,280.6651,551358
2025-02-06,284.1912,284.3839,283.7501,283.9426,313322
2025-02-07,285.4007,290.7984,278.5043,283.873,505187
2025-02-08,279.5555,295.1975,267.5011,282.9948,687763
2025-02-09,279.6987,281.2085,278.711,280.219,581527
2025-02-10,274.5965,275.9992,273.2619,274.6643,63698
2025-02-11,275.8187,275.9514,275.793,275.9257,594431
2025-02-12,269.0523,276.0369,264.9653,271.9066,375449
2025-02-13,287.5252,287.7187,286.5176,286.7105,1374188
2025-02-14,273.616,276.3664,271.5937,274.3387,531027
2025-02-15,279.5786,287.5371,269.081,276.9651,1102099
2025-02-16,270.7333,276.661,267.347,273.2433,566540
2025-02-17,267.0653,270.8877,262.852,266.6688,135075
2025-02-18,270.318,271.8494,268.599,270.1294,351955
2025-02-19,268.8983,270.5674,267.3566,269.025,475598
2025-02-20,284.7902,295.6486,269.4637,280.145,632941
2025-02-21,282.7136,290.1975,277.7156,285.1563,250829
2025-02-22,282.9625,283.0533,282.8872,282.9779,20495
2025-02-23,278.077,279.2568,276.4584,277.6364,28316
2025-02-24,276.2781,279.3301,274.6605,277.7042,169204
2025-02-25,275.7883,276.1312,275.3704,275.7132,426921
2025-02-26,276.9113,281.0031,272.0866,276.1674,628657
2025-02-27,277.4012,279.2533,274.5808,276.4263,892679
2025-02-28,271.2189,281.7067,264.9458,275.3383,178627
2025-03-01,278.3307,280.1569,275.8064,277.628,113010
2025-03-02,280.8407,286.9545,275.4971,281.5965,111881
2025-03-03,284.5837,290.7574,276.0967,282.2191,135833
2025-03-04,268.8669,281.169,260.0977,272.2883,199461
2025-03-05,274.9867,283.1197,269.5844,277.6648,929219
2025-03-06,269.1356,269.2172,269.0711,269.1527,799316
2025-03-07,263.1895,274.5309,250.1024,261.3652,674279
2025-03-08,255.8566,261.429,252.2134,257.7587,9334
2025-03-09,253.3489,262.621,244.55,253.8062,140796
2025-03-10,250.2677,250.8617,249.8664,250.46,188237
2025-03-11,253.116,255.0098,250.8534,252.7444,248510
2025-03-12,258.7425,266.7521,252.2499,260.2224,562857
2025-03-13,267.1056,267.4066,266.9105,267.2115,847211
2025-03-14,272.0641,278.4324,265.3058,271.6648,675648
2025-03-15,275.0893,275.7559,274.6228,275.2891,770485
2025-03-16,275.6856,277.5416,273.9509,275.8061,677564
2025-03-17,283.4483,284.5711,282.4927,283.6149,315811
2025-03-18,277.7602,277.821,277.7291,277.7899,446080
2025-03-19,275.0464,288.6383,262.5134,276.0592,230559
2025-03-20,285.3584,290.3048,275.8463,280.7121,658932
2025-03-21,278.4664,279.6871,277.334,278.5543,542771
2025-03-22,283.5561,283.6595,283.5466,283.65,480026
2025-03-23,279.0017,282.2966,276.1528,279.4432,97257
2025-03-24,280.105,284.7691,273.1889,277.8149,44014
2025-03-25,284.729,285.189,284.2025,284.6624,750105
2025-03-26,285.1808,287.977,281.4222,284.2089,38589
2025-03-27,281.3247,282.4312,279.3505,280.4535,124854
2025-03-28,278.8297,278.9832,278.4095,278.5629,482812
