date,open,high,low,close,volume
2025-01-20,32.6942,32.8736,32.6328,32.812,58185
2025-01-21,33.8603,34.2913,33.4518,33.8825,156647
2025-01-22,34.7194,35.0173,34.4488,34.7466,1287217
2025-01-23,35.2348,35.8186,34.3449,34.9236,1370723
2025-01-24,34.4169,34.5747,34.2861,34.4438,771284
2025-01-25,34.5563,35.057,34.0853,34.5856,396272
2025-01-26,34.7418,35.3609,33.8292,34.4429,319279
2025-01-27,35.6202,36.0694,35.1472,35.5961,345344
2025-01-28,34.7037,35.2208,34.3118,34.8275,358626
2025-01-29,35.7561,35.8807,35.7419,35.8664,743968
2025-01-30,36.2311,37.602,34.8148,36.1839,1055402
2025-01-31,37.0079,37.0407,36.9786,37.0114,968912
2025-02-01,35.4151,36.1991,34.9116,35.6917,1176026
2025-02-02,35.3007,35.3222,35.2735,35.2949,629878
2025-02-03,34.6764,34.6996,34.6251,34.6482,752082
2025-02-04,34.169,34.3487,33.9535,34.133,493579
2025-02-05,34.2662,34.9454,33.5122,34.1898,608417
2025-02-06,33.3063,34.0794,32.6293,33.4006,499936
2025-02-07,33.1282,33.1726,33.0117,33.056,548169
2025-02-08,33.6693,34.3217,32.5218,33.1643,928711
2025-02-09,32.4398,32.5471,32.4036,32.5109,436335
2025-02-10,31.6583,32.6089,31.0922,32.036,57604
2025-02-11,32.2252,32.6679,31.7671,32.2095,345413
2025-02-12,31.098,32.3533,29.5993,30.8445,326878
2025-02-13,31.5555,32.9107,30.0854,31.4355,563265
2025-02-14,31.1639,31.3362,30.9829,31.1551,37324
2025-02-15,31.2709,31.5352,30.9311,31.1948,1423032
2025-02-16,30.8327,30.8461,30.8081,30.8216,109405
2025-02-17,31.4692,31.4791,31.4671,31.477,108093
2025-02-18,32.256,33.7135,30.8802,32.3344,50349
2025-02-19,31.1496,31.5601,30.7577,31.1679,424147
2025-02-20,31.02,31.8162,30.4479,31.2401,418219
2025-02-21,31.0499,31.2335,30.8437,31.0272,60091
2025-02-22,30.8515,30.8895,30.8213,30.8593,1306456
2025-02-23,30.1958,30.2168,30.1686,30.1896,434228
2025-02-24,30.6253,30.7956,30.5583,30.7284,236980
2025-02-25,30.653,30.6801,30.4958,30.5227,655946
2025-02-26,30.8575,31.239,30.6442,31.0246,559816
2025-02-27,32.0898,33.5882,30.3156,31.8006,867664
2025-02-28,32.3764,32.6263,32.1351,32.3849,672347
2025-03-01,32.8529,33.1667,32.5557,32.8693,849001
2025-03-02,32.8212,33.1202,32.718,33.0164,156463
2025-03-03,33.4793,33.8735,33.1437,33.5373,24180
2025-03-04,33.7946,33.795,33.7946,33.795,30698
2025-03-05,33.5558,33.6386,33.1706,33.2527,1198245
2025-03-06,33.5676,34.3073,33.0772,33.8133,564780
2025-03-07,33.1096,33.1418,33.0624,33.0946,634880
2025-03-08,32.8272,34.5042,30.982,32.65,231171
2025-03-09,31.5748,31.7834,31.5321,31.7405,1002517
2025-03-10,32.962,33.4556,32.4518,32.9451,527097
2025-03-11,34.3156,34.3617,34.2597,34.3057,637362
2025-03-12,33.6207,34.8558,32.4016,33.6362,10273
2025-03-13,34.3081,34.8687,33.7718,34.3321,622859
2025-03-14,34.7619,35.3263,34.2576,34.8213,476251
2025-03-15,35.1463,36.3385,34.198,35.3839,721987
2025-03-16,35.4459,35.6296,35.1197,35.3026,468958
2025-03-17,35.0417,35.0477,35.0362,35.0421,187527
2025-03-18,34.7872,34.8136,34.7619,34.7883,921551
2025-03-19,34.0255,34.6738,33.6572,34.3025,703845
2025-03-20,35.0413,35.3046,34.7969,35.0601,232898
2025-03-21,34.086,34.1148,34.0778,34.1066,607876
2025-03-22,33.6652,33.8154,33.5515,33.7016,631505
2025-03-23,33.9879,34.6733,33.4554,34.1383,127495
2025-03-24,34.341,34.7297,34.1838,34.5714,115082
2025-03-25,33.648,33.8161,33.587,33.7549,301320
2025-03-26,32.765,34.1606,31.7398,33.1242,1304830
2025-03-27,33.7905,34.556,32.9864,33.751,898803
2025-03-28,33.5131,33.6444,33.3045,33.4356,615107
2025-03-29,33.1909,34.6764,32.075,33.5485,211387
2025-03-30,33.4428,33.4679,33.394,33.419,605612
2025-03-31,33.5808,33.5914,33.5497,33.5603,530732
2025-04-01,34.656,34.9693,34.2668,34.5794,1158234
2025-04-02,33.8377,33.8804,33.7806,33.8233,481249
2025-04-03,33.7781,33.967,33.6316,33.8203,196393
2025-04-04,33.3541,33.3743,33.3305,33.3508,917010
2025-04-05,33.8743,34.039,33.4018,33.5649,259943
2025-04-06,33.8004,34.2001,33.5019,33.9007,616747
2025-04-07,33.782,34.1028,33.4929,33.8135,252402
2025-04-08,34.0512,34.6572,33.5554,34.1598,34309
2025-04-09,34.1174,34.1783,33.9722,34.033,603150
2025-04-10,34.4188,34.6175,34.3675,34.5659,19051
2025-04-11,33.5013,33.875,33.2884,33.6611,189555
2025-04-12,33.008,33.9314,32.4324,33.3498,623776
2025-04-13,34.0857,35.4649,32.6764,34.0543,424898
2025-04-14,33.5718,34.0331,32.9699,33.4293,124179
2025-04-15,33.2587,34.423,32.3352,33.4931,352036
2025-04-16,34.6784,35.0213,34.394,34.7365,931258
2025-04-17,35.1604,37.6273,32.3822,34.8256,1164021
2025-04-18,34.8391,34.8722,34.7991,34.8322,69897
2025-04-19,34.4373,34.775,33.9693,34.3057,1059485
2025-04-20,33.4606,34.0434,33.1873,33.7675,410973
2025-04-21,34.6774,34.9194,34.3814,34.6231,168145
2025-04-22,34.8175,36.1455,33.2302,34.548,387810
2025-04-23,35.1838,35.2573,34.8147,34.8876,101299
2025-04-24,34.9706,36.5774,33.5957,35.1937,16138
2025-04-25,35.2808,36.0973,34.9163,35.7282,307289
2025-04-26,35.1353,35.2534,35.097,35.215,462859
2025-04-27,34.1014,35.1546,33.5058,34.5512,32374
2025-04-28,35.0986,35.8587,34.3534,35.1132,261270
2025-04-29,35.6065,35.679,35.4657,35.5381,1197420
2025-04-30,34.9531,34.9845,34.9518,34.9833,190976
2025-05-01,34.6174,34.8972,34.4882,34.7675,647393
2025-05-02,35.5468,36.3558,34.1269,34.9216,542764
2025-05-03,35.0467,35.2904,34.8298,35.0733,176210
2025-05-04,35.8755,36.1469,35.6722,35.9432,271450
2025-05-05,36.4338,36.5557,36.2238,36.3453,745861
2025-05-06,36.1139,36.8922,35.5171,36.2925,11297
2025-05-07,36.2248,37.4022,35.6874,36.8554,477719
2025-05-08,36.495,36.6186,36.4225,36.5461,867491
2025-05-09,37.0305,37.0797,36.9899,37.0391,1339331
2025-05-10,36.5751,36.7619,36.367,36.5538,89326
2025-05-11,36.8677,38.1417,35.4166,36.6842,1143098
2025-05-12,36.4014,37.5323,35.814,36.9362,942566
2025-05-13,36.3806,36.4412,36.3272,36.3878,420632
2025-05-14,35.959,35.9808,35.9208,35.9427,1180497
2025-05-15,35.8285,36.6038,35.3074,36.0791,409047
2025-05-16,35.266,35.7546,34.6403,35.1271,528233
2025-05-17,35.1425,35.3579,34.9307,35.146,278740
2025-05-18,36.3205,36.3621,36.2899,36.3315,499235
2025-05-19,36.0245,36.6611,35.4687,36.1041,308369
2025-05-20,36.7332,37.1511,36.3488,36.7663,78276
2025-05-21,36.3868,36.9148,35.9011,36.4285,165181
2025-05-22,36.3706,36.4923,36.1881,36.3096,539434
2025-05-23,35.8352,35.9965,35.6176,35.7787,531874
2025-05-24,36.6143,36.8027,36.4229,36.6113,855372
2025-05-25,36.3824,36.7057,36.0223,36.3453,17468
2025-05-26,37.2901,37.9785,36.42,37.105,376474
2025-05-27,36.6029,37.5508,36.2503,37.1925,69192
2025-05-28,37.3583,38.933,36.0177,37.5843,231376
2025-05-29,37.3447,37.3859,37.3276,37.3688,98483
2025-05-30,36.6222,37.0793,36.0739,36.5298,561157
2025-05-31,36.6273,36.8752,36.3487,36.5964,692937
2025-06-01,35.5618,35.8812,35.513,35.832,1201276
2025-06-02,36.4027,36.6723,35.9627,36.2311,95307
2025-06-03,36.8306,36.9394,36.5741,36.6824,195913
2025-06-04,35.8455,38.5654,33.7893,36.4732,450662
2025-06-05,36.3291,36.5348,36.2426,36.4479,762011
2025-06-06,37.827,37.9846,37.7509,37.9084,1100498
2025-06-07,38.8242,39.248,38.3735,38.7971,234249
2025-06-08,37.5383,38.1217,36.9215,37.5044,406222
2025-06-09,38.0424,38.9033,36.6448,37.4933,65262
2025-06-10,37.5333,37.6367,37.4081,37.5115,233072
2025-06-11,37.5174,38.0844,36.7476,37.3115,526679
2025-06-12,37.7722,38.5356,37.1625,37.9234,251648
2025-06-13,38.3508,40.61,35.0618,37.2565,575698
2025-06-14,38.1759,38.2345,38.073,38.1315,164725
2025-06-15,37.4324,37.7743,37.0206,37.3619,71811
2025-06-16,37.5068,37.7572,37.1252,37.3747,1072178
2025-06-17,37.6381,37.7241,37.5153,37.6012,940234
2025-06-18,36.0431,36.8389,35.0938,35.8861,52835
2025-06-19,34.7238,35.1861,34.6153,35.0764,945966
2025-06-20,34.7793,35.2862,34.3884,34.894,286942
2025-06-21,35.8072,35.9651,35.1893,35.3451,266429
2025-06-22,35.2807,35.3628,35.1987,35.2808,707213
2025-06-23,35.7349,36.4455,35.2649,35.9723,54353
2025-06-24,36.3191,36.6854,35.4589,35.8201,384997
2025-06-25,35.117,35.4577,35.0307,35.3708,695882
2025-06-26,35.1187,35.182,35.0931,35.1564,971402
2025-06-27,33.5199,33.8192,33.3289,33.6275,215935
2025-06-28,33.7055,34.2127,33.0714,33.5767,781604
2025-06-29,33.3446,34.5538,32.6151,33.814,213268
2025-06-30,33.8494,33.8675,33.8306,33.8487,577422
2025-07-01,33.9756,34.0364,33.8956,33.9564,91531
2025-07-02,33.3768,33.9421,32.8897,33.4539,707186
2025-07-03,33.6836,33.9768,33.5763,33.8689,576477
2025-07-04,33.3611,33.9204,32.7486,33.3069,531501
2025-07-05,31.9141,33.6501,30.3468,32.0749,924933
2025-07-06,33.2694,33.8937,32.3993,33.0189,761547
2025-07-07,33.7108,34.109,33.3705,33.768,324619
2025-07-08,33.0251,33.8426,32.0652,32.8792,364123
2025-07-09,35.448,35.7363,34.9923,35.2793,812215
2025-07-10,34.5988,35.0878,34.1897,34.6778,29297
2025-07-11,35.4611,35.611,35.2174,35.3669,635372
2025-07-12,35.3228,35.3402,35.2062,35.2236,1321544
2025-07-13,35.0937,36.1843,33.7441,34.8263,379149
2025-07-14,34.9227,35.5305,34.2541,34.8608,106890
2025-07-15,34.693,34.8332,34.5906,34.7307,351230
2025-07-16,33.7161,34.6618,32.8381,33.7821,360494
2025-07-17,33.8242,35.8135,31.6249,33.6011,855407
2025-07-18,33.6793,33.8439,33.4991,33.6636,108269
2025-07-19,32.877,33.3873,32.2865,32.7956,397628
2025-07-20,33.2537,33.3409,33.1854,33.2727,738249
2025-07-21,33.2919,33.3513,33.2887,33.3481,664481
2025-07-22,32.9113,32.9194,32.9076,32.9157,409510
2025-07-23,34.161,34.5771,33.9127,34.3275,1086908
2025-07-24,34.4,34.5485,34.3666,34.515,492476
2025-07-25,34.4195,34.491,34.3133,34.3847,334021
2025-07-26,34.2479,34.9236,33.5518,34.227,47592
2025-07-27,33.7602,34.2719,33.2303,33.7416,407096
2025-07-28,33.7949,33.8798,33.6953,33.7801,377932
2025-07-29,33.8394,34.0413,33.5583,33.7597,152795
2025-07-30,33.1575,33.7654,32.9478,33.5532,714301
2025-07-31,33.3217,33.5058,33.076,33.2598,967925
2025-08-01,33.2234,33.4661,32.9827,33.2254,571739
