date,open,high,low,close,volume
2025-01-20,155.3025,157.9585,153.1032,155.7528,107734
2025-01-21,158.6967,160.5876,156.6362,158.525,324209
2025-01-22,161.6449,164.5686,161.0036,163.9183,771844
2025-01-23,167.0262,167.0423,166.8698,166.8858,484621
2025-01-24,164.85,165.661,163.9261,164.7365,712039
2025-01-25,162.9172,163.3914,162.6846,163.1585,498749
2025-01-26,167.3263,169.1436,166.002,167.8154,220761
2025-01-27,164.1123,166.8866,162.1709,164.9355,630800
2025-01-28,162.8087,166.2427,159.4056,162.839,159803
2025-01-29,169.8833,180.7196,155.8637,166.4831,113920
2025-01-30,165.9974,168.9387,161.8581,164.7778,411428
2025-01-31,166.436,166.7384,165.9393,166.2413,684916
2025-02-01,167.3903,168.8619,165.7624,167.2326,570653
2025-02-02,166.7248,168.4501,165.2938,167.0165,424760
2025-02-03,170.9929,178.2334,160.2352,167.3202,205478
2025-02-04,169.7611,170.8676,168.9465,170.0516,412505
2025-02-05,173.4084,178.1394,168.2591,172.9784,142170
2025-02-06,176.2069,177.0707,175.0139,175.8761,239562
2025-02-07,173.7941,174.8914,172.4279,173.5235,74489
2025-02-08,174.5584,181.0616,166.4903,172.9329,531300
2025-02-09,169.2043,169.2717,169.1037,169.1712,267145
2025-02-10,171.9258,172.5144,171.5544,172.1425,1318083
2025-02-11,167.0184,168.3776,165.4497,166.8072,162342
2025-02-12,164.9302,167.1999,163.2295,165.4934,682308
2025-02-13,168.2913,170.1405,166.3875,168.236,1006090
2025-02-14,168.8791,168.9863,168.7203,168.8275,568191
2025-02-15,169.8404,173.1377,166.8968,170.1881,547569
2025-02-16,165.0669,170.9727,160.1918,166.0681,332469
2025-02-17,163.9664,167.6276,161.6189,165.2615,423039
2025-02-18,162.5423,163.9567,161.0994,162.5135,706691
2025-02-19,165.5849,166.1158,164.7734,165.3034,208861
2025-02-20,161.436,164.7362,159.4368,162.7211,70038
2025-02-21,159.4632,160.7714,158.5433,159.8492,1031996
2025-02-22,157.879,158.1797,157.6863,157.9869,246886
2025-02-23,163.4839,168.2302,157.3853,162.0912,265758
2025-02-24,167.324,167.9451,167.296,167.917,579029
2025-02-25,163.418,169.7357,157.8061,164.1004,585549
2025-02-26,166.3402,168.1183,164.592,166.3699,123934
2025-02-27,168.0192,170.8589,164.5959,167.4256,89438
2025-02-28,165.8827,166.6188,164.9834,165.7188,944004
2025-03-01,166.5356,167.3107,165.6145,166.3888,355848
2025-03-02,169.1129,172.3324,166.4325,169.6436,986558
2025-03-03,163.1174,164.6908,162.8016,164.3726,496632
2025-03-04,163.584,164.2293,162.8301,163.4749,468953
2025-03-05,165.9987,167.7044,164.7488,166.451,1061171
2025-03-06,163.0355,163.5349,162.319,162.8178,371576
2025-03-07,169.1941,169.4041,168.2988,168.5079,632717
2025-03-08,172.5408,182.1705,163.425,173.029,401985
2025-03-09,175.2732,175.799,173.878,174.4012,724789
2025-03-10,175.4168,175.9824,175.0471,175.6122,966862
2025-03-11,169.3984,171.1323,168.3766,170.1062,273092
2025-03-12,175.1294,176.2053,173.5543,174.6271,96686
2025-03-13,170.5829,175.805,168.7164,173.9021,339992
2025-03-14,177.9551,178.2078,177.6197,177.8722,980942
2025-03-15,181.3147,181.9072,181.0758,181.6678,147946
2025-03-16,188.9076,189.6568,187.5852,188.3321,576207
2025-03-17,193.832,196.0067,192.7019,194.8705,872751
2025-03-18,187.8094,196.0755,181.2411,189.4498,185121
2025-03-19,190.1779,193.974,187.3171,191.0993,85132
2025-03-20,190.3547,192.5202,188.4905,190.6531,380238
2025-03-21,185.7142,189.4077,182.7208,186.4032,826126
2025-03-22,188.265,191.341,185.0916,188.166,286983
2025-03-23,181.2965,197.3575,167.3547,183.2644,349546
2025-03-24,186.9116,189.7888,184.9512,187.8189,766344
2025-03-25,198.1107,198.7731,196.5085,197.1678,1302016
2025-03-26,198.4508,199.8724,197.3629,198.7828,579207
2025-03-27,198.459,198.6162,198.0986,198.2556,611734
2025-03-28,198.7612,203.1034,194.4512,198.7928,1226422
2025-03-29,195.5403,210.8744,182.6053,197.7905,573199
2025-03-30,196.7333,201.728,192.9944,197.9657,217429
2025-03-31,195.8594,202.0428,191.2009,197.3489,522579
2025-04-01,199.7738,200.0393,197.6027,197.8656,380230
2025-04-02,199.8597,200.7937,199.0652,199.9987,294577
2025-04-03,208.3348,209.232,207.8932,208.7894,232373
2025-04-04,208.4332,210.277,207.1792,209.0195,1441781
2025-04-05,209.2063,209.8289,207.9338,208.5545,1118664
2025-04-06,209.9886,213.9173,203.9452,207.8336,354821
2025-04-07,216.4002,220.9352,211.1253,215.6445,141384
2025-04-08,218.0796,219.8806,216.6635,218.462,293621
