date,open,high,low,close,volume
2025-01-20,620.996,625.3578,616.5722,620.9336,573780
2025-01-21,618.9205,642.3146,602.0247,625.2462,1385485
2025-01-22,622.0157,623.3735,618.7814,620.1351,196550
2025-01-23,621.6573,624.4052,618.4624,621.2083,1095630
2025-01-24,616.9663,621.2368,612.1871,616.4541,967496
2025-01-25,623.3525,624.6109,619.8397,621.0936,1248967
2025-01-26,640.4767,640.9703,640.1317,640.6252,482212
2025-01-27,614.8318,615.1129,614.5744,614.8555,81513
2025-01-28,624.1758,624.6668,623.3054,623.796,304013
2025-01-29,612.7137,615.3613,608.6282,611.2696,946239
2025-01-30,611.4107,626.3178,591.9453,606.7385,271776
2025-01-31,633.5954,634.3889,631.1361,631.9276,707021
2025-02-01,655.7085,660.8667,649.9971,655.151,431992
2025-02-02,669.4325,670.5545,668.0923,669.214,839794
2025-02-03,672.4524,682.5582,664.1824,674.2659,558271
2025-02-04,662.2751,667.316,657.6034,662.6418,843573
2025-02-05,643.3623,709.545,574.8847,640.8043,352876
2025-02-06,621.4698,626.61,617.3718,622.5052,122174
2025-02-07,620.6383,621.541,618.4536,619.3545,95658
2025-02-08,612.395,626.6702,603.9131,618.1092,244619
2025-02-09,606.9677,608.2673,606.6956,607.9947,585999
2025-02-10,615.8991,628.3378,599.8976,612.2629,881748
2025-02-11,600.3126,601.502,599.3382,600.5274,67844
2025-02-12,611.2608,611.3264,610.8057,610.8713,74873
2025-02-13,619.261,635.8151,605.7704,622.2591,251740
2025-02-14,604.2854,611.7957,595.9763,603.4765,525303
2025-02-15,606.3751,611.0474,601.3441,606.0136,396755
2025-02-16,584.8666,600.1136,566.1643,581.3189,348632
2025-02-17,579.2471,579.6506,577.6683,578.071,514619
2025-02-18,577.3281,590.1258,566.1941,578.9604,532918
2025-02-19,577.3759,579.1537,574.8521,576.6276,252276
2025-02-20,567.9627,569.3308,566.9681,568.3356,1013517
2025-02-21,570.2501,577.2112,568.3561,575.3004,397661
2025-02-22,576.4322,580.9088,573.231,577.7006,740523
2025-02-23,590.9317,593.1971,587.5094,589.7704,322765
2025-02-24,589.6804,597.1006,584.6333,592.0333,715358
2025-02-25,611.2989,617.355,601.6116,607.6314,1017488
2025-02-26,608.0407,608.5512,607.7482,608.2586,86400
2025-02-27,586.5905,586.6409,586.5285,586.5788,273751
2025-02-28,572.1888,594.9408,548.2508,570.9536,862358
2025-03-01,571.4894,576.8275,564.4293,569.7512,176900
2025-03-02,549.1227,583.3224,521.138,555.0363,62097
2025-03-03,532.4361,538.8552,530.7334,537.1375,251019
2025-03-04,544.9583,583.3575,506.0007,544.3576,692342
2025-03-05,520.4934,522.8393,515.1249,517.4571,657135
2025-03-06,523.3968,526.16,519.7865,522.5451,952974
2025-03-07,522.3743,526.4509,516.4424,520.5044,128011
2025-03-08,544.1412,544.6879,542.7839,543.3298,319302
2025-03-09,540.2543,541.5254,539.4947,540.765,515965
2025-03-10,545.4982,546.3917,544.5324,545.4258,422853
2025-03-11,557.5045,573.1361,541.3961,557.014,826278
2025-03-12,568.9154,587.0979,553.7465,571.8508,571356
2025-03-13,566.8173,568.1549,565.1037,566.4404,139289
2025-03-14,558.6186,580.3594,544.1536,565.7108,343180
2025-03-15,583.2825,583.6408,582.7993,583.1575,303333
2025-03-16,606.9349,634.5391,585.7867,613.1736,228692
2025-03-17,618.8866,623.8407,608.3727,613.2819,613664
2025-03-18,608.4348,638.5142,574.1407,604.0009,534175
2025-03-19,609.4302,618.8667,595.0492,604.4079,675037
2025-03-20,608.9697,631.5716,580.8079,603.1955,273692
2025-03-21,633.0038,636.9383,627.0582,630.9801,103625
2025-03-22,632.93,651.477,611.1952,629.646,595757
2025-03-23,619.4999,623.7206,615.9478,620.1647,281441
2025-03-24,613.8612,621.1213,602.5244,609.7357,355287
2025-03-25,602.1311,614.1032,592.8515,604.7827,65522
2025-03-26,607.1037,618.2125,592.3369,603.3775,49868
2025-03-27,612.1401,651.7037,574.578,614.0259,112496
2025-03-28,605.0111,620.7884,594.4682,610.1558,1243916
2025-03-29,618.0929,621.3484,614.235,617.4873,525965
2025-03-30,631.3656,631.4683,629.6241,629.7265,915142
2025-03-31,634.4995,642.2464,623.3339,631.0385,473345
2025-04-01,619.9081,620.8543,618.0597,619.0046,389735
2025-04-02,619.4794,624.4866,605.2752,610.2074,747625
2025-04-03,598.7393,600.7971,595.9896,598.045,13984
2025-04-04,601.6054,601.6791,600.3124,600.3859,231580
2025-04-05,600.6393,601.4803,599.9401,600.7809,728522
2025-04-06,611.4222,611.878,610.897,611.3528,424502
2025-04-07,624.3344,632.8186,614.578,623.0447,1066484
2025-04-08,626.0775,629.3213,622.1933,625.4338,296294
2025-04-09,615.7467,616.4582,615.1749,615.8863,167675
2025-04-10,634.7305,635.5855,633.5207,634.3752,432107
2025-04-11,641.9176,646.0181,637.1683,641.2646,314652
2025-04-12,621.8561,722.7954,520.4394,621.2863,515751
2025-04-13,631.3399,636.8786,625.1445,630.6773,181272
2025-04-14,645.8848,647.5349,643.1867,644.8342,501655
2025-04-15,636.9572,662.2331,616.9216,642.0378,664557
2025-04-16,646.7159,647.3701,646.1906,646.8447,84495
2025-04-17,652.1084,663.3544,638.6735,649.8811,643079
2025-04-18,657.6756,658.826,655.7282,656.8773,385014
2025-04-19,676.6982,680.2033,671.125,674.6193,531933
2025-04-20,667.7867,721.0546,627.3766,679.9109,712861
2025-04-21,680.9801,681.2959,680.6065,680.9223,1233881
2025-04-22,683.3486,683.4487,682.1741,682.2741,849160
2025-04-23,671.6794,684.287,665.2895,677.8385,718176
2025-04-24,673.0182,673.8557,672.05,672.8874,94729
2025-04-25,662.1207,664.3201,661.8461,664.0447,415138
2025-04-26,701.1032,724.7977,673.0376,696.5792,198883
2025-04-27,715.6733,742.1252,676.9015,702.8805,202698
2025-04-28,716.2997,732.7326,699.5055,715.9299,627573
2025-04-29,702.9757,725.3,688.1543,710.3237,519944
2025-04-30,711.5567,717.8227,709.1984,715.4515,712964
2025-05-01,730.7949,751.3649,721.6652,742.094,264507
2025-05-02,773.5098,830.0981,713.1383,769.428,894484
2025-05-03,780.9945,783.2419,777.7185,779.9629,1328748
2025-05-04,768.0157,768.2044,766.4647,766.6531,747717
2025-05-05,776.3946,790.9309,768.1726,782.6428,92084
2025-05-06,803.651,810.7399,789.6708,796.6983,109108
2025-05-07,813.3476,817.2491,811.4353,815.3321,171293
2025-05-08,816.1314,816.181,816.0066,816.0561,839652
2025-05-09,806.5036,818.7749,788.4227,800.6042,338035
2025-05-10,804.913,818.7061,797.1875,810.9229,972920
2025-05-11,796.5119,835.2939,764.1378,802.6695,1169654
2025-05-12,778.0367,790.3917,772.1131,784.4195,667636
2025-05-13,762.5392,764.662,761.4336,763.5549,910985
2025-05-14,735.6513,746.7342,721.15,732.1807,1240374
2025-05-15,738.8841,743.1474,732.5392,736.7904,313757
2025-05-16,733.4052,733.8758,733.2743,733.7447,1021337
2025-05-17,739.1039,743.2243,736.9645,741.0792,282346
2025-05-18,736.2784,736.8415,734.1262,734.688,140834
2025-05-19,745.8375,756.8556,731.1947,742.1584,463875
2025-05-20,743.7879,749.7315,739.9836,745.9163,737813
2025-05-21,767.8182,772.4238,764.4774,769.0775,798290
2025-05-22,754.3035,760.8111,748.2955,754.7991,279358
2025-05-23,752.3172,778.1329,717.4629,742.9574,200655
2025-05-24,737.2692,742.8024,731.5002,737.0317,868258
2025-05-25,766.0001,770.1189,758.9069,763.0096,619765
2025-05-26,744.9444,761.2719,732.8859,749.1454,163455
2025-05-27,743.2821,748.6718,736.6207,742.0011,278931
2025-05-28,766.1647,769.1622,762.0581,765.0513,337611
2025-05-29,772.5925,783.4351,765.7302,776.5377,244754
2025-05-30,775.5922,777.7304,771.753,773.8865,642498
2025-05-31,791.0734,828.7006,763.8303,801.1118,376780
2025-06-01,777.948,781.588,764.9707,768.5668,367457
2025-06-02,784.1327,789.4016,777.1026,782.3596,936822
2025-06-03,797.4733,801.7242,792.6679,796.9158,96597
2025-06-04,787.4235,798.1036,777.9793,788.6447,1202205
2025-06-05,815.3522,821.6671,811.2623,817.566,548180
2025-06-06,773.7026,801.6768,753.182,780.9636,416968
2025-06-07,774.3078,782.9406,768.3674,776.9797,220136
2025-06-08,788.1448,788.5291,788.0682,788.4525,982329
2025-06-09,821.2281,840.1259,796.2797,815.0349,719901
2025-06-10,789.1279,832.1852,751.1124,793.938,744377
2025-06-11,775.882,776.9086,775.3263,776.3525,266606
2025-06-12,784.5319,787.9253,782.8199,786.2096,697404
2025-06-13,761.1597,761.9966,759.9868,760.8233,35064
2025-06-14,777.0051,786.1565,770.3985,779.5285,221550
2025-06-15,792.5896,802.565,783.3529,793.3197,485867
2025-06-16,802.8622,815.717,780.9878,793.6958,300590
2025-06-17,803.0921,823.1482,783.2689,803.3194,484724
2025-06-18,800.0944,807.053,796.8111,803.7547,193075
2025-06-19,816.4912,826.535,804.5612,814.5815,534121
2025-06-20,846.1931,851.8388,836.2392,841.8559,754974
2025-06-21,822.9285,844.3037,813.1275,834.3664,366322
2025-06-22,856.3209,864.3913,851.4671,859.5195,1243318
2025-06-23,844.6346,849.3571,836.9672,841.6732,364784
2025-06-24,845.0604,911.6996,790.8924,856.7803,116593
2025-06-25,844.3138,848.6601,840.0821,844.4278,1178463
2025-06-26,845.0869,853.5219,840.1147,848.5295,1196195
2025-06-27,839.2501,847.2603,835.0783,843.0694,345725
2025-06-28,855.104,873.795,837.1522,855.8281,1026516
2025-06-29,815.3092,818.602,811.6336,814.9248,804060
2025-06-30,810.9553,822.7512,795.1676,806.9046,963319
2025-07-01,767.3757,768.8742,766.3262,767.8241,198814
2025-07-02,762.3133,770.4107,753.5716,761.662,420024
2025-07-03,761.337,766.7401,754.0223,759.4119,80681
2025-07-04,749.5641,822.1957,677.9128,750.4589,482703
2025-07-05,750.7431,759.2702,740.8085,749.3195,911651
2025-07-06,737.4258,738.862,735.9462,737.3822,147402
2025-07-07,739.7363,749.014,735.4856,744.7346,658495
2025-07-08,751.5277,764.3098,741.4938,754.2397,672571
2025-07-09,775.92,785.1337,760.767,769.9093,24661
2025-07-10,778.3956,780.1485,777.4933,779.2451,1215173
2025-07-11,746.1625,760.4109,732.072,746.3174,1281575
2025-07-12,745.9583,748.5521,743.0742,745.667,253299
2025-07-13,759.8572,765.4972,752.1823,757.8071,976218
2025-07-14,756.8199,764.625,752.3433,760.1288,113084
2025-07-15,763.3346,773.0268,755.5756,765.2483,721146
2025-07-16,772.959,774.2964,771.3911,772.728,592540
2025-07-17,773.3052,775.5713,770.2851,772.5491,530889
2025-07-18,778.4723,783.1053,771.9903,776.6122,917352
2025-07-19,770.3952,779.1964,759.7363,768.516,377471
2025-07-20,762.4569,762.4719,762.4232,762.4382,430020
2025-07-21,752.6959,759.675,739.6321,746.5543,373212
2025-07-22,738.3288,754.6858,727.5523,743.829,232434
2025-07-23,733.6339,748.4848,723.3442,738.132,431163
2025-07-24,702.8848,703.4004,701.7783,702.2935,683728
2025-07-25,701.5242,704.734,697.8859,701.0937,519676
2025-07-26,675.4223,675.724,674.7135,675.015,677411
2025-07-27,656.0303,661.5314,655.4924,660.9894,347689
2025-07-28,642.9222,643.294,642.2408,642.6124,950961
2025-07-29,646.7109,661.5109,632.906,647.6852,433290
2025-07-30,631.0019,644.8115,619.0094,632.7852,570256
2025-07-31,634.5007,640.4772,624.7922,630.7331,817260
2025-08-01,642.6707,643.1088,642.1396,642.5777,347055
2025-08-02,644.1978,644.6064,643.3782,643.7866,417662
2025-08-03,644.2137,647.5062,643.9077,647.1988,566871
2025-08-04,637.0213,639.5209,636.8466,639.3456,1044571
2025-08-05,632.7387,657.0198,612.3324,636.4924,566496
2025-08-06,637.0127,640.9529,631.2899,635.219,151384
2025-08-07,620.2673,651.2494,590.9845,621.8899,356621
2025-08-08,641.8921,642.825,639.0685,639.9986,390892
2025-08-09,632.4515,649.2958,624.3488,641.0825,496585
2025-08-10,644.2458,662.6258,622.8686,641.1605,1056711
2025-08-11,639.6659,642.4318,636.8157,639.5813,494237
2025-08-12,641.2484,643.7829,639.8697,642.4017,853433
2025-08-13,631.2726,645.7719,616.4044,630.895,488582
2025-08-14,630.1403,634.1183,623.1289,627.0876,195205
