date,open,high,low,close,volume
2025-01-20,117.8924,119.8729,116.8906,118.8629,212257
2025-01-21,120.7664,127.4876,114.3268,121.0337,748377
2025-01-22,125.0119,125.9314,123.7535,124.6704,500141
2025-01-23,123.9959,124.1607,123.8343,123.9991,1004882
2025-01-24,120.5933,123.5605,119.8549,122.8085,301724
2025-01-25,120.3973,121.381,118.712,119.6899,956836
2025-01-26,121.2362,122.2358,120.1552,121.1542,252526
2025-01-27,126.139,127.794,123.2369,124.8753,600208
2025-01-28,126.5664,128.9896,122.9455,125.3452,423836
2025-01-29,124.5133,124.774,124.1616,124.4222,515672
2025-01-30,129.0956,129.5084,129.0244,129.437,444438
2025-01-31,132.1908,132.7877,130.6389,131.2315,390900
2025-02-01,131.3547,131.6177,131.0684,131.3314,771073
2025-02-02,126.0238,127.6095,124.7269,126.3096,1288590
2025-02-03,127.1523,127.3771,127.1155,127.3404,25852
2025-02-04,127.3878,127.4759,127.3794,127.4674,446109
2025-02-05,129.8874,131.9392,127.5532,129.6005,544651
2025-02-06,126.9607,128.4877,126.0086,127.5313,505931
2025-02-07,124.6568,124.9823,124.4583,124.7836,400234
2025-02-08,126.0462,127.9096,124.6744,126.5325,448598
2025-02-09,124.9946,127.0232,122.1064,124.1208,133234
2025-02-10,123.2839,124.2736,122.6802,123.668,123391
2025-02-11,124.7385,126.4303,123.3448,125.0334,946014
2025-02-12,123.1227,124.7852,121.0315,122.6881,623727
2025-02-13,123.0256,123.5242,122.6948,123.1929,415185
2025-02-14,123.6465,123.6504,123.6383,123.6423,676561
2025-02-15,127.9421,136.0883,121.1012,129.1811,1043891
2025-02-16,126.2365,127.3367,125.5365,126.6346,405411
2025-02-17,126.6088,127.3106,126.0093,126.7106,351580
2025-02-18,127.5908,129.3539,124.3632,126.1058,523339
2025-02-19,122.2893,124.939,120.1346,122.7758,716162
2025-02-20,122.8436,122.9609,122.6889,122.8062,59547
2025-02-21,123.3614,123.6551,122.901,123.1943,9637
2025-02-22,122.6622,124.5489,121.2663,123.1474,599844
2025-02-23,122.481,123.6616,121.0118,122.1896,73948
2025-02-24,126.4343,126.6335,125.5186,125.7167,690090
2025-02-25,127.3196,127.4735,127.1291,127.283,88808
2025-02-26,125.8777,127.4473,124.8243,126.3897,220395
2025-02-27,128.0313,128.2895,126.551,126.8068,21221
2025-02-28,127.3372,127.8719,126.9406,127.4748,44342
2025-03-01,127.0821,129.3864,125.5088,127.8041,387003
2025-03-02,128.8882,137.6465,120.979,129.6882,382003
2025-03-03,132.214,133.2151,130.6687,131.6656,780070
2025-03-04,134.0738,134.9042,132.2612,133.0855,371374
2025-03-05,135.8852,138.2425,132.8878,135.2339,590493
