date,open,high,low,close,volume
2025-01-20,121.8165,125.1293,118.9108,122.2141,981749
2025-01-21,123.3065,125.6722,121.6984,124.0544,208326
2025-01-22,121.7258,122.2449,121.3357,121.8544,1126338
2025-01-23,123.649,126.5292,120.1587,123.0244,262167
2025-01-24,123.0854,123.1582,123.0357,123.1085,747603
2025-01-25,122.1711,122.5853,121.5877,122.0014,1264473
2025-01-26,122.1878,122.4125,121.5063,121.7301,38925
2025-01-27,124.6083,126.067,124.0093,125.4639,478612
2025-01-28,122.5077,125.0051,120.5549,123.0437,308403
2025-01-29,120.1895,123.1202,117.6475,120.5702,140012
2025-01-30,122.3563,122.4228,122.2903,122.3568,474071
2025-01-31,120.3496,122.1305,120.0486,121.8258,595635
2025-02-01,123.3336,125.6978,121.2876,123.6466,110374
2025-02-02,122.9622,123.583,122.2227,122.8429,888718
2025-02-03,123.4658,125.4753,121.5802,123.5879,337019
2025-02-04,125.0719,125.1935,124.9535,125.0751,80982
2025-02-05,121.8861,121.9468,121.8798,121.9406,1170037
2025-02-06,124.4323,124.7051,124.0692,124.3419,486091
2025-02-07,118.914,126.2938,112.9312,120.2441,762022
2025-02-08,121.0634,125.851,114.9513,119.6844,1046005
2025-02-09,119.9426,121.3766,118.8117,120.2428,82007
2025-02-10,119.1211,119.6636,118.6734,119.2155,582794
2025-02-11,121.7388,122.1178,121.141,121.5193,586908
2025-02-12,120.8965,120.9334,120.8449,120.8819,548760
2025-02-13,121.8699,124.3571,118.9489,121.4271,376793
2025-02-14,120.3403,120.6553,120.1197,120.4345,27697
2025-02-15,123.5879,124.067,123.2958,123.7746,614219
2025-02-16,126.9853,128.9833,124.9368,126.934,964877
2025-02-17,127.2021,127.6282,126.9291,127.355,228124
2025-02-18,125.6735,125.7252,125.6624,125.7141,197746
2025-02-19,122.579,129.8147,116.3744,123.5605,672265
2025-02-20,120.1195,120.1727,120.0747,120.1279,223499
2025-02-21,121.8514,123.8959,120.8935,122.9296,519576
2025-02-22,126.0411,126.2969,125.5756,125.8311,790454
2025-02-23,129.562,130.6999,128.6467,129.7831,403193
2025-02-24,130.7251,132.5862,128.9902,130.8496,932965
2025-02-25,132.1781,135.5267,128.0873,131.4166,246076
2025-02-26,131.4557,132.4852,130.136,131.1633,545034
2025-02-27,135.33,138.6891,131.7418,135.0951,780079
2025-02-28,135.1724,136.6027,134.1193,135.5466,902358
2025-03-01,131.5614,132.2175,131.3391,131.9945,699349
2025-03-02,133.7188,136.1452,131.8377,134.2566,155006
2025-03-03,135.5186,137.7121,132.7772,134.9616,679400
2025-03-04,139.2274,139.3618,138.3681,138.5018,404695
2025-03-05,135.3524,136.6589,133.7933,135.0973,745462
2025-03-06,131.1894,134.0449,127.7519,130.5946,258529
2025-03-07,129.6315,130.6412,129.0962,130.1039,406753
2025-03-08,133.6619,133.8589,133.6155,133.8125,1179315
2025-03-09,136.0328,136.2297,135.6181,135.8147,182687
2025-03-10,134.7257,135.5067,133.82,134.6002,512087
2025-03-11,132.1831,132.9541,132.0518,132.8222,269048
2025-03-12,135.4458,136.9588,132.9771,134.4793,314183
2025-03-13,133.6344,136.6605,130.5261,133.5502,158269
2025-03-14,130.1001,132.6639,127.9282,130.4856,709164
2025-03-15,127.2633,130.0742,124.8988,127.7016,1264163
2025-03-16,126.609,126.7493,126.2077,126.3477,830405
2025-03-17,126.1917,126.2028,126.1811,126.1923,213189
2025-03-18,120.3565,122.8674,119.0351,121.533,186108
2025-03-19,119.5939,122.5201,117.1706,120.0868,472798
2025-03-20,115.9246,116.2144,115.6044,115.894,1118381
2025-03-21,117.2595,117.8403,116.5068,117.0867,350185
2025-03-22,121.5562,122.4089,120.8378,121.6897,155684
2025-03-23,117.9439,118.8707,117.0419,117.9685,577904
2025-03-24,114.3859,117.07,111.7825,114.4648,691879
2025-03-25,114.3386,115.1829,112.9386,113.7788,272878
2025-03-26,113.0535,113.8692,112.5828,113.3971,58290
2025-03-27,115.5118,116.0574,115.4515,115.9969,358705
2025-03-28,112.9777,115.0294,111.2972,113.3434,490751
2025-03-29,115.2476,115.5032,115.0574,115.313,12016
2025-03-30,115.7258,117.7804,112.8385,114.8781,535780
2025-03-31,112.2826,113.5884,111.411,112.7134,217732
2025-04-01,117.0036,117.3176,115.7632,116.0748,652196
2025-04-02,117.0053,117.4471,116.3681,116.8091,597980
2025-04-03,117.9101,120.664,114.6922,117.4351,104443
2025-04-04,118.1642,121.3578,114.3334,117.5092,1224772
2025-04-05,120.832,121.3339,120.3177,120.8196,64050
2025-04-06,122.0526,122.9014,121.4718,122.3194,691368
2025-04-07,120.7773,121.214,120.5148,120.9511,186030
2025-04-08,113.8257,115.8645,113.6741,115.7103,94976
2025-04-09,112.0488,112.1704,111.9544,112.076,582757
2025-04-10,105.7999,110.5513,101.936,106.6562,407134
2025-04-11,108.1619,108.7696,107.1947,107.8003,74532
2025-04-12,104.4273,106.7714,102.6034,104.9386,337799
2025-04-13,109.4837,111.4512,106.9133,108.8698,751445
2025-04-14,107.3684,107.4881,107.2912,107.4109,89289
2025-04-15,110.1918,110.7062,109.5829,110.0968,305674
2025-04-16,109.2819,110.1125,107.2392,108.0605,204738
2025-04-17,108.7522,110.5569,107.1857,108.987,259726
2025-04-18,106.8754,106.9009,106.8136,106.8392,511247
2025-04-19,105.0374,105.657,104.6065,105.2252,252582
2025-04-20,105.0866,105.5174,104.5916,105.0221,371983
2025-04-21,103.6979,105.04,101.9059,103.2421,194022
2025-04-22,99.882,100.6971,97.6781,98.4818,464584
2025-04-23,96.5225,96.6287,96.419,96.5251,160226
2025-04-24,97.1549,100.4872,93.9961,97.323,94790
2025-04-25,95.5313,95.8586,95.2829,95.6099,935946
2025-04-26,95.26,96.4858,93.9047,95.1288,183500
2025-04-27,94.318,94.901,94.0133,94.5954,225279
2025-04-28,97.9891,99.4963,96.6977,98.202,17574
2025-04-29,96.8797,97.1959,96.4627,96.7786,458961
2025-04-30,98.5044,102.7635,93.7507,97.9875,987929
2025-05-01,98.5882,99.5757,97.3214,98.306,596026
2025-05-02,99.8285,100.3287,98.3093,98.8044,319523
2025-05-03,99.2239,99.7626,98.8956,99.4336,252076
2025-05-04,96.55,98.8405,93.6168,95.8916,875589
2025-05-05,93.8786,94.3821,93.5631,94.066,763576
2025-05-06,93.2805,93.474,93.1662,93.3596,558417
2025-05-07,92.3432,97.0733,87.6698,92.3971,529735
2025-05-08,93.466,95.0441,92.2489,93.8224,579983
2025-05-09,95.0345,95.4083,94.452,94.8249,258348
2025-05-10,96.2101,101.7896,91.4248,96.9666,919261
2025-05-11,95.908,96.7615,95.2315,96.0837,950025
2025-05-12,94.5164,95.3396,94.4349,95.2575,859823
2025-05-13,96.8748,97.2429,96.4124,96.7802,178681
2025-05-14,92.9824,93.7135,92.1706,92.901,29453
2025-05-15,91.7109,93.5859,89.9479,91.8208,842738
2025-05-16,95.2383,97.9874,92.2531,94.9952,96410
2025-05-17,92.635,96.5101,88.9593,92.8268,468131
2025-05-18,89.8532,92.891,88.6815,91.6952,776385
2025-05-19,89.1981,89.3594,88.9776,89.1387,922436
2025-05-20,84.6064,84.7284,84.2868,84.4086,400677
2025-05-21,82.1811,85.4899,78.4169,81.7065,787197
2025-05-22,80.2373,80.5972,79.6656,80.0246,60545
2025-05-23,81.4263,81.5965,81.2233,81.3934,408652
2025-05-24,79.2266,81.6501,77.236,79.6489,346668
2025-05-25,82.8667,83.0389,82.5381,82.71,827849
2025-05-26,80.8565,83.3875,78.5404,81.0655,80265
2025-05-27,81.531,81.8438,81.1752,81.4878,859466
2025-05-28,79.8778,81.5427,77.8797,79.5375,1035010
2025-05-29,76.8714,77.5303,75.8328,76.4884,475115
2025-05-30,77.7539,78.4147,76.8165,77.475,1200754
2025-05-31,76.033,77.7433,74.6293,76.3341,859169
2025-06-01,77.7195,78.9152,76.1241,77.3135,833489
2025-06-02,75.0093,75.0679,74.2998,74.3579,953123
2025-06-03,75.0807,79.9106,69.7999,74.5987,669247
2025-06-04,73.4722,74.522,72.4114,73.461,919410
2025-06-05,74.158,74.1592,74.0604,74.0616,256412
2025-06-06,74.0608,76.5705,71.0799,73.5731,292970
2025-06-07,74.1276,74.1304,74.1248,74.1276,254075
2025-06-08,73.9309,74.7021,72.8342,73.602,505843
2025-06-09,73.3785,73.6626,73.1521,73.436,402545
2025-06-10,72.2634,72.9213,71.7693,72.426,451209
2025-06-11,75.8666,77.9206,73.9641,76.0144,378191
2025-06-12,76.826,77.0896,76.6975,76.9609,123170
2025-06-13,77.6248,77.6552,77.6112,77.6417,68813
2025-06-14,77.23,77.5607,77.1133,77.4437,528490
2025-06-15,77.3846,79.8055,75.0413,77.4599,806425
2025-06-16,76.3271,76.7039,76.0649,76.4414,1030499
2025-06-17,74.6254,75.4525,73.8793,74.7056,357622
2025-06-18,74.0608,74.337,73.8301,74.1061,13582
2025-06-19,71.6152,71.9334,71.1867,71.5044,1040583
2025-06-20,71.5114,71.7407,71.3812,71.6103,66339
2025-06-21,73.4338,74.5751,72.2631,73.4039,1018306
2025-06-22,72.9861,74.7696,70.7541,72.5264,235773
2025-06-23,71.5922,72.6598,70.6301,71.6962,638254
2025-06-24,73.8424,75.367,72.6868,74.2057,225539
2025-06-25,74.7207,77.4533,72.5781,75.2942,868292
2025-06-26,71.5747,71.5928,71.567,71.5851,31069
2025-06-27,71.3345,71.8865,70.7472,71.299,34820
2025-06-28,70.6562,71.5068,70.0093,70.858,68563
2025-06-29,71.2747,72.7528,69.7298,71.2064,554482
2025-06-30,72.8397,73.2083,72.6413,73.0094,1011166
2025-07-01,71.5435,73.1439,70.3389,71.9327,745468
2025-07-02,70.3399,70.5974,70.1794,70.4366,106269
2025-07-03,70.4811,70.5599,70.4533,70.5321,163168
2025-07-04,69.7823,71.0192,68.8211,70.0541,787319
2025-07-05,68.5355,69.4075,68.2038,69.0732,294142
2025-07-06,68.0003,68.7539,67.443,68.195,798040
2025-07-07,66.9214,67.9198,66.0691,67.0656,295285
2025-07-08,66.3094,66.7329,66.0535,66.4763,1142083
2025-07-09,67.7703,67.8599,67.691,67.7806,189433
2025-07-10,70.7282,71.6482,69.8032,70.7231,805864
2025-07-11,71.3398,73.7445,68.6501,71.0448,686689
2025-07-12,70.8815,71.0294,70.7014,70.8493,527944
2025-07-13,72.9818,73.2761,72.0857,72.3775,843925
2025-07-14,71.6855,73.6448,69.8218,71.7786,437757
2025-07-15,72.484,72.6331,71.432,71.5792,922870
2025-07-16,68.5764,69.308,68.0653,68.7953,85905
2025-07-17,69.0222,70.5628,67.9901,69.5232,349374
2025-07-18,69.2353,70.008,68.4539,69.2266,710630
2025-07-19,69.9653,70.085,69.8243,69.9439,137349
2025-07-20,70.1526,70.8102,69.4308,70.0878,1115305
2025-07-21,70.2393,71.3959,69.9796,71.1329,428799
2025-07-22,71.9206,73.5793,70.0831,71.7377,171384
2025-07-23,71.8185,74.0317,69.6605,71.8721,654879
2025-07-24,72.9284,76.2418,68.0851,71.3256,733437
2025-07-25,70.1198,70.1769,70.0216,70.0787,159229
2025-07-26,71.2124,73.3402,69.9102,72.0231,158287
2025-07-27,73.6576,77.4861,68.8599,72.6352,703926
2025-07-28,71.5848,72.3906,71.0363,71.8402,49081
2025-07-29,73.496,73.9416,72.892,73.3365,100100
2025-07-30,72.6501,72.6802,72.1956,72.2255,278012
2025-07-31,73.479,73.912,73.1525,73.5851,677402
2025-08-01,73.2959,73.3183,73.2631,73.2856,886496
2025-08-02,72.9005,73.1554,72.5586,72.8133,420167
2025-08-03,73.5946,73.7758,73.4579,73.639,863460
2025-08-04,71.9184,74.7107,69.8503,72.6223,920218
2025-08-05,70.879,73.4522,68.3314,70.9037,637808
2025-08-06,69.3872,69.4904,69.2791,69.3823,576850
2025-08-07,70.9113,71.9576,70.1228,71.1663,127182
2025-08-08,73.194,75.5313,71.2015,73.5296,446011
2025-08-09,73.8197,78.8075,69.472,74.4242,566560
2025-08-10,73.8013,73.9494,73.6403,73.7883,188723
2025-08-11,74.2913,74.5381,73.9129,74.1593,693087
2025-08-12,75.7741,75.9827,75.4589,75.6672,605874
2025-08-13,75.7031,76.9388,75.2418,76.4727,634017
2025-08-14,76.5069,77.5706,75.3132,76.375,612001
2025-08-15,75.1377,75.6608,74.9034,75.4257,406175
2025-08-16,76.3063,79.554,72.8566,76.0953,928334
2025-08-17,79.5693,79.6337,79.4358,79.5001,923095
2025-08-18,78.8586,80.8345,77.2497,79.2183,508898
2025-08-19,79.6792,80.0598,79.3253,79.7059,87247
2025-08-20,79.4541,80.2755,78.7106,79.5313,565802
2025-08-21,81.6608,84.3605,79.4871,82.1731,291728
2025-08-22,86.3665,89.8992,81.5169,84.9934,568542
2025-08-23,84.2079,85.1012,83.6492,84.5403,802692
2025-08-24,85.4706,88.054,83.113,85.6904,844458
2025-08-25,84.4838,84.7127,84.2636,84.4924,19429
2025-08-26,85.9199,86.1675,85.6743,85.9219,736624
2025-08-27,86.1125,86.8415,85.1925,85.9198,1022076
2025-08-28,86.664,87.5021,85.9575,86.7946,364650
2025-08-29,82.2922,85.0527,80.595,83.334,201722
2025-08-30,85.3911,85.9833,84.3401,84.929,980453
2025-08-31,82.6686,83.1638,82.0342,82.5285,964495
2025-09-01,81.7965,81.9611,81.5331,81.6975,197834
2025-09-02,83.2406,85.2381,81.5724,83.5635,499244
2025-09-03,83.9306,84.9776,83.4304,84.4741,593164
2025-09-04,83.1271,88.9251,78.7338,84.4612,295174
2025-09-05,82.4838,82.6449,82.2748,82.4357,644143
2025-09-06,79.6115,81.7646,77.5845,79.7344,365286
2025-09-07,78.1162,78.3045,77.9533,78.1416,82262
2025-09-08,78.569,78.9564,78.3209,78.7078,652384
2025-09-09,80.954,81.2164,80.9201,81.1824,190915
2025-09-10,78.3132,79.5856,76.9422,78.2129,65319
2025-09-11,77.6108,79.0731,76.1042,77.5656,180865
2025-09-12,79.0668,79.081,79.0576,79.0718,576272
2025-09-13,80.229,80.5482,79.9178,80.237,303484
2025-09-14,78.4638,78.9058,77.8967,78.338,563767
2025-09-15,80.1968,80.6109,79.8817,80.2954,105997
2025-09-16,84.149,86.3848,81.4497,83.6728,445300
2025-09-17,84.2448,85.2031,82.9487,83.9031,652151
2025-09-18,84.71,85.4536,83.9445,84.6878,405801
2025-09-19,82.1607,82.6919,81.6524,82.1835,588867
2025-09-20,79.9949,81.5246,78.7467,80.2721,475907
2025-09-21,79.0266,81.8011,76.7208,79.482,928661
2025-09-22,80.8018,82.7331,78.3561,80.2748,260448
2025-09-23,81.5914,82.7261,80.2683,81.4004,68963
2025-09-24,80.596,82.2168,79.82,81.4328,493203
2025-09-25,81.811,82.0449,80.8859,81.1178,88199
2025-09-26,81.0814,82.3909,79.5255,80.8309,844759
2025-09-27,82.0781,82.304,81.7442,81.9698,21770
2025-09-28,82.46,82.6604,82.0841,82.2841,154185
2025-09-29,77.4017,79.3396,76.031,77.959,875131
2025-09-30,77.5023,77.5326,77.385,77.4153,206165
2025-10-01,78.434,79.8802,77.116,78.5601,641617
2025-10-02,78.5683,81.124,76.8504,79.3882,1109408
2025-10-03,78.514,78.8474,78.2861,78.6191,293794
2025-10-04,77.3331,78.2119,77.1469,78.0239,774163
2025-10-05,76.6041,76.6226,76.5634,76.582,1048804
2025-10-06,76.0175,76.4119,75.9265,76.3205,217417
2025-10-07,76.595,76.6684,76.5942,76.6675,328932
2025-10-08,74.5221,74.7878,74.4057,74.6711,859545
2025-10-09,72.4845,73.1839,71.5267,72.2235,1001667
2025-10-10,71.2712,71.9482,70.7622,71.4381,351149
2025-10-11,70.7145,70.7517,70.6876,70.7248,355367
2025-10-12,70.6021,71.3477,69.5858,70.3285,396277
2025-10-13,72.7216,73.5675,72.0206,72.8651,958468
2025-10-14,71.6714,72.0024,71.3522,71.6831,474317
2025-10-15,72.9902,77.9802,67.4333,72.3817,610379
2025-10-16,73.3586,73.446,73.3532,73.4406,526157
2025-10-17,72.1112,72.7479,71.6485,72.2841,1255563
2025-10-18,71.7489,71.897,71.7403,71.8883,7337
2025-10-19,70.025,70.8529,69.0377,69.8638,253528
2025-10-20,68.3154,68.4664,68.1378,68.2887,1114873
2025-10-21,69.6696,71.8759,66.5246,68.7003,263381
2025-10-22,69.0224,70.3461,68.0678,69.3866,157727
2025-10-23,68.0369,68.7769,67.1713,67.91,926194
2025-10-24,67.4646,68.6922,66.4294,67.654,1175269
2025-10-25,66.1124,66.2579,66.1099,66.2554,959851
2025-10-26,65.7435,68.6703,63.2655,66.176,491796
2025-10-27,64.6989,66.6507,61.8546,63.7786,922490
2025-10-28,64.2271,64.2561,64.2104,64.2394,811537
2025-10-29,64.3033,64.6402,63.8332,64.1694,585097
2025-10-30,64.7586,64.796,64.6618,64.6991,104765
2025-10-31,65.7234,66.7974,64.7938,65.8658,863073
2025-11-01,64.9544,65.4155,64.0419,64.4997,702461
2025-11-02,65.0673,65.1737,64.8066,64.9127,450825
2025-11-03,65.7642,66.2321,65.33,65.7977,892797
2025-11-04,67.4205,67.6617,67.2352,67.4763,716618
2025-11-05,68.3163,69.1918,67.4204,68.2957,749730
2025-11-06,67.7192,68.5261,67.0338,67.8395,394702
2025-11-07,68.0745,68.3423,68.0602,68.328,126507
2025-11-08,69.1421,70.3623,68.4858,69.7008,852877
2025-11-09,69.9064,69.9229,69.8688,69.8853,437555
2025-11-10,68.5593,68.7174,68.3692,68.5272,213633
2025-11-11,70.5487,70.6771,70.1667,70.2946,1000694
2025-11-12,69.2762,71.7863,66.9115,69.4169,487414
2025-11-13,70.6727,71.2398,70.1831,70.7497,1439790
2025-11-14,71.3767,71.4249,71.3527,71.4009,383258
2025-11-15,69.4966,71.9246,68.2473,70.6546,6941
2025-11-16,68.7409,68.9356,68.5417,68.7363,284864
2025-11-17,70.2597,74.0815,66.333,70.1488,967188
2025-11-18,69.8738,71.5949,69.0346,70.7453,1182928
2025-11-19,69.6183,70.4396,69.0962,69.9153,451157
2025-11-20,68.1187,68.5576,67.67,68.1088,322993
2025-11-21,70.1242,70.9303,69.7737,70.5775,342132
2025-11-22,71.1309,71.4357,70.9219,71.2265,694093
2025-11-23,71.4173,72.1461,70.7697,71.4977,279556
2025-11-24,70.1691,70.4832,70.0211,70.3348,387855
2025-11-25,71.0063,71.3361,70.799,71.1284,433192
2025-11-26,70.9139,70.915,70.9115,70.9125,526466
2025-11-27,70.2304,70.4656,68.9126,69.1442,440778
2025-11-28,68.0876,68.5385,67.7266,68.1771,1177431
2025-11-29,71.1657,71.8881,70.5397,71.2613,1211814
2025-11-30,70.9524,71.1212,70.6303,70.7987,406912
2025-12-01,69.6764,70.4444,69.3164,70.0823,612786
2025-12-02,70.8029,71.2725,70.2152,70.6841,740669
2025-12-03,70.7295,71.2554,70.4234,70.9483,186041
2025-12-04,73.0803,76.5246,70.0613,73.4887,104117
2025-12-05,73.5955,74.0223,72.9361,73.3616,327802
2025-12-06,71.508,74.0433,68.4208,70.9359,526791
2025-12-07,70.0045,70.2219,69.6044,69.8212,616718
2025-12-08,71.8545,72.337,71.4472,71.9293,1154670
2025-12-09,72.2532,72.6899,71.7222,72.1583,1066289
2025-12-10,72.3838,74.035,70.5043,72.1502,809209
2025-12-11,72.5761,73.1582,71.4341,72.0116,310555
2025-12-12,68.9409,69.6961,67.3788,68.1251,517960
2025-12-13,64.8958,66.1796,63.8991,65.1785,286132
2025-12-14,61.4092,61.8894,61.0209,61.5005,241765
2025-12-15,62.2334,62.5572,61.8339,62.1573,394639
2025-12-16,60.6953,60.7552,60.6379,60.6978,468707
2025-12-17,60.355,61.3316,60.0693,61.0427,492875
2025-12-18,61.4635,61.9197,61.0848,61.5405,1017706
2025-12-19,60.3419,60.4869,60.1614,60.3064,594347
2025-12-20,59.1273,63.6311,55.6129,60.0611,589507
2025-12-21,59.7129,59.8607,59.491,59.6386,181255
2025-12-22,58.5841,59.2856,57.8558,58.557,330055
2025-12-23,57.202,57.6515,56.8034,57.2526,342386
2025-12-24,57.4472,57.563,57.3772,57.4929,142479
2025-12-25,58.3607,61.4789,54.8586,57.9551,684068
2025-12-26,58.7612,58.851,58.7135,58.8032,780200
2025-12-27,58.1903,62.2209,54.2209,58.2476,452320
2025-12-28,57.8897,58.9641,56.4552,57.5228,889598
2025-12-29,54.9182,57.3503,52.239,54.6597,425072
2025-12-30,54.3423,54.3845,54.3017,54.3439,242403
2025-12-31,53.1679,53.5587,52.8523,53.2427,626532
2026-01-01,53.8779,55.3612,52.3663,53.8487,952627
2026-01-02,53.8261,56.3518,51.0166,53.5283,1174103
2026-01-03,52.0609,52.5744,51.5849,52.0982,451360
2026-01-04,52.8601,53.0104,52.6939,52.8441,58253
2026-01-05,52.6451,52.923,52.4636,52.7412,414922
2026-01-06,53.5138,53.7173,53.3657,53.5689,1128972
2026-01-07,55.2525,55.3864,55.2229,55.3567,692610
2026-01-08,55.6537,56.1062,55.0727,55.5241,196428
2026-01-09,56.906,59.0135,54.4582,56.5526,578345
2026-01-10,56.0173,56.4104,55.318,55.709,533921
2026-01-11,55.2123,55.4778,54.9284,55.1938,95647
2026-01-12,54.2655,55.5269,53.2045,54.462,206353
2026-01-13,55.878,56.0329,55.8004,55.9552,306342
2026-01-14,56.2935,57.1646,55.0622,55.9276,1116257
2026-01-15,57.4763,58.5044,56.4139,57.4413,167288
2026-01-16,56.6871,56.9238,56.4484,56.6851,963076
2026-01-17,58.2898,60.3463,55.7666,57.806,322639
2026-01-18,57.8195,58.7228,57.0765,57.9778,1025363
2026-01-19,58.4062,58.5899,58.2655,58.449,925321
