date,open,high,low,close,volume
2025-01-20,223.6117,225.1802,221.6484,223.2141,476309
2025-01-21,222.2568,237.8571,208.4659,223.9604,547228
2025-01-22,231.0199,241.3329,223.4218,233.6484,316999
2025-01-23,231.1068,235.4582,227.6986,232.0363,151763
2025-01-24,239.3374,240.1142,236.3352,237.1049,564230
2025-01-25,242.7781,243.8709,241.2342,242.3249,469811
2025-01-26,247.2672,257.019,240.2865,249.9622,700212
2025-01-27,247.7146,253.262,239.9623,245.4592,475946
2025-01-28,242.8671,242.9461,242.8343,242.9133,436279
2025-01-29,241.1903,244.6219,237.555,240.9837,619900
2025-01-30,239.6735,240.6377,238.4999,239.4632,1064456
2025-01-31,242.1517,251.9891,235.0026,244.7628,51965
2025-02-01,243.8148,246.8924,241.0724,244.1463,59951
2025-02-02,246.5865,248.9081,243.8745,246.1924,225575
2025-02-03,258.3921,266.9078,248.4865,256.9549,286666
2025-02-04,255.2495,256.649,254.0083,255.407,459877
2025-02-05,252.6343,260.3968,246.046,253.7786,500908
2025-02-06,263.3058,264.2587,261.5353,262.4853,622090
2025-02-07,264.4556,273.0065,254.2207,262.7153,1168349
2025-02-08,258.6978,263.8353,254.5738,259.6953,441958
2025-02-09,256.6654,267.9296,246.6153,257.8337,907722
2025-02-10,256.2151,263.2412,252.597,259.5756,626939
2025-02-11,276.4649,282.2918,268.8122,274.5998,59030
2025-02-12,268.6662,280.1952,262.2885,273.6982,714841
2025-02-13,273.1415,280.8217,266.1478,273.8109,894288
2025-02-14,275.0571,277.1073,270.7499,272.7832,388198
2025-02-15,270.3025,274.1229,264.7893,268.5854,49585
2025-02-16,265.6242,266.6797,265.0938,266.1483,285367
2025-02-17,267.2827,272.8218,264.9679,270.4792,483298
2025-02-18,270.5315,271.5064,269.3207,270.2947,314615
2025-02-19,274.8704,278.6078,271.495,275.228,263224
2025-02-20,280.5622,290.7844,268.8861,279.0533,263275
2025-02-21,286.5545,290.7369,280.4273,284.5809,245639
2025-02-22,278.8263,279.9561,277.0002,278.1272,667813
2025-02-23,276.3619,280.9887,271.3501,275.9703,449688
2025-02-24,277.9106,287.9278,267.8348,277.8498,1193355
2025-02-25,284.0833,289.4927,275.3006,280.6446,659923
2025-02-26,284.2977,288.1021,278.4095,282.1856,409358
2025-02-27,274.7252,277.9712,273.4631,276.7,95369
2025-02-28,277.3243,279.4288,275.5078,277.6104,36648
2025-03-01,279.3298,282.7186,275.3066,278.6875,845467
2025-03-02,272.9403,276.7354,268.7778,272.5677,56473
2025-03-03,265.4506,271.4981,261.3859,267.4034,153746
2025-03-04,272.2899,273.4318,271.139,272.2808,217371
2025-03-05,270.6708,273.5707,268.8328,271.7255,591533
2025-03-06,267.4502,267.9755,266.9131,267.4383,329721
2025-03-07,270.3651,276.3054,265.8081,271.7255,471813
2025-03-08,266.62,267.0786,266.289,266.7474,377088
2025-03-09,263.9765,264.5537,263.242,263.8189,1451579
2025-03-10,264.1288,265.232,261.1154,262.2106,358607
2025-03-11,262.4525,263.9833,260.201,261.7276,661138
2025-03-12,265.2018,276.8801,250.0984,261.6189,254320
2025-03-13,264.4143,271.9358,256.1771,263.6777,740895
2025-03-14,261.985,271.2138,252.9025,262.1264,649897
2025-03-15,260.1259,265.8658,255.8757,261.5916,144774
2025-03-16,260.1395,265.705,254.9668,260.5246,959857
2025-03-17,265.6205,267.5866,263.9174,265.8818,928871
2025-03-18,259.7398,271.9179,248.9514,261.0741,316935
2025-03-19,258.6927,260.709,256.9415,258.9561,1250252
2025-03-20,259.0723,259.0926,259.0488,259.0691,687891
2025-03-21,268.5331,269.8044,268.284,269.5544,173913
2025-03-22,272.5527,273.3617,272.0068,272.8152,674372
2025-03-23,271.3432,273.8794,271.1211,273.6555,480043
2025-03-24,273.5477,273.8674,273.2779,273.5975,1010493
2025-03-25,280.2154,280.6523,279.2825,279.7186,37498
2025-03-26,274.6599,275.0273,274.4295,274.7968,236794
2025-03-27,270.5015,278.4386,262.3819,270.3135,82936
2025-03-28,267.5376,275.7249,257.826,265.9652,355540
2025-03-29,264.2763,265.1319,262.9064,263.7604,333701
2025-03-30,247.2689,248.8804,245.8462,247.4567,35666
2025-03-31,248.7671,250.816,245.3765,247.4142,1198124
2025-04-01,237.2879,239.4211,235.2883,237.4204,244150
2025-04-02,247.7821,251.0856,244.9952,248.293,337636
2025-04-03,246.4104,246.4749,246.2629,246.3275,842836
2025-04-04,249.7992,268.6316,228.1644,246.7683,178829
2025-04-05,248.1049,248.7096,244.8264,245.4246,188871
2025-04-06,239.8904,242.9605,235.7599,238.8163,465376
2025-04-07,244.8564,245.78,243.7248,244.6477,617158
2025-04-08,245.5619,246.3376,245.0028,245.7779,662835
2025-04-09,246.2761,247.4034,245.4023,246.5287,242957
2025-04-10,246.2714,250.3964,240.6616,244.7612,749721
2025-04-11,242.4881,245.3985,239.5604,242.4707,571968
2025-04-12,240.189,248.0821,235.0851,242.9201,725574
