date,open,high,low,close,volume
2025-01-20,181.599,193.7186,171.7038,183.7084,587699
2025-01-21,180.3168,182.7082,177.8088,180.1986,450450
2025-01-22,176.7819,185.9816,169.5586,178.6808,340992
2025-01-23,178.3583,180.0837,176.8547,178.5782,177396
2025-01-24,179.3347,186.708,169.9401,177.2267,153458
2025-01-25,184.2442,185.8171,182.3507,183.9208,435005
2025-01-26,180.8177,183.1039,179.6125,181.8915,814290
2025-01-27,177.3333,179.7731,176.1437,178.5752,87289
2025-01-28,179.5471,181.326,177.7948,179.5734,294797
2025-01-29,178.5868,179.971,177.3932,178.7761,306140
2025-01-30,180.2664,185.1701,177.9601,182.831,395430
2025-01-31,182.5566,184.3176,181.5502,183.3071,492942
2025-02-01,182.9984,183.6037,182.8107,183.4156,22500
2025-02-02,183.1759,185.0876,181.7382,183.6462,695084
2025-02-03,185.9328,186.2317,185.3868,185.6853,595244
2025-02-04,189.8182,191.2639,188.8447,190.288,468187
2025-02-05,191.4795,198.5711,182.2191,189.2273,524677
2025-02-06,185.4187,187.2261,184.2696,186.0729,755764
2025-02-07,193.2315,193.5087,193.2238,193.5009,153387
2025-02-08,194.9979,197.3707,194.8202,197.191,372639
2025-02-09,194.2163,196.6482,191.7534,194.185,451221
2025-02-10,191.0924,192.4207,190.9452,192.2725,339771
2025-02-11,193.3745,194.0919,192.8635,193.5803,191877
2025-02-12,192.8219,194.3558,191.4756,193.0082,489326
2025-02-13,193.3298,193.5046,193.243,193.4177,825228
2025-02-14,191.9447,195.3813,189.2173,192.6439,59125
2025-02-15,194.4477,199.6024,190.6757,195.8041,293283
2025-02-16,194.3617,198.7302,190.471,194.8301,406074
2025-02-17,201.9743,203.9178,200.4219,202.3625,916219
2025-02-18,203.6014,207.2919,197.5458,201.1927,330031
2025-02-19,197.8218,199.5087,195.7988,197.4828,491479
2025-02-20,200.0193,206.7985,195.4456,202.1755,910498
2025-02-21,209.8398,221.1766,198.295,209.6199,710356
2025-02-22,210.266,210.5095,209.6037,209.8467,412018
2025-02-23,216.5451,219.9611,213.8863,217.2931,1278534
2025-02-24,217.7389,219.1486,216.3738,217.7832,156107
2025-02-25,219.0396,224.4748,213.5279,218.9611,275511
2025-02-26,219.2798,222.6489,216.0413,219.4085,275193
2025-02-27,211.3213,211.3925,211.2532,211.3245,41926
2025-02-28,216.3687,217.3887,215.7292,216.7481,638809
2025-03-01,219.1751,219.5589,218.6957,219.0794,721988
2025-03-02,215.1567,220.4581,211.9543,217.2249,128850
2025-03-03,216.9647,218.1918,216.7701,217.9962,699638
2025-03-04,216.4799,221.9572,212.1465,217.6014,1294021
2025-03-05,212.6969,214.9421,211.3963,213.6358,227961
2025-03-06,211.2647,219.9852,204.7074,213.3628,235097
2025-03-07,208.7254,208.788,208.5634,208.626,196793
2025-03-08,208.929,214.6124,202.5524,208.2164,1345704
2025-03-09,214.6731,223.9886,205.9682,215.2599,749578
2025-03-10,222.7638,230.5196,215.5758,223.3139,464364
2025-03-11,216.2926,217.6704,216.0561,217.4326,208561
2025-03-12,218.4348,220.4504,216.2705,218.2847,367571
2025-03-13,216.198,216.2242,216.1716,216.1979,136351
2025-03-14,212.5045,217.0302,207.9127,212.4369,525948
2025-03-15,213.3217,214.1676,212.6215,213.4669,49573
2025-03-16,209.8339,223.0285,196.8965,210.0762,258990
2025-03-17,208.0165,208.7402,206.8171,207.539,199541
2025-03-18,211.311,215.0917,204.4889,208.2142,973040
2025-03-19,206.5491,209.4136,203.2019,206.0596,156494
2025-03-20,199.1126,199.4556,198.8158,199.1588,495186
2025-03-21,197.3188,198.2241,196.3896,197.2948,638865
2025-03-22,203.3746,203.7124,203.1374,203.4751,1419946
2025-03-23,209.0441,209.4536,208.3119,208.7208,511602
2025-03-24,208.1927,215.1435,199.277,206.1599,196992
2025-03-25,209.0923,210.3024,206.7931,207.9968,892842
2025-03-26,206.6768,208.3984,204.5058,206.2237,1384951
2025-03-27,213.2922,213.3155,213.257,213.2803,200307
2025-03-28,216.2377,217.311,215.0111,216.0837,132027
2025-03-29,206.652,212.1489,202.9218,208.3873,489151
2025-03-30,207.0982,209.1994,206.5173,208.6143,866044
2025-03-31,210.8127,211.5714,209.6547,210.4119,350759
2025-04-01,208.8883,210.9547,207.3541,209.4166,654162
2025-04-02,217.1822,218.5943,214.8323,216.2383,1161000
2025-04-03,212.1284,215.8709,209.9293,213.656,194912
2025-04-04,213.9351,224.1027,206.5512,216.6259,735033
2025-04-05,219.0544,221.6541,216.8396,219.4354,931436
2025-04-06,221.6055,226.7357,214.8422,219.9337,235178
2025-04-07,211.4288,213.2481,210.1041,211.9203,344294
2025-04-08,214.3377,215.7651,212.0542,213.4758,70857
2025-04-09,211.0521,211.7675,210.2212,210.9362,987390
2025-04-10,206.3292,212.5413,199.6602,205.8581,152560
2025-04-11,202.2939,207.0081,199.1689,203.8589,280172
2025-04-12,209.9031,210.3154,209.5111,209.9234,49820
2025-04-13,206.3323,207.3102,206.0543,207.0312,885269
2025-04-14,207.3943,210.2151,204.4435,207.2626,95987
2025-04-15,210.1605,210.8378,209.4581,210.1353,30261
2025-04-16,205.5021,209.0757,202.2486,205.8172,971033
2025-04-17,207.1584,208.3945,205.9617,207.1976,412286
2025-04-18,204.4402,204.5957,204.4139,204.5694,333096
2025-04-19,196.3472,198.3484,194.1106,196.1093,699805
2025-04-20,195.4493,204.1178,188.5817,197.1891,370227
2025-04-21,202.4603,204.2208,199.4301,201.1795,976659
2025-04-22,196.759,201.1782,193.9081,198.3048,235064
2025-04-23,198.325,201.4511,194.7718,197.8912,420986
2025-04-24,198.1305,201.7952,195.5401,199.1909,318761
2025-04-25,196.6758,198.6761,195.2687,197.2647,270436
2025-04-26,192.786,200.9013,189.1474,197.1798,182588
2025-04-27,195.2926,205.9485,185.309,195.9321,349195
2025-04-28,200.8164,209.195,191.2868,199.6153,994810
2025-04-29,201.7988,203.1538,199.2771,200.6242,823939
2025-04-30,199.4358,199.523,198.9102,198.9972,537769
2025-05-01,200.5536,201.4352,199.4018,200.2822,639368
2025-05-02,201.2634,203.2861,199.2142,201.2367,610035
2025-05-03,202.2202,202.415,201.9851,202.1799,361220
2025-05-04,199.2131,199.4212,199.113,199.321,672777
2025-05-05,196.6139,197.1508,195.7015,196.2374,401892
2025-05-06,197.5248,201.4788,193.3276,197.2767,1182151
2025-05-07,191.462,193.3824,189.3502,191.2687,129925
2025-05-08,191.5261,191.7706,191.2601,191.5046,433140
2025-05-09,197.0025,197.7068,196.6734,197.377,23075
2025-05-10,197.9729,210.5584,185.9187,198.4738,471981
2025-05-11,195.3426,201.7617,189.7953,196.1903,393304
2025-05-12,196.5338,197.6184,195.1711,196.2541,621665
2025-05-13,198.2294,198.6085,196.7556,197.1326,520081
2025-05-14,197.3458,201.2751,194.2635,198.1797,111380
2025-05-15,197.164,198.5294,196.1649,197.5284,1009363
2025-05-16,199.5628,202.5633,196.4198,199.4181,112562
2025-05-17,202.6933,208.684,194.9911,200.9296,137624
2025-05-18,195.0628,196.5117,193.754,195.202,432340
2025-05-19,191.0876,195.3227,187.3827,191.6078,187136
2025-05-20,188.5086,191.7878,185.1912,188.4697,152164
2025-05-21,181.5876,181.7371,181.4956,181.6451,1379674
2025-05-22,181.5938,183.9917,178.94,181.3345,525702
2025-05-23,180.6761,184.8459,177.4823,181.6351,97583
2025-05-24,180.5194,180.7372,179.7141,179.9311,180821
2025-05-25,179.8627,180.7331,179.2478,180.1174,76929
2025-05-26,182.4252,211.2595,153.9671,182.7506,330108
2025-05-27,180.4668,180.8886,180.1881,180.6096,425511
2025-05-28,182.4423,185.4106,181.142,184.0986,934560
2025-05-29,183.4893,185.0852,182.394,183.9869,250955
2025-05-30,187.9707,198.8052,176.6784,187.4849,313065
2025-05-31,182.5524,187.7907,178.5361,183.7481,199641
2025-06-01,179.0779,180.8838,178.5049,180.3068,715320
2025-06-02,180.583,186.8589,175.6748,181.9145,191332
2025-06-03,187.8015,188.5577,187.1073,187.8632,729448
2025-06-04,192.8516,203.8754,179.6659,190.5586,682572
2025-06-05,198.1151,210.7666,185.9206,198.5456,697410
2025-06-06,203.3377,203.3816,203.1629,203.2069,285064
2025-06-07,191.0371,191.5373,190.308,190.8076,203568
2025-06-08,185.1211,185.4778,184.794,185.1506,382819
2025-06-09,180.4446,182.9996,178.3612,180.9109,350771
2025-06-10,178.5351,182.989,173.1456,177.5755,363811
2025-06-11,179.0281,181.0362,178.58,180.5842,695861
2025-06-12,186.3053,187.2876,185.3613,186.3434,645329
2025-06-13,184.5278,185.109,184.4447,185.0256,219515
2025-06-14,188.7491,188.8057,188.7136,188.7702,733078
2025-06-15,192.714,194.4615,190.9304,192.6776,133908
2025-06-16,195.4737,198.4904,192.0555,195.0659,462151
2025-06-17,198.0027,198.7328,197.6722,198.4016,673679
2025-06-18,200.0472,202.314,196.5028,198.7551,591602
2025-06-19,196.0647,199.0249,193.4772,196.4325,180055
2025-06-20,199.6029,199.6597,199.4762,199.533,45554
2025-06-21,193.4531,196.2764,192.0339,194.8471,141488
2025-06-22,192.6335,200.4041,186.5202,194.2398,501602
2025-06-23,187.7274,187.7534,187.7201,187.746,555587
2025-06-24,191.5838,192.1162,189.607,190.1355,471150
2025-06-25,194.6456,204.6139,184.2258,194.1697,270282
2025-06-26,201.765,212.3899,189.4815,200.0142,28117
2025-06-27,203.6352,203.6737,203.5709,203.6095,1276304
2025-06-28,207.2564,207.6987,206.8205,207.2628,304025
2025-06-29,210.1493,212.453,207.4924,209.7922,342304
2025-06-30,213.0613,215.8502,210.8017,213.5851,485431
2025-07-01,213.5929,225.3219,200.2838,211.921,232265
2025-07-02,209.7723,212.4466,208.4059,211.0717,931169
2025-07-03,212.4262,214.6311,208.6692,210.8578,542189
2025-07-04,214.2611,214.4226,213.8919,214.0532,450845
2025-07-05,213.9191,213.9371,213.8996,213.9176,1169472
2025-07-06,210.6653,210.7306,210.3172,210.3825,65983
2025-07-07,214.7428,215.9135,211.6498,212.81,668306
2025-07-08,220.1151,221.2736,217.3585,218.5086,1202891
2025-07-09,223.4436,224.1765,222.5942,223.3267,432553
2025-07-10,222.0173,222.6411,221.2997,221.9232,929568
2025-07-11,218.1736,219.3365,217.7294,218.891,925581
2025-07-12,214.9609,214.9734,214.8395,214.852,1096116
2025-07-13,212.8478,212.8537,211.8785,211.8845,108161
