date,open,high,low,close,volume
2025-01-20,73.7685,74.5367,73.5494,74.3159,126631
2025-01-21,74.5898,74.7807,74.2494,74.4399,313888
2025-01-22,74.5045,74.8235,74.1895,74.5085,17941
2025-01-23,73.5274,73.8137,73.2815,73.5676,750458
2025-01-24,74.0278,77.7237,70.0466,73.7276,733094
2025-01-25,72.2494,75.264,69.358,72.3679,491028
2025-01-26,73.0599,75.4038,70.8026,73.1439,261405
2025-01-27,76.2807,77.3998,74.9412,76.057,210410
2025-01-28,77.6387,78.8507,76.4156,77.6274,557371
2025-01-29,78.065,78.128,77.8141,77.8768,1231412
2025-01-30,76.3667,77.9209,75.1467,76.6957,245036
2025-01-31,75.4381,77.2388,74.081,75.8738,229453
2025-02-01,75.5598,75.5678,75.5577,75.5656,265993
2025-02-02,77.926,79.2769,76.3647,77.7119,550443
2025-02-03,76.0957,79.3725,73.2559,76.517,144043
2025-02-04,76.5523,79.2221,74.1007,76.7637,323513
2025-02-05,77.5486,78.7932,75.6732,76.9075,224895
2025-02-06,76.639,77.4159,75.9454,76.7215,62196
2025-02-07,76.029,76.1438,75.6032,75.7176,44874
2025-02-08,74.6534,75.8401,73.2462,74.4294,897154
2025-02-09,75.2102,76.8525,73.3885,75.0267,109193
2025-02-10,73.6888,74.1111,72.9727,73.3933,420629
2025-02-11,72.4722,73.1722,72.1441,72.8424,169534
2025-02-12,74.7412,78.202,70.6203,74.0491,204283
2025-02-13,73.8544,73.8593,73.8489,73.8539,624862
2025-02-14,73.6243,78.8099,69.4735,74.6039,160674
2025-02-15,72.7198,72.9149,72.4739,72.6689,1107166
2025-02-16,71.1064,71.1449,71.0738,71.1122,780226
2025-02-17,69.7778,70.1058,69.5725,69.9001,669105
2025-02-18,72.9106,73.6355,72.0886,72.8125,613027
2025-02-19,71.5196,71.7242,71.2199,71.4242,143774
2025-02-20,72.6957,74.062,71.431,72.7955,689818
2025-02-21,74.0318,74.3322,73.2107,73.5091,1067216
2025-02-22,72.5814,72.997,72.3354,72.7504,482074
2025-02-23,70.2632,71.4248,69.5345,70.6916,596956
2025-02-24,69.5774,69.8039,69.2541,69.4803,638769
2025-02-25,68.6885,68.8996,68.5745,68.7855,523485
2025-02-26,69.0262,69.5381,68.2971,68.8074,297533
2025-02-27,69.4028,70.8648,68.5293,69.984,256249
2025-02-28,72.9347,75.1881,70.164,72.4008,153770
2025-03-01,72.2302,73.1901,71.0842,72.0415,598781
2025-03-02,72.6452,73.6319,71.913,72.8972,807582
2025-03-03,74.5509,75.6166,72.8261,73.8823,602816
2025-03-04,73.172,73.3843,72.518,72.729,390823
2025-03-05,74.5151,76.1485,72.8778,74.5112,359317
2025-03-06,72.8723,72.9785,72.8519,72.9581,377724
2025-03-07,70.1543,71.0258,69.2027,70.0732,15274
2025-03-08,71.1444,73.0072,69.4066,71.2664,530936
2025-03-09,69.5228,74.5792,65.2238,70.236,616147
2025-03-10,69.5173,69.9962,68.9702,69.4486,241024
2025-03-11,69.1392,70.8485,67.5714,69.2776,527128
2025-03-12,66.3157,66.3235,66.3049,66.3127,179730
2025-03-13,66.8871,66.9035,66.8773,66.8938,626835
2025-03-14,67.7731,68.4333,67.4888,68.1474,706148
2025-03-15,68.1068,68.4139,67.6084,67.9146,523522
2025-03-16,67.6222,71.4998,64.2336,68.0878,490397
2025-03-17,67.2635,67.348,67.2375,67.322,13727
2025-03-18,65.2923,69.6744,61.4591,65.8108,336245
2025-03-19,65.6255,69.4621,62.5258,66.3292,323239
2025-03-20,67.2269,67.5139,66.8124,67.0989,248968
2025-03-21,66.2656,66.7564,65.5887,66.0781,299305
2025-03-22,64.729,65.6047,63.9198,64.7946,109492
