date,open,high,low,close,volume
2025-01-20,1253.1605,1268.0654,1237.0654,1251.956,42345
2025-01-21,1283.9764,1310.3888,1260.4779,1286.8379,465910
2025-01-22,1294.9284,1300.9736,1273.4932,1279.4662,1057979
2025-01-23,1272.9835,1277.7823,1266.7945,1271.588,749612
2025-01-24,1281.3326,1307.2158,1255.8643,1281.7395,577177
2025-01-25,1274.6028,1291.1614,1252.1906,1268.6721,12784
2025-01-26,1242.8449,1262.1143,1225.9504,1245.188,135260
2025-01-27,1233.5714,1233.6262,1233.5394,1233.5942,204586
2025-01-28,1208.2428,1221.1793,1194.7053,1207.6352,933764
2025-01-29,1161.3604,1172.7704,1152.4498,1163.8408,559154
2025-01-30,1171.6571,1171.794,1171.4614,1171.5983,772558
2025-01-31,1176.1212,1182.8153,1171.6643,1178.3499,511202
2025-02-01,1188.0928,1301.7858,1082.9759,1195.9717,248762
2025-02-02,1176.9309,1196.1996,1164.6842,1183.8805,72878
2025-02-03,1152.9911,1210.0805,1113.0837,1169.5983,286695
2025-02-04,1181.1039,1182.2264,1180.8857,1182.008,209264
2025-02-05,1157.951,1159.3889,1154.0938,1155.5287,327283
2025-02-06,1151.3299,1153.0534,1148.9939,1150.7165,1036040
2025-02-07,1125.7544,1126.6909,1125.089,1126.0253,544815
2025-02-08,1114.2172,1170.9333,1066.3099,1122.6628,1059482
2025-02-09,1113.8508,1123.1275,1107.1901,1116.4514,400255
2025-02-10,1112.1543,1149.4048,1077.3823,1114.5576,597347
2025-02-11,1127.6363,1135.5981,1120.7125,1128.668,771527
2025-02-12,1101.5755,1132.2314,1070.1869,1100.8218,726484
2025-02-13,1093.7664,1095.766,1093.7652,1095.7648,660995
2025-02-14,1096.6081,1110.0904,1084.631,1098.097,889340
2025-02-15,1132.6779,1132.7382,1132.6484,1132.7087,183601
2025-02-16,1133.5097,1139.4583,1131.9042,1137.8466,322186
2025-02-17,1104.4377,1105.0192,1103.1018,1103.683,191207
2025-02-18,1092.2102,1110.7038,1073.9279,1092.418,822289
2025-02-19,1107.4793,1108.1159,1101.5024,1102.1359,1046549
2025-02-20,1066.4519,1094.3275,1051.4667,1079.1637,302999
2025-02-21,1068.0045,1068.5288,1064.7164,1065.2392,368249
2025-02-22,1077.9191,1097.3137,1043.232,1062.3465,296526
2025-02-23,1059.3209,1061.8152,1057.5657,1060.0589,99169
2025-02-24,1055.8779,1060.5055,1051.5556,1056.182,685897
2025-02-25,1042.3067,1058.2497,1021.9583,1037.8329,442930
2025-02-26,1038.3032,1038.4339,1038.1393,1038.27,277633
2025-02-27,1018.9709,1075.4004,966.3423,1022.5852,284576
2025-02-28,1022.5506,1028.7212,1010.9113,1017.0487,192008
2025-03-01,1056.7476,1096.5917,1016.9274,1056.7707,771105
2025-03-02,1050.0571,1055.9645,1043.1416,1049.0433,278829
2025-03-03,1082.8795,1090.2673,1076.0924,1083.4765,378183
2025-03-04,1123.4759,1137.7641,1097.2928,1111.4278,610226
2025-03-05,1153.4542,1154.2033,1152.8399,1153.589,80682
2025-03-06,1148.4543,1149.2092,1147.3566,1148.1113,364422
2025-03-07,1150.6287,1160.5871,1140.0893,1150.0427,463006
2025-03-08,1156.2151,1167.8449,1139.8407,1151.4223,274985
2025-03-09,1152.5233,1160.7404,1151.5661,1159.7772,875513
2025-03-10,1166.9105,1184.9778,1145.0338,1163.0412,223222
2025-03-11,1221.4526,1221.5105,1221.377,1221.4349,499944
2025-03-12,1193.4298,1194.9177,1189.8303,1191.3156,37146
2025-03-13,1161.719,1175.0359,1151.8041,1165.0922,559388
2025-03-14,1181.0093,1182.1294,1178.7096,1179.8286,98205
2025-03-15,1163.1501,1194.1724,1139.9548,1170.8241,125208
2025-03-16,1163.9184,1196.2061,1134.4317,1166.6501,250796
2025-03-17,1184.3128,1196.4425,1174.2677,1186.3798,1150097
2025-03-18,1154.4266,1184.5276,1141.5596,1171.4706,386051
2025-03-19,1168.8131,1189.7348,1153.6384,1174.4865,499111
2025-03-20,1157.5999,1180.301,1143.6838,1166.2806,1242147
2025-03-21,1164.9756,1170.3794,1162.5632,1167.9608,301413
2025-03-22,1200.9032,1202.9695,1199.6514,1201.7169,981434
2025-03-23,1229.2357,1232.7607,1229.1115,1232.6362,21697
2025-03-24,1250.1117,1265.217,1236.5977,1251.6859,70491
2025-03-25,1262.2071,1270.7255,1250.4133,1258.9094,557534
2025-03-26,1231.9971,1242.0732,1225.3443,1235.4021,747751
2025-03-27,1241.7976,1259.8761,1219.9724,1237.9956,936010
2025-03-28,1222.5912,1227.5274,1208.556,1213.4553,586588
2025-03-29,1180.222,1230.695,1141.55,1191.6485,284552
2025-03-30,1224.4889,1230.6161,1218.758,1224.8833,79108
2025-03-31,1250.0537,1263.7927,1231.9229,1245.6131,426190
2025-04-01,1265.2938,1267.0055,1264.2436,1265.9547,221844
2025-04-02,1271.0091,1292.2453,1258.8013,1279.9516,935918
2025-04-03,1297.389,1341.2448,1253.6772,1297.5283,191361
2025-04-04,1245.4403,1246.3941,1243.5959,1244.549,837730
2025-04-05,1262.9302,1301.4548,1236.3687,1274.6468,997918
2025-04-06,1220.4431,1229.5715,1217.918,1227.0328,228750
2025-04-07,1231.9607,1274.0049,1198.5531,1240.3693,1103934
2025-04-08,1220.6439,1227.4925,1217.8683,1224.7077,836131
2025-04-09,1224.81,1233.0927,1216.7561,1225.0373,48694
2025-04-10,1236.1257,1263.6887,1205.1514,1232.6366,1044591
2025-04-11,1219.1225,1239.0287,1195.2619,1215.1025,693949
2025-04-12,1238.1898,1241.5214,1236.5711,1239.9005,352937
2025-04-13,1224.9244,1235.1579,1215.9302,1226.1547,1108226
2025-04-14,1238.1032,1304.2394,1182.3921,1248.0794,233031
2025-04-15,1251.8876,1252.9016,1249.3814,1250.3942,339689
2025-04-16,1265.2331,1266.8821,1263.0497,1264.698,274393
2025-04-17,1268.9255,1305.9487,1229.3446,1266.291,452921
2025-04-18,1281.4867,1282.3056,1281.429,1282.2478,116421
2025-04-19,1318.0109,1335.8482,1295.2307,1313.0002,602255
2025-04-20,1358.2887,1368.0188,1343.3395,1353.0319,936758
2025-04-21,1341.3224,1384.1878,1316.2096,1358.7487,746096
2025-04-22,1332.7769,1341.4554,1322.328,1330.995,445652
2025-04-23,1320.6234,1320.7526,1320.4354,1320.5647,797657
2025-04-24,1336.8392,1356.7919,1315.613,1335.5464,159844
2025-04-25,1328.1239,1328.3896,1325.3115,1325.5767,189490
2025-04-26,1276.7173,1289.5065,1257.4491,1270.1728,152716
2025-04-27,1276.9842,1282.8655,1268.0938,1273.9612,872100
2025-04-28,1249.5092,1275.2363,1232.5292,1258.1391,1064581
2025-04-29,1242.4277,1252.3805,1228.0631,1237.9802,1352602
2025-04-30,1243.9603,1244.0876,1243.8285,1243.9557,955565
2025-05-01,1244.0788,1251.1431,1237.1073,1244.171,437972
2025-05-02,1251.885,1259.3514,1243.6216,1251.0832,380622
2025-05-03,1307.7145,1413.1599,1189.8959,1294.256,261483
2025-05-04,1330.5622,1401.4684,1263.2685,1334.0009,266799
2025-05-05,1369.7206,1379.0675,1360.511,1369.857,317765
2025-05-06,1415.5992,1512.7423,1299.9238,1395.7014,181740
2025-05-07,1420.4286,1428.4211,1414.5571,1422.5409,242604
2025-05-08,1449.5715,1483.359,1403.5735,1437.0696,902557
2025-05-09,1495.4605,1498.0814,1494.0278,1496.6475,781674
2025-05-10,1447.7799,1465.9215,1430.3307,1448.464,63351
2025-05-11,1473.718,1490.3194,1462.2829,1478.8446,321797
2025-05-12,1455.8604,1476.4914,1439.7396,1460.3212,966299
2025-05-13,1462.6966,1471.6634,1457.1193,1466.0732,431921
