date,open,high,low,close,volume
2025-01-20,27.7037,28.3959,27.1085,27.7987,1278276
2025-01-21,26.8101,26.8517,26.6786,26.7201,661793
2025-01-22,26.5347,26.7708,26.3051,26.5412,427053
2025-01-23,26.9719,27.1488,26.7706,26.9473,98790
2025-01-24,26.544,26.651,26.3527,26.4594,195084
2025-01-25,27.7983,28.0961,27.5773,27.8745,269885
2025-01-26,27.82,28.1916,27.2983,27.6679,960117
2025-01-27,26.7591,27.3364,26.2346,26.8109,567226
2025-01-28,25.6492,27.3828,24.5891,26.296,628727
2025-01-29,27.0597,27.0788,26.9734,26.9924,509007
2025-01-30,26.1919,26.4487,26.0121,26.2685,693737
2025-01-31,26.1973,26.2547,26.1345,26.1919,572776
2025-02-01,26.2752,26.4529,26.2505,26.428,97357
2025-02-02,26.454,26.5007,26.4146,26.4612,832388
2025-02-03,26.66,26.8225,26.4822,26.6446,718897
2025-02-04,27.4276,28.1056,26.5335,27.206,413023
2025-02-05,26.9879,27.3176,26.5986,26.9275,126973
2025-02-06,26.1855,26.3729,25.9409,26.1279,58094
2025-02-07,25.8697,26.5722,25.2097,25.9111,137772
2025-02-08,25.9986,26.2336,25.7297,25.9644,1098830
2025-02-09,25.8895,25.923,25.8676,25.9011,137978
2025-02-10,25.9999,26.0755,25.862,25.9374,726289
2025-02-11,26.7953,27.3228,26.5718,27.0968,221781
2025-02-12,27.1704,27.8653,26.4955,27.1898,796218
2025-02-13,28.5659,28.5703,28.2247,28.2291,682156
2025-02-14,28.6334,29.2196,28.2325,28.8161,483715
2025-02-15,30.2747,30.2803,30.2309,30.2364,740137
2025-02-16,28.7833,28.992,28.4973,28.7053,812243
2025-02-17,29.0726,29.1619,28.8067,28.8954,554020
2025-02-18,28.4313,28.6379,28.2683,28.4747,395482
2025-02-19,27.3767,27.5973,27.3712,27.5917,941544
2025-02-20,28.4576,30.4379,26.7529,28.7176,249121
2025-02-21,29.2883,29.3673,28.9835,29.0619,565076
2025-02-22,28.8913,29.3879,28.3995,28.896,263830
2025-02-23,28.6144,29.0235,28.4861,28.8939,676131
2025-02-24,29.5993,29.6311,29.589,29.6209,917574
2025-02-25,28.5504,28.6148,28.51,28.5743,87229
2025-02-26,28.1342,28.366,27.7089,27.9392,354312
2025-02-27,27.3444,27.8309,26.9514,27.4365,49172
2025-02-28,26.7337,26.8387,26.6466,26.7515,300156
2025-03-01,27.4132,28.4108,26.4508,27.4471,382662
2025-03-02,27.6005,27.7624,27.502,27.6637,48883
