date,open,high,low,close,volume
2025-01-20,51.8649,51.8807,51.8525,51.8683,311276
2025-01-21,53.1439,53.7841,52.5982,53.2374,156566
2025-01-22,55.3373,55.6993,55.0542,55.4158,102297
2025-01-23,53.7626,54.1853,53.564,53.9858,851154
2025-01-24,53.6769,55.1667,52.6194,54.1008,1141070
2025-01-25,55.003,55.1875,54.8522,55.0367,929043
2025-01-26,55.2204,55.8648,54.0186,54.6565,723588
2025-01-27,54.6292,56.2054,52.6911,54.2565,68071
2025-01-28,53.4432,53.9096,52.5667,53.0295,738479
2025-01-29,53.1068,55.1411,51.4501,53.473,296981
2025-01-30,52.9413,52.9484,52.92,52.9271,655558
2025-01-31,51.7871,54.1339,49.0727,51.4021,402725
2025-02-01,52.2088,52.3248,52.0878,52.2037,789087
2025-02-02,52.779,52.9168,52.5678,52.7055,433256
2025-02-03,53.5872,53.9719,53.3917,53.7756,380699
2025-02-04,53.0803,54.7133,51.427,53.0594,322553
2025-02-05,52.6954,53.4483,51.6458,52.3944,897422
2025-02-06,52.3041,52.5224,52.0952,52.3134,823393
2025-02-07,52.5548,55.3769,50.458,53.2523,112455
2025-02-08,53.9534,57.5125,50.4581,54.0133,347774
2025-02-09,52.2512,52.5109,52.109,52.3684,388375
2025-02-10,53.6532,53.6535,53.653,53.6532,175895
2025-02-11,52.8691,53.0268,52.8181,52.9757,332453
2025-02-12,53.5746,53.8135,53.2077,53.446,457691
2025-02-13,51.8392,52.0406,51.7426,51.9438,683700
2025-02-14,53.1517,53.3595,53.0001,53.2078,241981
2025-02-15,54.5961,55.2171,53.5287,54.1446,854085
2025-02-16,52.5535,53.0647,51.7179,52.2259,785738
2025-02-17,52.8767,53.1599,52.7365,53.0194,20757
2025-02-18,53.4686,56.0093,51.3615,53.8858,628836
2025-02-19,53.2922,54.3009,52.4633,53.4692,664186
2025-02-20,51.9428,52.0261,51.9222,52.0054,683114
2025-02-21,51.0338,51.6982,50.0947,50.7555,848548
2025-02-22,50.9624,51.2707,50.4993,50.8067,282637
2025-02-23,52.1238,52.153,51.6229,51.6519,343328
2025-02-24,51.5813,53.2714,50.2716,51.9524,285390
2025-02-25,51.2688,51.6643,50.8902,51.2855,969880
2025-02-26,51.8025,51.8282,51.792,51.8176,517518
2025-02-27,51.9549,52.1779,51.6731,51.8958,548328
2025-02-28,52.454,52.9742,51.8789,52.3987,235551
2025-03-01,51.6136,51.8641,51.3603,51.6107,324320
2025-03-02,52.829,53.7149,51.709,52.5909,896606
2025-03-03,51.0192,51.3314,50.5198,50.8309,329166
2025-03-04,51.9859,53.7206,49.6802,51.3952,396159
2025-03-05,49.779,49.8432,49.7605,49.8247,609764
2025-03-06,51.264,52.3902,49.5061,50.6182,646088
2025-03-07,50.7142,51.2216,50.1339,50.6407,7835
2025-03-08,51.3912,52.3021,50.6098,51.5188,397083
2025-03-09,52.3672,53.5397,51.6396,52.8061,381033
2025-03-10,52.2676,52.9856,51.8315,52.5471,348005
2025-03-11,51.0307,52.1692,50.5468,51.6791,750993
2025-03-12,53.4022,54.3854,51.3765,52.3401,473993
2025-03-13,52.5652,53.7551,51.7525,52.9366,6634
2025-03-14,53.913,54.0705,53.5771,53.734,361900
2025-03-15,54.6947,55.1945,54.0945,54.5932,96089
2025-03-16,57.123,57.156,57.0835,57.1165,238977
2025-03-17,57.6457,58.2431,57.2523,57.8483,451347
2025-03-18,57.5558,58.518,56.415,57.3741,81622
2025-03-19,57.0303,58.228,55.6333,56.8268,348953
2025-03-20,55.5808,56.2071,55.2212,55.8458,450834
2025-03-21,56.8815,58.9319,54.951,56.9975,593250
2025-03-22,57.3332,57.4125,57.1883,57.2675,602762
2025-03-23,59.5825,59.9358,58.7638,59.1143,123389
2025-03-24,59.6179,59.689,59.568,59.639,245484
2025-03-25,60.9786,61.7437,60.4455,61.2085,597289
2025-03-26,61.6066,64.6015,57.9252,60.885,119062
2025-03-27,59.015,59.3858,58.5922,58.9627,229532
2025-03-28,57.4725,58.3793,57.0293,57.9325,325979
2025-03-29,57.2914,59.264,55.3588,57.3301,1203773
2025-03-30,56.6523,56.87,56.1981,56.4149,893164
2025-03-31,55.7051,55.7946,55.6019,55.6913,707494
2025-04-01,55.9782,57.4609,54.1522,55.6255,494139
2025-04-02,54.7856,57.5389,52.5077,55.2421,200674
2025-04-03,56.6601,60.513,52.404,56.2274,219458
2025-04-04,55.3007,55.9522,55.0066,55.6562,727380
2025-04-05,57.0372,57.2105,57.0035,57.1767,975854
2025-04-06,58.285,58.9222,57.6262,58.2632,727445
2025-04-07,57.2172,57.5069,57.0008,57.2902,69016
2025-04-08,55.9426,56.0085,55.6914,55.757,635949
2025-04-09,56.0356,56.2352,55.7077,55.9068,23654
2025-04-10,55.8932,55.9086,55.8522,55.8676,174061
2025-04-11,55.9937,56.6254,55.5416,56.1719,185793
2025-04-12,55.2146,55.2279,55.1884,55.2016,601552
2025-04-13,54.6675,55.4133,54.4628,55.2066,14113
2025-04-14,56.1519,60.7621,50.757,55.2971,566861
2025-04-15,56.5409,56.6353,56.348,56.4422,800229
