date,open,high,low,close,volume
2025-01-20,9.2292,9.2369,9.2201,9.2277,86075
2025-01-21,9.03,9.1569,8.8695,8.9958,985985
2025-01-22,8.9486,9.0008,8.9023,8.9545,687629
2025-01-23,9.1518,9.2026,9.0886,9.1393,404253
2025-01-24,8.8968,8.9872,8.8479,8.938,67804
2025-01-25,9.1434,9.2951,8.9681,9.1194,1053677
2025-01-26,8.95,9.121,8.727,8.897,377223
2025-01-27,8.6078,8.7707,8.4082,8.5704,194004
2025-01-28,8.6197,8.7445,8.475,8.5994,695829
2025-01-29,8.6502,8.9234,8.4602,8.7316,241443
2025-01-30,8.7878,9.0524,8.5187,8.7831,1192424
2025-01-31,8.7335,8.949,8.5322,8.7474,677296
2025-02-01,8.7313,8.8077,8.6247,8.7009,701467
2025-02-02,8.7295,8.8008,8.6926,8.7637,687892
2025-02-03,9.0099,9.0212,8.9509,8.9622,127191
2025-02-04,8.7,8.7094,8.669,8.6784,401121
2025-02-05,8.6242,8.8195,8.419,8.6141,539318
2025-02-06,8.7699,8.8734,8.6744,8.7778,237856
2025-02-07,8.8428,8.8505,8.8382,8.8459,119830
2025-02-08,8.7171,8.7617,8.6852,8.7297,431211
2025-02-09,8.7775,8.8855,8.7237,8.8314,392084
2025-02-10,8.7838,9.2715,8.3175,8.8042,478419
2025-02-11,8.6843,8.6866,8.6773,8.6796,1036709
2025-02-12,8.6991,8.7687,8.6405,8.71,981406
2025-02-13,8.5035,8.5215,8.484,8.502,441100
2025-02-14,8.5238,8.5757,8.4312,8.4828,262557
2025-02-15,8.3982,8.4706,8.3715,8.4438,516770
2025-02-16,8.8888,8.9441,8.8185,8.8737,891818
2025-02-17,8.875,8.8957,8.8705,8.8911,373828
2025-02-18,8.8272,9.3787,8.2613,8.8118,349566
2025-02-19,8.8205,8.8356,8.7577,8.7726,980659
2025-02-20,8.591,8.751,8.4807,8.6401,314185
2025-02-21,8.9112,9.2837,8.4463,8.8147,360145
2025-02-22,8.8052,9.1965,8.3759,8.7654,481008
2025-02-23,8.6789,8.7959,8.6273,8.7439,57281
2025-02-24,8.7722,8.9126,8.6357,8.776,1058803
2025-02-25,8.7575,8.7711,8.6551,8.6685,148158
2025-02-26,8.8138,9.1524,8.5201,8.8572,76890
2025-02-27,8.8789,9.0894,8.6783,8.8886,190697
2025-02-28,8.9571,9.0944,8.8232,8.9604,743954
2025-03-01,8.8058,9.043,8.552,8.7888,31442
2025-03-02,8.5746,8.6672,8.4787,8.5712,225141
2025-03-03,8.6234,8.6702,8.5974,8.6442,799238
2025-03-04,8.762,8.9025,8.6073,8.7476,527334
2025-03-05,8.594,8.7389,8.4902,8.6346,322487
2025-03-06,8.9497,9.0197,8.86,8.9298,508864
2025-03-07,8.8547,8.8548,8.8547,8.8547,1047312
2025-03-08,8.6003,8.6093,8.5808,8.5897,319349
