date,open,high,low,close,volume
2025-01-20,338.349,342.8742,332.4119,336.918,230397
2025-01-21,336.7751,349.4846,324.9765,337.6553,67283
2025-01-22,338.8722,349.857,328.9477,339.9023,250608
2025-01-23,342.4444,347.1925,339.4862,344.219,66900
2025-01-24,348.0829,351.9678,345.6675,349.5422,37418
2025-01-25,358.4289,359.2778,357.7708,358.6194,306503
2025-01-26,359.2621,370.7158,350.6722,362.059,95138
2025-01-27,363.5031,364.9412,361.1218,362.5562,341811
2025-01-28,373.9027,375.5356,373.0677,374.6988,533335
2025-01-29,396.9324,401.2015,388.61,392.835,341804
2025-01-30,384.5713,394.9016,379.6562,389.9181,535383
2025-01-31,388.285,390.0981,385.3804,387.1884,335396
2025-02-01,399.7503,400.9165,398.668,399.834,515236
2025-02-02,400.8315,403.6343,397.1523,399.9489,1133459
2025-02-03,387.315,389.2122,385.9106,387.806,663484
2025-02-04,412.3156,412.6271,412.1545,412.4659,1039459
2025-02-05,400.9721,403.8759,399.9157,402.8147,50788
2025-02-06,408.7128,413.5872,402.8269,407.6891,782789
2025-02-07,415.0644,416.1808,414.1072,415.2232,107665
2025-02-08,409.2716,411.3921,406.7461,408.8645,176299
2025-02-09,409.5364,411.7207,406.7468,408.9279,353359
2025-02-10,406.1076,407.0446,404.5677,405.5034,53609
2025-02-11,394.1631,395.0586,393.0305,393.9254,97166
2025-02-12,403.6476,412.4578,391.6652,400.4046,124590
2025-02-13,403.5015,407.2007,398.7911,402.4809,300870
2025-02-14,415.4645,419.0565,409.7462,413.3197,512926
2025-02-15,411.4885,411.5175,411.4649,411.4938,625109
2025-02-16,395.1847,401.9407,390.5342,397.2657,1035296
2025-02-17,409.7756,416.424,398.571,405.1443,916852
2025-02-18,414.6516,416.6691,412.0201,414.0346,373493
2025-02-19,410.3826,420.7254,401.1811,411.4988,35740
2025-02-20,412.4235,414.6075,411.1379,413.3192,869018
2025-02-21,410.8052,412.4239,409.6654,411.2828,475738
2025-02-22,412.8963,426.4167,395.2164,408.596,480582
2025-02-23,401.2122,401.7162,400.278,400.7814,890629
2025-02-24,406.038,408.3564,402.299,404.6094,550219
2025-02-25,408.0541,421.4302,395.1351,408.4972,197751
2025-02-26,420.9137,421.1484,420.6851,420.9197,628437
2025-02-27,415.9988,422.8595,410.9007,417.7401,68320
2025-02-28,396.4316,400.7497,393.0564,397.3665,260446
2025-03-01,406.8066,411.6645,398.9126,403.7337,584320
2025-03-02,409.3111,413.4674,402.2757,406.4025,1466982
2025-03-03,407.7579,414.7797,400.4184,407.4346,74048
2025-03-04,401.2427,402.8715,398.8209,400.4465,184950
2025-03-05,396.7193,400.7333,393.2769,397.286,195933
2025-03-06,407.7167,417.2202,402.6534,412.1024,468240
2025-03-07,412.7123,412.7356,411.8618,411.8851,212440
2025-03-08,404.5939,404.6061,404.5839,404.5961,410056
2025-03-09,411.1859,415.5925,403.8615,408.2365,1314810
2025-03-10,392.9644,393.4314,392.5028,392.9698,857614
2025-03-11,393.3123,393.3926,393.2409,393.3213,1226511
2025-03-12,393.4854,403.0577,388.2446,397.7599,540087
2025-03-13,395.2474,402.1587,388.707,395.6123,1001406
2025-03-14,387.2795,389.7248,383.8035,386.2423,271682
2025-03-15,370.4982,371.6364,370.2983,371.436,159577
2025-03-16,375.2991,375.9208,374.5082,375.1296,1118275
2025-03-17,369.9515,391.9348,345.9672,367.8241,684013
2025-03-18,374.2772,382.765,361.9184,370.3164,99059
2025-03-19,375.1198,375.423,374.1631,374.4658,416000
2025-03-20,361.6363,366.3465,358.3605,363.0578,39378
2025-03-21,371.2793,376.8854,366.7387,372.3319,148405
2025-03-22,363.4541,371.0144,358.8527,366.3759,625937
2025-03-23,354.018,354.6512,353.5976,354.2306,703562
2025-03-24,356.6528,357.9771,354.3972,355.718,583309
2025-03-25,340.5998,346.0485,337.8303,343.2573,212306
2025-03-26,334.7544,337.254,332.7409,335.2376,502963
2025-03-27,339.5401,349.1869,332.8486,342.4382,85794
2025-03-28,329.1798,335.2793,323.3075,329.4029,1189634
2025-03-29,342.4727,352.3247,327.4224,337.1204,505800
2025-03-30,331.6293,331.736,331.3759,331.4825,462367
2025-03-31,335.0977,342.8535,325.9695,333.6927,611483
2025-04-01,328.0586,360.7102,299.0965,331.4489,1217284
2025-04-02,335.8479,343.2645,331.6882,339.065,445208
2025-04-03,326.9172,326.9439,326.8818,326.9084,533142
2025-04-04,339.8412,342.0303,336.2081,338.3878,633843
2025-04-05,332.5984,344.0234,317.462,328.7551,633628
2025-04-06,327.5999,332.0556,322.0337,326.474,56330
2025-04-07,322.6943,328.548,317.0395,322.8898,642984
2025-04-08,311.9234,312.25,311.5963,311.9229,237270
2025-04-09,309.986,310.5107,309.0822,309.6062,307646
2025-04-10,312.7921,316.2814,309.5263,313.0133,832792
2025-04-11,317.1398,320.2826,315.7701,318.9052,375402
2025-04-12,323.8349,327.6499,320.1938,324.0069,1131492
2025-04-13,325.6261,333.4776,319.8796,327.6945,725070
2025-04-14,319.3338,322.2469,317.4656,320.3726,282530
2025-04-15,325.2309,325.5815,324.9594,325.3099,929112
2025-04-16,323.9993,338.5474,308.9736,323.4992,330058
2025-04-17,327.0292,328.3486,326.4999,327.8181,743872
2025-04-18,333.3434,348.8575,318.5369,334.0209,511092
2025-04-19,336.502,337.0391,336.1417,336.6787,619364
2025-04-20,335.2857,338.274,329.2634,332.2245,464752
2025-04-21,329.5358,329.9707,329.1025,329.5373,828607
2025-04-22,328.099,328.3102,327.582,327.793,1364897
2025-04-23,330.1872,330.3296,330.0301,330.1726,356288
2025-04-24,336.5658,337.0806,335.9548,336.4695,506090
2025-04-25,328.8431,330.9139,327.4423,329.5103,360717
2025-04-26,325.8183,325.8468,325.7966,325.8251,417979
2025-04-27,313.0024,315.3239,311.4055,313.7234,990095
2025-04-28,305.1016,308.7932,304.5528,308.2388,656836
2025-04-29,305.7759,333.4874,279.2478,306.8648,335510
2025-04-30,299.0698,299.3817,298.7379,299.0498,560906
2025-05-01,297.7059,309.4685,286.5719,298.3118,1307886
2025-05-02,293.0533,297.9813,285.8753,290.7649,399859
2025-05-03,293.5155,313.8621,268.871,288.8975,170138
2025-05-04,286.0669,297.3294,272.7631,283.942,557477
2025-05-05,288.9777,290.9706,288.2322,290.2219,816540
2025-05-06,293.3798,298.1298,287.9921,292.7316,318305
2025-05-07,286.2945,294.2441,280.0684,287.9813,7628
2025-05-08,288.4057,289.1241,287.3767,288.0943,658710
2025-05-09,291.9405,294.7689,286.8486,289.655,1170898
2025-05-10,288.8377,291.4548,284.081,286.6785,80267
2025-05-11,277.9375,279.6956,275.9485,277.7052,119852
2025-05-12,275.7925,293.8511,262.3336,280.1782,164299
