date,open,high,low,close,volume
2025-01-20,604.4883,610.4508,598.2118,604.1712,27218
2025-01-21,602.4898,606.2387,602.4897,606.2386,353177
2025-01-22,618.3794,624.5667,613.2902,619.4685,779317
2025-01-23,619.7967,645.4594,596.8501,622.4158,433002
2025-01-24,609.9975,617.6648,605.0108,612.6564,275161
2025-01-25,594.1418,594.6035,590.7765,591.236,129873
2025-01-26,594.2024,596.5572,591.0691,593.4209,520359
2025-01-27,599.99,605.4485,593.6734,599.1239,458760
2025-01-28,589.9294,591.3885,587.4293,588.8858,634584
2025-01-29,581.5834,603.1848,555.767,577.2058,269187
2025-01-30,573.0826,574.2224,571.3545,572.4932,58018
2025-01-31,590.689,610.0377,569.2486,588.5264,522150
2025-02-01,569.744,570.2159,569.6145,570.0863,321937
2025-02-02,575.284,593.8151,559.9721,578.4198,123066
2025-02-03,585.6459,588.3836,581.5421,584.2734,367939
2025-02-04,581.931,582.671,581.68,582.4198,332769
2025-02-05,561.7073,578.6827,545.4504,562.4055,132925
2025-02-06,571.3439,572.1686,570.7404,571.565,992800
2025-02-07,571.9589,579.4709,562.7041,570.1928,187306
2025-02-08,571.3125,571.5089,568.7094,568.905,321007
2025-02-09,588.9147,589.0654,588.4598,588.6104,292317
2025-02-10,592.2298,592.9983,591.3054,592.0736,737162
2025-02-11,592.7091,604.4184,584.5346,596.1959,48060
2025-02-12,581.3012,603.12,560.2403,582.0326,673384
2025-02-13,569.1479,572.1665,567.3592,570.3739,171116
2025-02-14,567.6379,578.0419,553.7462,564.0852,144306
2025-02-15,576.5233,576.7542,576.3617,576.5927,1269892
2025-02-16,582.9167,585.2344,579.7257,582.0399,624379
2025-02-17,597.2821,607.164,588.2629,598.132,630004
2025-02-18,589.2737,590.6161,588.2978,589.6396,196212
2025-02-19,580.9918,581.7119,579.7585,580.478,756962
2025-02-20,568.3049,574.4675,557.277,563.3863,928130
2025-02-21,589.2492,606.3315,570.9394,587.985,241862
2025-02-22,586.0259,603.2999,560.7323,577.7627,1165970
2025-02-23,579.465,580.2497,576.0207,576.8018,371405
2025-02-24,609.7199,622.4267,599.9792,612.6394,1230952
2025-02-25,631.4082,633.2294,622.0088,623.808,477709
2025-02-26,625.1817,627.7942,619.148,621.7462,344301
2025-02-27,621.5164,622.8727,618.9906,620.3443,248113
2025-02-28,617.3924,622.6481,611.0119,616.2579,573431
2025-03-01,613.331,615.4248,610.9519,613.0447,163068
2025-03-02,590.4673,615.6101,571.9089,596.851,154480
2025-03-03,594.9735,617.1683,577.6711,599.7276,390647
2025-03-04,604.6209,607.312,601.5947,604.2843,295001
2025-03-05,601.0015,602.1804,600.1034,601.2819,593337
2025-03-06,604.1844,654.6657,551.4686,601.7462,791158
2025-03-07,572.9037,588.3944,561.5697,576.9798,963212
2025-03-08,575.9664,579.1142,570.7037,573.8399,14513
2025-03-09,576.1492,611.9307,548.6498,584.054,456947
2025-03-10,596.5806,596.9793,596.2369,596.6356,218999
2025-03-11,601.3926,605.1252,593.3649,597.0707,268507
2025-03-12,606.0634,611.8235,602.7553,608.5021,1196822
2025-03-13,598.8805,602.7668,596.6844,600.5646,930934
2025-03-14,598.7645,616.095,585.5848,602.8259,612614
2025-03-15,614.5363,627.7672,595.5541,608.6584,286584
2025-03-16,604.6632,613.7373,597.9484,606.9965,879332
2025-03-17,599.8317,601.5436,597.9848,599.6963,276612
2025-03-18,601.3151,630.4132,573.4993,602.5407,184285
2025-03-19,608.9442,617.1719,593.8166,601.9498,1265718
2025-03-20,596.4454,601.1057,588.2523,592.8848,54470
2025-03-21,613.3914,613.3942,611.3167,611.3195,565122
2025-03-22,604.7843,608.6925,602.6981,606.6001,1050069
2025-03-23,586.4616,591.3196,582.6038,587.4553,1178053
2025-03-24,597.4522,607.4387,582.6009,592.5046,20414
2025-03-25,583.6438,587.2302,579.0046,582.5845,364723
2025-03-26,575.8689,576.4146,574.9088,575.4542,286381
2025-03-27,592.9582,593.1574,592.417,592.6161,786561
2025-03-28,599.6268,602.7985,597.8588,601.0264,305602
2025-03-29,608.1489,622.5455,596.6044,610.9478,369563
2025-03-30,606.7009,610.1705,599.2253,602.6719,245709
2025-03-31,625.5606,643.5414,608.403,626.3618,526069
2025-04-01,607.112,608.9457,604.2739,606.1046,421457
2025-04-02,601.5385,618.2258,582.8215,599.4508,259589
2025-04-03,598.2162,599.4807,591.5397,592.7927,639258
2025-04-04,594.0944,595.4044,588.553,589.8537,1082997
2025-04-05,584.6185,617.0417,549.5993,581.87,1031516
2025-04-06,595.2659,598.7529,591.2644,594.7483,374957
2025-04-07,584.0452,608.9932,565.086,589.8457,52058
2025-04-08,568.9671,570.7247,567.3653,569.1225,587528
2025-04-09,549.7711,550.5128,549.2313,549.9727,751015
2025-04-10,555.36,602.6589,511.3324,558.391,279693
2025-04-11,562.258,562.5692,561.2169,561.5277,199241
2025-04-12,564.2163,572.8159,558.0592,566.6325,1040974
2025-04-13,545.6341,548.0963,544.5219,546.9814,189176
2025-04-14,537.0625,538.6384,535.7858,537.3611,1407555
2025-04-15,522.6954,546.3981,498.7672,522.4592,54272
2025-04-16,531.8676,533.359,530.5292,532.0202,247901
2025-04-17,520.4916,520.6026,520.1877,520.2987,901749
2025-04-18,495.9565,501.2903,492.8463,498.1662,39348
2025-04-19,499.5321,504.4407,495.9213,500.8207,620689
2025-04-20,483.7585,496.7538,467.6695,480.5794,194039
2025-04-21,477.856,483.5953,473.8727,479.5974,516820
2025-04-22,469.7624,476.8554,465.66,472.7272,659155
2025-04-23,470.3892,472.1612,467.9132,469.6825,749535
2025-04-24,459.7769,462.4522,454.5054,457.1655,445605
2025-04-25,473.6692,484.864,460.5795,471.7284,200785
