date,open,high,low,close,volume
2025-01-20,37.9645,40.1894,35.8341,38.054,348292
2025-01-21,39.7585,39.9311,39.5415,39.7139,49511
2025-01-22,38.6078,38.7435,38.4915,38.6271,1373299
2025-01-23,39.1563,39.617,39.095,39.555,96408
2025-01-24,39.7916,40.2809,39.1919,39.6798,745239
2025-01-25,40.1951,40.2336,40.1573,40.1958,207671
2025-01-26,39.8286,40.2814,39.496,39.9477,988022
2025-01-27,39.3688,39.4047,39.3461,39.382,257212
2025-01-28,39.8308,40.2707,39.3394,39.7788,477421
2025-01-29,39.4053,40.2072,38.7083,39.5084,417828
2025-01-30,39.7174,39.8604,39.6262,39.769,1091596
2025-01-31,38.5475,38.5828,38.4544,38.4898,15678
2025-02-01,39.2531,39.9843,38.4486,39.1784,321720
2025-02-02,39.6327,39.6702,39.6031,39.6406,212373
2025-02-03,39.489,40.373,38.8631,39.743,368118
2025-02-04,40.153,40.4008,40.0167,40.2641,95733
2025-02-05,43.0678,43.2456,42.9425,43.1202,553214
2025-02-06,44.2496,44.3775,44.0848,44.2126,452327
2025-02-07,44.6989,45.5233,43.5292,44.3472,275873
2025-02-08,43.7701,44.1457,43.4316,43.807,670303
2025-02-09,42.4652,42.5614,42.3885,42.4847,200020
2025-02-10,42.734,42.97,42.4327,42.6683,79824
2025-02-11,41.1729,41.3959,41.0625,41.2852,1098954
2025-02-12,40.7918,41.6767,40.134,41.0153,42960
2025-02-13,40.2814,40.5889,40.0034,40.3106,1130308
2025-02-14,41.1971,41.3243,41.038,41.1651,39916
2025-02-15,40.9931,41.623,40.6582,41.2857,217787
2025-02-16,41.135,41.1783,40.9576,41.0007,620280
2025-02-17,41.65,42.2939,41.2239,41.8657,303152
2025-02-18,41.2094,42.6484,39.8313,41.2683,257758
2025-02-19,41.495,41.8887,41.2267,41.6196,655939
2025-02-20,40.7585,42.3329,39.1463,40.7192,415662
2025-02-21,40.5558,40.5664,40.5488,40.5594,437289
2025-02-22,41.1485,42.1688,40.035,41.0529,1221957
