date,open,high,low,close,volume
2025-01-20,797.3401,803.7617,791.8967,798.3117,1133276
2025-01-21,803.2785,806.185,798.0308,800.9288,816352
2025-01-22,811.1555,877.9994,757.2266,823.2654,323390
2025-01-23,823.71,846.7886,800.1287,823.1928,288144
2025-01-24,825.5249,826.402,824.8206,825.6975,787212
2025-01-25,793.0687,807.8796,786.1252,800.8679,293906
2025-01-26,808.116,810.6994,801.9922,804.5642,887377
2025-01-27,812.6034,833.1802,783.2831,803.6327,502735
2025-01-28,772.5156,785.4301,760.122,773.0283,353728
2025-01-29,767.6018,769.424,765.8727,767.6947,515350
2025-01-30,774.4583,813.2542,744.9654,783.4201,864508
2025-01-31,773.0824,795.4207,743.1378,765.2497,461461
2025-02-01,769.5838,770.4605,767.816,768.6917,72193
2025-02-02,749.0001,763.8419,744.0576,758.8345,340327
2025-02-03,744.0006,753.4801,728.3965,737.797,473770
2025-02-04,740.7787,744.0344,734.4475,737.6896,458224
2025-02-05,735.8074,737.7353,733.0234,734.9491,158897
2025-02-06,759.9973,762.6412,755.0956,757.7316,775924
2025-02-07,747.3151,755.6659,740.0591,748.3994,183366
2025-02-08,753.0882,754.0195,751.1107,752.0407,1097393
2025-02-09,752.2466,759.8481,740.7896,748.3518,367063
2025-02-10,771.7685,774.4427,769.1122,771.7863,518848
2025-02-11,764.7284,779.7032,752.626,767.5561,149413
2025-02-12,735.615,742.2243,730.5937,737.1923,51110
2025-02-13,765.4817,776.0017,747.7077,758.1265,922874
2025-02-14,779.9975,783.6249,774.341,777.959,196589
2025-02-15,781.3326,791.0154,774.5554,784.2133,430728
2025-02-16,779.963,785.9999,777.181,783.2064,223632
2025-02-17,787.6287,794.3119,777.3746,784.0272,417450
2025-02-18,769.2335,780.3506,758.5536,769.6647,1199201
2025-02-19,753.3134,774.088,735.858,756.5574,104510
2025-02-20,760.5048,761.5673,759.4328,760.4953,255905
2025-02-21,752.2763,755.2021,750.0366,752.9603,182225
2025-02-22,765.1011,776.9183,754.5048,766.3054,236424
2025-02-23,759.1775,773.5227,746.7185,761.0333,309846
2025-02-24,769.7516,772.8703,759.1006,762.1887,198598
2025-02-25,739.8759,740.1878,739.4012,739.7131,444017
2025-02-26,733.5806,744.7094,716.8234,727.8655,625408
2025-02-27,738.5999,745.6643,730.606,737.6615,55597
2025-02-28,744.5069,748.2545,739.3624,743.1029,239411
2025-03-01,755.301,757.6375,754.217,756.5517,483613
2025-03-02,759.7117,759.7722,759.4128,759.4733,907384
2025-03-03,762.9494,798.5261,730.8029,766.2409,99288
2025-03-04,788.8081,792.4307,785.07,788.6921,430343
2025-03-05,797.9983,815.6111,784.4236,801.9689,534384
2025-03-06,836.1952,836.8223,828.8657,829.4878,415270
2025-03-07,823.4865,825.5402,819.1524,821.2004,800888
2025-03-08,799.4864,800.2916,798.951,799.756,560261
2025-03-09,818.6388,821.996,814.4007,817.7542,694087
2025-03-10,823.872,829.8875,818.3537,824.3659,811042
2025-03-11,786.2918,825.8373,738.6923,777.8113,387366
2025-03-12,738.26,744.7171,735.0307,741.4737,532328
2025-03-13,742.8557,745.3284,740.7198,743.1916,375651
2025-03-14,724.9561,742.1123,707.2222,724.3644,60112
2025-03-15,712.6875,716.2179,708.2476,711.7735,211749
2025-03-16,703.3102,767.3242,648.4694,711.8198,1045337
2025-03-17,717.517,720.3743,717.2616,720.118,1190265
2025-03-18,748.31,817.7447,681.9384,751.1236,64385
2025-03-19,759.7115,768.926,746.8605,756.0304,554920
2025-03-20,751.1509,751.6457,749.2122,749.706,439118
2025-03-21,766.4828,769.6788,758.5474,761.7235,584333
2025-03-22,775.4704,777.3927,765.3736,767.2755,253484
2025-03-23,763.1714,764.4911,759.2869,760.6022,385909
2025-03-24,725.0909,730.23,719.0797,724.2126,315264
2025-03-25,737.2471,739.9901,735.4217,738.1623,520837
2025-03-26,736.6736,782.0753,690.421,735.7669,222801
2025-03-27,706.0664,709.0978,701.8285,704.8547,767164
2025-03-28,727.1197,733.2796,721.5414,727.6969,499545
2025-03-29,718.8215,720.5002,712.9073,714.5761,106248
2025-03-30,712.8599,718.361,709.3864,714.8776,358156
2025-03-31,716.7162,723.1965,705.9407,712.3818,244032
2025-04-01,732.4503,733.1575,731.8686,732.5756,326877
2025-04-02,752.8032,794.5511,710.8228,752.5571,585285
2025-04-03,726.5044,735.3855,718.4894,727.3611,982321
2025-04-04,702.6428,706.8918,698.0629,702.3099,857473
2025-04-05,694.4057,703.3566,685.4523,694.4033,555220
2025-04-06,666.1514,669.3761,662.8084,666.0325,1191324
2025-04-07,669.4089,686.3047,648.957,665.7608,481007
2025-04-08,664.1799,677.768,646.638,660.1436,1073348
2025-04-09,650.4976,685.8422,619.8863,655.0182,106230
2025-04-10,644.26,662.2579,629.4457,647.3721,608324
2025-04-11,636.9826,642.4914,629.8164,635.3108,231204
2025-04-12,638.3248,650.0954,627.8294,639.5794,801126
2025-04-13,649.3698,664.3976,632.1509,647.1268,695969
2025-04-14,660.4427,671.9364,647.0925,658.5533,311073
2025-04-15,646.1013,647.3581,640.8216,642.0706,134200
2025-04-16,658.4806,665.7609,653.1658,660.4304,920343
2025-04-17,659.7429,664.2704,656.5575,661.0786,337931
2025-04-18,675.179,675.5144,675.1681,675.5034,567467
2025-04-19,666.3269,670.8817,662.5429,667.0934,753556
2025-04-20,661.8138,662.8639,658.9157,659.9629,759672
2025-04-21,679.9512,680.1626,679.5095,679.7208,79924
2025-04-22,680.0062,684.2928,678.0709,682.3508,336699
2025-04-23,681.7154,683.1171,678.9791,680.3781,261083
2025-04-24,655.7452,660.3887,652.5448,657.1812,467362
2025-04-25,673.4335,679.5501,664.112,670.1993,347350
2025-04-26,677.567,690.2588,663.0607,675.7179,472238
2025-04-27,690.8701,707.709,669.8212,686.5548,577644
2025-04-28,678.6616,682.9563,675.2583,679.5486,902322
2025-04-29,675.8963,676.2053,672.2929,672.6004,613512
2025-04-30,675.0904,680.6188,672.0404,677.5576,356511
2025-05-01,690.436,723.5283,656.4544,689.5019,640777
2025-05-02,661.0792,674.904,651.6528,665.4158,526211
2025-05-03,665.9614,670.8083,662.0963,666.9375,836729
2025-05-04,654.5151,654.9729,654.0826,654.5403,317233
2025-05-05,656.6964,672.8254,648.1664,664.1979,174877
2025-05-06,658.6474,662.6925,657.3885,661.4284,184455
