date,open,high,low,close,volume
2025-01-20,24.0749,25.4439,22.2819,23.6254,176703
2025-01-21,22.8179,23.0549,22.6777,22.914,1259596
2025-01-22,21.83,22.5611,21.3279,22.0538,590512
2025-01-23,21.8687,21.9633,21.7685,21.8631,738372
2025-01-24,21.9877,21.9983,21.9792,21.9898,73501
2025-01-25,21.46,21.5176,21.4103,21.4679,1085252
2025-01-26,21.4359,21.7415,21.0434,21.3478,519954
2025-01-27,21.192,21.2522,21.076,21.1361,738990
2025-01-28,21.4165,21.4229,21.3219,21.3283,384994
2025-01-29,21.4239,21.4984,21.3552,21.4296,387892
2025-01-30,21.522,21.6558,21.3638,21.4975,917503
2025-01-31,21.2732,21.3276,21.2205,21.2749,899445
2025-02-01,21.2148,22.6355,20.0205,21.4291,594864
2025-02-02,20.5961,20.7088,20.4394,20.5519,1141377
2025-02-03,19.8117,19.9831,19.7235,19.8946,799784
2025-02-04,20.098,20.2692,20.043,20.2139,180938
2025-02-05,20.2126,20.8857,19.6236,20.2943,742346
2025-02-06,20.3214,20.7097,20.1157,20.5021,334087
2025-02-07,20.0905,20.1376,20.0478,20.0949,64419
2025-02-08,20.3741,20.668,20.1033,20.3969,652382
2025-02-09,20.7858,21.1582,20.438,20.81,90881
2025-02-10,19.9519,20.5236,19.4296,20.0001,615162
2025-02-11,19.9424,19.9574,19.9379,19.953,678116
2025-02-12,20.0978,20.211,19.9573,20.0704,1387493
2025-02-13,20.8587,20.9073,20.7352,20.7837,528873
2025-02-14,20.4278,20.7938,20.2331,20.5975,89647
2025-02-15,20.552,21.6693,19.2485,20.355,30082
2025-02-16,20.7571,20.9117,20.5412,20.6954,152558
2025-02-17,20.686,20.7071,20.6723,20.6933,348312
2025-02-18,20.5474,20.5622,20.535,20.5497,650700
2025-02-19,19.8534,19.9984,19.8382,19.9831,469102
2025-02-20,19.5849,19.6224,19.5715,19.6089,77585
2025-02-21,19.1947,19.2065,19.1911,19.2028,666558
2025-02-22,18.5514,19.0454,18.1315,18.6238,564965
2025-02-23,18.399,18.3996,18.3985,18.3991,324881
2025-02-24,18.2471,18.4908,17.9194,18.162,241925
2025-02-25,18.0173,18.3057,17.7699,18.0577,653822
2025-02-26,18.2621,18.3453,18.1463,18.2294,111001
2025-02-27,18.5589,18.7443,18.4124,18.5975,659390
2025-02-28,18.2118,18.2703,18.137,18.1955,121893
2025-03-01,18.6432,19.3473,17.7211,18.4166,1239938
2025-03-02,18.0385,18.0727,17.9842,18.0183,383041
2025-03-03,18.6709,18.7046,18.6201,18.6537,334441
2025-03-04,18.7284,19.782,17.4003,18.4376,757250
2025-03-05,18.7757,18.7828,18.7699,18.777,94842
2025-03-06,18.3747,18.4632,18.2635,18.3519,172107
2025-03-07,18.6382,18.7736,18.5717,18.7068,468971
2025-03-08,18.8621,19.6525,18.1776,18.9642,192427
2025-03-09,19.5854,19.7405,19.4976,19.6525,350335
2025-03-10,19.3982,19.4642,19.3456,19.4115,308871
2025-03-11,19.898,20.0751,19.7225,19.8996,259907
