date,open,high,low,close,volume
2025-01-20,459591.5877,459745.3408,458508.1465,458661.5885,251872
2025-01-21,443137.9765,445622.3151,440446.1598,442929.3287,231208
2025-01-22,444562.7431,446427.1925,442486.7955,444350.3542,411716
2025-01-23,438981.8644,450920.598,433673.606,445533.1206,470582
2025-01-24,455390.8554,459130.0397,450082.625,453808.8194,649560
2025-01-25,443994.0432,445107.2378,442310.3955,443422.1563,41569
2025-01-26,462419.6034,462735.9207,460791.5775,461106.9969,892441
2025-01-27,456736.3848,457745.0584,453910.9931,454915.6457,1155240
2025-01-28,450249.2299,451462.6357,448197.5034,449408.6439,723222
2025-01-29,473257.0961,474379.8312,472946.3409,474068.5432,296658
2025-01-30,480029.9619,481474.2064,478803.1771,480246.8673,1189246
2025-01-31,495330.2031,496039.0996,494830.2363,495538.9221,323958
2025-02-01,483622.7282,486531.9543,476150.311,479031.9212,972752
2025-02-02,450828.0213,482366.1834,421865.8889,453248.5512,1028940
2025-02-03,441325.4795,447789.4664,435767.8173,442220.5327,101526
2025-02-04,430642.039,434201.0233,428765.0521,432316.7371,571338
2025-02-05,443968.2075,444196.7139,443818.9755,444047.4553,1201355
2025-02-06,439797.9109,442736.7902,435933.8886,438866.5443,74335
2025-02-07,449034.0985,452402.0633,446082.519,449447.7647,315831
2025-02-08,454888.8594,463431.7328,444934.9703,453450.8374,583670
2025-02-09,447000.6738,447273.7097,445520.9589,445793.2573,280597
2025-02-10,439548.7373,446253.9442,434501.6497,441188.0335,743330
2025-02-11,457956.6363,467777.9217,453134.9793,462904.174,1357193
2025-02-12,455692.1845,464511.9501,447549.6666,456357.5433,240667
2025-02-13,442358.5067,443930.7029,441676.3002,443247.126,743945
2025-02-14,447582.2741,455387.1987,443405.7137,451177.0937,696016
2025-02-15,446658.6298,448462.0131,445592.0968,447393.7247,16066
2025-02-16,454429.926,471229.4053,437970.1829,454757.7869,442955
2025-02-17,454912.2028,455435.4384,453262.7149,453784.6537,754077
2025-02-18,444409.7238,445883.9788,442331.2203,443803.4641,936126
2025-02-19,449063.2054,456318.2526,439852.1078,447075.0342,667946
2025-02-20,461476.6198,462810.0652,459239.3515,460570.1778,106956
2025-02-21,465603.8214,478343.473,453099.2408,465832.7443,765352
2025-02-22,489066.1121,491111.9043,486250.0662,488292.6229,240079
2025-02-23,501259.9374,510646.4398,489744.3398,499090.2123,472850
2025-02-24,491744.2915,496937.3334,488778.3056,493957.9955,230902
2025-02-25,503088.7511,508809.9338,497943.7306,503659.0806,318494
2025-02-26,494139.3652,494342.1212,493509.0356,493711.616,493914
2025-02-27,509855.6648,519362.3687,500599.226,510101.4674,570368
2025-02-28,495191.732,496035.8648,494341.7842,495185.9071,1229940
2025-03-01,481107.078,481641.6752,480958.7106,481493.1887,40178
2025-03-02,478483.1042,485534.5564,474657.1596,481683.0252,332081
2025-03-03,478696.9634,502567.0801,461658.6695,485293.9782,546804
2025-03-04,492250.457,494123.879,491952.241,493824.7093,367261
2025-03-05,491196.9509,497887.7395,484870.0884,491556.2491,547454
2025-03-06,488257.7238,497593.2789,476892.7179,486188.7132,223251
2025-03-07,489027.2948,492981.062,482278.2929,486209.2766,374327
2025-03-08,488344.2409,490043.048,486001.8851,487698.4457,692364
2025-03-09,469758.7217,472095.83,466988.8295,469323.7739,240076
2025-03-10,482984.7819,487129.4006,475801.7785,479920.0984,584925
2025-03-11,476932.8927,479060.9166,476050.5844,478176.3081,553496
2025-03-12,485898.9631,492221.6865,479342.5985,485662.2416,691888
2025-03-13,490850.4556,501902.2575,479020.405,490054.2805,353223
2025-03-14,481822.2659,483287.196,481472.8954,482937.0172,725154
2025-03-15,469271.2723,477268.7907,464706.3109,472670.76,218841
2025-03-16,482409.1808,483401.0276,481848.2691,482839.6155,705383
2025-03-17,482912.8012,492064.4908,475377.1297,484503.9894,636278
2025-03-18,485603.2336,486114.1926,481766.2191,482273.6748,178245
2025-03-19,491505.2666,498287.7522,488536.1709,495295.7589,1087065
2025-03-20,489452.4963,494457.9128,481212.8256,486184.8251,422180
2025-03-21,489839.5187,506547.6764,470815.9397,487442.3306,247308
2025-03-22,489707.5878,491036.1588,486968.1448,488292.8777,296964
2025-03-23,478827.7043,491343.2703,472719.3653,485154.2248,557727
2025-03-24,488963.5708,507044.8052,472301.7539,490336.2144,488455
2025-03-25,501551.2709,534265.5781,460463.2594,492593.2699,1046436
2025-03-26,503413.3389,510922.4927,493892.7558,501371.4519,1301936
2025-03-27,495483.1797,496482.3879,492219.8839,493214.517,775844
2025-03-28,499038.0886,499592.5576,495953.4984,496505.1531,815053
2025-03-29,487334.829,513106.3539,463539.5771,489219.0982,814836
2025-03-30,493499.5341,494433.3401,493290.6655,494224.1648,263413
2025-03-31,486718.9033,491216.2853,485241.484,489729.7268,906004
2025-04-01,507350.6841,574522.9692,450184.5935,516343.5961,540516
2025-04-02,514881.7575,515532.0727,512278.9449,512926.7909,281549
2025-04-03,516027.0295,528214.2395,504319.6112,516496.1773,198178
2025-04-04,516897.1198,518350.093,514685.9189,516136.7547,299488
2025-04-05,519780.0846,519812.0486,516686.0815,516717.8572,408948
2025-04-06,529799.5938,530550.6927,529290.7569,530041.6233,806869
2025-04-07,529116.0773,547985.2259,509050.4878,527875.3915,413005
2025-04-08,536780.4761,548682.9816,526357.3335,538231.6601,190096
2025-04-09,519324.8503,525443.9907,512607.397,518719.4034,123431
2025-04-10,505234.977,510750.4016,503623.5014,509126.5138,833709
2025-04-11,490668.0549,513776.0076,465793.536,488814.1808,362320
2025-04-12,480978.7254,491648.5811,479035.6971,489670.4405,155749
2025-04-13,483590.706,488445.542,478036.9334,482884.6815,482396
2025-04-14,485900.5337,486375.0396,485231.2299,485705.5453,800878
2025-04-15,484737.9477,496833.6055,470626.9833,482671.0663,618971
2025-04-16,493880.0251,494834.8739,493234.9765,494189.4212,415246
2025-04-17,506022.8922,518344.9557,492967.3201,505271.0763,244989
2025-04-18,487202.8644,492219.9281,482374.8778,487390.0862,47777
2025-04-19,481356.1429,484402.802,480183.8779,483225.9833,368406
2025-04-20,493367.5503,508948.6467,473572.3696,489016.0404,105434
2025-04-21,495490.6175,497173.9874,493546.6557,495229.1373,521876
2025-04-22,472683.8182,477647.5178,469229.5997,474182.3484,1034661
