date,open,high,low,close,volume
2025-01-20,460.1108,463.8146,458.6867,462.3835,465722
2025-01-21,479.1967,492.3173,469.3877,482.4418,1076367
2025-01-22,486.7263,496.5596,478.3405,488.1493,917950
2025-01-23,478.1468,478.8314,476.7951,477.4787,712108
2025-01-24,461.509,464.6215,458.3661,461.4784,488574
2025-01-25,465.375,467.2363,462.577,464.4346,1131445
2025-01-26,468.1219,477.9742,457.0454,466.8714,120948
2025-01-27,459.9069,460.9571,459.8335,460.8835,782949
2025-01-28,461.3125,461.5775,461.1784,461.4434,669764
2025-01-29,484.7141,488.3331,478.855,482.4571,1103440
2025-01-30,470.1979,477.6277,463.8517,471.2671,946324
2025-01-31,467.6094,473.8339,464.7093,470.9132,138987
2025-02-01,474.6786,477.9895,470.8818,474.1894,519550
2025-02-02,478.4518,483.0106,476.3625,480.9105,195099
2025-02-03,495.8209,503.9491,484.9341,493.0164,15330
2025-02-04,482.4753,495.2617,475.6293,488.3326,925136
2025-02-05,476.4142,498.4792,452.7181,474.7039,181550
2025-02-06,463.1381,467.3295,462.7375,466.9257,396437
2025-02-07,469.1552,476.4439,461.3695,468.6503,305935
2025-02-08,455.5513,456.2132,455.0481,455.7099,915730
2025-02-09,455.5835,456.7697,455.207,456.3925,1013707
2025-02-10,447.9133,450.2406,443.6639,445.9811,665273
2025-02-11,453.586,464.637,442.2787,453.3233,255316
2025-02-12,448.6862,454.5081,443.5234,449.3378,35422
2025-02-13,447.7656,466.5604,424.6573,443.2632,553664
2025-02-14,445.6232,476.4438,414.7702,445.5884,758977
2025-02-15,437.3078,451.2946,426.782,440.6875,270393
2025-02-16,435.4676,435.7343,435.1839,435.4505,420454
2025-02-17,446.2721,455.7804,426.1533,435.4306,770029
2025-02-18,430.2509,430.8424,429.0356,429.6262,276826
2025-02-19,420.9525,429.7573,416.187,424.9466,92610
2025-02-20,419.8981,421.1078,417.126,418.3313,100115
2025-02-21,416.9836,427.882,404.277,415.1268,144622
2025-02-22,421.6204,431.7512,407.9354,417.9787,922753
2025-02-23,423.9778,426.7286,421.209,423.9596,799957
2025-02-24,425.4447,431.3972,417.8139,423.7426,423688
2025-02-25,418.914,424.5361,417.233,422.8394,999339
2025-02-26,432.8862,440.705,424.1162,431.9175,958724
2025-02-27,443.1315,461.3112,421.8152,439.8608,802192
2025-02-28,430.6397,464.5617,393.2189,426.8417,1035430
2025-03-01,430.4728,431.2827,422.701,423.4977,434377
2025-03-02,428.4266,438.4776,414.8863,424.8534,820829
2025-03-03,447.6445,461.9227,429.9964,444.1635,796428
2025-03-04,435.0241,457.0934,418.8896,440.7467,607214
2025-03-05,438.4153,440.2037,437.0931,438.8801,474153
2025-03-06,439.8738,444.328,438.2125,442.6562,1096728
2025-03-07,431.5081,438.9412,420.7381,428.1127,624558
2025-03-08,433.9613,434.5792,433.3343,433.9522,409226
2025-03-09,439.267,461.9653,412.644,435.1284,607126
2025-03-10,422.3623,453.507,391.2556,422.3976,246885
2025-03-11,423.507,424.1082,423.0695,423.6705,541915
2025-03-12,421.239,425.5153,411.8326,416.0564,484539
2025-03-13,424.6495,428.8965,420.7679,425.0116,123174
2025-03-14,427.9316,433.3535,423.3966,428.8092,866897
2025-03-15,427.1214,428.5328,425.3301,426.7402,1317191
2025-03-16,430.9273,434.1829,426.7775,430.0263,591602
2025-03-17,428.8955,429.8198,427.6397,428.5632,1100799
2025-03-18,429.8647,430.7592,427.5907,428.4823,1190305
2025-03-19,446.2722,449.102,441.7686,444.5877,509687
