date,open,high,low,close,volume
2025-01-20,3.386,3.455,3.3159,3.3849,825164
2025-01-21,3.4765,3.5415,3.418,3.4829,48419
2025-01-22,3.4451,3.5015,3.3935,3.4499,260466
2025-01-23,3.5299,3.5536,3.5069,3.5306,426095
2025-01-24,3.4491,3.4502,3.4477,3.4489,75029
2025-01-25,3.5783,3.73,3.4579,3.6086,362401
2025-01-26,3.5422,3.5909,3.5148,3.5633,764607
2025-01-27,3.5027,3.6582,3.4104,3.5643,412838
2025-01-28,3.5749,3.6203,3.5276,3.573,917195
2025-01-29,3.7112,3.7325,3.6501,3.6712,364575
2025-01-30,3.7947,3.8624,3.7344,3.802,203300
2025-01-31,3.7772,3.8203,3.7426,3.7856,505410
2025-02-01,3.7632,3.8851,3.6099,3.7307,103205
2025-02-02,3.8288,3.8472,3.8134,3.8318,125670
2025-02-03,3.7818,3.9024,3.663,3.7835,175985
2025-02-04,3.8349,3.8361,3.8344,3.8356,565361
2025-02-05,3.8665,3.8981,3.8308,3.8623,267629
2025-02-06,3.9048,4.104,3.7239,3.9222,409821
2025-02-07,3.918,3.9487,3.8971,3.9278,161862
2025-02-08,3.8561,3.9678,3.7526,3.8641,427460
2025-02-09,3.9188,4.0372,3.7587,3.8757,765752
2025-02-10,3.9133,3.9249,3.9005,3.912,233599
2025-02-11,3.9555,3.9566,3.9543,3.9555,802764
2025-02-12,3.9642,3.9662,3.9548,3.9567,506902
2025-02-13,3.9599,3.9767,3.9428,3.9597,244495
2025-02-14,3.9598,4.1151,3.8279,3.9824,208482
2025-02-15,3.9293,3.9534,3.8599,3.8837,313465
2025-02-16,3.813,3.8481,3.7737,3.8088,738216
2025-02-17,3.7957,3.8094,3.793,3.8068,20030
2025-02-18,3.7588,3.7785,3.7442,3.7638,242998
2025-02-19,3.8651,4.1654,3.6086,3.9061,953510
2025-02-20,4.025,4.0966,3.974,4.0454,1202733
2025-02-21,4.1311,4.1377,4.1275,4.1341,46481
2025-02-22,4.2661,4.2786,4.2568,4.2693,896537
2025-02-23,4.3185,4.3285,4.3096,4.3195,120061
2025-02-24,4.3843,4.3937,4.3724,4.3818,56882
2025-02-25,4.4159,4.4238,4.4052,4.4132,388828
2025-02-26,4.3037,4.3693,4.279,4.3443,678058
2025-02-27,4.3238,4.3315,4.3155,4.3232,82738
2025-02-28,4.2841,4.4351,4.1464,4.2969,403294
2025-03-01,4.3432,4.353,4.3305,4.3403,15057
2025-03-02,4.3867,4.4038,4.3626,4.3797,1370126
2025-03-03,4.4498,4.4862,4.4208,4.4572,352068
2025-03-04,4.4242,4.4312,4.4236,4.4306,277918
2025-03-05,4.5852,4.6477,4.511,4.5734,453507
2025-03-06,4.4289,4.4442,4.4089,4.4241,860294
2025-03-07,4.3512,4.3573,4.3478,4.3539,584479
2025-03-08,4.289,4.4016,4.1947,4.3069,1137969
2025-03-09,4.3567,4.4697,4.2548,4.3675,255944
2025-03-10,4.3828,4.4304,4.3281,4.3757,231491
2025-03-11,4.4284,4.7074,4.0849,4.3595,103961
2025-03-12,4.357,4.4884,4.2083,4.3392,850055
2025-03-13,4.5827,4.617,4.5462,4.5804,6734
2025-03-14,4.5812,4.726,4.4687,4.6127,547306
2025-03-15,4.6127,4.7089,4.5416,4.6375,468988
2025-03-16,4.7196,4.7285,4.7071,4.716,148766
2025-03-17,4.6574,4.6887,4.6101,4.6413,363175
2025-03-18,4.7545,4.7957,4.7233,4.7644,546934
2025-03-19,4.7822,4.8518,4.6729,4.742,266199
2025-03-20,4.6336,4.7883,4.5489,4.7022,267988
2025-03-21,4.6765,4.6851,4.6279,4.6365,67727
2025-03-22,4.6123,4.7257,4.4927,4.6059,1299745
2025-03-23,4.5992,4.6127,4.515,4.5283,90313
2025-03-24,4.3827,4.4947,4.2612,4.3729,677126
2025-03-25,4.3942,4.4175,4.3557,4.3789,712110
2025-03-26,4.3033,4.3897,4.2412,4.3273,650895
2025-03-27,4.3725,4.4334,4.3338,4.3945,376651
2025-03-28,4.4306,4.4653,4.3894,4.424,1190339
2025-03-29,4.4223,4.5625,4.3452,4.4843,96883
2025-03-30,4.3684,4.4223,4.3142,4.3681,169055
2025-03-31,4.3811,4.4798,4.2843,4.383,805628
2025-04-01,4.4329,4.4333,4.4325,4.433,478931
2025-04-02,4.2062,4.211,4.2027,4.2075,92835
2025-04-03,4.1827,4.2003,4.1693,4.187,577841
2025-04-04,4.2295,4.3696,4.1095,4.249,1268529
2025-04-05,4.0608,4.2714,3.8735,4.0831,351786
2025-04-06,3.9959,4.1006,3.8598,3.9636,820164
2025-04-07,3.886,3.8916,3.8812,3.8869,282322
