date,open,high,low,close,volume
2025-01-20,181.8561,182.4965,181.0003,181.6399,524967
2025-01-21,178.789,179.6154,177.7813,178.6068,85210
2025-01-22,179.9994,181.894,179.3565,181.2467,476854
2025-01-23,178.2835,181.5055,176.0729,179.2825,877906
2025-01-24,182.9575,186.829,177.824,181.6683,511352
2025-01-25,180.2837,181.637,179.5511,180.9019,758800
2025-01-26,174.9471,175.295,174.659,175.0068,861298
2025-01-27,174.7022,178.9629,171.9812,176.2183,186580
2025-01-28,175.3554,177.5184,173.9864,176.1434,550953
2025-01-29,184.4701,184.527,184.3967,184.4535,326653
2025-01-30,181.4367,183.8279,177.7169,180.0903,973404
2025-01-31,178.7391,178.8807,178.7067,178.8484,456208
2025-02-01,173.7049,173.7558,173.6237,173.6745,289785
2025-02-02,174.1298,174.4639,173.6703,174.0042,167798
2025-02-03,181.2965,181.422,181.1469,181.2724,578958
2025-02-04,180.3046,180.7275,179.5865,180.0087,229037
2025-02-05,178.247,183.8805,171.2003,176.7877,495526
2025-02-06,172.787,175.8754,169.8867,172.972,366349
2025-02-07,173.8887,174.8013,173.4462,174.3576,427050
2025-02-08,175.1098,175.4889,174.7219,175.101,397019
2025-02-09,176.0661,177.2365,172.9244,174.0816,429341
2025-02-10,168.5609,169.2051,167.7221,168.3655,1072308
2025-02-11,169.1485,169.3288,169.0125,169.1927,663540
2025-02-12,175.3349,176.0462,174.2162,174.9259,176579
2025-02-13,173.2916,174.1405,172.5509,173.3994,308780
2025-02-14,171.9094,171.9796,171.8682,171.9383,95316
2025-02-15,171.0715,183.8848,157.2839,170.0183,139911
2025-02-16,164.6785,168.1199,161.6216,165.0559,550014
2025-02-17,170.1027,171.562,167.8837,169.3365,364287
2025-02-18,168.0341,170.0489,166.3656,168.377,168316
2025-02-19,166.8272,166.8932,166.6404,166.7063,110315
2025-02-20,167.0696,169.4265,164.0936,166.4416,104523
2025-02-21,167.4975,173.0297,159.7018,165.1567,492549
2025-02-22,170.2511,170.597,168.9544,169.2984,266068
2025-02-23,163.8751,166.5416,162.1327,164.7895,70118
2025-02-24,161.081,161.6047,160.8265,161.3497,556131
2025-02-25,165.8744,168.007,162.9567,165.079,182829
2025-02-26,169.7806,170.9967,167.5465,168.7551,35185
2025-02-27,176.1183,177.0912,174.7191,175.6897,105275
2025-02-28,177.2606,181.6055,172.6913,177.0305,497183
2025-03-01,176.0763,177.1372,175.3337,176.3932,406106
2025-03-02,182.0435,189.679,172.7864,180.3509,182776
2025-03-03,175.0084,175.6226,174.3775,174.9917,490116
2025-03-04,170.4154,175.9834,164.6187,170.179,925881
2025-03-05,168.2867,171.4915,164.518,167.7118,234511
2025-03-06,165.6251,166.1546,165.0175,165.5468,314629
2025-03-07,164.449,172.1644,156.6946,164.4081,827675
2025-03-08,171.0842,171.5196,170.5196,170.9547,288697
2025-03-09,170.7398,171.0296,170.6126,170.9022,255979
2025-03-10,171.1342,171.2238,170.9595,171.0491,707752
2025-03-11,178.1858,180.6589,175.0646,177.5285,208009
2025-03-12,173.335,181.299,167.2363,175.1369,564190
2025-03-13,186.365,187.7103,185.9228,187.266,182602
2025-03-14,186.4995,189.7096,184.3288,187.5269,110219
2025-03-15,185.2786,186.9891,183.6962,185.4056,889481
2025-03-16,186.6261,187.7757,186.2999,187.4481,400955
2025-03-17,188.448,200.1776,179.9179,191.509,252754
2025-03-18,190.7996,193.1646,187.366,189.7177,125145
2025-03-19,183.5304,185.2965,182.0421,183.8059,44172
2025-03-20,186.9086,188.8583,184.9673,186.9169,553710
2025-03-21,189.0122,190.0625,188.6731,189.7222,97010
2025-03-22,188.1626,188.5547,187.329,187.7201,824107
2025-03-23,192.5526,196.9181,189.2049,193.553,634525
2025-03-24,192.9281,194.905,190.6124,192.5858,1004158
2025-03-25,201.0957,201.1974,201.0247,201.1263,554152
2025-03-26,205.319,205.492,205.1294,205.3024,539518
