date,open,high,low,close,volume
2025-01-20,20.2698,20.3856,20.1921,20.3078,24911
2025-01-21,20.7628,21.8687,19.4533,20.5478,728408
2025-01-22,20.588,20.6479,20.3935,20.453,327921
2025-01-23,19.9813,20.445,19.5656,20.0284,596139
2025-01-24,20.31,20.3477,19.9699,20.007,469621
2025-01-25,19.6376,20.5283,18.7212,19.6108,75487
2025-01-26,20.4925,21.2198,19.3451,20.0569,27648
2025-01-27,20.6168,20.7344,20.3979,20.5149,525546
2025-01-28,20.3776,21.0728,19.8677,20.5583,1058077
2025-01-29,20.6033,20.6235,20.5905,20.6107,466574
2025-01-30,20.1613,20.4003,20.0212,20.2595,188445
2025-01-31,20.1612,20.2627,20.0182,20.1195,390979
2025-02-01,20.2267,20.3372,20.1397,20.2501,233810
2025-02-02,20.4721,20.5211,20.3701,20.419,712026
2025-02-03,20.4153,20.6774,20.1914,20.453,954706
2025-02-04,20.8536,21.1696,20.6628,20.9777,1044779
2025-02-05,20.5807,21.0179,20.0239,20.4585,331167
2025-02-06,20.4826,20.6865,20.225,20.4284,20851
2025-02-07,20.4551,21.5265,19.1077,20.1637,166561
2025-02-08,21.2166,21.8536,20.3907,21.0219,1057663
2025-02-09,21.0652,21.3437,21.0434,21.3216,539062
2025-02-10,21.7374,21.9161,21.4663,21.6443,69710
2025-02-11,22.2498,23.3215,21.1203,22.1892,242099
2025-02-12,22.2003,22.2112,22.1962,22.2071,541989
2025-02-13,22.0413,22.0607,22.0146,22.0339,558724
2025-02-14,21.8701,22.0968,21.5747,21.8007,399358
2025-02-15,21.2646,21.5101,21.1661,21.4108,296585
2025-02-16,21.41,21.9445,20.9447,21.4778,251857
2025-02-17,20.8473,20.8707,20.8197,20.843,559896
2025-02-18,20.8153,21.3223,20.5074,21.0116,523624
2025-02-19,21.2803,21.5583,21.0054,21.2833,375927
2025-02-20,20.8735,20.8778,20.8694,20.8737,328703
2025-02-21,21.2646,21.2817,21.2613,21.2783,544458
