date,open,high,low,close,volume
2025-01-20,88.835,89.3005,88.158,88.6223,461399
2025-01-21,88.6376,90.1649,88.6255,90.1525,247171
2025-01-22,91.1929,91.7697,90.603,91.1797,1338585
2025-01-23,91.8912,92.0742,91.7012,91.8842,216004
2025-01-24,89.0756,90.2939,87.8478,89.066,357841
2025-01-25,89.4748,89.7299,88.9368,89.1911,621368
2025-01-26,93.9624,94.0258,93.8309,93.8943,106591
2025-01-27,91.2147,91.2346,91.1722,91.1921,309792
2025-01-28,94.5462,100.0807,88.1611,93.6427,324953
2025-01-29,94.232,94.9787,93.8702,94.6154,424843
2025-01-30,93.5876,95.2607,92.6042,94.2701,681687
2025-01-31,94.7072,95.6721,94.104,95.0666,320666
2025-02-01,96.1248,98.648,94.0823,96.5955,370367
2025-02-02,97.4745,97.7375,96.9655,97.2278,144771
2025-02-03,100.4551,101.1115,99.2611,99.914,99135
2025-02-04,102.3235,103.98,100.2458,101.8954,366315
2025-02-05,96.5738,103.7464,90.7381,97.8344,128262
2025-02-06,99.9925,101.2671,99.1356,100.4066,380569
2025-02-07,103.1232,104.13,102.0525,103.0587,987438
2025-02-08,102.5555,102.5814,102.5449,102.5708,250492
2025-02-09,104.0833,104.6603,103.2228,103.7982,495139
2025-02-10,106.6965,106.7168,106.6574,106.6776,8441
2025-02-11,106.6925,107.0376,106.4157,106.7606,291811
2025-02-12,108.2096,108.2233,107.8099,107.8235,278471
2025-02-13,105.7428,110.196,101.2697,105.7221,83483
2025-02-14,108.4386,109.2089,106.9009,107.6658,288314
2025-02-15,110.5997,110.7487,110.3955,110.5443,601456
2025-02-16,113.7723,114.682,111.7417,112.6423,632105
2025-02-17,117.3466,119.0311,114.596,116.2649,963320
2025-02-18,118.2762,122.4615,114.5596,118.7306,459061
2025-02-19,118.3504,118.7329,117.5928,117.974,956336
2025-02-20,114.9201,115.0149,114.8135,114.9083,187598
2025-02-21,118.2288,118.8744,117.5228,118.1682,857303
2025-02-22,112.3011,120.7584,106.1611,114.4983,160993
2025-02-23,117.409,117.4827,117.1344,117.208,825992
2025-02-24,118.6967,118.7175,118.6713,118.6921,550648
2025-02-25,117.6952,117.8968,117.6837,117.8854,307786
2025-02-26,114.553,115.0578,113.8926,114.3968,128059
2025-02-27,114.7947,115.0969,113.3498,113.6491,804788
2025-02-28,112.4853,113.015,111.8394,112.3686,799737
2025-03-01,116.3221,116.9367,115.298,115.9104,407988
2025-03-02,112.3392,114.8594,110.6403,113.1483,204837
2025-03-03,114.6225,120.7725,109.3829,115.4931,673515
2025-03-04,114.7635,115.128,114.3841,114.7485,949408
2025-03-05,112.3531,112.7958,111.8313,112.2737,393410
2025-03-06,111.0016,111.169,110.9459,111.1132,652514
2025-03-07,106.7399,107.6917,106.5758,107.5264,138347
2025-03-08,108.9223,109.9472,108.0887,109.1121,645742
2025-03-09,113.2361,115.4987,111.7343,113.9869,238561
2025-03-10,117.208,118.1589,116.4165,117.3663,367915
2025-03-11,125.1788,125.3204,124.7521,124.8933,327855
2025-03-12,126.1836,131.0374,120.0442,124.8465,195574
2025-03-13,124.8536,129.4712,120.801,125.4008,458483
2025-03-14,134.071,134.9989,132.192,133.1133,327114
2025-03-15,134.3897,138.0077,131.1493,134.7584,379635
2025-03-16,132.7182,132.7487,132.4723,132.5027,356011
2025-03-17,131.1395,131.7428,130.8259,131.4284,574478
2025-03-18,130.9192,131.3183,130.0983,130.4961,413169
2025-03-19,130.3299,135.2069,126.6367,131.481,567328
2025-03-20,130.55,131.593,128.8023,129.8397,723709
2025-03-21,126.4133,127.4985,125.8538,126.9367,303267
2025-03-22,131.0392,133.0761,127.815,129.8332,484245
2025-03-23,131.5691,132.0636,129.9341,130.4244,201828
2025-03-24,127.7113,133.2897,123.535,129.069,647305
2025-03-25,127.7531,128.8375,125.8686,126.9462,367342
2025-03-26,128.6556,128.9281,128.2308,128.503,159994
2025-03-27,130.5645,130.8594,130.4671,130.7619,862816
2025-03-28,130.7055,131.0174,130.2476,130.5592,895392
2025-03-29,134.3724,134.4301,134.3297,134.3874,516850
2025-03-30,131.2611,131.3265,130.832,130.8972,446415
2025-03-31,128.4984,129.5356,127.1694,128.2042,33331
2025-04-01,129.5585,129.6863,129.5205,129.6483,92006
2025-04-02,130.5192,132.6539,128.661,130.7919,899457
2025-04-03,128.8476,130.1054,127.7584,129.0148,463910
2025-04-04,132.455,132.7378,132.4056,132.6883,384331
2025-04-05,137.2902,137.8257,136.2974,136.8311,263238
2025-04-06,137.5575,138.0732,137.2237,137.739,373044
2025-04-07,140.0768,140.6795,138.3121,138.9097,118523
2025-04-08,142.0724,145.491,137.1923,140.5748,465626
2025-04-09,137.7656,143.1296,132.0786,137.4294,852562
2025-04-10,139.0772,146.0752,132.3828,139.3668,1018097
2025-04-11,141.8457,147.8018,133.4093,139.2568,338486
2025-04-12,143.9603,147.0799,140.3338,143.4422,700454
2025-04-13,144.8535,146.1863,143.3415,144.6726,488975
2025-04-14,142.8098,144.9724,141.1642,143.321,735519
2025-04-15,146.0173,146.3835,145.1004,145.4653,782090
2025-04-16,145.9939,148.0453,142.9827,145.0204,399626
2025-04-17,145.2618,147.463,142.4519,144.6438,91999
2025-04-18,145.8983,146.8955,145.2824,146.2779,442275
2025-04-19,146.8636,151.4846,143.9155,148.5035,43754
2025-04-20,148.0354,148.0625,148.0083,148.0354,420602
2025-04-21,149.2791,150.0327,148.8642,149.6169,464439
2025-04-22,144.4898,148.6915,141.8238,145.9978,831562
2025-04-23,148.4461,152.3695,144.8162,148.7326,791180
2025-04-24,149.2823,149.6012,149.1782,149.4969,420665
2025-04-25,147.0781,149.3148,145.431,147.6612,351535
2025-04-26,150.6188,151.7326,149.8252,150.9372,441775
2025-04-27,150.8786,151.2647,150.5092,150.8953,404825
2025-04-28,152.8826,152.954,152.5478,152.619,21019
2025-04-29,149.8944,150.8451,149.4393,150.3885,292828
2025-04-30,152.0663,153.4966,150.6933,152.123,44401
2025-05-01,151.3609,151.3917,151.3518,151.3827,279189
2025-05-02,157.1363,157.6414,156.9942,157.499,844965
2025-05-03,156.5733,156.8619,156.3876,156.6761,696262
2025-05-04,155.6778,156.5382,155.0699,155.9294,100311
2025-05-05,154.4434,156.5989,153.3641,155.5121,361783
2025-05-06,158.3771,158.5469,157.9094,158.079,578960
2025-05-07,157.0366,158.5668,156.5903,158.1175,337192
2025-05-08,158.0761,160.8074,155.8642,158.5884,633239
2025-05-09,161.2239,165.0353,156.4639,160.2523,45672
2025-05-10,156.8044,156.8315,155.9036,155.9304,328547
