date,open,high,low,close,volume
2025-01-20,44.8895,45.645,43.7342,44.4828,364059
2025-01-21,44.4965,45.4268,42.9754,43.893,186319
2025-01-22,47.1178,47.213,47.002,47.0972,339688
2025-01-23,47.0771,47.1331,47.0003,47.0562,29149
2025-01-24,47.3409,47.6858,46.9353,47.2798,283513
2025-01-25,47.6742,48.1501,46.7906,47.2623,413945
2025-01-26,45.9136,46.133,45.754,45.9731,943837
2025-01-27,46.4364,46.8187,45.8662,46.2469,388765
2025-01-28,46.2375,46.7444,45.4964,46.0008,829077
2025-01-29,44.7433,46.1299,43.6221,45.0022,728294
2025-01-30,44.8265,45.2189,44.2906,44.6818,411171
2025-01-31,44.1264,44.4937,43.9674,44.334,441578
2025-02-01,44.5762,45.7496,42.7331,43.8885,581387
2025-02-02,43.7266,43.9998,43.3467,43.6193,150703
2025-02-03,43.6276,44.4285,42.7332,43.5324,206608
2025-02-04,43.5493,44.0098,43.2832,43.7426,74773
2025-02-05,43.1817,43.3737,42.862,43.0535,1071510
2025-02-06,42.6466,42.9609,42.4516,42.7654,766081
2025-02-07,43.9124,44.0699,43.6806,43.8379,1085836
2025-02-08,44.8331,44.889,44.7756,44.8315,375196
2025-02-09,44.4442,45.684,42.6606,43.8848,878386
2025-02-10,43.0779,43.1524,42.999,43.0735,594827
2025-02-11,42.3222,44.3592,40.8939,42.911,1314247
2025-02-12,42.6965,43.08,42.4012,42.7841,888409
2025-02-13,43.3673,44.2629,42.1492,43.038,756250
2025-02-14,44.1682,45.4478,42.7868,44.0634,515669
2025-02-15,43.422,43.5162,43.3442,43.4384,462044
2025-02-16,43.062,43.7551,42.5532,43.2441,123190
2025-02-17,43.0158,46.5556,39.7392,43.2604,221854
2025-02-18,44.0827,44.4046,43.5543,43.8747,685193
2025-02-19,43.8254,43.8423,43.7906,43.8075,352676
2025-02-20,44.2192,44.5166,43.8684,44.1655,753882
2025-02-21,42.7922,43.6679,42.1508,43.023,491417
2025-02-22,43.6595,43.7209,43.5983,43.6596,568552
2025-02-23,44.7326,45.0091,44.4038,44.68,73158
2025-02-24,43.3942,44.312,42.2419,43.1546,1073065
2025-02-25,43.0953,43.195,42.9877,43.0874,512802
2025-02-26,44.1383,44.7035,43.6681,44.2323,299125
2025-02-27,44.0232,44.2034,43.8475,44.0278,40356
2025-02-28,44.0134,45.604,42.5431,44.1298,356595
