date,open,high,low,close,volume
2025-01-20,160.0301,160.4934,159.5298,159.9929,696365
2025-01-21,155.5919,158.4493,152.2856,155.1346,24066
2025-01-22,157.3888,157.8363,156.755,157.2021,485885
2025-01-23,153.0715,158.6914,150.4149,155.9843,207132
2025-01-24,153.8022,158.7989,149.947,154.9158,64936
2025-01-25,157.7841,158.3936,156.5412,157.1482,436003
2025-01-26,157.6901,158.535,156.733,157.5773,63246
2025-01-27,159.1813,161.7948,157.85,160.4529,639481
2025-01-28,160.5178,161.8488,159.5553,160.8841,379121
2025-01-29,162.2565,163.1511,161.7417,162.6352,463005
2025-01-30,167.8432,168.1076,167.6822,167.9464,343663
2025-01-31,169.6625,170.4402,169.1101,169.887,1422961
2025-02-01,165.9649,166.2675,165.6469,165.9495,10604
2025-02-02,171.25,179.9564,160.14,168.7177,182896
2025-02-03,170.8554,172.8378,168.0241,169.9965,239629
2025-02-04,175.6407,180.8187,170.8473,176.015,455933
2025-02-05,170.8095,174.6174,169.2848,173.0725,674520
2025-02-06,173.4849,176.7855,168.1827,171.4446,25318
2025-02-07,174.4034,175.1554,173.6745,174.4264,622808
2025-02-08,176.854,177.4718,176.7092,177.3265,518509
2025-02-09,180.2312,180.2469,179.9468,179.9625,1080348
2025-02-10,177.9576,177.9901,177.9393,177.9717,495569
2025-02-11,174.5091,174.8868,172.9379,173.313,683938
2025-02-12,177.3819,178.7591,175.4733,176.8464,549495
2025-02-13,174.0231,178.106,169.2328,173.2988,623769
2025-02-14,169.7104,170.4458,168.8163,169.551,1119655
2025-02-15,164.9593,165.9158,164.0617,165.0179,52143
2025-02-16,163.5382,164.4179,162.639,163.5187,951627
2025-02-17,162.0525,166.8753,157.9549,162.7598,542478
2025-02-18,168.7146,169.264,168.241,168.7902,63284
2025-02-19,167.3645,168.2223,164.5559,165.4037,360599
2025-02-20,166.4823,168.2097,165.3699,167.0932,647020
2025-02-21,168.5335,170.7084,165.9868,168.1569,1152818
2025-02-22,172.9689,179.4336,167.0944,173.5397,340224
2025-02-23,176.7548,176.8318,176.6947,176.7716,746253
2025-02-24,170.9998,178.3481,166.0033,173.2849,458987
2025-02-25,174.6824,175.7401,172.3038,173.3534,1093222
2025-02-26,172.9067,174.1335,172.2449,173.4696,350649
2025-02-27,171.2306,176.479,166.5412,171.7746,536176
2025-02-28,167.3279,172.6421,164.4701,169.7431,27481
2025-03-01,173.5705,174.9741,172.6091,174.0102,398957
2025-03-02,178.7358,178.8585,178.3775,178.5001,598095
2025-03-03,177.3815,177.4864,176.9795,177.0842,250983
2025-03-04,183.3666,183.8632,182.929,183.4254,813604
2025-03-05,175.9289,175.9479,175.9085,175.9274,999272
