date,open,high,low,close,volume
2025-01-20,51.61,51.8319,51.3003,51.5218,450766
2025-01-21,51.3038,51.33,51.2815,51.3078,1287664
2025-01-22,50.0236,50.0619,49.9635,50.0019,187358
2025-01-23,47.8084,48.6382,47.2431,48.0698,192868
2025-01-24,48.0836,48.2958,48.0482,48.2603,732880
2025-01-25,48.7544,49.0323,48.3584,48.6356,132474
2025-01-26,48.1487,48.6252,47.5891,48.0647,677377
2025-01-27,46.3302,47.2018,45.6763,46.5449,219577
2025-01-28,45.4356,46.015,44.8875,45.4665,367723
2025-01-29,45.54,46.4193,44.3607,45.2341,394866
2025-01-30,43.7367,44.7768,42.9751,44.0104,447820
2025-01-31,43.8299,43.83,43.8297,43.8298,242117
2025-02-01,45.0447,45.2051,44.7372,44.8971,157014
2025-02-02,44.1075,44.1563,43.7329,43.7813,45084
2025-02-03,45.0166,47.6382,42.9308,45.5287,113510
2025-02-04,45.1797,45.233,45.1449,45.1982,1397362
2025-02-05,44.5519,45.0326,43.9907,44.4705,437907
2025-02-06,44.5778,44.7727,44.3616,44.5565,379484
2025-02-07,43.7016,44.1512,43.2515,43.7011,875923
2025-02-08,44.9748,45.3398,44.5457,44.9102,216233
2025-02-09,45.1018,47.2906,42.4119,44.5752,589165
2025-02-10,45.7748,46.1402,45.1557,45.5191,160330
2025-02-11,46.4187,46.809,45.9195,46.3089,500551
2025-02-12,47.5439,47.5799,47.5384,47.5745,896287
2025-02-13,46.2567,46.3148,46.2218,46.2798,423280
2025-02-14,45.7658,46.8472,44.7894,45.8685,590465
2025-02-15,45.653,45.9294,44.9837,45.2577,388956
2025-02-16,45.8868,46.4105,45.2907,45.8135,172383
2025-02-17,47.2411,48.1,46.1952,47.0506,508036
2025-02-18,48.1739,48.3921,47.9382,48.1564,225607
2025-02-19,48.5641,49.4801,47.7466,48.6609,544609
2025-02-20,47.9791,48.5894,47.1829,47.7908,589108
2025-02-21,48.8575,49.829,47.958,48.9281,839740
2025-02-22,50.3654,50.621,49.9496,50.2044,344946
2025-02-23,49.7714,52.7046,47.1766,50.093,1172570
2025-02-24,49.6001,49.6771,49.3685,49.4452,833276
2025-02-25,49.8812,50.2887,49.5685,49.9753,596786
2025-02-26,49.8831,50.0736,49.6431,49.8334,635773
2025-02-27,49.3972,50.6991,48.5654,49.8595,33318
2025-02-28,50.2303,51.9985,49.2891,51.0421,351477
2025-03-01,49.4903,49.6387,49.3641,49.5125,768990
2025-03-02,49.9156,50.2656,49.6728,50.0222,279128
2025-03-03,49.6872,50.2737,49.3334,49.9183,552670
2025-03-04,50.773,51.7372,50.4899,51.4503,747828
2025-03-05,52.0371,52.4822,52.0356,52.4807,362092
2025-03-06,53.4198,53.883,52.7921,53.2539,676692
2025-03-07,52.0287,52.9385,50.9424,51.8491,1222358
2025-03-08,51.1309,51.5253,50.8888,51.2824,718350
2025-03-09,50.9275,51.7045,49.7049,50.475,333337
2025-03-10,51.3743,51.502,50.8532,50.9799,1360290
2025-03-11,51.7753,51.9546,51.4117,51.5903,41663
2025-03-12,50.8935,53.1735,48.6419,50.9207,267656
2025-03-13,49.95,50.0033,49.8275,49.8807,329883
2025-03-14,50.3303,50.469,50.1645,50.3032,621611
2025-03-15,48.5602,48.6941,48.3159,48.4495,220121
2025-03-16,47.6542,47.8005,47.4817,47.6278,89892
2025-03-17,45.0457,45.2397,44.8846,45.0784,905489
2025-03-18,44.6691,44.7317,44.4674,44.5297,214178
2025-03-19,43.7158,43.8754,43.5761,43.7356,797986
2025-03-20,44.5407,44.6136,44.4714,44.5443,114750
2025-03-21,44.2015,45.5539,43.188,44.5328,639244
2025-03-22,44.9516,45.0083,44.9193,44.976,460587
2025-03-23,45.8137,47.2782,44.2253,45.6857,546643
2025-03-24,44.253,44.4315,43.9688,44.1469,640154
2025-03-25,44.135,44.1989,44.0381,44.102,451679
2025-03-26,43.8029,43.9185,43.6766,43.7921,86098
2025-03-27,43.6422,45.1687,42.2027,43.7264,605311
2025-03-28,42.7233,43.966,41.785,43.0212,81661
2025-03-29,42.5469,42.6648,42.3908,42.5086,139136
2025-03-30,43.7754,44.3871,43.3058,43.916,774833
2025-03-31,44.5592,44.5599,44.5077,44.5084,1064540
2025-04-01,45.3984,45.5865,44.9442,45.1312,713840
2025-04-02,45.539,45.6314,45.3991,45.4914,11399
2025-04-03,44.0518,44.8729,43.8028,44.6206,197608
2025-04-04,44.6148,44.6291,44.6023,44.6167,446497
2025-04-05,43.2044,43.4211,43.0254,43.242,72721
2025-04-06,43.4889,44.6463,42.5869,43.7391,145908
2025-04-07,43.687,44.9072,42.2913,43.5065,552515
2025-04-08,42.921,42.9612,42.8846,42.9248,308423
2025-04-09,43.2063,43.3019,43.2001,43.2957,747751
2025-04-10,44.0898,45.2616,43.1605,44.3273,462170
2025-04-11,44.6559,45.4708,44.3057,45.117,329089
2025-04-12,45.7559,45.9948,45.4213,45.6598,768873
2025-04-13,45.743,45.8613,45.4752,45.5932,384500
2025-04-14,45.1257,46.4034,44.3729,45.6421,468408
2025-04-15,45.0551,46.5797,44.1458,45.6583,910919
2025-04-16,46.9434,47.5784,45.6194,46.245,213199
2025-04-17,46.8764,47.3344,46.3851,46.8427,594930
2025-04-18,47.8094,48.7766,47.1845,48.1474,78311
2025-04-19,47.8939,48.077,47.7498,47.9328,515322
2025-04-20,47.1065,47.1844,47.0421,47.12,285478
2025-04-21,47.6436,48.3717,46.5616,47.2842,241155
2025-04-22,46.3925,47.1641,45.7688,46.5384,217802
2025-04-23,46.958,47.0221,46.8637,46.9278,417944
2025-04-24,47.664,48.0231,47.6124,47.9711,1408542
2025-04-25,46.0909,46.2259,45.968,46.1029,296699
2025-04-26,46.8319,47.677,45.6685,46.5077,516876
2025-04-27,48.1334,48.5145,47.7975,48.1783,755327
2025-04-28,46.5226,46.7523,46.3051,46.5347,229058
2025-04-29,47.6769,47.6917,47.6687,47.6835,213651
2025-04-30,47.9176,48.3717,47.6028,48.0559,598041
2025-05-01,48.0104,48.2452,47.3748,47.6076,761236
2025-05-02,46.0484,46.3683,45.668,45.9875,268818
2025-05-03,46.3617,46.6561,46.1378,46.4318,698681
2025-05-04,47.2418,47.9066,46.4676,47.1308,66918
2025-05-05,46.4894,46.5329,46.4169,46.4604,18633
2025-05-06,45.9492,46.2007,45.9432,46.1946,747299
2025-05-07,47.0476,47.1643,46.5781,46.694,1347703
2025-05-08,47.6395,49.7971,44.9662,47.0994,306116
2025-05-09,46.3867,46.4165,46.2815,46.3111,254118
2025-05-10,44.3482,44.3525,44.3447,44.3489,528055
2025-05-11,44.4727,45.1266,43.9618,44.614,102207
2025-05-12,44.9362,44.976,44.8856,44.9254,107373
2025-05-13,44.5368,44.984,44.5258,44.9729,1454585
2025-05-14,45.6078,47.1463,44.3033,45.8353,421050
2025-05-15,44.2372,44.6828,43.9295,44.3741,767997
2025-05-16,46.2594,46.3264,46.0604,46.1272,134790
2025-05-17,46.9151,47.0232,46.6764,46.7842,187886
2025-05-18,45.9913,46.0327,45.8161,45.8574,1080237
2025-05-19,46.7734,48.1969,45.2509,46.6713,692530
2025-05-20,47.3522,48.1693,46.3565,47.1704,533221
2025-05-21,46.611,46.6411,46.5862,46.6163,1074417
2025-05-22,47.3743,51.511,42.6605,46.7419,717572
2025-05-23,46.5405,46.5732,46.5086,46.5413,877701
2025-05-24,48.1813,48.813,47.3937,48.0233,152957
2025-05-25,50.2444,50.7355,49.4689,49.9572,297241
2025-05-26,49.6478,49.8486,49.4847,49.6853,61947
2025-05-27,50.5937,52.5755,48.7504,50.7273,291581
2025-05-28,52.4005,53.7111,50.4,51.693,336968
2025-05-29,51.0999,52.2319,50.2739,51.401,1203869
2025-05-30,51.4923,54.5555,47.9197,50.9507,1146897
2025-05-31,50.2282,53.8795,46.1926,49.8138,816740
2025-06-01,51.5074,52.4158,50.2464,51.1485,214935
2025-06-02,53.1931,54.9081,51.4429,53.1568,638693
2025-06-03,51.4827,51.6445,51.2516,51.4132,460027
2025-06-04,50.0819,54.2814,45.8045,49.9969,807173
2025-06-05,50.4247,50.4429,50.4175,50.4357,786015
2025-06-06,51.2552,51.5449,51.0676,51.3568,37881
2025-06-07,51.9284,52.2466,51.5543,51.8722,215211
2025-06-08,51.1064,51.1821,50.9702,51.0459,216487
2025-06-09,49.7302,50.1146,49.5637,49.9474,702638
2025-06-10,49.7196,49.969,49.5715,49.8205,338233
2025-06-11,50.0987,51.355,48.5229,49.771,796975
2025-06-12,50.0469,50.9954,49.3671,50.312,428869
2025-06-13,48.958,50.5937,47.6268,49.2543,368547
2025-06-14,48.5344,49.3148,47.5245,48.3011,272068
2025-06-15,47.8528,47.9457,47.5611,47.6536,133429
2025-06-16,47.763,47.8779,47.6276,47.7425,425966
2025-06-17,47.0449,48.0034,45.9714,46.9276,556233
2025-06-18,46.6354,47.0513,46.3532,46.7684,33524
2025-06-19,47.6504,49.1551,46.7507,48.2441,568330
2025-06-20,48.3044,49.1625,47.1228,47.9751,274447
2025-06-21,46.2329,46.5718,46.0104,46.3488,553816
2025-06-22,46.3555,46.5354,46.2523,46.432,960659
2025-06-23,46.628,47.3711,46.2646,47.0048,269039
2025-06-24,48.9863,49.2587,48.5667,48.8382,113893
2025-06-25,47.4883,47.5237,47.4781,47.5135,291638
2025-06-26,47.7757,47.8781,47.7139,47.8163,101974
2025-06-27,46.4652,46.7369,45.8981,46.168,690171
2025-06-28,45.1354,45.4439,44.827,45.1355,391623
2025-06-29,43.774,44.1602,43.4427,43.8285,254295
2025-06-30,43.6442,44.0873,43.3498,43.792,946935
2025-07-01,43.4567,44.2989,42.3819,43.2195,896246
2025-07-02,42.8267,43.0203,42.6811,42.8745,30751
2025-07-03,43.8375,43.8646,43.6958,43.7228,905231
2025-07-04,44.4613,45.1777,43.5482,44.2614,174713
2025-07-05,42.0262,42.5856,41.8639,42.4218,402706
2025-07-06,42.984,42.9968,42.9749,42.9877,1038057
2025-07-07,42.2545,43.7636,40.5848,42.088,170261
2025-07-08,42.8675,42.9928,42.8479,42.9732,972745
2025-07-09,41.984,42.1144,41.9027,42.033,40965
2025-07-10,42.4128,44.7032,39.7074,41.974,149656
2025-07-11,41.7262,41.8395,41.6098,41.723,525609
