date,open,high,low,close,volume
2025-01-20,0.556,0.5561,0.5521,0.5522,488249
2025-01-21,0.5433,0.5549,0.5308,0.5424,1219992
2025-01-22,0.5423,0.5574,0.5238,0.5389,236879
2025-01-23,0.5476,0.5513,0.5396,0.5433,796988
2025-01-24,0.5271,0.5363,0.5242,0.5334,109619
2025-01-25,0.5137,0.5237,0.5034,0.5133,1256981
2025-01-26,0.5309,0.5311,0.5308,0.531,708137
2025-01-27,0.5377,0.5393,0.5359,0.5375,801215
2025-01-28,0.5331,0.5422,0.5262,0.5352,220617
2025-01-29,0.537,0.5395,0.5351,0.5376,65079
2025-01-30,0.5502,0.5514,0.5495,0.5507,1043909
2025-01-31,0.5529,0.5891,0.526,0.5617,331332
2025-02-01,0.56,0.5635,0.5498,0.5532,275931
2025-02-02,0.5562,0.5786,0.54,0.5622,556116
2025-02-03,0.5747,0.5747,0.5727,0.5728,1100439
2025-02-04,0.5713,0.5736,0.5695,0.5718,426638
2025-02-05,0.5587,0.5672,0.5496,0.558,871377
2025-02-06,0.5537,0.5713,0.5355,0.5531,713544
2025-02-07,0.5511,0.5638,0.5382,0.5509,559201
2025-02-08,0.532,0.5403,0.526,0.5343,726064
2025-02-09,0.5352,0.5364,0.5322,0.5335,437758
2025-02-10,0.531,0.5443,0.5182,0.5315,741368
2025-02-11,0.5312,0.5324,0.5302,0.5315,809917
2025-02-12,0.5487,0.5505,0.5426,0.5444,15710
2025-02-13,0.5448,0.5449,0.5447,0.5448,744506
2025-02-14,0.5455,0.5502,0.5379,0.5426,36741
2025-02-15,0.5529,0.5536,0.5523,0.553,1109893
2025-02-16,0.5368,0.5382,0.5356,0.5369,426973
2025-02-17,0.5254,0.5265,0.5225,0.5236,810322
2025-02-18,0.5399,0.5543,0.532,0.5463,885550
2025-02-19,0.5403,0.5463,0.5334,0.5395,59638
2025-02-20,0.5348,0.5361,0.5347,0.5359,443437
2025-02-21,0.5334,0.5458,0.5231,0.5354,438694
2025-02-22,0.5271,0.5291,0.5264,0.5284,772261
2025-02-23,0.5135,0.517,0.5092,0.5127,942948
2025-02-24,0.5141,0.5355,0.4977,0.5189,377358
2025-02-25,0.5157,0.5159,0.5155,0.5156,582184
2025-02-26,0.5283,0.529,0.5268,0.5274,989254
2025-02-27,0.5321,0.535,0.5305,0.5333,341878
2025-02-28,0.5297,0.5383,0.5251,0.5336,874334
2025-03-01,0.5308,0.5314,0.5297,0.5303,411515
2025-03-02,0.531,0.5375,0.5211,0.5276,922335
2025-03-03,0.5374,0.5688,0.506,0.5374,313225
2025-03-04,0.5253,0.5308,0.5229,0.5284,235744
2025-03-05,0.518,0.522,0.5149,0.5189,418420
2025-03-06,0.5334,0.5383,0.5279,0.5327,392942
