date,open,high,low,close,volume
2025-01-20,8.5508,8.5547,8.5461,8.55,420402
2025-01-21,8.4316,8.448,8.4195,8.4359,329032
2025-01-22,8.5872,8.6114,8.5558,8.58,1104360
2025-01-23,8.6157,8.6306,8.5824,8.5972,417104
2025-01-24,8.1513,8.1526,8.1504,8.1517,176013
2025-01-25,8.3811,8.5645,8.146,8.3283,1066892
2025-01-26,8.4471,8.5749,8.3081,8.4357,203411
2025-01-27,8.5989,8.8164,8.4035,8.6205,1148395
2025-01-28,8.3482,8.3882,8.2948,8.3347,310329
2025-01-29,8.388,8.9693,7.8825,8.4595,694326
2025-01-30,8.4081,8.6443,8.2408,8.4757,350535
2025-01-31,8.6388,8.6817,8.5429,8.5856,443491
2025-02-01,8.5951,8.6073,8.58,8.5922,334440
2025-02-02,8.7182,9.2787,8.0321,8.584,665172
2025-02-03,8.5295,8.6471,8.3949,8.5122,838170
2025-02-04,8.2353,8.2403,8.2307,8.2356,283063
2025-02-05,8.5924,8.7055,8.468,8.5811,157658
2025-02-06,8.5767,8.6588,8.5315,8.6134,783429
2025-02-07,8.3665,8.4204,8.3196,8.3734,362962
2025-02-08,8.464,8.6006,8.3204,8.4569,138101
2025-02-09,8.3955,8.6725,8.1657,8.4415,686897
2025-02-10,8.089,8.0977,8.0814,8.0901,571562
2025-02-11,8.1489,8.2219,8.1482,8.2212,185371
2025-02-12,8.0629,8.114,7.9998,8.0509,1386170
2025-02-13,7.9083,8.0087,7.8366,7.9368,64909
2025-02-14,7.9997,8.0124,7.9834,7.9961,1232182
2025-02-15,8.0055,8.3504,7.7055,8.0487,633113
2025-02-16,7.9437,7.9817,7.85,7.8878,379007
2025-02-17,7.8011,8.2796,7.4515,7.9244,437159
2025-02-18,8.2151,8.271,8.1692,8.2251,166070
2025-02-19,8.2403,8.2943,8.1589,8.2127,17387
2025-02-20,8.1503,8.2122,8.0669,8.1287,33927
2025-02-21,8.4989,8.554,8.3483,8.4029,510802
2025-02-22,8.4581,8.6425,8.3477,8.5311,995870
2025-02-23,8.5739,8.6661,8.553,8.6451,322144
2025-02-24,8.929,8.9831,8.8876,8.9416,1263398
2025-02-25,8.5972,8.6107,8.5908,8.6043,462117
2025-02-26,8.5215,8.5821,8.3989,8.459,862737
2025-02-27,8.2383,8.2947,8.2058,8.262,513023
2025-02-28,8.2838,8.4342,8.1041,8.254,95397
2025-03-01,8.4135,8.7315,8.1325,8.4493,57989
2025-03-02,8.3662,8.5262,8.252,8.4114,621302
2025-03-03,8.3576,8.3773,8.3468,8.3665,285568
