date,open,high,low,close,volume
2025-01-20,1135.8241,1145.2453,1130.86,1140.2618,444312
2025-01-21,1168.2074,1171.4104,1166.0324,1169.2335,988252
2025-01-22,1173.1461,1173.3533,1172.3402,1172.5473,615054
2025-01-23,1216.1951,1262.5055,1161.3046,1207.2754,408258
2025-01-24,1205.1223,1277.7302,1146.6272,1218.5818,1052474
2025-01-25,1231.9032,1244.6657,1219.4552,1232.2145,22455
2025-01-26,1204.1075,1205.6095,1201.5034,1203.004,612989
2025-01-27,1221.0215,1223.8719,1199.7621,1202.5694,203394
2025-01-28,1211.5789,1227.2964,1201.8588,1217.5286,113195
2025-01-29,1212.1214,1220.9263,1206.226,1215.0168,561362
2025-01-30,1230.8634,1269.4099,1177.03,1215.0824,103704
2025-01-31,1205.8431,1215.9162,1199.2292,1209.2834,182421
2025-02-01,1178.9915,1180.1334,1177.6723,1178.814,671440
2025-02-02,1174.68,1178.0921,1168.4064,1171.8102,355031
2025-02-03,1170.0336,1196.5364,1152.371,1178.7424,341386
2025-02-04,1185.0126,1212.3214,1179.8081,1207.0202,291325
2025-02-05,1183.5237,1271.9675,1082.0022,1169.3899,292921
2025-02-06,1205.3063,1215.93,1193.1075,1203.7171,203916
2025-02-07,1142.4336,1152.5782,1132.8705,1143.0103,494197
2025-02-08,1111.1028,1111.7044,1108.9061,1109.5068,1089256
2025-02-09,1080.8013,1082.4417,1078.9907,1080.6309,269831
2025-02-10,1068.9109,1084.4485,1055.9418,1071.4486,579652
2025-02-11,1067.8192,1068.9661,1066.4447,1067.5914,352619
2025-02-12,1065.7408,1070.841,1060.3342,1065.433,1001184
2025-02-13,1087.2933,1126.183,1039.046,1077.5886,524027
2025-02-14,1071.181,1092.1708,1055.8528,1076.7626,1175442
2025-02-15,1105.8716,1120.8639,1088.6534,1103.6151,234092
2025-02-16,1147.3411,1167.4431,1135.4846,1155.5022,1068584
2025-02-17,1136.0983,1184.0024,1082.6486,1130.3086,767549
2025-02-18,1159.4914,1263.5064,1066.1237,1169.3453,713319
2025-02-19,1187.6096,1210.6143,1159.0089,1181.903,1140205
2025-02-20,1136.2432,1136.2433,1136.2428,1136.2429,852273
2025-02-21,1128.7507,1136.1226,1121.0785,1128.4484,515195
2025-02-22,1147.9394,1150.154,1144.7166,1146.9293,501570
2025-02-23,1147.173,1148.7676,1145.8755,1147.4697,509158
2025-02-24,1145.0012,1158.6251,1143.3336,1156.94,23732
2025-02-25,1173.525,1195.4591,1154.8236,1176.7069,530700
2025-02-26,1158.4325,1159.3314,1155.8242,1156.7217,377323
2025-02-27,1146.6199,1178.7782,1120.0236,1152.0558,506226
2025-02-28,1123.3219,1125.9302,1119.4137,1122.019,999817
2025-03-01,1169.45,1186.8527,1161.428,1178.7668,107453
2025-03-02,1186.2334,1202.1555,1168.0049,1183.8956,606209
2025-03-03,1136.7958,1148.9827,1121.439,1133.5916,340915
2025-03-04,1129.3307,1132.3647,1125.9339,1128.9669,327522
2025-03-05,1116.3103,1146.8091,1086.3575,1116.842,511166
2025-03-06,1133.6362,1134.4063,1133.1634,1133.9333,399794
2025-03-07,1078.7795,1079.0177,1077.3041,1077.5419,42410
2025-03-08,1080.4819,1081.368,1077.3119,1078.1961,763649
2025-03-09,1107.6712,1107.6744,1107.1585,1107.1617,453644
2025-03-10,1094.0577,1114.7432,1075.7612,1096.4074,515970
2025-03-11,1087.8533,1091.7024,1086.7467,1090.5931,75523
2025-03-12,1101.6303,1115.6842,1087.7078,1101.76,803128
2025-03-13,1105.3596,1128.022,1088.7469,1111.3197,316537
2025-03-14,1161.0654,1229.6939,1079.5868,1147.4081,1112945
2025-03-15,1109.7913,1125.7566,1097.8376,1113.7601,184589
2025-03-16,1087.7239,1105.7937,1075.568,1093.5725,1030245
2025-03-17,1071.2668,1086.4927,1051.0916,1066.2462,1039809
2025-03-18,1066.4559,1076.6173,1053.2907,1063.4232,512684
2025-03-19,1033.4927,1044.1145,1029.5989,1040.1955,498094
2025-03-20,989.934,1003.3828,976.3363,989.7831,10232
2025-03-21,1018.5573,1042.765,999.5072,1023.6202,1309677
2025-03-22,1006.4809,1007.0733,1004.3462,1004.9376,333673
2025-03-23,1001.167,1015.0928,991.9896,1005.8722,921272
2025-03-24,990.0754,1002.6129,973.6244,986.1118,1072617
2025-03-25,1007.0808,1009.8198,1005.9921,1008.7293,524071
2025-03-26,995.5122,996.4156,978.0035,978.8917,249320
2025-03-27,980.054,990.3901,972.7132,983.027,34290
2025-03-28,968.7472,980.8979,954.1963,966.3165,589747
2025-03-29,965.6941,974.3998,958.5052,967.1997,602167
2025-03-30,946.4472,948.5705,942.639,944.7585,862679
2025-03-31,913.7406,923.2967,907.0758,916.6109,646100
2025-04-01,939.9933,943.5094,932.1641,935.664,41730
2025-04-02,938.2428,940.9874,932.8545,935.5913,244257
2025-04-03,936.6734,936.9644,935.7556,936.0464,155301
2025-04-04,950.1719,962.8235,934.915,947.5315,870787
2025-04-05,969.9032,1001.5641,941.8236,973.3838,358855
2025-04-06,991.9761,1000.6791,987.2773,995.9614,692113
2025-04-07,1003.7012,1034.4923,986.4685,1017.0307,887473
2025-04-08,1006.2233,1019.2536,1000.9865,1013.9764,646610
2025-04-09,1053.1031,1058.3515,1041.5346,1046.7513,691086
2025-04-10,1037.8125,1050.052,1026.2225,1038.4548,898095
2025-04-11,1068.4504,1072.7487,1061.7679,1066.0565,403824
2025-04-12,1097.1039,1100.6726,1088.1904,1091.7416,538328
2025-04-13,1026.7469,1045.2665,1022.8841,1041.3488,135227
2025-04-14,1058.9507,1060.3877,1058.4822,1059.9188,537632
2025-04-15,1096.5235,1098.5177,1094.3474,1096.3412,619836
2025-04-16,1099.9595,1100.6792,1099.7,1100.4196,1188995
2025-04-17,1131.4854,1157.4746,1109.5633,1135.4752,122839
2025-04-18,1148.7462,1178.3507,1132.2372,1161.6562,530836
2025-04-19,1141.2392,1178.7525,1103.3155,1140.8149,355050
2025-04-20,1171.2413,1183.2236,1161.6996,1173.6622,98833
2025-04-21,1168.8803,1170.5398,1166.5662,1168.2247,231877
2025-04-22,1187.6207,1188.4558,1186.5132,1187.3481,352572
2025-04-23,1184.4243,1195.1226,1177.0143,1187.6922,935140
2025-04-24,1189.4494,1225.1675,1164.0964,1199.5982,1276869
2025-04-25,1219.4526,1227.4056,1209.8576,1217.7998,926340
2025-04-26,1198.4123,1199.8045,1197.8846,1199.2764,259583
2025-04-27,1212.7989,1251.1391,1166.3237,1204.3983,13485
2025-04-28,1188.6669,1216.8267,1155.541,1183.5803,1193176
2025-04-29,1203.4366,1206.8978,1201.3377,1204.7965,535424
2025-04-30,1207.4408,1234.8375,1182.06,1209.4152,586797
2025-05-01,1249.6831,1259.8875,1228.6782,1238.7937,718715
2025-05-02,1219.2124,1277.4023,1153.0857,1210.8778,209734
2025-05-03,1194.1792,1194.9103,1193.7115,1194.4425,531936
2025-05-04,1218.7435,1284.1025,1151.4071,1216.6541,681965
2025-05-05,1224.1354,1254.4071,1205.9147,1236.0097,571814
2025-05-06,1263.7106,1286.3071,1219.1742,1241.3712,452860
2025-05-07,1207.2419,1209.8575,1203.4048,1206.0177,569301
2025-05-08,1210.0783,1214.507,1203.8624,1208.2846,314796
2025-05-09,1226.6415,1231.2098,1220.3863,1224.9483,62336
2025-05-10,1198.0766,1225.7722,1175.1575,1202.7635,655528
2025-05-11,1181.3285,1198.8818,1177.9889,1195.5021,472862
2025-05-12,1220.3604,1266.7165,1167.5603,1213.6619,215362
2025-05-13,1183.3259,1204.6396,1165.4554,1186.7179,316194
2025-05-14,1193.6607,1194.1603,1192.547,1193.0463,1181145
2025-05-15,1173.4538,1197.2111,1145.2566,1168.9221,380201
2025-05-16,1164.1146,1165.4958,1160.5762,1161.9548,1262598
2025-05-17,1164.0931,1188.2673,1138.8059,1162.9565,47743
2025-05-18,1153.4336,1214.1565,1089.9411,1150.5102,857456
2025-05-19,1175.1828,1195.0073,1156.6754,1176.4794,735903
2025-05-20,1138.8119,1150.8577,1138.2768,1150.3172,444903
2025-05-21,1120.454,1138.5818,1098.0825,1116.1405,392018
2025-05-22,1072.6607,1074.3259,1070.701,1072.3658,313620
2025-05-23,1065.547,1080.9089,1050.2048,1065.5665,651066
2025-05-24,1056.6876,1074.7583,1043.748,1061.7566,448917
2025-05-25,1048.9059,1051.4148,1045.284,1047.7902,100551
2025-05-26,1028.7812,1039.6723,1023.3843,1034.2467,1304004
2025-05-27,1091.5588,1094.087,1088.4703,1090.9972,194226
2025-05-28,1122.0895,1122.7254,1114.736,1115.3681,387294
2025-05-29,1147.6503,1161.6334,1132.5986,1146.5686,221304
2025-05-30,1112.5391,1113.9189,1110.8894,1112.2689,424431
2025-05-31,1137.184,1186.0745,1073.5536,1121.7818,299478
2025-06-01,1161.2046,1185.3258,1132.736,1156.7649,155838
2025-06-02,1196.0084,1198.6925,1194.255,1196.9377,315392
2025-06-03,1203.6854,1212.6565,1182.7099,1191.5909,569811
2025-06-04,1192.9961,1206.0355,1173.7627,1186.7337,144534
2025-06-05,1212.3971,1214.7691,1207.595,1209.9622,41979
2025-06-06,1194.5687,1214.105,1182.5267,1201.9882,416438
2025-06-07,1194.9582,1204.793,1180.3434,1190.1385,544630
2025-06-08,1220.2223,1222.4376,1217.7227,1219.9375,1158481
2025-06-09,1186.2525,1190.9476,1182.51,1187.2021,197995
2025-06-10,1228.5763,1229.6177,1227.4283,1228.4696,206967
2025-06-11,1210.8665,1226.7635,1190.2042,1206.0378,330043
2025-06-12,1236.8414,1245.7356,1224.4776,1233.3467,1004810
2025-06-13,1246.6482,1267.2123,1217.0129,1237.4248,825569
2025-06-14,1243.6336,1261.8046,1220.1961,1238.289,159665
2025-06-15,1166.5489,1171.7853,1163.854,1169.0846,890515
2025-06-16,1165.1924,1203.4518,1135.2673,1173.318,440620
2025-06-17,1163.0245,1170.457,1155.575,1163.0074,772546
2025-06-18,1176.5009,1180.1147,1173.6931,1177.3049,1289748
2025-06-19,1179.1156,1180.2606,1177.2506,1178.3949,325713
2025-06-20,1180.9651,1184.433,1178.4585,1181.9244,899739
2025-06-21,1157.5988,1166.7901,1146.8191,1155.9977,644756
2025-06-22,1161.3272,1174.0692,1143.8561,1156.5456,716040
2025-06-23,1152.663,1159.0558,1145.2376,1151.6246,220916
2025-06-24,1154.9946,1155.7423,1150.3405,1151.0857,148292
2025-06-25,1165.1707,1167.069,1164.2155,1166.1131,410424
2025-06-26,1187.9831,1188.7441,1186.4171,1187.1776,197036
2025-06-27,1191.6483,1202.7668,1180.7621,1191.8784,374396
2025-06-28,1219.0344,1224.6944,1215.3646,1221.0187,540671
2025-06-29,1187.7987,1202.067,1178.7729,1193.0016,200859
2025-06-30,1166.8604,1179.0931,1159.5891,1171.7912,302546
2025-07-01,1164.0994,1188.6446,1144.5236,1168.9865,95198
2025-07-02,1198.2809,1204.1494,1191.1916,1197.0542,544917
2025-07-03,1180.1078,1217.8872,1147.7885,1185.4224,276453
2025-07-04,1215.0854,1218.7147,1213.2532,1216.8798,285401
2025-07-05,1226.491,1229.2401,1220.8343,1223.5769,703032
2025-07-06,1226.5664,1262.5953,1190.113,1226.1291,825795
2025-07-07,1256.2743,1259.109,1249.2134,1252.0385,800430
2025-07-08,1261.17,1267.238,1254.0919,1260.155,1011126
2025-07-09,1257.6195,1257.7066,1257.0854,1257.1724,152386
2025-07-10,1223.3889,1226.4684,1215.5598,1218.6273,192606
