date,open,high,low,close,volume
2025-01-20,39.6924,39.7122,39.6651,39.6848,180289
2025-01-21,40.2336,40.3114,40.1543,40.2322,304437
2025-01-22,40.2273,40.3192,40.0721,40.1639,619753
2025-01-23,39.9651,41.1493,39.1443,40.3212,281566
2025-01-24,39.889,40.1029,39.6359,39.8496,699361
2025-01-25,38.8508,39.5597,38.522,39.2277,28480
2025-01-26,39.2033,39.3219,39.1017,39.2203,8558
2025-01-27,40.6326,41.0157,40.4452,40.8274,614062
2025-01-28,40.001,40.0553,39.9485,40.0028,1006700
2025-01-29,40.5586,41.0164,40.1404,40.5978,626398
2025-01-30,39.8125,41.1778,38.4954,39.8592,6670
2025-01-31,40.2075,40.3048,40.1382,40.2355,1257360
2025-02-01,39.82,40.4223,39.1985,39.8005,420304
2025-02-02,38.6387,40.6557,36.809,38.8176,191165
2025-02-03,38.8375,39.0678,38.6418,38.8719,854616
2025-02-04,39.7181,40.0049,39.1588,39.4436,263067
2025-02-05,40.2084,40.5533,39.6496,39.9926,854707
2025-02-06,39.8517,40.1759,39.37,39.6929,312006
2025-02-07,40.4623,41.9766,38.5839,40.0841,283515
2025-02-08,40.9016,40.9268,40.8786,40.9039,697882
2025-02-09,41.0741,41.1324,40.9705,41.0288,601038
2025-02-10,40.4934,41.6948,39.7295,40.9227,385564
2025-02-11,41.3265,42.4462,39.989,41.1027,286542
2025-02-12,41.4522,43.9118,39.8471,42.2749,42655
2025-02-13,43.3574,44.7439,41.8414,43.2236,219950
2025-02-14,43.8228,44.5453,43.2394,43.9601,29775
2025-02-15,44.015,44.0665,43.7715,43.8228,146235
2025-02-16,43.3698,43.6112,43.0611,43.3022,598783
2025-02-17,43.3791,47.1216,39.1208,42.8146,573233
2025-02-18,43.1783,44.8757,42.2623,43.9434,1183084
2025-02-19,43.5802,43.789,43.5529,43.7616,177971
2025-02-20,43.5054,43.6782,43.0944,43.2663,449385
2025-02-21,43.8055,44.1551,43.5497,43.8987,370280
2025-02-22,43.8149,45.5614,42.4539,44.1888,942718
2025-02-23,43.7957,43.8459,43.7502,43.8004,821311
2025-02-24,44.6963,45.1497,44.2915,44.7445,1188129
2025-02-25,42.2658,42.8592,42.1973,42.7898,1163884
2025-02-26,43.5693,44.4631,42.8551,43.746,496671
2025-02-27,43.2261,43.4602,42.9464,43.1802,679480
2025-02-28,43.1206,43.2951,42.9254,43.0998,115916
2025-03-01,44.3749,44.5201,44.2448,44.3899,968304
2025-03-02,43.0313,43.0329,43.0305,43.0321,87323
2025-03-03,40.8096,41.5987,40.3346,41.12,265574
2025-03-04,41.5349,43.1196,40.6577,42.2278,414694
2025-03-05,40.7141,41.5175,40.164,40.9639,435734
2025-03-06,41.3029,41.4846,40.9017,41.0824,665957
2025-03-07,40.5476,40.6004,40.4947,40.5475,703575
2025-03-08,39.2283,39.8401,38.8779,39.4874,479442
2025-03-09,39.4682,40.216,38.9322,39.6771,851479
2025-03-10,40.2988,40.4786,40.0174,40.1967,726334
2025-03-11,41.5739,41.8261,41.0025,41.2527,214705
2025-03-12,41.6932,44.3635,38.7074,41.3561,156101
2025-03-13,41.7219,42.4788,40.7235,41.4759,921457
2025-03-14,41.3473,42.4086,39.6233,40.6672,343700
2025-03-15,39.3625,39.7335,39.2132,39.5833,979941
2025-03-16,38.7996,38.9839,38.5135,38.6973,890605
2025-03-17,38.9311,39.7684,38.3384,39.172,529162
2025-03-18,39.7966,39.9643,39.4862,39.6534,648210
2025-03-19,39.5505,40.0377,38.9284,39.414,810943
2025-03-20,39.5954,39.6002,39.5891,39.5939,398748
2025-03-21,39.1852,39.3811,38.9905,39.1864,207995
2025-03-22,39.893,40.5193,39.1532,39.7778,308536
2025-03-23,40.0001,41.6791,37.6334,39.2822,286007
2025-03-24,38.9604,40.4095,38.1217,39.558,1192302
2025-03-25,40.3921,40.8648,39.8726,40.3448,836160
2025-03-26,40.248,40.7933,39.7882,40.3325,119520
2025-03-27,39.4154,40.8693,38.1454,39.5935,210104
2025-03-28,40.088,41.2278,39.108,40.2441,875717
2025-03-29,42.0813,42.0821,41.9503,41.9511,390556
2025-03-30,40.5091,40.7874,40.4802,40.7583,28784
2025-03-31,41.3645,41.4699,41.2748,41.3802,909442
2025-04-01,42.6377,43.7471,41.3145,42.4181,343405
2025-04-02,41.5828,41.8837,41.2206,41.5212,181742
2025-04-03,40.1532,41.2449,38.9133,40.0008,900459
2025-04-04,39.6885,39.7137,39.6646,39.6898,271958
2025-04-05,39.4656,39.8413,38.972,39.3466,499563
2025-04-06,39.1307,39.2055,38.994,39.0686,1014961
2025-04-07,39.3443,42.086,36.4461,39.1761,324175
2025-04-08,40.2821,40.4121,39.9092,40.0384,1096522
2025-04-09,39.9526,40.012,39.8069,39.8662,1042496
2025-04-10,41.7899,42.2709,41.4525,41.9324,399952
2025-04-11,43.5579,43.8184,42.7532,43.0104,1353247
2025-04-12,42.8116,42.8428,42.7631,42.7944,167442
2025-04-13,42.4991,42.6514,42.3488,42.5011,117545
2025-04-14,41.5141,41.9825,40.9645,41.432,471946
2025-04-15,41.5045,41.7878,41.204,41.4871,305652
2025-04-16,41.071,41.1732,40.9669,41.0691,299521
2025-04-17,40.7622,40.9315,40.3421,40.5104,969927
2025-04-18,39.6532,40.7557,38.6729,39.7725,185017
2025-04-19,38.5446,38.5831,38.5342,38.5727,1221588
2025-04-20,38.8506,39.8952,38.2613,39.2991,532129
2025-04-21,40.4335,41.026,39.8478,40.4403,36595
2025-04-22,41.5237,41.5402,41.5145,41.531,293773
2025-04-23,42.2598,42.262,42.2534,42.2556,230857
2025-04-24,41.4182,43.0065,40.4022,41.9768,125016
2025-04-25,42.3405,42.4553,42.2069,42.3217,1096829
2025-04-26,41.6866,42.0935,41.674,42.0808,459759
2025-04-27,40.2665,40.831,40.1032,40.666,86595
2025-04-28,40.7967,41.5858,40.1711,40.9578,988066
2025-04-29,40.7784,40.9257,40.6224,40.7697,744410
2025-04-30,39.3874,39.7787,39.1253,39.5157,170426
2025-05-01,40.4362,41.5929,39.4021,40.5558,867094
2025-05-02,40.7538,41.0578,40.5832,40.8867,651630
2025-05-03,40.4426,41.3267,39.0854,39.9589,278633
2025-05-04,40.9454,41.2789,40.7895,41.1223,24019
2025-05-05,41.4952,42.1713,41.0198,41.6936,349867
2025-05-06,43.6442,43.7809,43.2598,43.3957,681579
2025-05-07,42.7645,42.9323,42.66,42.8276,815380
2025-05-08,44.3892,44.6032,44.2561,44.4699,1263258
2025-05-09,44.1874,46.3133,42.2478,44.3658,1014533
2025-05-10,44.3629,44.5801,43.9488,44.165,678877
2025-05-11,44.1342,44.882,43.4826,44.2291,330709
2025-05-12,43.1289,43.8489,42.0997,42.8145,605057
2025-05-13,43.0223,44.0601,41.8504,42.8849,279409
2025-05-14,42.7754,42.7953,42.7567,42.7766,299435
2025-05-15,42.8684,42.9486,42.7867,42.867,657280
2025-05-16,41.5011,42.1382,41.0218,41.657,35220
2025-05-17,39.3476,41.4452,37.5836,39.6668,405387
2025-05-18,39.7229,40.2094,39.2997,39.7856,870074
2025-05-19,40.1054,41.2093,39.2659,40.3644,123405
2025-05-20,40.9551,41.2775,40.6329,40.9552,702837
2025-05-21,40.1848,40.3751,40.1179,40.308,797524
2025-05-22,39.8826,41.3126,39.1957,40.6131,429454
2025-05-23,40.5865,42.7791,38.5293,40.7153,488389
2025-05-24,39.6427,40.21,39.5223,40.0882,770949
2025-05-25,40.2567,41.2648,39.7738,40.7757,938046
2025-05-26,40.8412,41.3761,40.2186,40.7524,265254
2025-05-27,39.2338,39.6824,38.8517,39.2996,260049
2025-05-28,39.2438,39.719,38.7392,39.2141,327774
2025-05-29,39.0879,39.8064,38.5847,39.3005,674020
2025-05-30,37.9961,39.1119,36.8544,37.9695,496680
2025-05-31,37.7079,38.0295,37.4882,37.8093,524528
2025-06-01,38.5237,38.8111,38.2916,38.5787,132524
2025-06-02,38.6239,39.2675,38.2051,38.8463,569402
2025-06-03,37.858,39.198,36.343,37.6766,39892
2025-06-04,36.8894,37.0754,36.6608,36.8466,602514
2025-06-05,37.0909,37.122,37.0621,37.0932,391082
2025-06-06,37.4529,37.6934,37.2527,37.493,306513
2025-06-07,38.0076,38.3297,37.7213,38.0431,846536
2025-06-08,38.1944,38.4641,38.1062,38.3755,529674
2025-06-09,39.1451,39.1678,39.1147,39.1375,945545
2025-06-10,38.6026,39.7912,37.2052,38.3871,368067
2025-06-11,37.0645,38.2066,36.1106,37.248,145685
2025-06-12,36.0251,36.1654,35.9095,36.0498,859134
2025-06-13,37.2453,37.6251,36.6109,36.9881,624304
2025-06-14,37.3037,37.7712,36.7185,37.1845,509349
2025-06-15,37.3931,37.8551,37.1623,37.6229,359192
2025-06-16,37.4408,38.3622,36.7362,37.6537,299041
2025-06-17,37.8111,38.1868,37.2262,37.5998,111013
2025-06-18,37.0649,37.1257,36.8998,36.9604,383760
2025-06-19,36.872,37.0021,36.8223,36.9523,740480
2025-06-20,37.8324,38.0651,37.728,37.9603,755873
2025-06-21,37.3331,37.5178,37.1062,37.2907,815398
2025-06-22,38.7381,38.9311,38.5278,38.7207,427165
2025-06-23,40.1966,40.2309,40.0852,40.1194,764116
2025-06-24,41.3245,41.5491,41.0119,41.236,663282
2025-06-25,42.7931,42.8727,42.6917,42.7713,501944
2025-06-26,43.3582,43.9823,42.7889,43.4123,552741
2025-06-27,42.7783,42.8303,42.612,42.6639,135896
2025-06-28,42.2261,42.7581,41.8979,42.4283,145030
2025-06-29,43.0044,44.2119,42.1042,43.3053,1127796
2025-06-30,42.4717,42.5098,42.4124,42.4505,90216
2025-07-01,41.8599,44.3217,39.5194,41.9748,72591
2025-07-02,41.517,41.6259,41.4429,41.5517,733452
2025-07-03,42.0935,43.1586,41.5584,42.6169,700834
2025-07-04,41.9537,42.0109,41.9187,41.9759,757005
2025-07-05,42.4687,43.5425,41.5839,42.6538,17290
2025-07-06,42.6862,43.4939,41.5043,42.3047,440078
2025-07-07,42.2697,42.913,41.707,42.3493,440398
2025-07-08,42.1271,43.3642,41.0628,42.2957,111516
2025-07-09,42.4054,42.506,42.3259,42.4264,674131
2025-07-10,41.1787,41.5042,41.0466,41.3716,165797
2025-07-11,41.6118,42.0133,40.9271,41.3258,324254
2025-07-12,40.5572,40.5772,40.3819,40.4018,792525
2025-07-13,40.8904,41.0279,40.575,40.7119,969107
2025-07-14,39.0327,42.1162,36.3135,39.3733,782376
2025-07-15,38.8684,38.9693,38.7935,38.8943,332159
2025-07-16,39.4452,39.5206,39.3809,39.4563,481205
2025-07-17,39.6849,40.5303,38.5034,39.3415,190463
2025-07-18,38.5023,38.5336,38.3071,38.3382,517237
2025-07-19,37.7715,38.3903,37.5071,38.1234,336102
2025-07-20,37.5174,37.95,37.0949,37.5274,302320
2025-07-21,37.7553,37.8716,37.6676,37.7839,734553
2025-07-22,38.1293,38.7277,37.3346,37.9299,236599
2025-07-23,36.5827,36.823,36.3333,36.5736,517358
2025-07-24,36.6644,36.6813,36.6497,36.6666,544924
2025-07-25,38.2808,38.4829,38.1163,38.3182,698387
2025-07-26,39.142,39.152,38.9182,38.9281,361466
2025-07-27,37.5971,37.9476,37.5624,37.9125,411342
2025-07-28,37.1363,37.1628,37.1217,37.1482,58653
2025-07-29,36.7968,37.0518,36.5299,36.7849,192745
2025-07-30,36.7988,36.9767,36.6589,36.8367,48970
2025-07-31,37.3564,37.5193,37.1123,37.2749,505686
2025-08-01,36.0546,36.0942,35.9981,36.0377,44030
2025-08-02,35.3735,35.582,35.3243,35.5326,99577
2025-08-03,36.4193,36.6426,35.9729,36.1949,243332
2025-08-04,36.4664,37.3829,35.9206,36.8317,188997
2025-08-05,37.535,37.6902,37.4896,37.6447,429456
2025-08-06,38.727,38.7999,38.7186,38.7915,307173
2025-08-07,37.8618,38.0289,37.6653,37.8323,1186119
2025-08-08,38.507,40.2485,37.0529,38.784,230330
2025-08-09,39.3103,40.1991,38.672,39.5568,200337
2025-08-10,40.2531,40.3356,40.1146,40.197,466549
