date,open,high,low,close,volume
2025-01-20,113.4838,120.09,108.0428,114.5958,598164
2025-01-21,115.2823,115.5873,114.9999,115.3048,116080
2025-01-22,111.5187,113.4482,108.724,110.6383,870437
2025-01-23,109.2652,110.6451,107.7896,109.1683,1121688
2025-01-24,111.9118,112.8148,110.8884,111.7904,699402
2025-01-25,108.1968,110.3537,105.6691,107.8185,79727
2025-01-26,107.8114,107.8187,107.7783,107.7856,557974
2025-01-27,106.9832,111.4484,103.6909,108.1211,471806
2025-01-28,112.1576,112.3279,111.9135,112.0837,658516
2025-01-29,109.6164,110.5117,108.957,109.8509,868547
2025-01-30,109.0831,111.0844,108.1762,110.1685,176640
2025-01-31,111.0574,111.9817,110.2701,111.1934,121047
2025-02-01,111.4813,113.3792,110.1753,112.0664,917166
2025-02-02,113.0719,113.7148,111.9324,112.5724,154677
2025-02-03,109.9957,110.8685,108.6861,109.5554,908646
2025-02-04,110.2077,113.6018,106.9334,110.3242,237683
2025-02-05,115.98,117.8421,112.4162,114.2505,603190
2025-02-06,119.1665,121.0685,116.2613,118.147,425760
2025-02-07,118.8894,121.787,115.6504,118.5394,718186
2025-02-08,116.428,118.8343,113.5293,115.9252,241340
2025-02-09,117.9703,118.8284,117.0854,117.9433,477194
2025-02-10,123.2081,125.5042,120.7904,123.0841,381928
2025-02-11,122.9006,124.8622,120.6958,122.6533,207565
2025-02-12,126.1073,126.9163,124.7245,125.5297,311840
2025-02-13,123.371,125.4425,121.5771,123.6447,500436
2025-02-14,117.7474,117.9811,117.3538,117.5872,93599
2025-02-15,117.2965,119.5491,115.5435,117.7888,64109
2025-02-16,116.742,116.8803,116.639,116.7773,520152
2025-02-17,114.5632,118.0466,110.4256,113.8885,495741
2025-02-18,110.6226,111.455,110.2166,111.0474,351396
2025-02-19,108.1583,109.1359,108.1004,109.0775,500320
2025-02-20,108.7588,111.2192,105.9917,108.445,39601
2025-02-21,108.8316,110.7871,106.7874,108.7413,252641
2025-02-22,107.1666,108.0063,105.247,106.0782,191139
2025-02-23,106.1659,106.4897,105.7896,106.1133,87879
2025-02-24,103.1545,106.6639,100.3225,103.8139,31634
2025-02-25,105.1334,107.4923,101.6431,103.9761,670825
2025-02-26,100.995,105.8853,96.9209,101.7796,101825
2025-02-27,103.9025,105.7639,103.0329,104.8861,643212
2025-02-28,104.8172,105.6619,103.781,104.6242,35586
2025-03-01,102.5073,103.7712,101.5645,102.8255,973106
2025-03-02,104.9826,105.4037,104.0406,104.4596,715499
2025-03-03,105.4335,106.1889,104.8704,105.6248,584646
2025-03-04,108.7129,110.2043,106.7498,108.2346,372066
2025-03-05,105.791,107.097,104.8358,106.1386,75658
2025-03-06,106.7425,106.9718,106.6654,106.8946,207386
2025-03-07,106.3229,107.7544,104.6388,106.067,378745
2025-03-08,107.37,108.4322,105.4325,106.4859,277269
2025-03-09,105.7066,108.6704,102.3506,105.3031,960971
2025-03-10,106.6421,112.6679,101.4622,107.4489,1238827
2025-03-11,103.7471,104.5282,103.0502,103.8308,20445
2025-03-12,108.7903,109.7729,108.0965,109.0773,1124142
2025-03-13,108.7191,112.4023,106.615,110.2682,208885
2025-03-14,108.3208,109.6341,108.1707,109.4823,423198
2025-03-15,103.4754,104.3645,102.6432,103.5319,595563
2025-03-16,108.3086,109.711,104.5659,105.9376,935984
2025-03-17,104.5297,105.3779,103.9006,104.7475,332769
2025-03-18,106.0345,107.3199,104.7772,106.0623,123900
2025-03-19,105.9871,105.9972,105.8976,105.9077,681297
2025-03-20,111.1965,111.6804,110.5847,111.0681,802680
2025-03-21,107.7273,113.5043,102.6271,108.3735,690198
2025-03-22,109.3245,109.6688,108.9945,109.3388,23523
2025-03-23,110.2983,110.3186,110.252,110.2723,356125
2025-03-24,108.9226,109.2208,108.4236,108.7213,236783
2025-03-25,107.9997,108.6786,107.4662,108.1444,306399
2025-03-26,107.5281,107.7378,107.3243,107.534,573076
2025-03-27,108.4389,110.2922,105.8626,107.7034,230111
2025-03-28,105.9066,106.9361,105.6014,106.6288,457203
2025-03-29,107.9306,108.6236,107.3865,108.0788,369987
2025-03-30,108.9687,110.3469,107.724,109.1007,451382
2025-03-31,107.5828,108.1039,107.4076,107.9282,297192
2025-04-01,106.0126,107.9067,103.5862,105.4706,757043
2025-04-02,109.0672,109.216,108.6726,108.821,719144
2025-04-03,114.3005,117.1257,111.7693,114.5881,588405
2025-04-04,114.4993,117.0334,111.5907,114.1164,849155
2025-04-05,113.0349,113.0439,112.987,112.996,826852
2025-04-06,113.6164,116.3514,111.1717,113.9006,127427
2025-04-07,113.2209,113.2219,113.2194,113.2204,212758
2025-04-08,115.7718,116.5871,114.252,115.0624,984810
2025-04-09,114.2736,122.3137,104.6164,112.5341,445929
2025-04-10,110.639,114.0819,107.9312,111.3565,483290
2025-04-11,111.7289,112.8844,111.0709,112.2235,856937
2025-04-12,109.1703,109.3548,109.1046,109.289,498103
2025-04-13,107.6799,108.261,107.1336,107.7146,526339
2025-04-14,110.175,119.4994,100.9187,110.2377,154440
2025-04-15,109.668,110.926,108.1222,109.3768,589008
2025-04-16,105.8863,107.644,102.7474,104.4818,202377
2025-04-17,103.6897,104.2998,103.3048,103.9142,1125276
2025-04-18,104.2453,104.3336,103.9577,104.0459,139548
2025-04-19,105.6897,106.0392,105.4836,105.8329,320439
2025-04-20,105.9818,110.1471,101.94,106.1007,1102255
2025-04-21,106.2272,107.2763,105.7743,106.8208,264535
2025-04-22,107.6729,109.035,106.4344,107.7951,215141
2025-04-23,107.832,108.179,106.8421,107.187,550362
2025-04-24,107.0922,113.3872,99.7849,106.0167,1216642
2025-04-25,104.1925,104.3528,103.9864,104.1467,195248
2025-04-26,103.9998,104.6928,102.3886,103.0754,192008
2025-04-27,100.0406,100.5724,99.6647,100.1959,628061
2025-04-28,101.5781,103.3533,99.3288,101.0955,492182
2025-04-29,101.8681,102.3446,101.2684,101.7443,119060
2025-04-30,101.5944,102.3342,99.9927,100.7262,223318
2025-05-01,101.8581,105.0608,96.4944,99.6269,428213
2025-05-02,101.0271,101.1501,100.6397,100.7624,940435
2025-05-03,100.9383,102.3116,99.1961,100.5644,100289
2025-05-04,102.2916,102.8111,101.8126,102.3319,236203
2025-05-05,97.1758,98.3271,96.2284,97.3777,797845
2025-05-06,96.1406,96.9645,95.9116,96.7342,73731
2025-05-07,100.0684,100.6224,99.8008,100.354,528348
2025-05-08,100.3663,100.5334,100.3654,100.5325,506072
2025-05-09,101.4144,104.4899,98.0961,101.1641,334026
2025-05-10,97.9943,100.3442,95.8698,98.215,84335
2025-05-11,98.8164,99.7265,97.5558,98.4627,844580
2025-05-12,98.2298,98.4002,98.1224,98.2928,412043
2025-05-13,96.9272,106.2912,88.508,97.7965,122799
2025-05-14,97.8265,98.768,96.6631,97.6025,519574
2025-05-15,98.747,102.4236,94.8392,98.5069,749920
2025-05-16,97.2283,99.1254,95.9755,97.8644,187648
2025-05-17,96.0767,96.2093,95.8747,96.0071,115999
2025-05-18,97.0805,97.5528,96.404,96.8753,746288
2025-05-19,95.4904,95.7993,95.3027,95.6113,195505
2025-05-20,96.3464,97.8782,94.5524,96.08,106936
2025-05-21,97.4307,97.4538,97.403,97.4261,598781
2025-05-22,94.376,96.1185,92.4096,94.1479,729459
2025-05-23,93.0068,100.2436,87.0623,94.2215,279517
2025-05-24,95.6252,97.4731,93.9902,95.8345,231467
2025-05-25,95.3481,97.6192,93.7305,95.9906,629796
2025-05-26,97.4371,97.5177,97.1537,97.2341,140269
2025-05-27,96.0106,98.0364,93.543,95.5592,946072
2025-05-28,96.2479,96.463,95.6895,95.9039,402993
2025-05-29,98.9471,99.5816,98.09,98.723,839404
2025-05-30,101.4077,101.875,101.3067,101.7736,834581
2025-05-31,102.5281,102.7756,102.3555,102.6029,694703
2025-06-01,100.131,102.3152,98.5003,100.6756,1021696
2025-06-02,102.4877,104.3772,98.9867,100.8459,1052502
2025-06-03,103.4246,103.4703,103.3786,103.4242,661596
2025-06-04,102.5443,102.612,102.4826,102.5503,482074
2025-06-05,97.8044,99.4514,97.2883,98.9293,307630
2025-06-06,98.9537,99.2157,98.6776,98.9395,1353582
2025-06-07,98.3198,98.6277,97.9183,98.2259,643440
2025-06-08,97.0366,99.3438,95.0999,97.3999,1019117
2025-06-09,95.3698,95.8441,94.434,94.906,254483
2025-06-10,96.3338,96.4621,96.2049,96.3331,1075355
2025-06-11,99.6073,100.3986,98.4974,99.2863,633430
2025-06-12,96.2432,103.2847,90.6479,97.6099,624503
2025-06-13,97.4624,97.7428,96.9849,97.2648,37751
2025-06-14,98.1383,102.4054,94.9044,99.1386,463988
2025-06-15,98.5686,99.6084,97.768,98.8059,415277
2025-06-16,99.3723,100.328,98.3667,99.322,771671
2025-06-17,98.6396,101.4185,95.6075,98.379,353599
2025-06-18,97.5587,98.4511,96.967,97.8575,190430
2025-06-19,98.9416,99.1162,98.844,99.0186,176116
2025-06-20,98.8481,98.8922,98.051,98.0948,431536
2025-06-21,99.7287,100.1025,99.6703,100.0439,245599
2025-06-22,101.1015,101.6111,101.0165,101.5257,148067
2025-06-23,97.4646,97.5935,97.3578,97.4867,586237
2025-06-24,97.8422,100.8038,95.815,98.7577,39220
2025-06-25,101.4021,105.7564,96.4229,100.7491,445380
2025-06-26,101.5217,105.3111,97.3205,101.094,299043
2025-06-27,101.3317,113.5021,91.0759,103.0704,146614
2025-06-28,102.9594,103.3422,102.5739,102.9567,687805
