date,open,high,low,close,volume
2025-01-20,557.1344,566.9294,540.0714,549.7363,392558
2025-01-21,547.6285,554.8354,536.2324,543.3835,38928
2025-01-22,534.3222,536.5009,530.2879,532.459,199018
2025-01-23,525.8852,539.3656,511.2148,524.664,322122
2025-01-24,529.4026,531.2255,527.1129,528.9343,353444
2025-01-25,522.3772,525.1995,520.8867,523.7053,881450
2025-01-26,519.3358,531.4535,509.7309,521.803,793779
2025-01-27,518.2511,532.9954,508.3127,522.9666,6147
2025-01-28,524.2213,525.6513,522.9625,524.3921,831311
2025-01-29,510.1276,511.4081,508.856,510.1365,139632
2025-01-30,518.3582,520.587,510.4084,512.6125,644584
2025-01-31,524.074,527.3471,517.1217,520.3717,93388
2025-02-01,539.3587,553.275,523.8126,537.6856,829585
2025-02-02,531.3338,536.0079,528.1246,532.7898,896210
2025-02-03,528.1442,537.1317,517.321,526.2768,717455
2025-02-04,534.8087,535.6629,533.3113,534.1645,707314
2025-02-05,537.7539,550.7582,529.8203,542.7509,179623
2025-02-06,538.5354,540.3454,538.2111,540.0202,121494
2025-02-07,550.0695,588.5355,513.7299,552.0642,675282
2025-02-08,546.0755,549.8598,542.9456,546.7262,43430
2025-02-09,534.6051,534.6684,534.5648,534.628,182877
2025-02-10,529.4896,530.2387,528.9812,529.7301,578076
2025-02-11,514.9919,519.1986,509.9697,514.1697,671456
2025-02-12,504.807,507.196,502.2767,504.665,562917
2025-02-13,494.451,499.8963,490.6919,496.1246,320043
2025-02-14,506.9342,514.3224,499.0608,506.4419,360964
2025-02-15,527.3649,537.5915,514.6593,524.8369,530921
2025-02-16,544.8861,553.8475,538.7328,547.6628,891014
2025-02-17,550.7251,556.2972,543.8131,549.3715,92263
2025-02-18,550.3719,553.2225,548.2733,551.1211,862415
2025-02-19,573.4296,576.3162,570.941,573.8259,241729
2025-02-20,558.1874,559.1666,557.0717,558.0507,285897
2025-02-21,540.8455,550.0995,528.845,538.0512,841206
2025-02-22,533.6082,535.8786,532.7947,535.0629,107964
2025-02-23,539.2483,558.1285,515.2303,533.9241,716846
2025-02-24,528.3315,528.3336,528.3301,528.3321,541569
2025-02-25,541.0756,541.3934,540.9365,541.2543,960556
2025-02-26,537.864,546.7767,530.945,539.8324,118817
2025-02-27,529.4712,532.8093,527.2924,530.6258,584874
2025-02-28,543.619,554.1617,530.9195,541.4195,246092
2025-03-01,530.4035,533.0379,529.651,532.2827,225376
2025-03-02,529.5579,550.4017,508.8218,529.6616,234150
2025-03-03,538.2266,539.5677,537.1575,538.498,360830
2025-03-04,533.2688,533.812,533.1961,533.7392,424147
2025-03-05,532.2196,547.0113,518.296,533.0656,938119
2025-03-06,528.5752,533.3571,527.4079,532.1819,859236
2025-03-07,535.5892,549.7674,517.4419,531.5121,157262
2025-03-08,525.583,525.8108,525.4069,525.6348,372602
2025-03-09,522.3268,527.7,518.9003,524.2608,629586
2025-03-10,528.7541,535.0765,522.7409,529.0598,551979
2025-03-11,531.8329,537.6977,525.34,531.1977,445651
2025-03-12,521.0438,527.209,515.7276,521.8843,361993
2025-03-13,527.3661,540.3723,516.7778,529.7363,404848
2025-03-14,537.2134,539.9734,534.3359,537.0954,404454
2025-03-15,543.0135,546.9563,539.8628,543.8011,437788
2025-03-16,544.1961,547.4585,538.4886,541.7363,672018
2025-03-17,525.4221,529.6268,522.8849,527.0817,604036
2025-03-18,556.0047,580.5917,521.59,545.7224,846035
2025-03-19,560.3556,579.1882,537.5159,556.2092,198319
2025-03-20,553.0678,557.5524,547.4576,551.933,201652
2025-03-21,548.1498,556.6504,539.1087,547.6008,438077
2025-03-22,542.6209,548.9045,534.2086,540.4673,413873
2025-03-23,528.882,529.3304,526.6984,527.1453,406004
2025-03-24,508.715,514.9247,501.7376,507.9379,52794
2025-03-25,491.3595,501.7244,478.8202,489.1383,887090
2025-03-26,474.307,476.211,472.4562,474.36,197366
2025-03-27,477.296,479.7716,475.4725,477.9456,427033
2025-03-28,476.5143,480.5543,474.5046,478.536,197961
2025-03-29,464.9663,476.9569,456.5871,468.5138,527800
2025-03-30,483.936,484.5523,483.7859,484.402,565187
2025-03-31,501.64,514.6046,482.7644,495.5721,147251
2025-04-01,492.6315,495.5415,491.6358,494.542,300064
2025-04-02,501.1646,504.1978,493.885,496.8923,532651
2025-04-03,494.7344,519.7875,466.1881,491.0549,760502
2025-04-04,495.4724,503.3776,485.3564,493.2258,507985
2025-04-05,490.0632,492.1498,486.1604,488.2393,351279
2025-04-06,493.2935,514.2825,471.7895,492.7556,418964
2025-04-07,467.9684,475.6964,466.3392,474.046,138042
2025-04-08,468.9948,469.0376,468.9224,468.9652,744520
2025-04-09,463.8787,471.3166,455.581,463.005,168452
2025-04-10,453.514,456.165,451.8795,454.5268,675227
2025-04-11,446.5751,447.7292,444.8474,446.0,68522
2025-04-12,447.328,464.9521,437.2196,454.6777,632753
2025-04-13,455.8228,455.9008,455.5162,455.5941,238407
2025-04-14,461.7258,473.9646,447.672,459.8614,177049
2025-04-15,466.0061,467.2105,464.2961,465.4992,814072
2025-04-16,461.9973,462.7047,461.6983,462.4054,202511
2025-04-17,463.7102,477.8419,453.6931,467.7378,489058
2025-04-18,460.1482,466.1662,454.4267,460.441,473686
2025-04-19,451.9819,454.0008,450.9251,452.9417,344650
2025-04-20,465.4334,483.2746,443.039,460.6987,219451
2025-04-21,458.4216,464.9858,448.6691,455.187,122460
2025-04-22,451.5948,455.3597,450.2769,454.0347,58753
2025-04-23,467.1424,468.797,465.4078,467.0621,68300
2025-04-24,463.1719,466.2864,458.0684,461.1695,942912
2025-04-25,474.7008,481.3567,470.5075,477.1419,280752
2025-04-26,458.7911,463.6386,454.3011,459.1451,403852
2025-04-27,452.3856,462.2755,440.0416,449.8766,30613
2025-04-28,447.6447,450.0757,444.8771,447.3063,80498
2025-04-29,444.2238,452.6196,440.0209,448.3774,324645
2025-04-30,442.4704,444.3769,441.1263,443.0311,283977
2025-05-01,435.8156,445.8699,423.448,433.4477,1389841
2025-05-02,434.413,436.3282,431.2694,433.1791,328612
2025-05-03,430.7339,442.3213,422.3617,433.8877,349172
2025-05-04,443.2074,452.1409,427.2899,436.0798,496124
2025-05-05,450.1524,450.7322,449.0944,449.6736,999682
2025-05-06,438.9466,443.0517,430.5032,434.5673,298883
2025-05-07,436.173,437.0956,435.5938,436.516,426194
2025-05-08,435.7557,450.1022,424.7004,438.9656,245388
