date,open,high,low,close,volume
2025-01-20,1.917,1.9523,1.8978,1.933,511274
2025-01-21,1.9161,1.9266,1.9073,1.9178,1243879
2025-01-22,1.9556,1.9605,1.9421,1.9469,504590
2025-01-23,1.9492,1.952,1.9451,1.9478,281214
2025-01-24,1.9538,1.9559,1.9385,1.9406,934714
2025-01-25,1.8759,1.8847,1.8669,1.8756,137358
2025-01-26,1.94,1.9949,1.8962,1.9509,1242626
2025-01-27,2.0017,2.0261,1.9667,1.991,354341
2025-01-28,1.9439,2.0509,1.8302,1.9369,670661
2025-01-29,1.9199,1.9377,1.8767,1.8942,293072
2025-01-30,1.9181,1.931,1.9083,1.9212,263641
2025-01-31,1.9097,1.9219,1.9001,1.9122,170504
2025-02-01,1.9445,1.9534,1.9237,1.9327,648517
2025-02-02,1.969,1.9726,1.962,1.9657,802648
2025-02-03,1.9885,2.0039,1.9742,1.9895,510475
2025-02-04,2.114,2.1268,2.0895,2.1021,807617
2025-02-05,2.0381,2.0451,2.0293,2.0362,321986
2025-02-06,2.1375,2.1658,2.0906,2.1187,1016013
2025-02-07,2.0887,2.1093,2.0758,2.0964,404632
2025-02-08,2.0751,2.1089,2.0436,2.0773,1012247
2025-02-09,2.1823,2.2371,2.1261,2.1809,195811
2025-02-10,2.1695,2.1774,2.1589,2.1667,221781
2025-02-11,2.1783,2.1802,2.1774,2.1792,1071759
2025-02-12,2.2173,2.2465,2.1805,2.2096,790312
2025-02-13,2.1154,2.1344,2.0971,2.1161,352257
2025-02-14,2.1628,2.1663,2.1615,2.1649,573536
2025-02-15,2.1258,2.2108,2.0531,2.1377,684483
2025-02-16,2.1348,2.1397,2.1285,2.1334,458542
2025-02-17,2.104,2.1076,2.1013,2.1048,810360
2025-02-18,2.1377,2.1569,2.11,2.1291,353016
2025-02-19,2.0748,2.1011,2.062,2.0882,581982
2025-02-20,2.035,2.0642,1.9947,2.0238,471499
2025-02-21,1.9695,1.9787,1.9658,1.975,984317
2025-02-22,1.9122,1.942,1.8692,1.8988,161284
2025-02-23,1.9032,1.9153,1.8888,1.9009,71212
2025-02-24,1.9172,1.9204,1.8992,1.9024,729152
2025-02-25,1.85,1.8502,1.8495,1.8497,147741
2025-02-26,1.8309,1.8428,1.8185,1.8305,153624
2025-02-27,1.8462,1.8555,1.8388,1.848,415280
2025-02-28,1.7926,1.7946,1.7902,1.7922,513135
2025-03-01,1.7354,1.7357,1.7338,1.7341,669128
2025-03-02,1.7222,1.7626,1.6886,1.7288,531102
2025-03-03,1.7157,1.7199,1.7132,1.7174,837429
2025-03-04,1.7869,1.7871,1.7867,1.7868,1166757
2025-03-05,1.7336,1.7438,1.7305,1.7407,461828
2025-03-06,1.7533,1.7534,1.7532,1.7533,405635
2025-03-07,1.7341,1.7863,1.698,1.7499,493627
2025-03-08,1.7418,1.7688,1.7131,1.7401,84497
2025-03-09,1.7519,1.7865,1.725,1.7594,21456
2025-03-10,1.7709,1.7712,1.7692,1.7694,63591
2025-03-11,1.8206,1.8517,1.7905,1.8215,184721
2025-03-12,1.8032,1.8312,1.7852,1.8131,412943
