date,open,high,low,close,volume
2025-01-20,7.5779,7.6994,7.4889,7.61,463828
2025-01-21,7.677,7.6896,7.6741,7.6867,478707
2025-01-22,7.7382,7.8303,7.6841,7.7759,167724
2025-01-23,7.866,7.9935,7.8057,7.9327,99538
2025-01-24,7.8716,8.1406,7.6451,7.913,958771
2025-01-25,8.0319,8.0945,7.9861,8.0485,1121573
2025-01-26,7.9402,7.9492,7.9326,7.9416,115106
2025-01-27,7.6831,7.7121,7.6475,7.6765,253638
2025-01-28,7.2092,7.2459,7.1904,7.2271,206556
2025-01-29,7.3669,7.3778,7.3594,7.3703,21194
2025-01-30,7.398,7.4243,7.3686,7.3949,89471
2025-01-31,7.2178,7.4601,6.9362,7.1771,468088
2025-02-01,7.1141,7.1276,7.1002,7.1138,85174
2025-02-02,7.057,7.0649,7.0465,7.0544,789825
2025-02-03,7.1916,7.2792,7.1256,7.213,235033
2025-02-04,7.1977,7.3217,7.097,7.2206,31204
2025-02-05,7.4695,7.556,7.3789,7.4654,65109
2025-02-06,7.4585,7.559,7.3407,7.4409,109686
2025-02-07,7.3968,7.5908,7.2241,7.4176,20811
2025-02-08,7.2672,7.4721,7.0928,7.297,544206
2025-02-09,7.5159,7.6015,7.4283,7.5138,138051
2025-02-10,7.4633,7.4634,7.4597,7.4598,1184443
2025-02-11,7.4404,7.5788,7.2823,7.4204,453598
2025-02-12,7.7615,7.7947,7.6564,7.6893,1166177
2025-02-13,7.7088,7.7787,7.667,7.7368,165858
2025-02-14,7.4636,7.603,7.4153,7.5542,477309
2025-02-15,7.2855,7.3133,7.2382,7.2659,635990
2025-02-16,6.9101,7.2742,6.6251,6.986,116342
2025-02-17,6.9192,7.0,6.8417,6.9225,1369776
2025-02-18,7.0805,7.0813,7.0651,7.0659,333204
2025-02-19,7.1172,7.3227,6.8678,7.0721,942624
2025-02-20,7.0367,7.0779,6.9674,7.0084,397631
2025-02-21,6.9049,6.9667,6.8369,6.8987,149262
2025-02-22,6.8274,6.9369,6.7561,6.8652,264857
2025-02-23,7.0052,7.389,6.7551,7.1344,674277
2025-02-24,7.4451,7.4624,7.416,7.4333,1002065
2025-02-25,7.5276,7.768,7.2993,7.5393,397738
2025-02-26,7.6737,7.6818,7.6663,7.6744,363919
2025-02-27,7.7578,7.9431,7.516,7.6999,393404
2025-02-28,8.05,8.1288,7.965,8.0437,977032
2025-03-01,8.257,8.2812,8.1496,8.1736,136298
2025-03-02,7.9678,7.9904,7.9251,7.9477,813052
2025-03-03,7.7865,7.8502,7.7122,7.7759,346546
2025-03-04,7.9736,8.1133,7.8836,8.0228,144973
2025-03-05,7.8275,8.1123,7.5379,7.8225,1091717
2025-03-06,7.8326,7.8779,7.804,7.8492,177050
2025-03-07,8.1623,8.1765,8.1477,8.1619,1203654
2025-03-08,8.2757,8.4082,8.1789,8.311,555156
2025-03-09,8.4386,8.4595,8.3725,8.3933,268770
2025-03-10,8.6262,9.0309,8.1773,8.5798,723474
2025-03-11,8.5567,8.5638,8.5347,8.5417,519323
2025-03-12,8.4648,8.7009,8.2717,8.5068,168645
2025-03-13,8.5803,8.653,8.482,8.5545,741976
2025-03-14,8.4169,8.5454,8.3143,8.4425,589018
2025-03-15,8.4311,8.9729,8.0533,8.588,162248
2025-03-16,8.4008,8.6929,8.0033,8.2916,62245
2025-03-17,8.197,8.3475,8.0876,8.2375,250059
2025-03-18,8.332,8.3671,8.3009,8.3361,1133207
2025-03-19,8.2997,8.3409,8.2766,8.3177,243502
2025-03-20,8.5524,8.7909,8.2344,8.4706,828437
2025-03-21,8.0597,8.1072,8.023,8.0704,304350
2025-03-22,8.2128,8.2865,8.0737,8.1469,742859
2025-03-23,8.3041,8.3297,8.2773,8.3029,32793
2025-03-24,8.6136,8.6275,8.596,8.6099,123339
2025-03-25,8.5437,8.6177,8.5021,8.576,1183600
2025-03-26,8.6205,8.6326,8.5925,8.6046,1169587
2025-03-27,8.6277,8.6381,8.6164,8.6268,185584
2025-03-28,8.5146,8.5576,8.4618,8.5047,495077
2025-03-29,8.6464,8.8364,8.4231,8.6124,1010396
2025-03-30,8.3328,8.5881,8.1464,8.4002,1157031
2025-03-31,8.3105,8.3235,8.3084,8.3213,1355130
2025-04-01,8.6865,8.8212,8.5164,8.6506,50252
2025-04-02,8.6213,9.0207,8.2712,8.6687,381062
