date,open,high,low,close,volume
2025-01-20,2.6178,2.6771,2.5788,2.6378,446078
2025-01-21,2.6574,2.66,2.6532,2.6558,571947
2025-01-22,2.6446,2.6736,2.6059,2.6348,180018
2025-01-23,2.5726,2.5956,2.5429,2.5658,616057
2025-01-24,2.5136,2.5298,2.4964,2.5126,434030
2025-01-25,2.5384,2.5413,2.5355,2.5384,312548
2025-01-26,2.5046,2.5255,2.4941,2.515,695772
2025-01-27,2.5709,2.6083,2.5305,2.5678,162335
2025-01-28,2.6177,2.6226,2.6122,2.6171,612003
2025-01-29,2.6111,2.6358,2.5898,2.6145,938658
2025-01-30,2.6341,2.6544,2.6089,2.6291,63982
2025-01-31,2.6095,2.6423,2.5603,2.5928,523642
2025-02-01,2.6237,2.6357,2.6216,2.6336,947378
2025-02-02,2.7324,2.7418,2.7224,2.7318,652087
2025-02-03,2.725,2.7866,2.6799,2.7413,250623
2025-02-04,2.6953,2.7907,2.6271,2.7218,176661
2025-02-05,2.7344,2.7484,2.7208,2.7347,253865
2025-02-06,2.7569,2.7786,2.7334,2.7551,207918
2025-02-07,2.8114,2.8729,2.7623,2.8236,242892
2025-02-08,2.8627,2.9084,2.8063,2.8518,1203079
2025-02-09,2.851,2.8763,2.8265,2.8518,93313
2025-02-10,2.9371,2.9385,2.9354,2.9369,50786
2025-02-11,2.9689,2.9721,2.9623,2.9655,626281
2025-02-12,2.9356,2.9441,2.9315,2.94,774749
2025-02-13,2.9484,2.9489,2.9469,2.9474,409989
2025-02-14,2.9623,2.9722,2.9487,2.9586,50818
2025-02-15,2.9159,2.9671,2.8867,2.9376,511894
2025-02-16,3.0224,3.0587,2.9945,3.0307,981584
2025-02-17,2.9455,3.192,2.7446,2.9882,752946
2025-02-18,2.9225,2.931,2.9152,2.9236,370653
2025-02-19,2.857,2.8653,2.8426,2.8508,108718
2025-02-20,2.9038,2.907,2.8706,2.8738,33001
2025-02-21,2.9781,2.9783,2.9536,2.9538,120757
2025-02-22,2.9978,3.0708,2.909,2.9816,82246
2025-02-23,3.0835,3.0951,3.0739,3.0855,136848
2025-02-24,3.0588,3.0944,3.0482,3.0837,820365
2025-02-25,3.1014,3.1127,3.0859,3.0972,476717
2025-02-26,3.0925,3.2122,3.0231,3.1417,345762
2025-02-27,3.1109,3.1224,3.1069,3.1183,786572
2025-02-28,2.9011,2.9633,2.8581,2.92,404980
2025-03-01,2.8301,2.8613,2.8093,2.8404,117503
2025-03-02,2.7981,2.8013,2.7967,2.7999,739966
2025-03-03,2.871,2.8875,2.8546,2.8711,278952
2025-03-04,2.9045,2.9239,2.8676,2.8869,684783
2025-03-05,2.9406,2.9734,2.9045,2.9373,1155956
2025-03-06,2.9919,3.0473,2.9565,3.0116,775552
2025-03-07,2.9842,3.013,2.942,2.9706,930758
2025-03-08,2.8948,2.8962,2.8884,2.8898,635324
2025-03-09,2.8597,2.8691,2.8464,2.8558,340785
2025-03-10,2.9995,3.0466,2.9287,2.9754,44245
2025-03-11,2.9621,2.999,2.9472,2.984,902275
2025-03-12,2.9838,3.0107,2.9409,2.9676,325456
2025-03-13,3.0306,3.0604,2.9694,2.9989,198141
2025-03-14,2.9946,3.0773,2.892,2.9741,879575
2025-03-15,2.8912,2.9019,2.8775,2.8881,141761
2025-03-16,2.9801,3.0004,2.9689,2.9891,158687
2025-03-17,3.0187,3.0833,2.9467,3.0112,358755
2025-03-18,3.0235,3.047,2.9976,3.0212,111634
2025-03-19,3.0154,3.0157,3.0152,3.0155,498165
2025-03-20,2.9588,2.9924,2.9443,2.9778,501590
2025-03-21,3.0523,3.1263,2.9701,3.0439,90432
2025-03-22,3.0647,3.0834,3.0389,3.0575,41994
2025-03-23,3.0773,3.082,3.0713,3.076,200532
2025-03-24,3.2094,3.2433,3.1833,3.2171,170485
2025-03-25,3.0883,3.1076,3.0852,3.1044,808058
2025-03-26,3.1235,3.1499,3.1109,3.1372,281586
2025-03-27,3.152,3.2707,3.0353,3.154,41317
2025-03-28,3.1023,3.1754,3.0183,3.0912,430065
2025-03-29,3.1069,3.1671,3.0387,3.0988,121708
2025-03-30,3.1494,3.1494,3.1392,3.1392,660132
2025-03-31,3.0664,3.0982,3.0259,3.0576,1186342
2025-04-01,3.1427,3.1512,3.1337,3.1422,716893
2025-04-02,3.2275,3.2546,3.1929,3.2199,214569
2025-04-03,3.1346,3.139,3.1318,3.1362,37500
2025-04-04,3.1873,3.2012,3.1813,3.1952,48729
2025-04-05,3.184,3.2094,3.1646,3.19,260776
2025-04-06,2.9624,3.1773,2.8027,3.0148,235277
2025-04-07,3.0594,3.0759,3.0314,3.0479,15697
2025-04-08,2.983,3.0444,2.9321,2.9933,1100437
2025-04-09,3.0562,3.21,2.8921,3.0453,328682
2025-04-10,3.12,3.1297,3.1165,3.1261,730007
2025-04-11,3.1767,3.2231,3.1265,3.1729,755200
2025-04-12,3.2593,3.3685,3.1377,3.2465,609517
2025-04-13,3.2624,3.2835,3.2391,3.2601,583101
2025-04-14,3.2656,3.2933,3.2242,3.2517,170653
2025-04-15,3.236,3.287,3.2199,3.2708,191839
2025-04-16,3.3301,3.3346,3.326,3.3305,373315
2025-04-17,3.3323,3.346,3.3187,3.3324,202821
2025-04-18,3.4523,3.4525,3.4512,3.4514,332565
2025-04-19,3.4163,3.4545,3.4115,3.4496,143129
2025-04-20,3.4268,3.4345,3.4105,3.4183,906971
2025-04-21,3.4617,3.4686,3.4575,3.4644,708189
2025-04-22,3.4109,3.4985,3.3393,3.4266,101565
2025-04-23,3.4556,3.4589,3.4482,3.4514,897720
2025-04-24,3.4629,3.4854,3.4508,3.4733,500276
2025-04-25,3.4119,3.527,3.337,3.4513,122477
2025-04-26,3.3531,3.3747,3.3027,3.3241,1156725
2025-04-27,3.2545,3.2727,3.2405,3.2587,739796
2025-04-28,3.2646,3.2978,3.2219,3.255,223953
2025-04-29,3.263,3.328,3.2132,3.278,342128
2025-04-30,3.2538,3.2762,3.2354,3.2577,790681
2025-05-01,3.3185,3.3196,3.3038,3.305,534627
2025-05-02,3.3502,3.3765,3.3216,3.3479,855166
2025-05-03,3.5003,3.5067,3.4963,3.5027,288004
2025-05-04,3.5536,3.6132,3.4869,3.5464,972382
2025-05-05,3.4452,3.7144,3.2096,3.4766,308433
2025-05-06,3.5752,3.6401,3.488,3.5525,1423515
2025-05-07,3.6022,3.7842,3.4067,3.588,20348
2025-05-08,3.4077,3.45,3.3937,3.4359,597266
2025-05-09,3.4309,3.4913,3.3372,3.397,713480
2025-05-10,3.3802,3.396,3.3723,3.388,181659
2025-05-11,3.3981,3.4005,3.3981,3.4005,517084
2025-05-12,3.5507,3.6737,3.4093,3.5317,122492
2025-05-13,3.4893,3.529,3.433,3.4725,756665
2025-05-14,3.424,3.4409,3.384,3.4008,924603
2025-05-15,3.3781,3.4955,3.2689,3.386,873948
2025-05-16,3.3053,3.4093,3.2323,3.3357,749873
2025-05-17,3.4148,3.4203,3.4072,3.4127,489465
2025-05-18,3.4847,3.4953,3.4644,3.475,93307
2025-05-19,3.4906,3.5302,3.4488,3.4885,53386
2025-05-20,3.4946,3.5681,3.4309,3.5042,782460
2025-05-21,3.6648,3.7565,3.5486,3.6397,303539
2025-05-22,3.6543,3.7872,3.5233,3.6562,1084094
2025-05-23,3.4804,3.5191,3.4696,3.5083,525399
2025-05-24,3.4124,3.4396,3.3851,3.4123,1163614
2025-05-25,3.3904,3.4781,3.2928,3.3802,863276
2025-05-26,3.4867,3.4933,3.4626,3.4692,293869
2025-05-27,3.6387,3.6805,3.5795,3.6211,656122
2025-05-28,3.6846,3.7336,3.6386,3.6875,354992
2025-05-29,3.6608,3.7018,3.5745,3.615,256838
2025-05-30,3.5913,3.7347,3.4493,3.5926,495531
2025-05-31,3.6836,3.7522,3.6309,3.6993,661548
2025-06-01,3.7982,3.8263,3.7832,3.8112,813924
2025-06-02,3.8307,3.8478,3.8081,3.8252,1010142
2025-06-03,3.8374,3.8414,3.8085,3.8125,364562
2025-06-04,3.7571,4.0258,3.545,3.8106,490234
2025-06-05,3.7558,3.7686,3.7229,3.7356,127339
2025-06-06,3.8988,3.9389,3.8707,3.9106,263035
2025-06-07,3.8911,3.9169,3.8819,3.9076,47829
2025-06-08,3.9147,3.9495,3.874,3.9088,481201
2025-06-09,3.8264,3.8785,3.7681,3.8201,449337
2025-06-10,3.7153,3.8619,3.5961,3.7419,649501
2025-06-11,3.6929,3.6935,3.692,3.6925,410096
2025-06-12,3.5646,3.5936,3.5286,3.5575,451878
2025-06-13,3.4842,3.7766,3.2635,3.5516,513331
2025-06-14,3.541,3.5768,3.5084,3.5441,146023
2025-06-15,3.5693,3.7396,3.3399,3.5073,442040
2025-06-16,3.626,3.6546,3.6108,3.6393,364350
2025-06-17,3.6157,3.6251,3.6041,3.6135,534046
2025-06-18,3.53,3.5391,3.5113,3.5204,370718
2025-06-19,3.4851,3.5218,3.4599,3.4965,77964
2025-06-20,3.5014,3.5258,3.4765,3.5009,1062131
2025-06-21,3.5976,3.6277,3.5482,3.5782,368299
2025-06-22,3.6459,3.6736,3.6354,3.6631,916956
2025-06-23,3.8064,3.8072,3.8062,3.807,810957
2025-06-24,3.8441,3.8518,3.7872,3.7949,1170594
2025-06-25,3.9361,4.0501,3.792,3.9052,57770
2025-06-26,3.9201,3.9736,3.898,3.9513,352057
2025-06-27,3.9035,3.926,3.8845,3.907,104875
2025-06-28,3.8953,3.9029,3.8851,3.8927,292173
2025-06-29,3.8597,3.8876,3.816,3.8439,1325913
2025-06-30,3.7605,3.7997,3.7462,3.7852,235824
2025-07-01,3.889,4.2941,3.4331,3.8323,221335
2025-07-02,3.8051,3.9247,3.639,3.7571,354013
2025-07-03,3.8435,3.8443,3.8432,3.8439,1134564
2025-07-04,3.8463,3.985,3.7686,3.9061,1151064
2025-07-05,3.9103,3.9316,3.8792,3.9004,174984
2025-07-06,3.8125,3.8435,3.7904,3.8214,824150
2025-07-07,3.8672,4.0304,3.726,3.8884,762316
2025-07-08,4.0031,4.0297,3.9724,3.999,309516
2025-07-09,3.9451,3.9551,3.9408,3.9508,1331344
2025-07-10,3.7402,3.8415,3.6549,3.7559,682752
2025-07-11,3.8304,3.8379,3.8177,3.8252,836515
2025-07-12,3.8184,3.8753,3.7479,3.8046,787307
2025-07-13,3.9945,4.0156,3.9826,4.0038,138581
2025-07-14,3.9743,4.0239,3.9242,3.9739,1219337
2025-07-15,3.9863,4.0194,3.9393,3.9723,49834
2025-07-16,3.9463,3.9996,3.9077,3.9609,1269444
2025-07-17,4.0314,4.1444,3.9382,4.0508,745136
2025-07-18,4.1167,4.1167,4.1156,4.1157,779756
2025-07-19,4.0683,4.0951,4.0314,4.0581,1405545
2025-07-20,3.9845,4.0683,3.934,4.0174,417328
2025-07-21,3.9299,3.9578,3.9117,3.9396,695868
2025-07-22,4.0724,4.0947,4.046,4.0683,382500
2025-07-23,3.9553,3.9672,3.9367,3.9486,416291
2025-07-24,3.9142,3.9667,3.8768,3.9292,728129
2025-07-25,3.9331,4.0276,3.846,3.9403,816230
2025-07-26,4.0336,4.0784,3.9583,4.0027,206666
2025-07-27,4.0546,4.0578,4.0273,4.0306,714471
2025-07-28,3.9269,3.9282,3.9258,3.9271,517699
2025-07-29,3.9203,3.9317,3.9133,3.9247,801065
2025-07-30,3.9182,3.9224,3.9139,3.9181,474769
2025-07-31,3.9895,4.0784,3.8793,3.9677,652688
2025-08-01,3.9639,3.9715,3.9515,3.9591,339053
2025-08-02,3.9447,3.9847,3.9129,3.9528,572214
2025-08-03,3.9225,3.9259,3.9172,3.9206,149203
2025-08-04,4.0249,4.0726,3.9568,4.0043,526579
2025-08-05,4.1854,4.4007,3.8923,4.1033,541612
2025-08-06,4.2307,4.4196,3.9497,4.1344,913492
2025-08-07,4.1707,4.2124,4.1291,4.1707,284797
2025-08-08,4.0251,4.1155,3.9783,4.0681,53425
2025-08-09,3.994,4.0408,3.9588,4.0055,823733
2025-08-10,3.9767,4.1141,3.8745,4.0111,833138
2025-08-11,3.9723,4.0168,3.9402,3.9846,125494
2025-08-12,4.006,4.1809,3.7973,3.9706,205841
2025-08-13,3.9879,4.0164,3.9601,3.9886,459310
2025-08-14,4.0644,4.0665,4.0625,4.0646,333068
2025-08-15,4.0226,4.0556,3.9886,4.0216,574131
2025-08-16,3.914,3.934,3.8862,3.9062,553432
2025-08-17,3.9253,3.9734,3.8907,3.9386,673573
2025-08-18,3.9931,4.0146,3.9848,4.0062,1111105
2025-08-19,4.0509,4.0606,4.036,4.0457,624826
2025-08-20,3.9344,3.9522,3.9334,3.9512,469387
2025-08-21,3.9696,3.9827,3.9405,3.9535,113713
2025-08-22,3.8013,3.8201,3.78,3.7987,410335
2025-08-23,3.8721,3.9415,3.7695,3.8382,448187
2025-08-24,3.8024,3.8303,3.7943,3.8222,425109
2025-08-25,3.8329,3.8564,3.8264,3.8499,1116692
2025-08-26,3.8784,3.8796,3.8757,3.8769,97608
2025-08-27,3.9356,3.9702,3.9053,3.9399,66965
2025-08-28,4.033,4.1794,3.8866,4.033,342704
2025-08-29,4.1099,4.1488,4.0466,4.0851,159160
2025-08-30,4.1408,4.2447,4.0272,4.1308,346678
2025-08-31,4.1296,4.1812,4.0982,4.1496,584236
2025-09-01,4.2344,4.2842,4.1735,4.2232,377313
2025-09-02,4.2308,4.2406,4.219,4.2288,95444
2025-09-03,4.0642,4.1611,3.9631,4.06,824062
2025-09-04,4.0434,4.0901,4.0291,4.0757,483167
2025-09-05,4.1314,4.1506,4.0802,4.0992,603869
2025-09-06,4.1749,4.3114,4.0011,4.1364,306664
2025-09-07,4.1214,4.205,4.0461,4.1295,56847
2025-09-08,3.9487,3.9991,3.9157,3.9659,278920
2025-09-09,3.8196,3.9847,3.7166,3.8801,141374
2025-09-10,3.976,3.9871,3.9534,3.9644,159611
2025-09-11,3.9996,4.0296,3.9638,3.9938,341793
2025-09-12,3.9501,4.1229,3.7933,3.9655,472057
2025-09-13,3.8988,3.9901,3.7839,3.8746,645710
2025-09-14,3.7876,3.79,3.7821,3.7844,576828
2025-09-15,3.8009,3.8097,3.7948,3.8036,303547
2025-09-16,3.8064,3.8114,3.802,3.807,608083
2025-09-17,3.7046,3.7194,3.6824,3.6972,660933
2025-09-18,3.7211,3.7258,3.7174,3.7222,876674
2025-09-19,3.7598,3.77,3.7503,3.7606,252279
2025-09-20,3.7638,3.7808,3.7445,3.7614,57873
2025-09-21,3.7471,3.9398,3.5359,3.7276,239139
2025-09-22,3.6712,3.8196,3.5576,3.7049,210524
2025-09-23,3.6312,3.6803,3.6145,3.6635,392608
2025-09-24,3.7374,3.7622,3.7047,3.7295,180922
2025-09-25,3.7414,3.8058,3.6993,3.7634,485284
2025-09-26,3.8912,3.9091,3.8563,3.8741,419341
2025-09-27,3.7586,3.832,3.6688,3.7419,755185
2025-09-28,3.868,3.9069,3.8095,3.8481,350426
2025-09-29,3.8038,3.8138,3.7809,3.7909,735007
2025-09-30,3.8279,3.8335,3.8194,3.8249,188937
2025-10-01,3.8997,3.9368,3.8568,3.8938,169667
2025-10-02,3.8991,3.9244,3.8768,3.9021,231176
2025-10-03,3.7872,3.8627,3.7718,3.847,1044303
2025-10-04,3.796,3.8033,3.7865,3.7938,858038
2025-10-05,3.6698,3.6937,3.6226,3.6464,415292
2025-10-06,3.7282,3.7788,3.6913,3.7418,739215
2025-10-07,3.6463,3.7653,3.5421,3.6607,104992
2025-10-08,3.6069,3.6317,3.5945,3.6192,44127
2025-10-09,3.7539,3.7747,3.7301,3.7509,97093
2025-10-10,3.7066,3.7068,3.7029,3.7032,166850
2025-10-11,3.6993,3.8251,3.5738,3.6996,77946
2025-10-12,3.6204,3.6875,3.5737,3.6405,638354
2025-10-13,3.6785,3.6793,3.6749,3.6756,44871
2025-10-14,3.5312,3.6169,3.4578,3.5431,38488
2025-10-15,3.5507,3.6139,3.5122,3.5751,1017532
2025-10-16,3.4596,3.5445,3.3996,3.4841,221530
2025-10-17,3.4786,3.6553,3.3107,3.487,517159
2025-10-18,3.4423,3.5005,3.4224,3.4804,1035504
2025-10-19,3.5845,3.597,3.5764,3.5889,355041
2025-10-20,3.6978,3.7235,3.6812,3.707,121813
2025-10-21,3.7564,3.8115,3.6892,3.7441,735513
2025-10-22,3.6962,3.7445,3.6565,3.7047,977778
2025-10-23,3.7563,3.8449,3.6479,3.7361,488543
2025-10-24,3.6575,3.6611,3.6534,3.657,601607
2025-10-25,3.5745,3.8521,3.353,3.6273,295172
2025-10-26,3.6915,3.7298,3.6675,3.7056,138577
2025-10-27,3.7114,3.747,3.6568,3.6923,297621
2025-10-28,3.7587,3.7759,3.7395,3.7566,701588
2025-10-29,3.7168,3.7295,3.7135,3.7261,419806
2025-10-30,3.7485,3.7488,3.743,3.7433,506773
2025-10-31,3.676,3.7213,3.6627,3.7079,579436
2025-11-01,3.6097,3.641,3.5958,3.6271,507559
2025-11-02,3.7392,3.755,3.7294,3.7451,800351
2025-11-03,3.6368,3.6411,3.6349,3.6392,438648
2025-11-04,3.691,3.6975,3.687,3.6935,548976
2025-11-05,3.5394,3.5439,3.5386,3.5432,1174598
2025-11-06,3.5022,3.5407,3.4734,3.5118,827402
2025-11-07,3.405,3.4628,3.3722,3.4298,386033
2025-11-08,3.4434,3.4714,3.4059,3.4339,114951
2025-11-09,3.3987,3.4613,3.3424,3.4048,408583
2025-11-10,3.3314,3.3354,3.3292,3.3333,1158850
2025-11-11,3.3786,3.4055,3.3417,3.3685,424804
2025-11-12,3.3167,3.3316,3.3043,3.3192,914967
2025-11-13,3.2516,3.2556,3.2381,3.2421,145845
2025-11-14,3.2807,3.2863,3.2616,3.2671,551735
2025-11-15,3.4119,3.547,3.1966,3.3284,278865
2025-11-16,3.2442,3.3421,3.1746,3.2719,557015
2025-11-17,3.2506,3.4471,3.062,3.258,255114
2025-11-18,3.2513,3.257,3.2434,3.2491,341249
2025-11-19,3.2399,3.4553,3.0734,3.2864,1339618
2025-11-20,3.2506,3.2744,3.2157,3.2395,604797
2025-11-21,3.1874,3.2246,3.1723,3.2095,449236
2025-11-22,3.2544,3.2547,3.2535,3.2539,415239
2025-11-23,3.2701,3.3588,3.1505,3.2384,305037
2025-11-24,3.302,3.3693,3.2362,3.3035,531067
2025-11-25,3.2406,3.2507,3.2328,3.2429,227071
2025-11-26,3.2339,3.262,3.1814,3.2093,694073
2025-11-27,3.1947,3.3288,3.0295,3.1622,254921
2025-11-28,3.0868,3.31,2.9105,3.1311,314430
2025-11-29,3.1425,3.1679,3.129,3.1543,22515
2025-11-30,3.1591,3.1637,3.1569,3.1615,478618
2025-12-01,3.2023,3.2055,3.1866,3.1897,199949
2025-12-02,3.2788,3.2846,3.2663,3.272,215314
2025-12-03,3.3683,3.5564,3.1956,3.3829,622949
2025-12-04,3.3247,3.355,3.2856,3.3159,172385
2025-12-05,3.2962,3.327,3.2598,3.2905,404995
2025-12-06,3.2497,3.3292,3.1643,3.2438,295522
2025-12-07,3.2463,3.2558,3.2044,3.2138,765771
2025-12-08,3.2686,3.3144,3.2422,3.2879,671255
2025-12-09,3.2132,3.2228,3.2005,3.2101,1041855
2025-12-10,3.2224,3.2577,3.1886,3.2239,993678
2025-12-11,3.229,3.2889,3.132,3.1913,463829
2025-12-12,3.1841,3.2118,3.13,3.1574,89497
2025-12-13,3.1033,3.1953,3.0375,3.129,205885
2025-12-14,2.9812,2.9999,2.9688,2.9875,93208
2025-12-15,2.9597,2.976,2.9452,2.9614,569060
2025-12-16,2.9691,3.0065,2.9347,2.972,804224
2025-12-17,3.0423,3.0464,3.0401,3.0441,314606
2025-12-18,3.0486,3.0634,3.0328,3.0475,478868
2025-12-19,3.016,3.1246,2.9198,3.028,26187
2025-12-20,3.033,3.0556,2.9935,3.016,247510
2025-12-21,2.9753,3.0034,2.9525,2.9806,54293
2025-12-22,2.9882,3.1441,2.8309,2.9868,446563
2025-12-23,2.9922,3.0082,2.9699,2.9858,510574
2025-12-24,2.9262,2.9303,2.9258,2.9299,184259
2025-12-25,2.9465,2.9529,2.9374,2.9437,415954
2025-12-26,2.9818,3.2297,2.6908,2.9348,1166077
2025-12-27,2.9069,2.9182,2.9024,2.9137,141972
2025-12-28,2.8296,2.9569,2.7373,2.8635,306320
2025-12-29,2.7276,2.7409,2.7115,2.7249,68890
2025-12-30,2.7181,2.8385,2.6235,2.7431,78144
2025-12-31,2.628,2.632,2.6229,2.6269,353390
2026-01-01,2.6201,2.6679,2.5634,2.6111,536394
2026-01-02,2.6148,2.6499,2.5903,2.6252,340201
2026-01-03,2.6223,2.7245,2.5473,2.6487,175996
2026-01-04,2.6852,2.7129,2.6625,2.6901,45744
2026-01-05,2.6377,2.6434,2.6317,2.6375,229605
2026-01-06,2.7641,2.8277,2.7206,2.7838,824748
2026-01-07,2.7532,2.8125,2.7117,2.7707,438779
2026-01-08,2.7419,2.768,2.72,2.7461,748840
2026-01-09,2.7857,2.8244,2.7197,2.7579,603641
2026-01-10,2.7921,2.8102,2.7824,2.8005,1011918
2026-01-11,2.8906,2.8971,2.8884,2.895,691038
2026-01-12,2.9326,2.9835,2.8743,2.9251,638111
2026-01-13,2.8552,3.0106,2.72,2.8745,85677
2026-01-14,2.827,2.9297,2.699,2.8008,331734
2026-01-15,2.7935,2.8919,2.6992,2.7976,202871
2026-01-16,2.8412,2.9057,2.7923,2.8565,362930
2026-01-17,2.774,2.8101,2.7455,2.7814,896469
2026-01-18,2.8621,2.8864,2.8464,2.8706,57385
2026-01-19,2.8454,2.8477,2.8447,2.8471,623209
