date,open,high,low,close,volume
2025-01-20,40.1053,40.1739,40.0264,40.095,631674
2025-01-21,39.7241,40.0083,39.2081,39.4907,212618
2025-01-22,38.3003,39.393,37.6089,38.6944,1250486
2025-01-23,39.0018,39.2848,38.4336,38.7146,751263
2025-01-24,38.8864,39.2076,38.4651,38.7855,419630
2025-01-25,38.0813,38.8161,37.1724,37.9037,489582
2025-01-26,38.9649,40.2052,37.3146,38.5415,101230
2025-01-27,37.4839,37.8194,37.2417,37.5766,1166828
2025-01-28,39.0751,39.0792,39.0684,39.0725,279342
2025-01-29,39.3137,41.3552,37.5735,39.6023,1091835
2025-01-30,39.2539,39.4945,39.117,39.3572,579935
2025-01-31,39.457,39.6791,39.3322,39.554,297401
2025-02-01,40.0587,40.3116,39.9378,40.1903,74730
2025-02-02,40.1935,40.3695,40.0184,40.1944,750470
2025-02-03,40.8945,41.7225,39.7813,40.6034,729746
2025-02-04,39.9621,40.643,39.3725,40.052,436363
2025-02-05,39.7251,40.2676,39.3192,39.8603,1446499
2025-02-06,39.7645,40.0496,39.3905,39.675,822369
2025-02-07,39.0466,39.1844,38.9605,39.0983,1005623
2025-02-08,39.6341,41.4151,37.3293,39.0857,423094
2025-02-09,37.4476,37.5288,37.3843,37.4655,743722
2025-02-10,37.1724,37.4772,36.9586,37.2629,813512
2025-02-11,36.2119,36.6685,35.9217,36.3769,232671
2025-02-12,36.1078,37.591,34.9518,36.4249,96954
2025-02-13,35.7925,37.3523,34.43,35.9826,22314
2025-02-14,35.7377,35.7536,35.7219,35.7377,952878
2025-02-15,34.9481,35.2683,34.669,34.9888,25033
2025-02-16,33.998,34.015,33.9719,33.9889,616476
2025-02-17,33.0168,33.0237,33.0108,33.0177,190244
2025-02-18,33.0821,33.5783,32.7557,33.2501,1021465
2025-02-19,33.9238,33.9439,33.9109,33.9311,466770
2025-02-20,33.1854,33.371,33.0757,33.261,1027132
2025-02-21,32.6123,32.6294,32.5491,32.5662,136675
2025-02-22,31.8293,31.8648,31.662,31.6974,175056
2025-02-23,31.9616,32.2687,31.5051,31.8108,861061
2025-02-24,29.912,31.5739,28.4225,30.0761,560756
2025-02-25,30.1139,30.5799,29.6482,30.1143,783930
2025-02-26,30.855,30.9161,30.7935,30.8546,708941
2025-02-27,31.5451,31.9863,31.0031,31.4428,945986
2025-02-28,31.5081,31.6739,31.295,31.4605,197815
2025-03-01,31.9762,32.0108,31.9179,31.9525,1364135
2025-03-02,32.5855,32.5994,32.5317,32.5455,924610
2025-03-03,32.3781,32.4195,32.3155,32.3568,467822
2025-03-04,31.8684,32.1438,31.3165,31.5896,560257
2025-03-05,31.3544,32.5201,29.7374,30.8857,65196
2025-03-06,30.3308,31.7432,28.8181,30.2255,640081
2025-03-07,29.7563,31.0271,28.9132,30.1722,885421
2025-03-08,30.4466,31.1308,29.7331,30.4167,753358
2025-03-09,31.2239,31.232,31.2193,31.2274,477475
2025-03-10,31.8472,31.9416,31.7127,31.8069,354869
2025-03-11,31.321,32.1976,30.237,31.1077,1190036
2025-03-12,30.6628,30.9474,30.2452,30.5285,55617
2025-03-13,30.3179,30.498,30.0941,30.274,392619
2025-03-14,29.9973,30.1887,29.5685,29.7583,307651
2025-03-15,30.6868,30.7166,30.655,30.6848,697455
2025-03-16,31.7007,32.0257,31.4521,31.7765,800792
2025-03-17,32.0511,32.2122,31.9517,32.1126,507914
2025-03-18,32.4039,32.4172,32.3765,32.3898,1162995
2025-03-19,34.0408,34.2167,33.8635,34.0394,356842
2025-03-20,33.4672,33.6688,33.1618,33.3629,91528
2025-03-21,33.0553,36.1903,30.3488,33.4514,619529
2025-03-22,32.49,33.0204,32.0577,32.5867,163402
2025-03-23,31.3633,31.462,31.3407,31.4393,996404
