date,open,high,low,close,volume
2025-01-20,2.0854,2.0971,2.0743,2.0859,858790
2025-01-21,2.0011,2.0264,1.9792,2.0045,110562
2025-01-22,1.9801,2.0161,1.9505,1.9865,176415
2025-01-23,2.0239,2.0258,2.0224,2.0244,586686
2025-01-24,1.9899,1.9912,1.9888,1.9901,269453
2025-01-25,2.0222,2.0946,1.9612,2.0332,467153
2025-01-26,2.0889,2.1734,2.0173,2.1014,125439
2025-01-27,2.0521,2.1839,1.9151,2.0465,707816
2025-01-28,2.086,2.091,2.0732,2.0782,12648
2025-01-29,2.0954,2.1197,2.0534,2.0775,492932
2025-01-30,2.2026,2.2188,2.168,2.1841,834027
2025-01-31,2.1983,2.2293,2.1792,2.2102,881511
2025-02-01,2.16,2.1726,2.144,2.1565,439936
2025-02-02,2.1219,2.2366,2.0054,2.12,207516
2025-02-03,2.078,2.0805,2.0759,2.0784,732614
2025-02-04,2.0641,2.0724,2.0596,2.0678,508363
2025-02-05,2.085,2.2679,1.9131,2.0952,912894
2025-02-06,2.0918,2.1156,2.0672,2.0909,163725
2025-02-07,2.0574,2.0853,2.0177,2.0454,58708
2025-02-08,1.9988,2.1155,1.8996,2.0154,1045138
2025-02-09,2.0068,2.0599,1.9428,1.9956,664429
2025-02-10,1.9689,2.0095,1.9366,1.9771,585048
2025-02-11,1.9568,1.9737,1.9295,1.9463,700735
2025-02-12,1.9613,2.0161,1.914,1.9686,233689
2025-02-13,1.9811,2.0006,1.9375,1.9568,33651
2025-02-14,1.8937,1.8974,1.8879,1.8916,349924
2025-02-15,1.8797,1.8975,1.8666,1.8844,865751
2025-02-16,1.8582,1.8637,1.8523,1.8577,1042730
2025-02-17,1.9609,1.9651,1.9537,1.9578,409528
2025-02-18,1.9785,2.0927,1.8683,1.9823,112920
2025-02-19,1.9805,2.0093,1.954,1.9828,720040
2025-02-20,2.0038,2.0076,1.9859,1.9897,557686
2025-02-21,1.9164,1.9639,1.8809,1.9281,25594
2025-02-22,1.8276,1.8623,1.8034,1.838,321122
2025-02-23,1.8449,1.866,1.8232,1.8443,45500
