date,open,high,low,close,volume
2025-01-20,5.6201,5.7224,5.5778,5.6796,644772
2025-01-21,5.8721,5.9954,5.7159,5.8386,537418
2025-01-22,5.8892,6.0145,5.8244,5.949,674815
2025-01-23,5.9553,5.9693,5.9444,5.9584,462601
2025-01-24,5.9309,6.0515,5.8697,5.9897,821359
2025-01-25,6.3182,6.3349,6.3148,6.3315,450019
2025-01-26,6.4431,6.4903,6.3761,6.4232,553476
2025-01-27,6.7124,6.7602,6.6601,6.7078,323697
2025-01-28,6.5977,6.6621,6.5354,6.5998,189482
2025-01-29,6.6206,6.716,6.545,6.6402,571490
2025-01-30,6.5113,6.6163,6.375,6.4795,479874
2025-01-31,6.49,6.5405,6.4001,6.4503,480207
2025-02-01,6.3212,6.351,6.3083,6.338,292653
2025-02-02,6.4707,6.8571,6.0384,6.4218,609294
2025-02-03,6.5259,6.8069,6.2314,6.5119,465959
2025-02-04,6.3815,6.3919,6.3488,6.3592,708101
2025-02-05,6.3268,6.3523,6.295,6.3205,807713
2025-02-06,6.3054,6.3092,6.3041,6.3079,485098
2025-02-07,6.4489,6.6234,6.2636,6.4378,381350
2025-02-08,6.5207,6.8009,6.1388,6.4145,824222
2025-02-09,6.1992,6.2336,6.1695,6.2039,18319
2025-02-10,6.2369,6.2939,6.1591,6.216,225232
2025-02-11,6.1109,6.1404,6.0837,6.1132,425928
2025-02-12,6.1417,6.1469,6.1232,6.1284,420598
2025-02-13,6.2661,6.3291,6.1778,6.2405,364628
2025-02-14,6.0164,6.0494,6.0143,6.0473,287079
2025-02-15,6.1494,6.2145,6.0301,6.0947,812882
2025-02-16,6.2536,6.4779,5.9796,6.2022,335015
2025-02-17,6.0205,6.0519,6.0076,6.039,123550
2025-02-18,5.957,6.0785,5.7713,5.8915,560857
2025-02-19,5.8528,6.2707,5.5147,5.9284,397166
2025-02-20,6.0104,6.0777,5.9305,5.9977,631402
2025-02-21,5.9743,6.059,5.8826,5.9671,200358
2025-02-22,6.0818,6.2489,5.8572,6.0226,21765
2025-02-23,5.8466,5.9059,5.8096,5.8688,118926
2025-02-24,5.9344,5.9421,5.9156,5.9232,275687
2025-02-25,6.0312,6.102,5.8828,5.9527,622626
2025-02-26,5.9892,5.9899,5.9804,5.9812,440600
2025-02-27,6.0819,6.2345,5.881,6.0324,460820
2025-02-28,6.003,6.0091,5.9947,6.0009,473707
2025-03-01,6.0845,6.0846,6.0841,6.0842,275126
2025-03-02,5.9521,5.9836,5.93,5.9614,108887
2025-03-03,6.066,6.1623,5.9595,6.0556,389092
2025-03-04,5.9116,6.0177,5.842,5.9477,354626
2025-03-05,6.1608,6.219,5.962,6.0188,536707
2025-03-06,6.0741,6.0783,6.0552,6.0593,409435
2025-03-07,6.0317,6.0383,6.0257,6.0322,517448
2025-03-08,6.0748,6.1933,5.9719,6.0901,580304
2025-03-09,6.1437,6.1674,6.1141,6.1378,279154
2025-03-10,6.1094,6.1719,6.0379,6.1003,531517
2025-03-11,6.0674,6.068,6.0671,6.0677,743675
2025-03-12,6.0144,6.1535,5.8605,5.9993,772603
2025-03-13,6.0291,6.1711,5.9155,6.057,532015
2025-03-14,5.9552,5.9851,5.927,5.9568,876806
2025-03-15,5.7338,5.7719,5.7013,5.7394,267641
2025-03-16,5.6263,5.7227,5.5314,5.6278,526117
2025-03-17,5.6612,5.7271,5.5704,5.6361,1262667
2025-03-18,5.683,5.9533,5.447,5.716,35680
2025-03-19,5.6103,5.6303,5.5826,5.6026,944963
2025-03-20,5.6733,5.6837,5.6644,5.6749,145054
2025-03-21,5.8885,6.0867,5.6313,5.8274,657836
2025-03-22,5.9089,6.0183,5.7971,5.9064,492435
2025-03-23,5.8611,5.8652,5.7941,5.7982,336054
2025-03-24,5.5217,5.5792,5.4685,5.526,532287
2025-03-25,5.6046,5.6631,5.5051,5.5632,604380
2025-03-26,5.6031,5.7203,5.5071,5.6239,546421
2025-03-27,5.6896,5.7066,5.6688,5.6858,843509
2025-03-28,5.7664,5.8393,5.6922,5.7651,832832
2025-03-29,5.7077,5.7088,5.6983,5.6993,53260
2025-03-30,5.7209,5.732,5.7123,5.7234,206625
2025-03-31,5.6829,5.702,5.6396,5.6587,485920
2025-04-01,5.6347,5.7124,5.5615,5.6391,460573
2025-04-02,5.8613,5.8622,5.8606,5.8615,210310
2025-04-03,5.8336,5.8851,5.7939,5.8454,118756
2025-04-04,5.8516,6.1092,5.5758,5.8327,346404
2025-04-05,5.6853,5.7245,5.6571,5.6963,900962
