date,open,high,low,close,volume
2025-01-20,201.6141,202.0525,201.182,201.6204,26593
2025-01-21,203.0479,205.1797,200.6188,202.7474,1036695
2025-01-22,205.0407,206.9385,201.9741,203.8609,788020
2025-01-23,204.2188,207.7384,202.0088,205.5145,740547
2025-01-24,206.1243,206.4318,205.2774,205.5842,897333
2025-01-25,206.3196,206.987,204.3411,205.0043,551248
2025-01-26,206.7672,218.1603,199.7861,211.0351,795341
2025-01-27,214.2656,219.9075,210.4959,216.1054,448639
2025-01-28,210.0374,221.8098,200.312,211.9938,739421
2025-01-29,215.033,219.6312,209.6968,214.2788,222916
2025-01-30,216.0088,216.6701,213.7746,214.4311,515300
2025-01-31,216.722,217.1044,216.5568,216.9389,1377479
2025-02-01,214.5053,217.3448,212.6894,215.5203,214414
2025-02-02,214.0274,214.9849,211.4515,212.4017,92308
2025-02-03,213.556,221.4885,205.741,213.6694,562450
2025-02-04,211.9671,213.7108,209.5601,211.2983,692292
2025-02-05,210.5672,210.6261,210.5171,210.576,626723
2025-02-06,209.9991,213.1373,207.1721,210.3061,552852
2025-02-07,206.4441,206.7913,206.2695,206.6166,579203
2025-02-08,202.3122,205.857,198.0168,201.5482,86537
2025-02-09,205.5759,213.2362,194.9783,202.5249,894222
2025-02-10,210.5894,213.9675,205.6384,208.9908,124454
2025-02-11,210.8941,213.0786,209.1349,211.3159,232272
2025-02-12,209.9766,213.6437,204.6656,208.3035,271411
2025-02-13,204.9678,207.2006,202.6659,204.898,15524
2025-02-14,203.9042,204.329,202.5665,202.9894,464905
2025-02-15,200.1798,213.9377,185.5646,199.2592,772527
2025-02-16,202.8623,225.5001,178.8964,201.3672,201265
2025-02-17,196.5634,224.2308,171.7819,199.1262,910301
2025-02-18,201.6889,202.3773,201.1484,201.8364,352693
2025-02-19,207.4592,209.1971,205.0556,206.7879,326502
2025-02-20,202.0869,206.7111,198.5234,203.1292,1388632
2025-02-21,198.5945,200.4646,197.2402,199.1067,282656
2025-02-22,210.8471,211.1507,209.7306,210.0329,285844
2025-02-23,202.1067,203.7925,199.8735,201.5547,517378
2025-02-24,206.3829,207.0888,205.9044,206.6098,581670
2025-02-25,202.2204,203.22,200.3683,201.3638,860763
2025-02-26,195.6173,197.05,194.6428,196.0732,304419
2025-02-27,195.8116,198.6973,194.5121,197.3873,629588
2025-02-28,197.8928,200.2637,193.8676,196.2185,1063478
2025-03-01,199.6789,199.835,198.2495,198.4046,51891
2025-03-02,198.36,199.1537,197.7158,198.5089,917393
2025-03-03,196.0753,196.0803,196.0672,196.0722,175288
2025-03-04,199.9936,206.2231,193.0376,199.2437,453127
2025-03-05,197.414,199.7266,194.8937,197.2038,134140
2025-03-06,195.2453,197.7517,192.6042,195.109,847937
2025-03-07,200.1317,201.9468,199.2989,201.11,617786
2025-03-08,205.069,205.8698,204.2454,205.0461,812444
2025-03-09,203.9667,220.1718,191.5579,207.5454,455634
2025-03-10,207.9889,218.0946,200.1042,210.1288,670691
2025-03-11,209.0392,217.0425,204.2032,212.1349,981525
2025-03-12,215.7189,223.8066,208.5092,216.5685,1066497
2025-03-13,218.2205,219.5872,216.8311,218.1976,162063
2025-03-14,216.3594,217.2544,214.3954,215.2859,1045441
2025-03-15,217.1847,218.113,216.4564,217.384,579053
2025-03-16,215.4518,217.4005,214.3123,216.2567,656347
2025-03-17,213.6763,214.9558,212.4081,213.6874,464599
2025-03-18,217.804,217.9554,217.5634,217.7147,61562
2025-03-19,215.9906,218.7578,213.9113,216.672,922643
2025-03-20,206.0153,207.7971,203.8139,205.592,362968
