date,open,high,low,close,volume
2025-01-20,2131.2964,2142.6791,2121.2445,2132.621,41643
2025-01-21,2153.1673,2230.4441,2054.7335,2131.2227,1086577
2025-01-22,2152.148,2176.655,2133.4542,2157.9111,898778
2025-01-23,2197.8462,2205.9578,2190.0619,2198.1723,272309
2025-01-24,2202.2576,2240.7084,2158.5483,2196.9056,1139620
2025-01-25,2135.6445,2223.3858,2044.4281,2132.0205,638213
2025-01-26,2213.8678,2277.8036,2128.9745,2192.2871,363060
2025-01-27,2162.2944,2193.2875,2118.0869,2148.8878,1314773
2025-01-28,2190.3771,2220.2889,2160.7892,2190.6967,289159
2025-01-29,2208.9017,2227.5388,2180.9331,2199.4908,1071972
2025-01-30,2254.7221,2296.5281,2222.5434,2264.2139,147085
2025-01-31,2233.5299,2259.3506,2214.2366,2240.0013,302141
2025-02-01,2272.2941,2284.5962,2241.4609,2253.6621,135078
2025-02-02,2312.9436,2315.4068,2308.7278,2311.1892,672849
2025-02-03,2312.3616,2358.5356,2288.704,2334.6499,610064
2025-02-04,2383.4401,2390.9022,2372.777,2380.2289,703867
2025-02-05,2382.4934,2413.8913,2371.2442,2402.5474,895154
2025-02-06,2408.3112,2447.1153,2389.8539,2428.5033,707850
2025-02-07,2502.6816,2513.7237,2477.3204,2488.299,1030876
2025-02-08,2506.2262,2514.8767,2499.6895,2508.3345,970146
2025-02-09,2520.9136,2541.9305,2505.6942,2526.6763,53548
2025-02-10,2576.8468,2650.0723,2515.2386,2588.1929,728494
2025-02-11,2590.0008,2619.2948,2570.6656,2599.8858,171398
2025-02-12,2673.0671,2693.3343,2651.1379,2671.3924,598977
2025-02-13,2657.1923,2706.7938,2605.9152,2655.4848,54295
2025-02-14,2788.4525,2812.929,2752.7584,2777.1356,607629
2025-02-15,2849.3147,2901.2985,2800.8383,2852.7634,223792
2025-02-16,2920.3852,2989.5381,2859.4607,2928.4455,305484
2025-02-17,2973.7484,3019.0497,2927.9547,2973.2483,514231
2025-02-18,2957.4877,2986.0518,2951.8085,2980.3288,629049
2025-02-19,2814.3503,2816.1744,2811.8404,2813.6641,898283
2025-02-20,2834.3948,2842.395,2828.4189,2836.4149,654680
2025-02-21,2755.8068,2805.5711,2724.4851,2774.0421,1226472
2025-02-22,2728.5263,2734.1724,2720.9585,2726.6006,822391
2025-02-23,2771.1078,2801.2467,2745.9903,2776.0842,938419
2025-02-24,2793.7695,2836.978,2745.6038,2788.7345,1016964
2025-02-25,2796.0273,2956.2023,2654.4913,2813.7682,209078
2025-02-26,2968.7358,2979.8984,2957.7619,2968.9238,46924
2025-02-27,2987.6645,3004.0512,2965.7639,2982.1202,738111
2025-02-28,3039.6357,3052.2364,3028.1291,3040.7257,481904
2025-03-01,3027.0441,3053.6932,3001.3317,3027.9729,826692
2025-03-02,3116.8678,3119.1046,3112.963,3115.1985,438066
2025-03-03,3175.5684,3176.3051,3174.9207,3175.6574,863263
2025-03-04,3235.8061,3285.3582,3156.1627,3205.2469,892932
2025-03-05,3184.8932,3250.2428,3126.3539,3191.5805,176956
2025-03-06,3077.4184,3224.7251,2958.1108,3104.3725,433241
2025-03-07,3011.8209,3097.1418,2941.7017,3026.6768,59411
2025-03-08,2971.613,2987.8583,2961.2998,2977.5246,630835
2025-03-09,3009.739,3042.4146,3002.4522,3035.0665,451434
2025-03-10,2956.7284,3075.1144,2890.7137,3007.956,398179
2025-03-11,3003.3317,3021.5927,2984.7462,3003.0051,618408
2025-03-12,3029.9367,3040.6923,3017.4135,3028.1628,851604
2025-03-13,3025.574,3047.8128,3005.8253,3028.0478,498441
2025-03-14,3106.2797,3207.2784,2978.4941,3078.5925,558241
2025-03-15,3030.9419,3036.1351,3026.2459,3031.4383,210907
2025-03-16,3011.6157,3012.8864,3009.8654,3011.1359,699571
2025-03-17,3060.9729,3076.7047,3039.9807,3055.6854,282625
2025-03-18,2963.9566,2980.7688,2956.009,2972.7974,696679
2025-03-19,2873.5852,2894.7503,2827.6931,2848.6747,97209
2025-03-20,2958.3405,3084.3362,2814.1535,2939.34,26117
2025-03-21,2996.0637,3103.0881,2931.1796,3037.3108,907167
2025-03-22,3100.2632,3109.6093,3093.9928,3103.3326,157338
2025-03-23,3101.4217,3104.039,3099.5361,3102.1529,51643
2025-03-24,3047.1801,3076.4694,3020.0434,3049.3137,1215868
2025-03-25,3095.1623,3098.2696,3095.0191,3098.1263,545085
2025-03-26,3173.7617,3188.2932,3160.5226,3175.0487,348002
2025-03-27,3187.4605,3199.4689,3168.5507,3180.5329,263553
2025-03-28,3208.1705,3209.8965,3204.9375,3206.6627,294903
2025-03-29,3322.8461,3372.0522,3237.6777,3286.3432,1066508
2025-03-30,3339.1795,3359.5175,3323.6936,3344.0091,137091
2025-03-31,3463.9287,3520.3438,3396.6145,3452.8491,623075
2025-04-01,3412.3381,3430.2008,3367.1826,3384.9016,898040
2025-04-02,3538.0029,3589.1914,3465.132,3516.0022,153901
2025-04-03,3621.3893,3829.2776,3397.1691,3604.0627,607456
2025-04-04,3630.3177,3766.7918,3470.6789,3606.2481,279703
2025-04-05,3539.2532,3546.8772,3538.3046,3545.9268,130643
2025-04-06,3743.9562,3769.3666,3714.7156,3740.0999,504105
2025-04-07,3772.0753,3901.8022,3644.0017,3773.6744,1158242
2025-04-08,3865.5949,3969.8289,3790.7347,3894.4108,19034
2025-04-09,3936.9509,3939.5691,3930.0708,3932.6862,312645
2025-04-10,3923.2305,4017.1915,3846.8547,3940.4799,1161658
2025-04-11,3983.4924,4036.2611,3887.3751,3939.5619,543636
2025-04-12,3873.5569,3972.6523,3804.5636,3903.1322,806909
2025-04-13,3910.5398,4105.5199,3652.7928,3844.4791,94675
2025-04-14,3984.2013,4028.6564,3933.6024,3977.9881,516510
2025-04-15,3956.9678,3957.7662,3955.366,3956.1642,358952
2025-04-16,3866.5222,3923.8273,3802.0103,3859.2069,1250954
2025-04-17,3864.5864,3909.8403,3821.3369,3866.5687,342091
2025-04-18,3749.1349,3924.2571,3610.731,3784.546,201730
2025-04-19,3874.4934,3877.5333,3864.5801,3867.6147,473889
2025-04-20,3890.8013,3943.4885,3813.6606,3866.0122,104564
2025-04-21,3870.6833,3890.202,3829.1967,3848.6041,565131
2025-04-22,3746.9995,3845.3441,3662.9145,3760.9461,519576
2025-04-23,3915.6655,3916.162,3914.9081,3915.4046,714468
2025-04-24,3801.6062,3821.143,3784.6809,3804.2061,609670
2025-04-25,3912.7669,4062.512,3759.5334,3909.1396,678975
2025-04-26,3939.1896,3941.2915,3914.3934,3916.4832,164733
2025-04-27,3839.1529,3884.8546,3809.2127,3854.7925,1155587
2025-04-28,3969.9516,3983.8426,3957.7347,3971.6206,85100
2025-04-29,3847.6379,3901.6342,3804.0518,3857.9315,438762
2025-04-30,3877.7907,3931.1625,3820.6094,3873.9281,1197432
2025-05-01,3818.4917,3857.8,3802.1248,3841.3351,444312
2025-05-02,3923.2365,4005.5699,3819.0117,3900.8758,789715
2025-05-03,3853.9622,3937.4163,3772.0853,3855.5066,275635
2025-05-04,3821.3792,3843.5657,3809.7846,3831.9391,58141
2025-05-05,3907.7811,3949.9228,3778.4177,3819.6086,271436
2025-05-06,3850.1747,3904.5253,3770.1863,3824.1698,90140
2025-05-07,3764.8251,3798.6717,3750.2797,3784.052,616789
2025-05-08,3777.2887,3778.206,3776.8298,3777.747,579803
2025-05-09,3803.5042,3843.158,3767.547,3807.1662,696467
2025-05-10,3826.7841,3877.8147,3797.8297,3848.6945,1258675
2025-05-11,3792.6807,3859.1126,3726.4022,3792.8315,87330
2025-05-12,3808.4811,3816.9699,3799.8035,3808.2918,154195
2025-05-13,3770.3736,3801.2757,3730.052,3760.8763,389907
2025-05-14,3672.7058,3720.0254,3652.2677,3699.4386,432391
2025-05-15,3673.7549,3768.1527,3591.5973,3685.7273,1005077
2025-05-16,3733.3901,3748.1835,3723.8312,3738.6112,529785
2025-05-17,3690.9933,3715.6413,3668.1418,3692.7788,188014
2025-05-18,3668.2609,3728.1452,3614.6152,3674.4096,304658
2025-05-19,3726.1878,3768.9682,3709.6269,3752.2913,362216
2025-05-20,3657.2513,3747.273,3618.1235,3707.6064,290975
2025-05-21,3669.9143,3712.8714,3644.9333,3687.7689,17962
2025-05-22,3740.5896,3794.138,3700.0533,3753.4623,998046
2025-05-23,3814.2017,3859.514,3774.2509,3819.5076,50494
2025-05-24,3707.6749,3798.2661,3603.0855,3693.3261,81695
2025-05-25,3620.256,3706.187,3556.5025,3642.0497,1323690
2025-05-26,3693.8565,3705.4547,3686.5159,3698.1056,109542
2025-05-27,3604.7756,3751.0975,3503.4401,3648.5319,450377
2025-05-28,3760.2849,3777.1933,3743.667,3760.574,214399
2025-05-29,3743.3514,3749.1828,3738.9815,3744.8112,291881
2025-05-30,3860.3917,3865.4235,3856.4711,3861.5018,619053
2025-05-31,3857.9774,3899.2455,3831.6241,3872.791,693600
2025-06-01,3805.5356,3887.9568,3765.3724,3847.3522,486170
2025-06-02,3984.6173,3996.9163,3967.0725,3979.3552,468741
2025-06-03,3888.33,3958.802,3800.7671,3870.9236,20810
2025-06-04,3989.7414,3991.9702,3986.5913,3988.8196,28004
2025-06-05,3937.4145,3952.0147,3931.1974,3945.7844,513830
2025-06-06,3875.8195,3943.1155,3789.0193,3855.9706,264662
2025-06-07,3856.3454,3985.85,3719.0059,3848.2382,1195831
2025-06-08,3856.2943,3912.8129,3787.8553,3844.1966,168422
2025-06-09,3904.6863,4054.9697,3735.2972,3884.8158,423498
2025-06-10,3840.4153,3870.6415,3818.2556,3848.4355,600788
2025-06-11,3935.144,3995.0545,3851.5707,3911.1154,393002
2025-06-12,3850.4731,3892.0403,3811.3273,3852.8701,483470
2025-06-13,3886.2285,3997.5666,3778.101,3889.3523,1381540
2025-06-14,3824.0832,3914.7021,3739.3261,3829.8179,644730
2025-06-15,3926.0774,3962.1957,3913.0806,3949.1227,1102133
2025-06-16,3987.5209,4128.0367,3816.5106,3955.9126,661184
2025-06-17,3874.807,3964.2555,3833.3791,3922.3196,11377
2025-06-18,4063.4263,4107.6499,4021.4764,4065.6768,163093
2025-06-19,4086.3879,4087.3796,4085.8482,4086.8398,534514
2025-06-20,4074.9748,4168.9265,3974.319,4068.1125,472718
2025-06-21,4059.8731,4078.7235,4043.4936,4062.3341,620180
2025-06-22,4034.2149,4061.4863,3997.3537,4024.5599,367953
2025-06-23,4061.7711,4131.1621,4004.3335,4073.5578,198699
2025-06-24,4110.7815,4121.0899,4093.6789,4103.9703,859067
2025-06-25,4031.7983,4079.1659,3990.6116,4037.9167,871149
2025-06-26,3955.4798,3969.0488,3933.6081,3947.1485,217525
2025-06-27,3954.1287,4046.3791,3874.6687,3966.6671,416292
2025-06-28,4193.231,4210.4639,4178.1198,4195.3451,288627
2025-06-29,4153.2003,4205.0367,4111.7204,4163.4544,660333
2025-06-30,4040.4763,4101.3173,3989.6476,4050.3641,465516
2025-07-01,4171.838,4270.168,3994.284,4090.7017,110604
2025-07-02,4080.9595,4201.458,3936.1244,4055.8825,986215
2025-07-03,4002.7839,4079.8877,3948.1259,4024.9274,1107897
2025-07-04,4013.2217,4018.7482,3995.4812,4000.9909,305751
2025-07-05,4129.101,4185.7007,4048.131,4104.3921,528054
2025-07-06,4178.0393,4207.0872,4132.6488,4161.5824,114846
2025-07-07,4190.2922,4253.9451,4145.4354,4208.8893,407506
2025-07-08,4263.2623,4285.3292,4226.3855,4248.3754,292695
2025-07-09,4225.8196,4280.8029,4143.4863,4198.109,47760
2025-07-10,4180.2487,4194.5879,4169.6669,4183.9966,973574
2025-07-11,4188.587,4225.0498,4161.8459,4198.247,645576
2025-07-12,4460.3371,4613.4251,4294.5012,4447.1361,423203
2025-07-13,4428.5301,4502.068,4415.4247,4488.7842,550770
2025-07-14,4607.3218,4750.6197,4478.2877,4621.1971,936007
2025-07-15,4535.4454,4537.9352,4523.9346,4526.4195,383856
2025-07-16,4469.372,4750.0105,4216.7165,4495.8578,498056
2025-07-17,4383.9393,4424.6107,4350.5968,4391.2128,375579
2025-07-18,4204.1011,4289.9708,4104.3689,4189.9496,375402
2025-07-19,4213.4531,4312.9134,4151.0812,4250.0006,703797
2025-07-20,4295.9348,4505.3667,4094.1038,4303.1946,494807
2025-07-21,4248.3757,4404.2613,4094.2539,4250.0777,788590
2025-07-22,4206.6089,4221.5129,4187.994,4202.8848,336549
2025-07-23,4139.3668,4155.154,4129.5851,4145.3581,348161
2025-07-24,4281.4984,4298.7395,4270.1359,4287.3615,93558
2025-07-25,4360.7563,4389.0213,4315.3604,4343.5136,66359
2025-07-26,4238.7402,4266.2979,4196.9312,4224.3956,50768
2025-07-27,4146.2484,4152.1188,4033.6901,4039.4092,461112
2025-07-28,4016.6405,4040.6235,3997.625,4021.5846,784683
2025-07-29,4066.1647,4070.7567,4065.9388,4070.5305,327695
2025-07-30,4014.7011,4066.4416,3952.2219,4003.8223,450318
2025-07-31,4049.3327,4062.3241,4032.9009,4045.8812,308250
2025-08-01,4007.0748,4107.2433,3937.862,4037.5049,676246
2025-08-02,3944.045,4049.5232,3865.3751,3970.3289,315444
2025-08-03,3898.7705,3901.3784,3891.6079,3894.2128,365229
2025-08-04,3993.944,4001.2201,3984.9898,3992.2628,536820
2025-08-05,3959.225,3968.9684,3951.8466,3961.5857,352504
2025-08-06,3890.6635,3905.5902,3873.3192,3888.2365,643071
2025-08-07,3930.8344,3939.5146,3927.0126,3935.688,909999
2025-08-08,3867.3225,3883.8421,3867.254,3883.7734,493811
2025-08-09,3818.1494,3840.8965,3812.0359,3834.7564,156069
2025-08-10,3785.8419,3854.6075,3721.0855,3789.7836,51726
2025-08-11,3682.4704,3715.6334,3670.6278,3703.7225,319243
2025-08-12,3647.2196,3659.4242,3613.2981,3625.4299,1423121
2025-08-13,3577.2458,3582.823,3562.2562,3567.8188,1015294
2025-08-14,3614.5978,3624.1956,3600.3984,3609.9839,98746
2025-08-15,3578.233,3592.1686,3564.1175,3578.0523,678121
2025-08-16,3541.8572,3607.6964,3487.6653,3553.3289,165036
2025-08-17,3324.3411,3479.0545,3190.4096,3344.3182,1320768
2025-08-18,3432.8942,3446.724,3382.6332,3396.3156,810077
2025-08-19,3366.2972,3412.1404,3322.818,3368.631,76273
2025-08-20,3365.4843,3369.1751,3362.4175,3366.1078,233829
2025-08-21,3319.5889,3428.4776,3217.0203,3325.7196,769798
2025-08-22,3288.3452,3320.8522,3228.994,3261.233,933219
2025-08-23,3132.7308,3139.5907,3122.1665,3129.0182,441335
2025-08-24,3082.1038,3172.0392,2996.7337,3086.5461,426192
2025-08-25,3136.8322,3137.4167,3134.1101,3134.6942,794871
2025-08-26,3158.1971,3159.5201,3156.4446,3157.7674,464613
2025-08-27,3226.9855,3425.0431,2955.6825,3148.9506,60146
2025-08-28,3223.0682,3287.3853,3146.2467,3210.3092,1183917
2025-08-29,3193.1383,3209.8098,3178.8376,3195.4985,406823
2025-08-30,3075.6542,3121.2525,3048.3027,3093.7402,246685
2025-08-31,3063.1839,3077.7067,3053.4289,3067.9367,470942
2025-09-01,2998.8225,3005.2788,2997.8252,3004.2796,203664
2025-09-02,2962.7489,2984.7482,2946.612,2968.5795,905050
2025-09-03,2945.5317,2946.9388,2943.7186,2945.1256,127284
2025-09-04,3023.1796,3112.577,2897.8811,2986.1845,591150
2025-09-05,2992.5354,3068.5011,2918.7618,2994.6748,233770
2025-09-06,3007.7478,3050.9884,2940.9533,2983.8504,663849
2025-09-07,2936.4778,3033.9875,2874.9694,2971.7405,734298
2025-09-08,3072.0095,3087.7658,3052.4031,3068.1396,637172
2025-09-09,3078.2498,3094.588,3055.1247,3071.4267,473141
2025-09-10,3118.6511,3125.6514,3111.0116,3118.0106,1287457
2025-09-11,2976.9984,3081.7439,2882.3525,2986.7868,203211
2025-09-12,2933.0422,3059.605,2884.1865,3009.4761,537117
2025-09-13,3108.564,3134.297,3083.8814,3109.6061,445951
2025-09-14,3111.0601,3204.4347,3000.6741,3093.5223,173499
2025-09-15,2974.2801,3012.8238,2942.0571,2980.533,838372
2025-09-16,2982.4322,3011.5833,2949.7578,2978.8741,454704
2025-09-17,2947.2983,3101.627,2799.9122,2953.9102,450935
2025-09-18,2952.7709,2994.8391,2931.9511,2973.8705,825317
2025-09-19,2998.4003,3000.2831,2994.8831,2996.765,442812
2025-09-20,3031.1829,3038.9326,3023.2962,3031.0455,1032131
2025-09-21,3005.0016,3105.5091,2887.7907,2987.7202,640039
2025-09-22,2917.7245,2958.7045,2881.1595,2922.0848,1072895
2025-09-23,2838.5583,2839.4029,2814.8394,2815.6772,492817
2025-09-24,2900.9993,2911.5874,2893.3882,2903.9685,1025084
2025-09-25,2974.1162,3006.1613,2913.4637,2945.1971,29253
2025-09-26,2905.6188,2912.4433,2902.1379,2908.9584,631543
2025-09-27,2963.536,2987.3042,2924.0005,2947.6413,457348
2025-09-28,2954.4147,2987.4881,2925.1505,2958.1865,911520
2025-09-29,2963.0428,2988.5417,2910.8348,2936.1018,115098
2025-09-30,2946.7567,2982.2341,2914.7715,2950.2115,740809
2025-10-01,2932.0483,2953.5258,2911.8865,2933.355,396612
2025-10-02,2949.8444,2976.7425,2908.3328,2935.0964,736758
2025-10-03,2962.3761,3075.3566,2861.5456,2974.1261,328070
2025-10-04,2866.0259,2870.9351,2860.4061,2865.3141,437302
2025-10-05,2876.1412,2906.8312,2829.5007,2860.0186,685696
2025-10-06,2901.6308,3178.3727,2619.3359,2895.4923,851427
2025-10-07,2803.5969,2817.769,2792.7288,2806.8882,936121
2025-10-08,2798.0498,2798.1344,2796.3805,2796.465,384231
2025-10-09,2804.96,2808.0247,2799.3292,2802.3912,404071
2025-10-10,2861.0105,2884.3187,2842.6413,2865.9179,839966
2025-10-11,2794.8208,2809.915,2758.5942,2773.5736,460752
2025-10-12,2756.2913,2863.9003,2632.396,2739.3433,608806
2025-10-13,2846.4439,2866.9642,2821.0203,2841.505,687052
2025-10-14,2840.8299,2845.9013,2836.3419,2841.4123,675903
2025-10-15,2859.7786,2906.4661,2796.6243,2843.0384,217440
2025-10-16,2935.2463,2944.6232,2918.4136,2927.7666,455206
2025-10-17,3059.4815,3215.8534,2862.0203,3016.179,827498
2025-10-18,3092.4789,3192.1572,2968.3104,3067.1732,790405
2025-10-19,3047.8496,3056.6301,3035.9064,3044.6778,138766
2025-10-20,3111.0857,3277.0468,2940.9015,3106.6246,211945
2025-10-21,3148.6709,3160.0601,3131.7075,3143.0764,163860
2025-10-22,3072.9807,3124.9641,3017.9204,3069.8509,205191
2025-10-23,3140.3297,3177.3672,3105.7724,3142.7829,12516
2025-10-24,3077.5025,3170.6768,2971.1179,3063.8798,658266
2025-10-25,3055.76,3057.2534,3053.9743,3055.4676,140272
2025-10-26,3013.8793,3030.4614,2997.6342,3014.2145,380304
2025-10-27,3051.1739,3102.215,2988.1064,3038.9429,480658
2025-10-28,3271.0268,3323.4398,3224.3613,3276.6935,483039
2025-10-29,3184.2907,3217.7475,3173.3707,3206.7505,268590
2025-10-30,3201.7634,3233.897,3162.3546,3194.4145,1148962
2025-10-31,3101.7639,3102.5842,3101.4882,3102.3084,756320
2025-11-01,3081.9741,3133.627,3031.0739,3082.7146,531721
2025-11-02,3007.4343,3159.9198,2870.0069,3021.8344,976340
2025-11-03,3114.3357,3154.2338,3045.75,3085.2758,585191
2025-11-04,3011.5589,3099.3558,2894.9303,2981.8614,62948
2025-11-05,2999.7794,3010.7207,2977.3825,2988.2818,119035
2025-11-06,2906.4923,2911.4444,2899.865,2904.8142,645079
2025-11-07,2854.9683,2855.0332,2853.6381,2853.7029,817689
2025-11-08,2885.2233,2919.191,2855.2299,2889.1566,230227
2025-11-09,2860.9604,2968.5207,2762.3436,2869.6059,82701
2025-11-10,2822.274,2825.0484,2817.5714,2820.3438,426207
2025-11-11,2773.0115,2919.5532,2655.4263,2800.79,397881
2025-11-12,2784.6771,2963.0983,2637.5116,2814.3639,687605
2025-11-13,2757.7412,2895.3099,2643.2145,2779.8644,537156
2025-11-14,2752.705,2759.7408,2729.4404,2736.4347,528292
2025-11-15,2689.2878,2736.2758,2644.5624,2691.5134,134864
2025-11-16,2676.0895,2755.2721,2616.6028,2695.3571,656265
2025-11-17,2739.0492,2746.3875,2730.3852,2737.72,388395
2025-11-18,2719.0767,2722.7741,2714.0449,2717.7405,155854
2025-11-19,2721.3776,2731.1958,2704.9068,2714.7009,241839
2025-11-20,2684.0442,2749.9249,2589.811,2654.9783,749617
2025-11-21,2677.5136,2686.6902,2671.4044,2680.5739,268981
2025-11-22,2738.702,2823.5328,2676.6941,2761.0196,301177
2025-11-23,2762.1507,2819.1093,2714.0118,2770.8193,480635
2025-11-24,2858.4515,2885.5365,2836.34,2863.3868,490240
2025-11-25,2818.0276,2864.9503,2780.1161,2826.9191,80065
2025-11-26,2858.4984,2940.8024,2753.2056,2834.8281,571971
2025-11-27,2929.6285,2980.6492,2894.8505,2945.6807,303189
2025-11-28,3076.9629,3082.1277,3076.2964,3081.4602,933342
2025-11-29,3114.2997,3121.9628,3105.7278,3113.3886,575561
2025-11-30,3116.0598,3335.273,2859.1298,3075.4889,733958
2025-12-01,2962.78,2987.0654,2948.8695,2973.1064,158664
2025-12-02,2974.2809,3023.4347,2910.1734,2959.0759,196016
2025-12-03,2913.8658,2918.048,2904.8095,2908.9846,342533
2025-12-04,2988.7875,2998.2479,2982.1406,2991.5947,186580
2025-12-05,3025.8941,3026.1517,3012.5114,3012.7678,357371
2025-12-06,3093.7073,3098.7974,3083.7362,3088.8183,934883
2025-12-07,3052.1657,3114.5221,3007.5355,3069.6364,107869
2025-12-08,3018.6319,3182.6721,2833.2365,2996.0495,925428
2025-12-09,2959.8639,2997.1145,2900.7746,2937.7469,473339
2025-12-10,2893.5187,3091.8505,2712.8024,2910.0988,429461
2025-12-11,2994.5903,3038.7127,2937.0743,2980.9964,362198
2025-12-12,3145.2865,3199.5357,3085.3069,3139.4555,362235
2025-12-13,3158.2354,3300.981,3081.2967,3222.4773,435677
2025-12-14,3283.5442,3322.2935,3253.6494,3292.3189,916451
2025-12-15,3372.4095,3394.1839,3337.2604,3358.948,294305
2025-12-16,3291.3754,3300.119,3261.5801,3270.2676,287904
2025-12-17,3251.2753,3307.0556,3209.0322,3264.6389,669280
2025-12-18,3363.7224,3374.9066,3314.5246,3325.582,848220
2025-12-19,3403.3078,3572.7539,3202.6848,3370.4973,739968
2025-12-20,3387.0848,3395.2342,3327.0115,3335.0358,475935
2025-12-21,3304.0995,3317.2886,3289.6621,3302.8462,216551
2025-12-22,3315.1526,3366.2198,3259.4532,3310.448,651964
2025-12-23,3308.4276,3378.1122,3218.9505,3288.2093,309294
2025-12-24,3379.4519,3382.4387,3379.1673,3382.1539,422623
2025-12-25,3427.1173,3583.0264,3242.7588,3397.3119,1305953
2025-12-26,3448.7501,3507.6548,3392.9907,3451.8453,126585
2025-12-27,3421.8877,3450.6175,3410.7696,3439.4424,152516
2025-12-28,3381.1612,3381.6847,3379.7409,3380.2642,749533
2025-12-29,3309.7978,3338.4301,3287.1104,3315.7022,395967
2025-12-30,3343.9814,3351.1605,3338.8729,3346.0488,1111894
2025-12-31,3395.9894,3428.8355,3358.4683,3391.2687,652731
2026-01-01,3400.6676,3405.8017,3396.8051,3401.9377,1030648
2026-01-02,3279.6538,3281.4459,3278.1475,3279.9395,282078
2026-01-03,3282.4378,3392.9127,3185.522,3295.608,684335
2026-01-04,3344.4983,3524.7698,3132.7164,3311.1927,215260
2026-01-05,3318.9675,3333.6169,3302.4903,3317.1317,1234702
2026-01-06,3269.002,3305.3306,3256.6058,3292.8439,11065
2026-01-07,3306.0287,3315.915,3291.0148,3300.8857,1250446
2026-01-08,3244.8586,3489.2635,2941.6178,3181.2302,697310
2026-01-09,3168.8106,3195.3017,3126.5001,3152.8578,680205
2026-01-10,3180.9586,3223.0649,3124.303,3166.2141,1120610
2026-01-11,3315.3432,3410.9764,3191.7883,3286.5921,957818
2026-01-12,3270.2246,3294.9924,3238.476,3263.1905,388497
2026-01-13,3269.9657,3286.4082,3268.3047,3284.7396,57608
2026-01-14,3338.0545,3460.3111,3202.3877,3324.1345,1123040
2026-01-15,3176.7463,3210.4245,3151.2534,3184.8664,531484
2026-01-16,3272.9625,3485.863,3054.5752,3267.094,839590
2026-01-17,3176.1368,3355.18,2981.4846,3159.5953,548599
