date,open,high,low,close,volume
2025-01-20,2456.4557,2461.3347,2452.8071,2457.6843,511387
2025-01-21,2538.3054,2560.6863,2509.8067,2532.1332,309899
2025-01-22,2513.6153,2514.4197,2512.7662,2513.5706,1176006
2025-01-23,2528.661,2536.627,2517.3649,2525.3204,239527
2025-01-24,2534.8008,2556.4877,2503.414,2525.0172,166676
2025-01-25,2600.3791,2694.349,2496.2693,2589.8591,475827
2025-01-26,2620.2396,2629.0982,2611.615,2620.4728,938879
2025-01-27,2627.6259,2672.7256,2574.8056,2619.7704,513336
2025-01-28,2526.9286,2527.2427,2526.2163,2526.5303,942704
2025-01-29,2589.9161,2731.3418,2441.9177,2582.9637,611754
2025-01-30,2532.6761,2619.8736,2462.9869,2549.7155,793323
2025-01-31,2507.1384,2563.7565,2450.028,2506.6346,537549
2025-02-01,2461.3756,2478.0507,2440.7896,2457.4381,882271
2025-02-02,2431.2587,2505.1752,2316.6967,2389.3388,146213
2025-02-03,2346.646,2389.2231,2289.0492,2331.3488,882761
2025-02-04,2346.6831,2360.5235,2333.1014,2346.9404,331104
2025-02-05,2285.8826,2307.2792,2268.717,2290.0821,262991
2025-02-06,2266.6133,2297.2642,2241.6422,2272.2311,265173
2025-02-07,2285.0993,2320.6214,2239.4428,2274.8049,557222
2025-02-08,2336.8615,2397.4759,2283.4093,2343.8635,484721
2025-02-09,2339.5684,2411.2888,2268.2388,2339.9475,991758
2025-02-10,2318.0422,2335.6217,2314.9909,2332.5513,97782
2025-02-11,2388.3936,2390.8281,2368.1952,2370.6116,486003
2025-02-12,2428.5624,2466.3898,2408.0687,2445.751,252314
2025-02-13,2388.8097,2389.9076,2386.7928,2387.8902,111660
2025-02-14,2386.369,2419.1428,2373.51,2406.177,1181479
2025-02-15,2457.5428,2464.9963,2438.6628,2446.0815,355529
2025-02-16,2447.9081,2541.8847,2374.1533,2467.5383,496763
2025-02-17,2376.3057,2411.0989,2344.2807,2379.0371,79926
2025-02-18,2339.2081,2357.5892,2315.3296,2333.6672,103502
2025-02-19,2296.9375,2323.1736,2260.815,2286.9368,85069
2025-02-20,2236.5088,2278.8613,2228.9535,2271.1889,98917
2025-02-21,2278.714,2297.1005,2272.4136,2290.7668,593178
2025-02-22,2278.1997,2309.4545,2260.0822,2291.2334,498201
2025-02-23,2214.4163,2231.1483,2213.854,2230.5819,243708
2025-02-24,2238.7789,2273.3307,2201.0516,2235.5536,1152594
2025-02-25,2243.6298,2246.8185,2229.1616,2232.3343,501529
2025-02-26,2266.8235,2285.9733,2260.28,2279.3934,442899
2025-02-27,2158.7895,2237.4175,2056.0525,2133.7692,98186
2025-02-28,2051.324,2062.6975,2035.1909,2046.5379,114499
2025-03-01,2000.1363,2033.7225,1986.0927,2019.5427,363164
2025-03-02,2029.2029,2030.3766,2027.1402,2028.3133,1315482
2025-03-03,2014.1631,2076.4233,1973.5544,2035.3867,751569
2025-03-04,2086.7958,2093.9346,2079.1208,2086.2577,342036
2025-03-05,2085.1889,2113.4111,2052.2843,2080.4423,411321
2025-03-06,2123.9713,2138.3315,2105.1837,2119.5137,514164
2025-03-07,2121.581,2150.8245,2093.6147,2122.8416,331551
2025-03-08,2144.144,2292.3255,1959.9405,2105.4477,266322
2025-03-09,2083.0387,2210.6694,1942.4249,2069.2082,141063
2025-03-10,2143.6845,2158.5708,2125.2554,2140.1169,661505
2025-03-11,2105.1166,2241.5978,2022.5695,2157.0156,189551
2025-03-12,2140.9789,2183.3541,2112.4302,2154.6234,682079
2025-03-13,2186.6131,2196.7169,2180.3511,2190.4439,49012
2025-03-14,2200.5465,2292.1051,2099.1002,2190.2294,522151
2025-03-15,2195.3285,2244.6254,2176.1198,2225.1557,166625
2025-03-16,2160.8784,2161.7113,2160.0046,2160.8375,568050
2025-03-17,2186.4753,2299.806,2052.6171,2164.8256,90437
2025-03-18,2108.3442,2128.8596,2095.3269,2115.7963,207983
2025-03-19,2148.1295,2155.6913,2128.0121,2135.5296,1007378
2025-03-20,2223.7753,2276.8524,2157.7427,2210.5031,535490
2025-03-21,2245.5915,2267.2301,2217.5255,2239.1016,174296
2025-03-22,2280.8004,2313.2531,2247.4233,2279.8627,428655
2025-03-23,2333.449,2447.9745,2196.8622,2310.2491,128329
2025-03-24,2346.5724,2367.7925,2307.9958,2329.0576,119256
2025-03-25,2385.1278,2386.0552,2382.0994,2383.026,629588
2025-03-26,2393.084,2430.0029,2362.7474,2399.5839,1258031
2025-03-27,2402.5117,2414.1993,2387.996,2399.6699,189981
2025-03-28,2475.3514,2538.2953,2413.7222,2476.6341,222232
2025-03-29,2474.967,2492.5893,2465.1424,2482.7339,217977
2025-03-30,2411.0919,2447.0655,2367.7104,2403.5718,82670
2025-03-31,2415.4722,2416.8496,2414.5039,2415.8811,633703
2025-04-01,2423.6791,2492.0995,2366.4722,2434.634,466287
2025-04-02,2469.6862,2484.9758,2445.2703,2460.503,302212
2025-04-03,2464.471,2483.3659,2451.0884,2469.9536,1057734
2025-04-04,2410.6195,2417.3971,2400.8475,2407.6167,256817
2025-04-05,2374.4902,2440.9043,2323.2519,2389.3455,668658
2025-04-06,2428.068,2516.2449,2356.0922,2443.8026,55426
2025-04-07,2506.0283,2528.301,2490.6372,2512.8679,418007
2025-04-08,2562.5002,2573.3491,2559.8072,2570.6476,511736
2025-04-09,2594.7781,2707.0599,2444.1526,2554.7002,511086
2025-04-10,2502.2703,2534.0433,2488.1199,2519.7937,336094
2025-04-11,2488.3347,2514.823,2449.8651,2476.2244,932867
2025-04-12,2437.9084,2493.7407,2405.0964,2460.6229,57615
2025-04-13,2522.3499,2547.5935,2485.3915,2510.5167,206339
2025-04-14,2524.1193,2571.1786,2467.1388,2514.0095,549721
2025-04-15,2593.8049,2638.7257,2575.1234,2619.8565,1082418
2025-04-16,2576.7828,2582.3471,2552.4446,2557.9682,766706
2025-04-17,2530.5826,2546.44,2506.9262,2522.7343,16385
2025-04-18,2508.1778,2519.6174,2493.3936,2504.8179,377922
2025-04-19,2588.2431,2610.7973,2557.617,2580.1002,359356
2025-04-20,2684.2338,2684.4201,2679.7841,2679.9701,1176321
2025-04-21,2585.8492,2612.8282,2568.7046,2595.6188,672190
2025-04-22,2551.9732,2555.6625,2548.1593,2551.8485,570542
2025-04-23,2551.9792,2602.1927,2500.4833,2550.671,332281
2025-04-24,2424.9951,2471.1603,2404.0545,2450.0037,670833
