date,open,high,low,close,volume
2025-01-20,285.1815,285.3589,284.8956,285.0729,544114
2025-01-21,277.7064,279.6462,276.4549,278.3916,188772
2025-01-22,275.1728,278.3152,270.5098,273.6346,366091
2025-01-23,269.6892,281.2485,259.9853,271.4802,328503
2025-01-24,268.2923,285.4065,252.7307,269.7597,481062
2025-01-25,260.5707,265.2547,256.8691,261.5394,782709
2025-01-26,266.6183,270.2091,261.9914,265.568,331030
2025-01-27,267.4466,268.0757,265.0391,265.6641,66443
2025-01-28,269.2208,282.6831,253.4115,266.7504,650526
2025-01-29,259.6059,269.0029,252.7158,262.048,802737
2025-01-30,265.61,268.8062,262.298,265.4928,1087413
2025-01-31,268.5219,273.0292,263.2002,267.6935,501102
2025-02-01,260.1983,260.4742,260.0906,260.3664,559304
2025-02-02,258.5124,259.699,257.6736,258.8591,1357385
2025-02-03,263.3493,267.6395,258.1432,262.4183,731442
2025-02-04,263.8936,265.7719,260.4345,262.3014,344722
2025-02-05,259.2056,259.5945,258.9226,259.3115,145348
2025-02-06,273.1221,274.4815,269.6366,270.9854,144593
2025-02-07,274.3906,274.7988,273.709,274.1168,165830
2025-02-08,271.7176,279.462,265.4353,273.1467,251218
2025-02-09,265.7,267.1137,264.8886,266.3004,529641
2025-02-10,258.2712,267.3222,251.4532,260.4467,222722
2025-02-11,259.9367,265.0137,254.0048,259.0648,281293
2025-02-12,273.2867,274.129,269.5587,270.3921,208102
2025-02-13,266.8626,269.8488,262.3257,265.2943,180164
2025-02-14,267.7478,275.746,258.5235,266.484,105196
2025-02-15,267.8719,267.928,267.86,267.9161,1213518
2025-02-16,259.8092,259.9374,259.6833,259.8115,809842
2025-02-17,250.1312,251.765,250.0221,251.6552,192063
2025-02-18,256.5951,259.8487,253.1427,256.3938,236671
2025-02-19,248.7474,255.9402,238.2106,245.3038,420491
2025-02-20,243.5903,255.8534,233.6046,245.778,520103
2025-02-21,246.1064,251.722,241.5676,247.1637,679605
2025-02-22,248.6705,257.9468,236.7955,245.9711,184065
2025-02-23,248.5844,250.3513,246.9874,248.7532,482570
2025-02-24,250.3109,259.5878,238.0157,247.1764,558223
2025-02-25,255.0363,264.6159,240.0534,249.4222,124858
2025-02-26,248.9959,256.0185,241.6586,248.672,18618
2025-02-27,245.7751,246.6631,245.2187,246.1059,854984
2025-02-28,246.5067,258.8564,232.6549,244.9253,707003
2025-03-01,240.5466,241.3827,239.7562,240.5922,124817
2025-03-02,248.1836,248.2144,247.6074,247.6382,152776
2025-03-03,260.5613,262.5773,257.7239,259.7335,614437
2025-03-04,260.2013,261.1425,259.0273,259.9676,1318208
2025-03-05,257.0242,263.8941,245.9395,252.6936,347391
2025-03-06,244.6116,244.7905,244.4547,244.6336,420582
2025-03-07,247.5048,253.2977,238.7921,244.515,589963
2025-03-08,252.8899,253.2477,252.7387,253.0964,876121
2025-03-09,260.134,262.9311,257.7988,260.5917,18232
2025-03-10,260.869,269.479,251.558,260.144,447342
2025-03-11,256.3418,256.7353,256.1263,256.5197,291110
2025-03-12,247.6581,251.875,246.1979,250.3986,1237819
2025-03-13,259.3285,260.4913,256.9778,258.1352,1178963
2025-03-14,252.4756,257.4206,247.1515,252.0889,48196
2025-03-15,247.9423,269.945,227.5131,249.396,28587
2025-03-16,251.7323,252.0573,251.1904,251.515,617393
2025-03-17,246.9634,249.9596,245.0074,247.9955,17329
2025-03-18,252.7985,257.5614,247.2344,251.9819,29703
2025-03-19,252.5296,255.7856,249.5574,252.8101,186330
2025-03-20,253.9972,254.2744,253.7652,254.0423,1376641
2025-03-21,246.2511,254.0108,241.7025,249.4039,805753
2025-03-22,250.8952,251.5027,249.9399,250.5466,150002
2025-03-23,253.6291,256.4723,251.1291,253.969,864237
2025-03-24,261.7332,264.2083,258.9842,261.4566,258013
2025-03-25,268.2607,268.645,268.1676,268.5518,213793
2025-03-26,261.1745,277.971,240.8093,257.3606,295773
2025-03-27,259.6933,276.7348,244.205,261.1591,65481
2025-03-28,261.1213,265.175,257.1467,261.1992,149857
2025-03-29,260.6092,263.3216,259.0922,261.7977,411277
2025-03-30,256.4736,259.1926,254.3445,257.0586,205150
2025-03-31,253.7132,255.1212,252.0997,253.5066,1054484
2025-04-01,252.0763,252.0999,252.0584,252.082,314384
2025-04-02,250.1336,261.7666,240.1041,251.6753,368826
2025-04-03,257.5486,257.8133,257.1942,257.4589,891205
2025-04-04,262.8053,263.9901,261.5046,262.6889,34096
2025-04-05,264.8233,267.0378,263.6702,265.8801,1127332
2025-04-06,265.2787,266.4637,264.1742,265.3588,227952
2025-04-07,265.5845,267.0506,264.6703,266.1346,841315
2025-04-08,257.7642,260.9448,254.2191,257.3951,841764
2025-04-09,257.844,268.3156,248.7065,259.1324,483471
2025-04-10,252.7592,253.6785,251.0565,251.9729,459497
2025-04-11,262.4249,263.1551,261.7124,262.4425,169104
2025-04-12,256.47,260.069,254.6654,258.2519,704872
2025-04-13,257.1793,257.406,257.1747,257.4015,329931
2025-04-14,259.542,260.4565,258.8762,259.7901,66290
2025-04-15,259.387,259.5744,257.6665,257.8527,235949
2025-04-16,262.0621,272.6373,253.1991,263.7183,174274
2025-04-17,267.6658,270.445,267.6448,270.4237,583813
2025-04-18,263.6804,266.3003,262.2275,264.841,914486
2025-04-19,262.2973,263.7917,260.8718,262.3658,554466
2025-04-20,266.4527,267.3357,264.6141,265.4939,1478107
2025-04-21,264.4565,264.9235,264.3442,264.811,127970
2025-04-22,265.0154,269.1174,257.5971,261.6469,368735
2025-04-23,270.6902,276.995,262.999,269.2707,286263
2025-04-24,268.7476,271.2662,266.0583,268.5752,55375
2025-04-25,269.0778,271.1011,267.5216,269.5422,435448
2025-04-26,274.3563,278.5757,269.3999,273.6077,587119
2025-04-27,278.1374,286.2199,271.4626,279.5121,395474
2025-04-28,275.9957,277.6649,275.3747,277.0415,550973
2025-04-29,278.5991,282.3628,274.7741,278.537,706048
2025-04-30,280.8383,287.3215,277.7712,284.2175,1103932
2025-05-01,285.0208,288.9616,281.6743,285.6083,87215
2025-05-02,283.6358,285.413,282.424,284.1988,492631
2025-05-03,283.0931,290.6957,275.892,283.4846,994714
2025-05-04,280.9165,283.074,277.9419,280.0931,624422
2025-05-05,283.8124,291.9013,275.1733,283.246,1015710
2025-05-06,283.3496,284.5594,280.88,282.0843,136887
2025-05-07,279.0795,282.8672,275.8659,279.647,141751
2025-05-08,279.607,284.8164,274.7297,279.9334,177143
2025-05-09,284.0293,289.9957,275.7839,281.7014,1027053
2025-05-10,275.2844,275.9892,274.634,275.3387,133304
2025-05-11,269.5481,284.5349,261.1865,275.974,637320
2025-05-12,271.9104,275.1277,270.2806,273.4885,434207
2025-05-13,278.6545,278.708,278.5873,278.6408,97050
