date,open,high,low,close,volume
2025-01-20,58.7652,58.7935,58.7371,58.7653,158997
2025-01-21,56.5852,56.8535,56.229,56.4969,314852
2025-01-22,56.458,56.5895,55.9681,56.0987,174496
2025-01-23,55.7657,56.6488,55.3461,56.2257,81719
2025-01-24,55.363,55.6625,55.1609,55.46,102691
2025-01-25,53.9245,54.1053,53.7719,53.9527,352384
2025-01-26,54.7194,57.4511,52.6091,55.3177,698084
2025-01-27,54.9822,55.0973,54.9007,55.0157,328299
2025-01-28,56.6534,57.5853,55.9276,56.8568,277626
2025-01-29,54.866,56.8292,53.2397,55.1932,145924
2025-01-30,54.7505,55.1682,54.1251,54.5413,229125
2025-01-31,55.2831,56.3335,54.5584,55.6046,299757
2025-02-01,55.7004,57.3345,54.0832,55.7168,11346
2025-02-02,55.7566,55.8375,55.679,55.7599,172100
2025-02-03,54.4142,54.4664,54.3517,54.4039,194538
2025-02-04,52.9834,53.3985,52.3273,52.7405,235593
2025-02-05,52.0612,52.9446,51.4046,52.2851,264199
2025-02-06,53.3433,54.1932,52.7125,53.5598,378714
2025-02-07,53.9599,54.5788,53.0175,53.6327,501017
2025-02-08,54.1703,54.5635,53.876,54.2687,52967
2025-02-09,54.2255,54.4586,54.1164,54.3492,562163
2025-02-10,54.7541,55.0247,54.4683,54.7389,402116
2025-02-11,55.9555,57.293,54.3724,55.7039,470430
2025-02-12,56.1505,56.524,55.6876,56.0605,670704
2025-02-13,57.7975,57.8322,57.144,57.1783,533512
2025-02-14,55.6975,56.2766,54.9634,55.5409,807814
2025-02-15,57.5147,59.0779,55.3177,56.8632,270384
2025-02-16,57.1759,58.163,56.3984,57.3827,1265517
2025-02-17,56.4762,57.4977,54.8983,55.9095,1184225
2025-02-18,57.5653,57.9903,56.7044,57.1261,178808
2025-02-19,59.1351,59.8368,58.284,58.984,63094
2025-02-20,60.8856,64.7576,56.2089,60.0262,735313
2025-02-21,59.0176,59.1897,58.7367,58.9084,732050
2025-02-22,57.1622,57.9113,56.2972,57.0447,128914
2025-02-23,57.3375,57.9583,55.9245,56.5366,18799
2025-02-24,54.9626,57.5782,53.7298,56.3151,611745
2025-02-25,55.3505,55.7479,54.8165,55.213,219924
2025-02-26,56.8069,56.8214,56.7733,56.7879,199737
2025-02-27,56.5139,57.8031,55.793,57.0751,64335
2025-02-28,57.1207,57.3339,56.963,57.176,127360
2025-03-01,57.7515,58.5394,56.8632,57.6497,134104
2025-03-02,57.9102,58.4982,57.8011,58.3881,103233
2025-03-03,56.8446,59.5887,54.3362,57.0704,491517
2025-03-04,57.4408,59.2726,55.9613,57.7842,943719
2025-03-05,57.8928,58.0349,57.803,57.945,663101
2025-03-06,58.3414,58.9838,57.5077,58.1479,327622
2025-03-07,56.3601,58.1056,54.8654,56.6043,775060
2025-03-08,55.4958,57.1227,54.3686,55.9856,272542
2025-03-09,56.9433,57.9927,55.7962,56.8438,584700
2025-03-10,56.4679,57.0162,55.7931,56.3402,1049848
