date,open,high,low,close,volume
2025-01-20,439.7019,446.2223,429.9696,436.4416,258773
2025-01-21,432.5671,454.13,418.9196,440.2404,1275884
2025-01-22,451.8041,454.1596,448.8874,451.2399,641308
2025-01-23,454.8606,455.834,453.7501,454.7232,723738
2025-01-24,467.2156,482.4371,450.0718,465.2285,477461
2025-01-25,452.6917,460.4738,445.4833,453.2564,1039210
2025-01-26,456.0918,459.6241,451.9387,455.4662,290846
2025-01-27,473.4883,518.5901,426.2199,471.0936,42500
2025-01-28,461.9848,464.7454,459.0106,461.7699,527090
2025-01-29,463.1506,471.2031,451.9872,459.9846,392007
2025-01-30,445.2223,446.9351,443.1682,444.8796,393191
2025-01-31,443.2052,470.5934,422.2829,449.3796,901296
2025-02-01,454.9526,456.0626,448.8858,449.9837,324195
2025-02-02,440.5524,442.0815,439.7374,441.2652,270314
2025-02-03,446.4344,469.0808,418.5421,440.9081,132422
2025-02-04,435.4453,460.1646,419.4586,443.8687,655682
2025-02-05,433.1917,440.6665,421.9702,429.3792,648620
2025-02-06,428.9477,430.0981,428.8956,430.0458,175098
2025-02-07,426.7094,450.9674,397.8101,421.7884,667824
2025-02-08,417.9832,421.3429,416.1779,419.5309,368306
2025-02-09,412.6029,429.7427,397.0083,414.0918,76211
2025-02-10,422.9142,423.5901,422.4622,423.1379,522795
2025-02-11,415.1923,422.8608,413.9497,421.5991,735964
2025-02-12,426.0904,429.1669,422.6513,425.7252,629716
2025-02-13,427.6822,428.5719,427.6336,428.5232,75711
2025-02-14,422.1821,425.3085,421.0797,424.2008,599406
2025-02-15,414.1587,415.2162,413.1761,414.2335,557451
2025-02-16,412.2302,425.2043,397.8055,410.7324,1215521
2025-02-17,401.6843,410.2745,390.6961,399.234,346288
2025-02-18,392.274,393.0333,390.5998,391.3572,1206122
2025-02-19,374.3411,376.6216,370.4851,372.756,634904
2025-02-20,395.0852,405.9071,380.0557,390.759,735331
2025-02-21,386.914,399.3327,381.497,393.819,639431
2025-02-22,388.9646,397.1628,379.8355,388.0136,1047247
2025-02-23,392.0346,408.9578,371.3474,388.1008,534658
2025-02-24,390.496,392.6848,389.0234,391.2095,239175
2025-02-25,392.2859,398.5149,389.0456,395.2501,359603
2025-02-26,390.4973,425.6044,349.5486,384.0787,293301
2025-02-27,385.9368,386.7597,385.1878,386.0105,270223
2025-02-28,407.9343,417.4943,397.257,406.7901,237841
2025-03-01,398.2808,398.2815,398.2625,398.2632,1018086
2025-03-02,391.0162,403.8926,380.099,392.9222,590044
2025-03-03,388.1374,404.0068,378.1783,393.8998,287709
2025-03-04,388.7792,390.0797,385.2589,386.5519,809604
2025-03-05,380.0454,385.2797,375.5002,380.7264,84206
2025-03-06,385.553,387.0028,384.5019,385.9505,558055
2025-03-07,400.3559,411.5165,389.2647,400.4234,29200
2025-03-08,393.8003,394.1978,393.7965,394.194,562932
2025-03-09,380.4909,396.7919,368.3306,384.5033,336250
2025-03-10,394.4366,395.7967,393.2313,394.5909,735045
2025-03-11,393.8039,396.2227,392.1732,394.5887,90788
2025-03-12,401.7995,409.4305,391.6609,399.2433,234700
2025-03-13,402.8856,414.8175,387.4464,399.2712,334694
2025-03-14,395.2114,404.9305,384.3033,393.9924,503893
2025-03-15,385.4554,403.5622,371.3543,389.3198,24590
2025-03-16,391.2048,403.4812,374.9886,387.1373,804239
2025-03-17,390.7683,393.4533,388.7824,391.4639,483378
2025-03-18,392.1203,393.1546,391.1728,392.2069,86504
2025-03-19,388.2417,392.2597,385.7905,389.7986,643852
2025-03-20,404.4125,407.8765,399.2539,402.7033,1088172
2025-03-21,409.1275,422.5068,393.0186,406.3056,523628
2025-03-22,394.2955,398.3601,390.6427,394.7036,1013176
2025-03-23,373.5953,374.3566,372.3881,373.1485,643620
2025-03-24,394.9545,399.3242,385.6111,389.9252,145093
2025-03-25,390.2475,396.1531,385.2584,391.1525,485692
2025-03-26,399.3324,403.1611,396.5858,400.4072,506912
2025-03-27,400.9233,413.6004,387.2895,399.9354,281869
2025-03-28,405.3009,410.4568,400.7272,405.8766,347083
2025-03-29,406.9056,406.945,406.8808,406.9202,478597
2025-03-30,396.7832,410.8673,387.3786,401.3544,1147137
2025-03-31,399.3418,403.4272,396.9114,400.9867,363479
2025-04-01,408.5196,411.882,406.8554,410.2109,1161241
2025-04-02,418.435,429.8781,409.3062,420.6999,1247369
2025-04-03,416.7982,424.4755,412.563,420.2056,313373
2025-04-04,419.501,429.1896,410.6433,420.3147,383094
2025-04-05,413.1433,413.3972,412.8856,413.1395,83158
2025-04-06,409.445,418.4718,403.3726,412.3562,879395
2025-04-07,404.5463,412.5762,395.9846,404.0037,32160
