date,open,high,low,close,volume
2025-01-20,264.6541,266.9395,264.2408,266.5233,974532
2025-01-21,270.3466,270.4486,270.2854,270.3874,796020
2025-01-22,273.5057,279.2373,266.1893,271.887,103260
2025-01-23,274.8959,278.6567,270.7699,274.5257,608600
2025-01-24,270.9425,271.9828,270.4026,271.4419,831053
2025-01-25,270.5817,274.4862,267.9186,271.8111,712315
2025-01-26,273.1772,275.0275,272.3179,274.165,260107
2025-01-27,267.4925,275.6142,259.587,267.7024,253758
2025-01-28,270.8689,271.5867,270.2657,270.9832,627191
2025-01-29,271.9113,275.3117,267.4923,270.8799,487154
2025-01-30,269.6759,274.4277,268.2655,272.9999,741799
2025-01-31,269.6836,280.1653,260.804,271.2346,1050031
2025-02-01,267.8153,277.2223,262.7385,272.0649,639220
2025-02-02,268.7012,280.1949,255.6255,267.0486,436596
2025-02-03,260.8469,263.8479,257.8254,260.8261,632142
2025-02-04,254.7597,262.2668,246.4732,253.9567,934187
2025-02-05,258.1363,259.7632,255.9955,257.6191,477483
2025-02-06,258.8115,260.1039,257.976,259.267,171101
2025-02-07,257.3675,258.215,257.1014,257.9484,569846
2025-02-08,272.1973,279.6527,263.6553,271.0802,62330
2025-02-09,272.5459,273.3801,271.2903,272.1232,397689
2025-02-10,277.4394,281.7016,272.0355,276.2798,72394
2025-02-11,270.3187,273.5149,266.6752,269.866,474247
2025-02-12,273.1178,275.8332,269.6713,272.3794,174620
2025-02-13,278.3574,281.0589,277.7755,280.4726,799112
2025-02-14,279.5921,283.9791,273.1932,277.5481,171358
2025-02-15,275.9681,279.3062,274.1414,277.4695,66364
2025-02-16,282.9193,288.3069,276.2412,281.6037,619569
2025-02-17,286.1695,297.678,270.9084,282.2597,1022137
2025-02-18,278.2058,283.5062,273.6252,278.9139,613877
2025-02-19,284.0506,296.0371,269.5601,281.4364,599714
2025-02-20,284.9657,289.8416,279.3954,284.2593,642602
2025-02-21,280.9599,282.7652,280.5203,282.3235,84788
2025-02-22,272.1443,273.612,269.5401,271.0016,477866
2025-02-23,266.4254,269.8568,262.502,265.927,133888
2025-02-24,261.5795,261.8673,261.4655,261.7532,1381135
2025-02-25,256.2198,262.5432,249.0549,255.357,45918
2025-02-26,247.7862,248.7872,246.582,247.5822,152160
2025-02-27,253.908,253.9516,253.8842,253.9278,996632
2025-02-28,255.1055,260.2306,248.2463,253.3359,585615
2025-03-01,258.5563,269.2219,246.0414,256.6274,71928
2025-03-02,254.4896,254.9512,254.2747,254.7361,561186
2025-03-03,255.561,264.2562,249.6151,258.2477,377192
2025-03-04,258.0829,260.8542,254.128,256.8865,185885
2025-03-05,255.8697,256.2121,254.8399,255.1813,935987
2025-03-06,254.3607,255.2389,252.5939,253.4691,366422
2025-03-07,244.4985,262.9105,222.9756,241.1343,968612
2025-03-08,242.6685,244.1136,240.8068,242.2494,187842
2025-03-09,237.6814,242.124,231.0272,235.4277,327483
2025-03-10,239.8395,240.5833,239.1017,239.8455,1273338
2025-03-11,238.941,241.6348,236.8662,239.5547,1044066
2025-03-12,235.6189,240.4771,228.188,232.992,430327
2025-03-13,232.5386,233.6708,231.8446,232.9756,667070
2025-03-14,229.2285,232.1175,226.1866,229.0736,629453
2025-03-15,225.8904,229.8285,222.3771,226.3087,398890
2025-03-16,223.313,223.9454,222.4749,223.1067,479157
2025-03-17,231.5716,232.2418,230.8282,231.4982,763103
2025-03-18,226.2078,229.3918,223.9071,227.0821,186134
2025-03-19,229.6241,231.2103,227.6337,229.2171,133451
2025-03-20,230.3132,234.2019,227.127,231.0061,301839
2025-03-21,237.2137,237.2161,237.2092,237.2116,235697
2025-03-22,241.249,250.1481,233.2315,242.1023,44116
2025-03-23,248.2397,250.017,247.8312,249.6063,185396
2025-03-24,247.2913,249.8386,245.551,248.0927,539188
2025-03-25,256.4572,259.794,251.0659,254.3757,435202
2025-03-26,251.7055,252.849,250.2211,251.363,1173503
2025-03-27,249.9995,252.2767,246.114,248.3764,492215
2025-03-28,248.9488,251.0668,247.4752,249.5894,367995
2025-03-29,253.8629,263.2755,245.8515,255.2212,545122
2025-03-30,258.6458,259.0222,258.0916,258.4677,505979
2025-03-31,261.6216,261.9427,261.4007,261.7217,602428
2025-04-01,256.1831,261.7729,255.7364,261.3172,972615
2025-04-02,261.0131,261.9075,259.6058,260.4985,287767
2025-04-03,273.2729,293.7539,248.8,268.9575,506045
2025-04-04,265.8825,267.6322,264.1119,265.8615,895801
2025-04-05,268.9594,270.4178,267.6539,269.1116,14560
2025-04-06,272.2726,275.9547,270.9024,274.5729,772723
2025-04-07,277.8818,278.2187,277.4512,277.788,105822
2025-04-08,266.1145,270.3688,263.0002,267.2413,495294
2025-04-09,268.2131,290.8563,247.6004,270.0987,418684
2025-04-10,277.1512,278.0812,276.3628,277.2923,609479
2025-04-11,284.0972,287.4471,282.0052,285.3459,253375
2025-04-12,285.5803,286.6146,285.0946,286.128,323106
2025-04-13,282.4937,290.1483,276.3295,283.9522,384037
2025-04-14,278.3431,286.8181,268.4484,276.8788,876415
2025-04-15,275.7194,281.6847,270.5262,276.4772,260045
2025-04-16,265.4724,265.5353,265.3996,265.4624,1258450
2025-04-17,266.2262,268.0833,265.6616,267.5159,413455
2025-04-18,260.836,270.6056,251.9857,261.7251,209833
2025-04-19,262.743,264.3605,261.1502,262.7676,144667
2025-04-20,258.9956,275.7116,242.9137,259.5926,580816
2025-04-21,266.1255,275.3474,258.6538,267.8279,577044
2025-04-22,270.1876,272.6935,267.6489,270.1545,708007
2025-04-23,265.8133,272.4017,259.5509,266.1318,389780
2025-04-24,261.3744,269.779,252.6906,261.0859,271888
2025-04-25,265.3432,266.5009,261.5222,262.6682,261086
2025-04-26,266.6275,268.1736,263.1344,264.6691,210331
2025-04-27,271.0627,274.8364,266.6851,270.4503,517145
2025-04-28,277.8057,285.7745,268.4831,276.412,609961
2025-04-29,275.0456,284.3013,265.4632,274.7075,785030
2025-04-30,276.7242,281.9601,270.7901,276.0125,680432
2025-05-01,278.9851,280.1741,278.6443,279.8323,759405
2025-05-02,284.4828,295.5887,274.3265,285.3997,433694
2025-05-03,281.1777,285.8459,276.0035,280.6632,148968
2025-05-04,274.9141,275.024,274.2548,274.3645,412378
2025-05-05,271.0888,272.0712,269.7857,270.7669,726836
2025-05-06,264.5791,268.399,262.0201,265.8279,318572
2025-05-07,258.6346,262.6426,256.7394,260.732,169112
2025-05-08,255.6867,260.501,252.8683,257.6609,772137
2025-05-09,255.2132,259.3213,250.5618,254.661,193856
2025-05-10,251.9717,261.6986,242.6052,252.3192,246772
2025-05-11,254.0266,255.8914,251.4002,253.2593,255279
2025-05-12,255.1574,255.4896,254.4369,254.7687,805597
2025-05-13,254.0275,254.8026,253.2325,254.0075,767042
2025-05-14,261.0145,265.2298,255.9766,260.1785,496853
2025-05-15,260.0709,260.1708,259.9354,260.0353,250581
2025-05-16,266.3617,271.6261,260.6398,265.895,152398
2025-05-17,259.7077,261.2112,258.4731,259.9753,793976
2025-05-18,256.9551,257.1386,256.6513,256.8348,131752
2025-05-19,256.756,257.1645,256.2867,256.6952,474105
2025-05-20,255.2712,268.6343,242.1701,255.5204,143652
2025-05-21,253.7582,254.6624,252.7553,253.6592,970316
2025-05-22,261.2488,294.1918,223.2208,255.43,540687
2025-05-23,241.4527,249.1224,233.4601,241.1192,70116
2025-05-24,238.7591,245.9678,229.1391,236.2727,354826
2025-05-25,235.9669,236.1158,235.9079,236.0568,371808
2025-05-26,240.654,241.046,239.168,239.5583,461890
2025-05-27,245.3506,245.5157,245.0902,245.2553,168847
2025-05-28,243.3662,245.6713,242.9339,245.2357,237167
2025-05-29,238.3508,238.5411,237.5013,237.691,277518
2025-05-30,240.3155,248.9623,232.8118,241.424,785643
2025-05-31,252.0038,256.2196,249.0092,253.2106,621437
2025-06-01,256.7797,257.017,256.5726,256.8099,673912
2025-06-02,249.8394,259.5251,237.0302,246.5899,287874
2025-06-03,247.6765,247.9782,247.4234,247.7251,770059
2025-06-04,247.5825,248.7098,246.161,247.287,1072491
2025-06-05,251.7126,252.7613,250.7855,251.8338,1086101
2025-06-06,246.1342,255.2122,237.8099,246.8633,481948
2025-06-07,233.9267,242.1945,227.9614,236.172,538945
2025-06-08,236.9874,237.2262,236.6907,236.9294,247261
2025-06-09,240.0857,240.4157,239.7884,240.1184,555684
2025-06-10,243.3554,244.2236,242.9383,243.8057,1165817
2025-06-11,254.8451,255.7781,254.0828,255.0153,654440
