date,open,high,low,close,volume
2025-01-20,45.6059,46.0294,44.8042,45.2241,235943
2025-01-21,45.7423,45.8834,45.5485,45.6894,1063137
2025-01-22,45.8319,46.8584,44.8326,45.8585,130437
2025-01-23,45.1272,45.7393,44.5494,45.1611,917953
2025-01-24,45.8389,46.5719,45.0506,45.7827,449266
2025-01-25,45.1301,45.1926,45.12,45.1824,362227
2025-01-26,45.3322,45.5677,45.0841,45.3195,498569
2025-01-27,45.6782,45.7194,45.6507,45.6919,663764
2025-01-28,44.5917,44.5953,44.5761,44.5797,675000
2025-01-29,44.5201,44.7031,44.2834,44.4663,474350
2025-01-30,44.7123,47.5619,41.6289,44.4627,720124
2025-01-31,44.8843,45.9363,44.2609,45.307,126168
2025-02-01,45.9115,45.9841,45.8429,45.9155,143701
2025-02-02,46.9982,47.1207,46.8972,47.0197,598101
2025-02-03,46.319,47.9068,44.7629,46.3497,33871
2025-02-04,45.5015,45.6646,45.3869,45.5499,411669
2025-02-05,45.9721,46.1738,45.4079,45.608,830183
2025-02-06,45.6326,45.7006,45.5331,45.601,570099
2025-02-07,46.1101,47.6577,44.2587,45.7958,1126303
2025-02-08,45.1949,46.0422,44.5371,45.3817,336167
2025-02-09,44.4312,45.2047,43.7517,44.5238,890872
2025-02-10,44.7941,45.0696,44.6724,44.9475,787455
2025-02-11,46.7763,47.697,45.6833,46.6005,1144009
2025-02-12,48.5176,50.6787,45.645,47.7729,797577
2025-02-13,47.661,48.3805,46.991,47.7099,994830
2025-02-14,46.7824,47.189,46.5116,46.9175,570705
2025-02-15,47.0991,47.111,47.0833,47.0952,441568
2025-02-16,46.675,48.2058,45.7287,47.248,187719
2025-02-17,47.0974,49.4087,45.4944,47.7823,425959
2025-02-18,49.2655,49.8448,48.6335,49.2122,567341
2025-02-19,52.0752,53.471,50.6837,52.0794,801349
2025-02-20,53.3479,54.4624,52.0262,53.1363,877838
2025-02-21,52.5066,52.6427,52.3769,52.513,722528
2025-02-22,52.045,53.3798,51.1077,52.4355,29473
2025-02-23,53.3581,53.7355,53.1746,53.5513,227142
2025-02-24,52.268,52.8253,51.1925,51.7442,882311
2025-02-25,50.6115,51.113,49.7866,50.2848,507740
2025-02-26,52.3533,55.6843,49.2626,52.5802,598834
2025-02-27,53.3246,53.6084,52.9634,53.2468,232871
2025-02-28,53.3711,53.4425,53.2716,53.343,136440
2025-03-01,53.8438,54.4274,53.3569,53.9396,1011982
2025-03-02,54.6109,55.3418,54.2542,54.9827,643206
2025-03-03,54.1837,54.9263,53.7601,54.5001,401528
2025-03-04,54.7063,55.3578,54.0442,54.6956,461311
2025-03-05,54.9606,55.0233,54.9195,54.9821,112305
2025-03-06,55.0292,55.1153,54.8562,54.9422,127446
2025-03-07,56.46,57.1775,55.3563,56.0688,649205
2025-03-08,54.4569,55.4962,54.0609,55.0956,189618
2025-03-09,54.931,56.4657,54.3394,55.8641,190708
2025-03-10,55.733,56.8052,54.8953,55.964,717139
2025-03-11,55.1057,55.9545,54.1522,54.9994,520935
2025-03-12,53.4905,53.6301,53.4034,53.5429,180784
2025-03-13,54.5815,54.6051,54.4592,54.4827,443225
2025-03-14,52.7581,53.3588,52.0794,52.6792,627826
2025-03-15,52.6597,52.9438,52.4652,52.749,430799
2025-03-16,53.1811,53.386,52.6374,52.8409,481014
2025-03-17,51.1018,52.6782,50.1268,51.6919,668411
2025-03-18,50.7146,50.8205,50.6614,50.7672,65357
2025-03-19,52.2932,54.1713,49.9637,51.825,711910
2025-03-20,51.6092,55.4904,47.726,51.6071,762225
2025-03-21,52.2318,52.3067,52.1795,52.2544,339774
2025-03-22,51.8771,52.4876,50.75,51.3543,1116348
2025-03-23,51.6011,52.5175,50.258,51.1666,66854
2025-03-24,51.414,52.1429,50.5848,51.3122,397937
2025-03-25,50.3081,51.1329,49.7589,50.5807,180534
2025-03-26,52.9658,53.0754,52.8451,52.9546,123569
2025-03-27,53.7621,54.4941,52.9233,53.6539,43387
2025-03-28,53.0468,53.5572,52.545,53.0553,1158832
2025-03-29,52.3158,55.1815,49.8311,52.6796,541790
2025-03-30,52.6899,52.9096,52.3882,52.6076,94133
2025-03-31,54.2144,54.8947,53.4448,54.124,1176462
2025-04-01,55.2527,56.7118,53.3451,54.7919,88773
2025-04-02,54.2724,54.4103,54.1624,54.3003,311814
2025-04-03,55.8459,56.0623,55.5368,55.7528,46817
2025-04-04,54.8678,55.0248,54.6826,54.8395,27602
2025-04-05,56.6028,58.2314,54.8316,56.456,463679
2025-04-06,57.8063,59.091,56.1469,57.423,581247
2025-04-07,60.2875,60.6902,59.7727,60.1747,515609
2025-04-08,58.0222,58.0235,57.9438,57.9451,697023
2025-04-09,57.1068,58.9006,54.5419,56.3108,129880
2025-04-10,56.5721,56.6805,56.4636,56.572,776216
2025-04-11,58.6412,59.6444,57.8455,58.8459,439560
2025-04-12,60.2625,60.787,59.6474,60.1711,342555
2025-04-13,61.0649,61.2879,60.6451,60.8673,356226
2025-04-14,59.0435,59.8012,58.2972,59.0547,73961
2025-04-15,59.6011,59.865,59.5378,59.8016,80515
2025-04-16,58.168,59.3,56.9249,58.0548,637573
2025-04-17,58.1392,58.2452,58.0573,58.1633,145841
