date,open,high,low,close,volume
2025-01-20,7.441,7.8014,7.1389,7.4969,295873
2025-01-21,7.4617,7.4949,7.3963,7.4293,282655
2025-01-22,7.5573,7.5983,7.4672,7.508,219139
2025-01-23,7.2812,7.3162,7.2704,7.3054,649552
2025-01-24,7.2451,7.2544,7.2343,7.2437,865462
2025-01-25,7.0944,7.1002,7.087,7.0928,103456
2025-01-26,7.0365,7.0368,7.0362,7.0365,131429
2025-01-27,6.9939,7.0449,6.9873,7.0382,354997
2025-01-28,6.8088,6.9255,6.7277,6.844,1043107
2025-01-29,6.9,6.902,6.8924,6.8943,57059
2025-01-30,6.9338,6.9545,6.8905,6.9111,262758
2025-01-31,6.8193,6.9538,6.6261,6.7594,246685
2025-02-01,6.5286,6.6819,6.415,6.5676,1357744
2025-02-02,6.5519,6.6417,6.4668,6.5565,138828
2025-02-03,6.7336,6.7589,6.6695,6.6946,465793
2025-02-04,6.7452,6.7668,6.7296,6.7512,52748
2025-02-05,6.4619,6.6158,6.3476,6.5008,524845
2025-02-06,6.6626,6.682,6.651,6.6704,654783
2025-02-07,6.9156,6.9313,6.9065,6.9221,256298
2025-02-08,6.7755,6.7866,6.7586,6.7697,444358
2025-02-09,6.9036,6.9483,6.8859,6.9305,208533
2025-02-10,6.9907,7.0013,6.9486,6.9592,511759
2025-02-11,6.7789,7.029,6.6018,6.8499,683327
2025-02-12,6.9962,7.1353,6.8677,7.0067,260814
2025-02-13,7.0433,7.0478,7.0406,7.0451,432409
2025-02-14,7.0332,7.09,6.9792,7.0359,113245
2025-02-15,7.1191,7.1652,7.0812,7.1272,850597
2025-02-16,7.2017,7.287,7.1367,7.2218,218848
2025-02-17,7.2927,7.3506,7.2283,7.2862,743765
2025-02-18,7.426,7.4355,7.4109,7.4205,479615
2025-02-19,7.1263,7.1623,7.0781,7.114,743313
2025-02-20,7.2053,7.2298,7.1855,7.21,462423
2025-02-21,7.2089,7.24,7.1643,7.1954,787493
2025-02-22,7.2138,7.2407,7.1379,7.1645,110085
2025-02-23,7.1628,7.4423,6.8016,7.0777,884749
2025-02-24,7.1089,7.1422,7.0706,7.1039,63674
2025-02-25,7.1452,7.187,7.0235,7.0648,84639
2025-02-26,7.0983,7.1593,7.0201,7.081,68336
2025-02-27,6.958,7.1797,6.696,6.9164,484830
2025-02-28,6.7988,6.8547,6.7498,6.8058,459038
2025-03-01,6.5001,6.5931,6.4113,6.5043,155937
2025-03-02,6.4895,6.4917,6.482,6.4842,94438
2025-03-03,6.3211,6.8291,5.9141,6.416,975322
2025-03-04,6.2601,6.5536,6.1433,6.4335,450247
2025-03-05,6.2623,6.29,6.2429,6.2706,811635
2025-03-06,6.3158,6.4157,6.2186,6.3184,376454
2025-03-07,6.2833,6.29,6.2515,6.2582,900733
2025-03-08,6.3187,6.6299,6.0609,6.37,18104
2025-03-09,6.2617,6.3189,6.2386,6.2957,176667
2025-03-10,6.345,6.3638,6.3347,6.3534,80758
2025-03-11,6.5608,6.8517,6.1813,6.4681,901755
2025-03-12,6.3339,6.5512,6.1944,6.41,255681
2025-03-13,6.4676,6.6995,6.179,6.4088,287814
2025-03-14,6.619,6.6317,6.5614,6.574,262565
2025-03-15,6.6193,6.8884,6.4289,6.6958,356131
2025-03-16,6.8558,6.8583,6.8468,6.8494,1249338
2025-03-17,6.8715,6.8746,6.8688,6.8719,626193
2025-03-18,6.6666,6.8991,6.4479,6.68,376480
2025-03-19,6.7246,7.0367,6.4956,6.8049,488561
2025-03-20,6.8976,6.9898,6.7972,6.8892,350545
2025-03-21,6.767,6.8205,6.7252,6.7787,383941
2025-03-22,6.8091,6.9173,6.6062,6.7129,508015
2025-03-23,6.7311,6.775,6.691,6.7349,745977
2025-03-24,6.5915,6.5997,6.58,6.5881,271179
2025-03-25,6.9088,7.1133,6.5702,6.7707,851156
2025-03-26,6.7647,6.8115,6.7092,6.7559,129798
2025-03-27,6.6334,6.9312,6.2409,6.5342,562879
2025-03-28,6.5822,6.5988,6.5633,6.5799,515837
2025-03-29,6.6355,6.6651,6.6023,6.6318,597469
2025-03-30,6.5449,6.963,6.2017,6.616,757364
2025-03-31,6.4103,6.5305,6.2996,6.4197,590688
2025-04-01,6.5022,6.5672,6.4257,6.4906,402229
2025-04-02,6.3568,6.3756,6.3315,6.3503,275548
2025-04-03,6.0085,6.1926,5.9302,6.1129,627342
2025-04-04,6.3135,6.5404,6.0012,6.2249,817951
2025-04-05,6.2997,6.3367,6.233,6.2697,154180
2025-04-06,6.1492,6.3875,5.9989,6.235,421644
2025-04-07,6.1555,6.1983,6.1267,6.1694,566423
2025-04-08,6.1639,6.1842,6.1505,6.1708,89649
2025-04-09,6.0507,6.2245,5.9158,6.0889,78952
2025-04-10,6.0697,6.132,6.0229,6.0851,482642
2025-04-11,6.1061,6.1352,6.073,6.102,781426
2025-04-12,6.1064,6.1519,6.0752,6.1207,1246521
2025-04-13,5.8526,5.9134,5.8237,5.8843,379393
2025-04-14,5.899,5.9402,5.83,5.8711,336708
2025-04-15,5.9264,5.9649,5.8705,5.9089,556971
2025-04-16,5.6977,5.8833,5.5582,5.7426,73793
2025-04-17,5.8914,5.9352,5.8543,5.8981,975499
2025-04-18,6.1168,6.1368,6.1064,6.1264,1152771
2025-04-19,6.2069,6.2362,6.1696,6.1989,402376
2025-04-20,6.2532,6.5538,5.9805,6.2799,1046415
2025-04-21,6.1629,6.4201,5.9334,6.1896,758927
2025-04-22,6.0735,6.1987,5.9854,6.1101,249307
2025-04-23,6.1473,6.3055,5.9548,6.1122,1153629
2025-04-24,6.2233,6.3762,6.0676,6.2204,68474
2025-04-25,6.2387,6.3053,6.2043,6.2707,687862
2025-04-26,6.1888,6.2042,6.16,6.1753,594880
2025-04-27,6.2708,6.3327,6.2281,6.2899,305855
2025-04-28,6.4276,6.6817,6.185,6.4387,792075
2025-04-29,6.5483,6.5752,6.5089,6.5358,940092
2025-04-30,6.6108,6.6375,6.5929,6.6196,399934
2025-05-01,6.6659,6.6976,6.6441,6.6756,1200242
2025-05-02,6.7165,6.7302,6.7131,6.7268,947329
2025-05-03,6.5453,6.5554,6.5378,6.5479,483084
2025-05-04,6.5634,6.6001,6.5034,6.54,569081
2025-05-05,6.6491,6.9398,6.4135,6.7023,1294236
2025-05-06,6.5133,6.5733,6.4813,6.5412,218550
2025-05-07,6.438,6.5555,6.3367,6.454,583418
2025-05-08,6.1948,6.2096,6.1886,6.2033,1259336
2025-05-09,6.15,6.2291,6.0647,6.1438,693637
2025-05-10,6.251,6.4211,6.0369,6.2058,516311
2025-05-11,6.1994,6.2198,6.1784,6.1988,590334
2025-05-12,6.2621,6.4428,6.1011,6.2814,545109
2025-05-13,6.522,6.7285,6.3055,6.5117,914462
2025-05-14,6.5169,6.5492,6.4766,6.5089,323832
2025-05-15,6.4899,6.5381,6.4568,6.505,628610
2025-05-16,6.5822,6.8891,6.3132,6.6186,877006
2025-05-17,6.7865,6.9207,6.6714,6.8052,1036113
2025-05-18,6.6528,6.7384,6.556,6.6414,413601
2025-05-19,6.4695,6.4721,6.466,6.4687,128581
2025-05-20,6.4139,6.5025,6.2917,6.3799,759508
2025-05-21,6.6176,6.6522,6.573,6.6076,365619
2025-05-22,6.6817,7.0296,6.38,6.7258,325510
2025-05-23,6.5694,6.5923,6.5371,6.5599,818630
2025-05-24,6.5327,6.5721,6.519,6.5582,255960
2025-05-25,6.3435,6.3666,6.3208,6.3439,797268
2025-05-26,6.1538,6.5972,5.7196,6.1623,379147
2025-05-27,6.2226,6.2715,6.1997,6.2485,1336288
2025-05-28,6.1992,6.2229,6.1396,6.1631,1311419
2025-05-29,5.893,6.0891,5.7755,5.97,369999
2025-05-30,6.0457,6.0894,5.9783,6.0218,322978
2025-05-31,6.1862,6.2692,6.0874,6.1702,1306678
2025-06-01,6.0266,6.1068,5.9759,6.0559,811500
2025-06-02,6.0931,6.0973,6.0898,6.094,507099
2025-06-03,5.8416,5.9087,5.8032,5.8701,436291
2025-06-04,5.9149,5.9303,5.9121,5.9274,663036
2025-06-05,5.8928,5.9184,5.8222,5.8475,481963
2025-06-06,5.8229,5.8319,5.8154,5.8244,482615
2025-06-07,5.8363,5.843,5.8314,5.8381,18850
