date,open,high,low,close,volume
2025-01-20,8.094,8.1024,8.0871,8.0956,754303
2025-01-21,8.3829,8.3922,8.3743,8.3836,472357
2025-01-22,8.2117,8.3196,8.0217,8.1284,1284647
2025-01-23,8.1367,8.2112,8.0888,8.1631,518066
2025-01-24,8.0579,8.2869,7.7745,8.0018,32842
2025-01-25,7.8992,8.0771,7.8438,8.0208,556280
2025-01-26,8.1873,8.2247,8.1782,8.2156,461439
2025-01-27,8.214,8.2546,8.156,8.1965,503966
2025-01-28,8.2382,8.3619,8.1956,8.3189,74540
2025-01-29,8.3682,8.4851,8.2115,8.3278,122038
2025-01-30,8.4212,8.5242,8.2436,8.3457,582625
2025-01-31,8.4367,8.4448,8.4241,8.4323,900609
2025-02-01,8.3738,8.3964,8.348,8.3706,909167
2025-02-02,8.0235,8.0653,7.9807,8.0225,203361
2025-02-03,8.0392,8.0478,8.0255,8.0341,395524
2025-02-04,7.7869,8.0313,7.5255,7.7693,1416701
2025-02-05,7.8601,7.8895,7.8228,7.8522,548442
2025-02-06,7.8757,8.0156,7.6826,7.8216,689980
2025-02-07,7.8098,7.9573,7.6115,7.7581,1000711
2025-02-08,7.7996,8.0847,7.4555,7.7383,51618
2025-02-09,7.7472,7.8417,7.6852,7.7794,228665
2025-02-10,7.9534,8.0001,7.912,7.9588,287784
2025-02-11,7.9347,7.9422,7.9292,7.9367,817223
2025-02-12,7.9987,8.0443,7.9564,8.0019,1107837
2025-02-13,7.879,7.8853,7.8732,7.8795,382838
2025-02-14,7.9838,8.0788,7.936,8.0308,920367
2025-02-15,7.773,8.0007,7.5937,7.8203,1011829
2025-02-16,7.7081,7.8376,7.6647,7.7937,376285
2025-02-17,7.8381,7.8569,7.8104,7.8291,888510
2025-02-18,7.7628,7.8713,7.677,7.7852,330655
2025-02-19,7.7024,7.8608,7.5797,7.7376,501083
2025-02-20,7.7545,7.8604,7.633,7.7387,1186785
2025-02-21,7.8593,8.2423,7.4916,7.8739,1047322
2025-02-22,7.8987,8.0119,7.8271,7.9399,186918
2025-02-23,7.8485,7.9216,7.7464,7.8193,849216
2025-02-24,7.8055,7.8072,7.7512,7.7529,758520
2025-02-25,7.6155,7.7585,7.4671,7.61,230599
2025-02-26,7.6149,7.6643,7.5483,7.5975,148290
2025-02-27,7.6552,7.7044,7.5597,7.6087,14591
2025-02-28,7.7448,7.7593,7.7266,7.7411,969717
2025-03-01,7.7859,7.8944,7.7196,7.8278,317249
2025-03-02,7.7363,7.967,7.5541,7.7838,1164284
2025-03-03,7.9262,7.9536,7.904,7.9313,76937
2025-03-04,7.9787,8.1601,7.7294,7.9093,480946
2025-03-05,8.0693,8.0781,8.0137,8.0225,772215
2025-03-06,7.7563,7.7989,7.7078,7.7504,407420
2025-03-07,7.6322,7.7635,7.512,7.6431,69058
2025-03-08,7.4925,7.7155,7.3255,7.5473,159979
2025-03-09,7.5548,7.7388,7.4168,7.6001,331569
2025-03-10,7.2629,7.2959,7.1945,7.2274,581159
2025-03-11,7.0756,7.0958,7.0672,7.0873,467849
2025-03-12,7.0346,7.0648,6.9597,6.9898,505461
2025-03-13,6.9218,6.967,6.8932,6.9383,422363
2025-03-14,6.7851,7.0118,6.5612,6.7877,48490
2025-03-15,6.6189,6.6643,6.5397,6.5849,326107
2025-03-16,6.6911,6.7239,6.6444,6.6772,256869
2025-03-17,6.8451,6.8519,6.8406,6.8474,246066
2025-03-18,6.7902,6.8362,6.7281,6.774,412682
2025-03-19,7.1419,7.2288,7.013,7.0994,911456
2025-03-20,6.9706,7.0089,6.9534,6.9916,133163
2025-03-21,7.1394,7.4116,6.8693,7.1414,301611
2025-03-22,7.363,7.504,7.1905,7.3309,1358946
2025-03-23,7.4666,7.5999,7.2992,7.4319,768271
2025-03-24,7.2354,7.2363,7.2353,7.2363,82660
2025-03-25,7.1033,7.1056,7.1006,7.1029,309987
2025-03-26,7.0588,7.4528,6.7563,7.1465,796289
2025-03-27,6.9422,7.4346,6.5774,7.0634,1013668
2025-03-28,7.2564,7.2627,7.2501,7.2565,1368705
2025-03-29,7.0495,7.1314,6.9692,7.0511,349062
