date,open,high,low,close,volume
2025-01-20,35.6362,36.1211,35.5025,35.9861,500655
2025-01-21,35.5698,36.2539,34.993,35.6753,392709
2025-01-22,34.357,34.4757,34.2043,34.3229,113382
2025-01-23,32.8854,33.7845,32.2713,33.1652,290118
2025-01-24,33.3844,33.4959,33.3289,33.4404,134146
2025-01-25,32.6116,33.3853,32.1179,32.8875,719417
2025-01-26,33.2603,33.2975,33.234,33.2712,26790
2025-01-27,33.0917,33.2085,32.7183,32.8342,424303
2025-01-28,33.2735,33.6822,33.0356,33.4431,136214
2025-01-29,33.3796,33.679,32.9411,33.2392,512586
2025-01-30,32.348,33.0576,31.7951,32.5021,1033461
2025-01-31,32.4053,32.8541,32.1633,32.6105,20826
2025-02-01,32.5824,32.6354,32.4988,32.5518,682015
2025-02-02,32.7071,32.9365,32.5027,32.7319,658290
2025-02-03,32.4172,33.1577,31.3298,32.0622,246199
2025-02-04,32.13,32.13,32.1279,32.1279,592688
2025-02-05,31.7863,32.017,31.5088,31.7391,202238
2025-02-06,32.0556,32.254,31.8366,32.0349,512082
2025-02-07,30.813,31.3821,30.1042,30.6707,413522
2025-02-08,30.5629,30.6872,30.438,30.5623,790136
2025-02-09,30.0153,30.4213,29.8372,30.2419,99603
2025-02-10,30.7509,31.09,30.5299,30.8682,706285
2025-02-11,30.4124,31.0151,29.6758,30.2758,1332314
2025-02-12,29.5841,29.6743,29.4846,29.5748,232598
2025-02-13,30.0801,30.4243,29.8302,30.1736,705336
2025-02-14,29.6308,29.6785,29.5901,29.6378,250071
2025-02-15,29.2266,29.4449,29.0238,29.242,1485043
2025-02-16,29.5477,29.5677,29.5066,29.5265,283682
2025-02-17,30.4603,30.8453,29.7999,30.1814,344871
2025-02-18,30.805,31.8422,29.3495,30.3721,551201
2025-02-19,29.5244,29.8413,29.2572,29.5737,248277
2025-02-20,29.3099,29.5379,29.1104,29.3381,141480
2025-02-21,29.9603,30.4054,29.6522,30.0959,1230215
2025-02-22,28.9766,29.399,28.3116,28.7304,796474
2025-02-23,29.0543,29.2528,28.8888,29.0872,749686
2025-02-24,29.3697,29.4962,28.8308,28.9555,630745
2025-02-25,29.5801,29.5988,29.5721,29.5907,642506
2025-02-26,29.6224,29.6275,29.619,29.6241,377210
2025-02-27,30.2937,30.5233,29.9716,30.2005,716748
2025-02-28,30.5136,30.712,30.3853,30.5833,179654
2025-03-01,29.8922,29.8996,29.8899,29.8973,377122
2025-03-02,31.1956,31.256,31.1576,31.2179,154110
2025-03-03,32.0241,32.0772,31.7835,31.8364,721339
2025-03-04,31.4938,31.5555,31.4186,31.4803,575670
2025-03-05,31.4724,33.4384,29.3426,31.2976,41821
2025-03-06,31.5437,31.6176,31.5158,31.5897,531017
2025-03-07,31.3281,31.6028,31.1961,31.4701,38088
2025-03-08,31.266,31.3044,31.2146,31.2531,65102
2025-03-09,31.2825,31.4012,31.2017,31.3203,502558
2025-03-10,30.5247,31.3881,29.6715,30.5346,608202
2025-03-11,30.7253,30.8435,30.5673,30.6854,470378
2025-03-12,31.6241,32.1034,30.9616,31.4381,943515
2025-03-13,31.4614,31.9925,31.1846,31.7134,337993
2025-03-14,32.4762,34.1191,31.1416,32.7723,39300
2025-03-15,33.1951,33.8114,32.4272,33.0407,421025
2025-03-16,32.6619,34.4733,30.8286,32.6388,920050
2025-03-17,32.8873,33.1759,32.4022,32.6889,357396
2025-03-18,32.8315,34.869,31.0652,33.0888,179953
2025-03-19,32.7332,32.8232,32.5239,32.6136,389021
2025-03-20,32.9892,33.266,32.753,33.0294,754782
2025-03-21,32.2336,32.4929,31.9085,32.1674,589294
2025-03-22,31.5224,31.6795,31.3037,31.4606,112371
