date,open,high,low,close,volume
2025-01-20,15.2275,15.2342,15.2227,15.2295,952014
2025-01-21,15.4365,15.5679,15.1645,15.2947,150347
2025-01-22,15.2299,15.9095,14.4963,15.1734,634296
2025-01-23,15.2504,15.3027,15.2229,15.2751,252871
2025-01-24,15.0807,15.1067,15.0607,15.0867,98104
2025-01-25,15.2503,15.2593,15.2461,15.2551,566936
2025-01-26,15.1823,15.3504,15.0445,15.2123,21651
2025-01-27,14.6981,15.3634,14.1451,14.8063,505736
2025-01-28,14.5702,15.01,14.0858,14.5243,708636
2025-01-29,14.5201,15.4295,13.8189,14.7187,984180
2025-01-30,14.3531,14.4561,14.2762,14.3791,850610
2025-01-31,13.9072,14.2179,13.8208,14.1301,106491
2025-02-01,14.1122,14.4855,13.8061,14.178,512648
2025-02-02,14.4003,14.724,14.2135,14.5354,94188
2025-02-03,14.9287,15.1076,14.6661,14.844,606456
2025-02-04,14.534,14.7351,14.4096,14.6101,751241
2025-02-05,14.9269,15.1171,14.7451,14.9352,171150
2025-02-06,15.6082,16.4185,14.6692,15.4725,737086
2025-02-07,15.5378,15.6806,15.4904,15.6329,315261
2025-02-08,15.6283,15.9132,15.4133,15.6973,634136
2025-02-09,15.4307,15.6033,15.1761,15.3478,876966
2025-02-10,14.685,14.8615,14.5792,14.7553,262046
2025-02-11,15.1574,15.8801,14.8051,15.5194,524839
2025-02-12,15.0922,15.1906,14.9981,15.0964,1448593
2025-02-13,15.3578,15.6497,15.1307,15.4216,494112
2025-02-14,15.4446,15.5745,15.3601,15.4897,246966
2025-02-15,15.5016,15.947,14.9202,15.3616,74131
2025-02-16,15.1614,15.8748,14.5613,15.2703,941479
2025-02-17,14.9406,15.1442,14.6867,14.8896,721879
2025-02-18,15.1055,15.165,15.0317,15.0912,7009
2025-02-19,15.2912,15.4118,15.2081,15.3285,258050
2025-02-20,15.2989,15.3738,15.2446,15.3195,803428
2025-02-21,15.4008,15.4748,15.3303,15.4043,930719
2025-02-22,14.9324,15.5725,14.1938,14.8295,61272
