date,open,high,low,close,volume
2025-01-20,148.4371,148.764,148.1842,148.5109,249708
2025-01-21,150.2088,152.7657,149.2685,151.8153,573607
2025-01-22,150.3884,151.1708,148.8289,149.6073,121551
2025-01-23,150.5547,151.6066,148.3194,149.363,826321
2025-01-24,146.4925,150.0944,141.5733,145.1419,192173
2025-01-25,144.662,145.4467,143.379,144.161,1162639
2025-01-26,150.2304,152.0347,148.7051,150.5066,376460
2025-01-27,152.508,156.8159,147.2075,151.4865,398347
2025-01-28,155.5737,164.294,146.5328,155.2341,694580
2025-01-29,155.4747,168.5179,140.6748,153.5571,767160
2025-01-30,157.7108,157.9882,157.5855,157.8628,64098
2025-01-31,153.0976,159.7007,146.1342,152.7212,789364
2025-02-01,150.084,150.4899,148.9583,149.3622,763259
2025-02-02,149.2084,152.0589,145.7411,148.5796,156317
2025-02-03,149.9307,150.9549,148.9517,149.9756,89520
2025-02-04,147.5087,152.1247,145.3508,149.9313,42028
2025-02-05,147.3398,148.1995,147.212,148.0711,514858
2025-02-06,143.5627,145.7815,142.2088,144.4195,333931
2025-02-07,142.013,144.394,140.1755,142.5495,512300
2025-02-08,141.593,154.2802,129.5297,142.168,596306
2025-02-09,149.2181,151.5482,146.2693,148.5896,358336
2025-02-10,151.1688,151.5711,151.058,151.4601,435873
2025-02-11,154.8103,155.2738,153.6899,154.1514,1309367
2025-02-12,160.8302,161.1857,160.3875,160.7427,1007413
2025-02-13,160.8329,161.9117,160.28,161.357,1190418
2025-02-14,161.2169,163.2757,159.4584,161.5139,110673
2025-02-15,159.9171,161.4741,158.2708,159.8269,1013708
2025-02-16,157.1937,158.6764,155.9343,157.4152,1021271
2025-02-17,161.9907,167.9659,157.2331,163.1736,412040
2025-02-18,165.7215,169.5009,162.1721,165.9467,641725
2025-02-19,162.5634,163.6225,162.5426,163.6015,549011
2025-02-20,163.1524,167.657,159.4694,163.9558,83832
2025-02-21,161.1179,164.1627,159.1221,162.154,828800
2025-02-22,156.1345,156.9194,155.4276,156.2121,1114667
2025-02-23,160.4558,161.3648,159.3893,160.2974,219451
2025-02-24,157.9655,158.2123,156.6128,156.8579,507267
2025-02-25,160.2199,160.3674,160.0904,160.2379,490935
2025-02-26,164.5909,165.1299,163.914,164.4526,634164
2025-02-27,162.787,165.5406,162.7099,165.4623,804173
2025-02-28,167.5189,168.0865,167.2262,167.7933,505559
2025-03-01,164.0805,164.9266,161.9805,162.8201,150633
2025-03-02,163.2839,164.47,162.339,163.5238,92952
2025-03-03,166.6917,172.5432,161.8939,167.716,526731
2025-03-04,176.3956,178.9109,173.1585,175.6634,1008031
2025-03-05,175.7034,177.3438,172.9326,174.5624,160220
2025-03-06,176.8576,179.6298,172.62,175.3688,673321
2025-03-07,182.8815,183.665,182.0295,182.8127,719882
2025-03-08,184.4131,185.9903,182.7196,184.2958,550192
2025-03-09,177.9928,181.9749,175.4157,179.3778,407414
2025-03-10,176.8964,187.0042,169.0575,179.069,35171
2025-03-11,178.6488,183.0354,176.2639,180.6241,133122
2025-03-12,182.4618,183.3424,181.2938,182.1731,423125
2025-03-13,186.646,187.076,185.6833,186.1121,507883
2025-03-14,185.8148,185.918,185.5946,185.6977,1094840
2025-03-15,179.643,184.589,177.5068,182.4198,420734
2025-03-16,179.1314,180.6675,176.889,178.419,283525
2025-03-17,186.9309,188.8578,184.1956,186.1141,1116293
2025-03-18,183.4205,185.6759,181.5506,183.8021,306273
2025-03-19,180.241,181.257,179.5642,180.5789,109101
2025-03-20,182.0286,182.6042,181.5522,182.1275,174356
2025-03-21,175.9547,177.6276,174.6628,176.3329,321352
2025-03-22,169.0156,169.47,168.6838,169.1379,246856
2025-03-23,169.1214,169.8979,168.4798,169.2558,358673
2025-03-24,168.9763,172.64,163.4125,167.034,907011
2025-03-25,170.2515,172.1613,167.4629,169.3628,41569
2025-03-26,174.7016,175.8523,172.9891,174.1361,242095
2025-03-27,175.4478,176.2962,174.6739,175.522,267069
2025-03-28,176.6956,177.6989,175.9706,176.9727,210822
2025-03-29,182.8455,184.9683,179.9383,182.052,984679
2025-03-30,183.8915,186.1407,181.8208,184.068,948627
2025-03-31,184.9957,185.2345,184.4524,184.6908,201893
2025-04-01,189.4166,189.5362,189.2691,189.3887,230287
2025-04-02,195.1675,200.9126,189.762,195.498,161809
2025-04-03,202.955,203.123,202.556,202.7238,177988
2025-04-04,208.1603,212.4516,203.4022,207.6837,44936
2025-04-05,206.5966,207.0359,206.4135,206.8526,412466
2025-04-06,211.6867,212.9596,208.8342,210.0976,92807
2025-04-07,214.0813,220.2019,208.1529,214.2683,914884
2025-04-08,207.7069,215.089,201.7787,209.1205,191042
2025-04-09,211.7801,213.6345,208.4232,210.2644,307158
2025-04-10,213.7722,215.0902,213.5612,214.8782,1114120
2025-04-11,211.9777,215.9163,210.6685,214.5909,594243
2025-04-12,210.075,216.8913,203.6735,210.4776,149689
2025-04-13,211.0428,213.9777,208.0184,210.952,989340
2025-04-14,210.9163,215.9852,205.2755,210.3304,240133
2025-04-15,202.4995,203.4066,201.9328,202.8388,426037
2025-04-16,200.3036,203.528,198.9107,202.1223,941518
2025-04-17,210.5295,213.7605,207.0456,210.2727,826077
2025-04-18,208.702,212.3339,204.159,207.7747,339127
2025-04-19,219.3666,231.1837,205.3889,217.083,597044
2025-04-20,211.116,216.2266,204.4402,209.5119,815996
2025-04-21,202.1308,204.3139,201.0056,203.1829,353827
2025-04-22,203.9752,204.0714,203.3915,203.4875,141929
2025-04-23,196.6031,208.1996,187.5191,199.0047,553999
2025-04-24,192.9449,193.208,192.6201,192.8832,86114
2025-04-25,196.2792,197.7007,195.4188,196.8378,116886
2025-04-26,190.588,190.6309,190.5365,190.5794,284480
2025-04-27,191.9382,203.05,182.0381,193.0904,270245
2025-04-28,186.4102,190.9844,183.3404,187.8902,1299844
2025-04-29,182.9972,183.8755,182.5994,183.4767,351503
2025-04-30,177.6635,178.669,176.3247,177.3283,452662
2025-05-01,166.9077,169.3999,163.9132,166.3978,411797
2025-05-02,163.495,164.5672,161.3886,162.454,73155
2025-05-03,161.8499,163.2961,161.6269,163.0714,259415
2025-05-04,160.3485,160.6248,159.6951,159.9708,812344
2025-05-05,158.5119,159.2201,157.8189,158.5271,1356079
2025-05-06,157.6311,158.7732,155.4185,156.5528,110290
2025-05-07,155.049,157.9422,152.6766,155.562,918643
2025-05-08,156.8029,158.7725,152.859,154.8034,367765
2025-05-09,158.5605,159.7905,157.0449,158.2726,1180080
2025-05-10,159.1204,160.9328,156.7457,158.5517,356887
2025-05-11,163.0436,163.5286,162.6576,163.1424,1047477
2025-05-12,161.2152,161.4663,160.9725,161.2236,791256
2025-05-13,163.3615,165.2423,162.2049,164.0805,571949
2025-05-14,169.2012,173.5949,165.0281,169.4165,856019
2025-05-15,166.466,173.3223,159.9205,166.765,500621
2025-05-16,172.0243,172.3991,170.8248,171.1978,111855
2025-05-17,165.755,167.3238,165.58,167.1473,259741
2025-05-18,167.7494,169.4943,165.8272,167.5702,700786
2025-05-19,165.4731,165.7123,165.464,165.7032,195661
2025-05-20,164.4999,166.2076,162.5329,164.2379,13173
2025-05-21,165.1842,166.4005,163.0207,164.2299,642598
2025-05-22,171.9719,174.338,168.6657,171.0188,92595
2025-05-23,162.5055,164.4142,161.4321,163.3353,642064
2025-05-24,162.8304,163.5471,161.7829,162.4981,297912
2025-05-25,163.0766,163.1215,162.9064,162.9513,264524
2025-05-26,166.8448,170.7547,162.1995,166.0917,675922
2025-05-27,171.4405,171.773,170.5781,170.9095,1163974
2025-05-28,169.4057,170.2336,168.8281,169.6552,255824
2025-05-29,179.0919,180.0094,176.1663,177.0735,279473
2025-05-30,176.6152,179.0229,174.867,177.2682,437671
2025-05-31,181.3956,184.8353,176.1733,179.5786,212275
2025-06-01,180.9,181.6876,180.3929,181.1798,81718
2025-06-02,183.3022,184.3211,181.8941,182.9107,719577
2025-06-03,188.7632,193.6958,181.8001,186.6782,291032
2025-06-04,184.2912,188.4432,179.8892,184.0355,508077
2025-06-05,186.42,190.0973,181.681,185.3369,265780
2025-06-06,181.4246,182.0699,181.0207,181.6655,1064702
2025-06-07,184.8633,190.4754,182.0115,187.5816,487353
2025-06-08,185.8857,188.3759,182.6676,185.148,1029606
2025-06-09,186.693,192.0878,181.3989,186.791,401794
2025-06-10,183.1099,183.1242,183.0947,183.109,703586
2025-06-11,183.8032,192.1134,175.6161,183.921,1315141
2025-06-12,182.0554,184.3869,180.0417,182.3698,230120
2025-06-13,185.3557,186.4591,182.4886,183.5814,400318
2025-06-14,192.4664,194.783,190.1633,192.4798,388545
2025-06-15,198.8288,198.9525,198.7098,198.8336,87104
2025-06-16,195.475,197.9332,194.3344,196.785,335718
2025-06-17,200.9923,202.9772,199.462,201.4435,241738
2025-06-18,205.9977,209.4549,200.8296,204.2577,202231
2025-06-19,203.824,204.7635,203.1714,204.11,735928
2025-06-20,204.1367,204.1817,204.0736,204.1186,905244
2025-06-21,204.3765,207.6121,201.5585,204.7884,66038
2025-06-22,204.25,204.3781,204.1028,204.231,1115419
2025-06-23,198.4409,201.0881,197.129,199.7675,305466
2025-06-24,197.0821,197.6473,196.6365,197.2014,365768
2025-06-25,190.3489,190.4196,190.1817,190.2524,377787
2025-06-26,188.6033,188.6853,187.4347,187.5162,1009220
2025-06-27,192.5888,192.7956,192.3252,192.5319,683131
2025-06-28,197.6873,200.415,194.2631,196.9811,566870
2025-06-29,202.1217,204.1524,200.2264,202.2558,587701
2025-06-30,206.6563,207.6501,203.8575,204.8425,161099
2025-07-01,207.5793,208.6681,206.5788,207.6672,605243
2025-07-02,214.681,215.4893,213.6953,214.5029,612328
2025-07-03,211.2463,212.4451,208.7993,209.991,1161185
2025-07-04,205.7211,210.776,201.8368,206.87,777485
2025-07-05,207.1939,214.3014,199.7538,206.8495,644854
2025-07-06,210.575,224.0817,198.3925,211.8268,100042
2025-07-07,212.719,217.6151,210.4059,215.2742,1088965
2025-07-08,216.0075,216.1735,215.1967,215.3622,247873
2025-07-09,220.0453,221.5327,219.4089,220.8938,910160
2025-07-10,230.7368,231.0816,229.0116,229.3543,40301
2025-07-11,230.112,236.2515,223.6409,229.7713,791679
2025-07-12,235.7331,239.9002,228.4894,232.6012,913223
2025-07-13,228.117,229.6924,227.08,228.653,1247212
2025-07-14,225.4481,230.6142,221.8422,226.9838,186075
2025-07-15,222.9609,226.5133,221.2115,224.7499,541406
2025-07-16,221.4616,222.3154,220.4527,221.3059,637882
2025-07-17,226.3311,240.7539,208.829,223.0422,635912
2025-07-18,225.9505,227.4773,223.2829,224.8019,281469
2025-07-19,225.3559,227.8119,222.4565,224.9076,589665
2025-07-20,225.2263,227.7462,222.0785,224.5913,531816
2025-07-21,222.8776,226.3877,220.1002,223.6013,457239
2025-07-22,223.2704,237.8903,211.1771,225.6672,320236
2025-07-23,230.1834,230.3933,229.6139,229.8234,167683
2025-07-24,231.8534,249.7486,217.5439,235.2306,685993
2025-07-25,239.1987,245.4005,231.4268,237.5868,70468
2025-07-26,245.5569,250.1722,237.9688,242.5272,690853
2025-07-27,239.2969,245.6068,235.0823,241.3559,746611
2025-07-28,239.9908,241.4103,237.9971,239.4131,699776
2025-07-29,237.4552,242.4011,233.1781,238.1122,404205
2025-07-30,247.3422,264.7713,225.8721,242.9949,352182
2025-07-31,241.7955,243.5764,239.6984,241.477,202492
2025-08-01,229.9627,232.6733,228.0685,230.7725,525740
2025-08-02,232.4579,234.9705,228.7743,231.2741,925023
2025-08-03,232.53,236.243,229.5507,233.2545,912156
2025-08-04,228.7574,232.3623,223.1228,226.6951,955163
2025-08-05,236.1574,237.6644,234.3504,235.8554,209559
2025-08-06,228.0372,235.3493,222.8173,230.0826,30631
2025-08-07,230.4199,232.0825,228.3922,230.0521,249102
2025-08-08,224.0132,224.1937,223.7291,223.9095,1344538
2025-08-09,225.3995,227.7904,223.9195,226.3044,907696
2025-08-10,230.5821,235.4843,225.2435,230.1362,251803
2025-08-11,228.6438,228.7566,228.5155,228.6283,92664
2025-08-12,222.754,223.9237,222.324,223.4922,214458
2025-08-13,237.9986,239.4596,236.3083,237.7679,205896
2025-08-14,235.9492,238.8956,234.9761,237.9144,765052
2025-08-15,235.1698,235.6312,234.7756,235.2368,764181
2025-08-16,226.8012,229.2622,226.3378,228.7946,701855
2025-08-17,230.2672,230.2811,230.2133,230.2272,1050040
2025-08-18,223.2899,224.4755,221.4144,222.5963,110295
2025-08-19,221.8663,222.3566,218.5248,219.0089,381882
2025-08-20,220.1882,224.2622,217.8163,221.8722,27686
2025-08-21,221.2036,222.2252,220.053,221.074,527640
2025-08-22,223.1204,224.2097,222.7204,223.8084,471640
2025-08-23,225.9787,228.5453,225.0524,227.6122,634585
2025-08-24,223.2843,224.7204,221.6287,223.0634,752093
2025-08-25,228.1864,228.2015,227.7403,227.7553,1085007
2025-08-26,225.24,226.3604,223.9056,225.0249,856516
2025-08-27,223.1285,231.5389,215.6244,224.0053,267554
2025-08-28,226.8733,230.0094,225.0804,228.206,55253
2025-08-29,232.1212,236.8947,228.4055,233.1623,16585
2025-08-30,226.0465,230.1764,223.3872,227.5,630117
2025-08-31,224.2127,232.4592,217.0818,225.2939,143789
2025-09-01,226.044,226.1063,225.9244,225.9867,371884
2025-09-02,223.5906,227.091,221.1448,224.6337,536287
2025-09-03,223.8348,224.9191,223.1884,224.2715,619226
2025-09-04,225.4333,227.3386,223.4735,225.3783,611674
2025-09-05,222.3299,227.8214,217.2168,222.6997,758356
2025-09-06,219.661,237.3057,201.2417,218.8187,836606
2025-09-07,220.5097,222.1019,219.4836,221.0731,469157
2025-09-08,219.7234,222.1717,216.8521,219.2956,860924
2025-09-09,215.5774,215.7525,215.5062,215.6812,601728
2025-09-10,220.1877,228.8431,213.6984,222.2918,959065
2025-09-11,222.2511,222.3378,222.1906,222.2774,746309
2025-09-12,219.4581,222.6965,216.6041,219.8376,532285
2025-09-13,226.3095,231.3454,218.5439,223.5177,870661
2025-09-14,217.6858,217.6983,217.6754,217.6879,620466
2025-09-15,222.0793,222.318,221.9457,222.1843,598132
2025-09-16,223.7549,225.1407,222.3015,223.6869,772081
2025-09-17,229.2427,229.6501,228.4456,228.8523,413817
2025-09-18,238.9966,240.976,233.8569,235.8099,70957
2025-09-19,237.1358,239.5821,234.6975,237.1438,1059295
2025-09-20,238.8703,240.2202,237.7049,239.0539,26272
2025-09-21,239.0053,247.4425,231.6002,240.0064,324291
2025-09-22,237.7789,240.0867,235.8117,238.1166,509381
2025-09-23,232.2266,241.9249,224.3716,234.0096,461798
2025-09-24,237.5316,238.3512,234.1215,234.9321,178627
2025-09-25,239.9993,241.5637,239.1305,240.6924,53264
2025-09-26,241.482,246.0873,236.2857,240.8795,640292
2025-09-27,240.166,240.7852,239.8913,240.5101,283234
2025-09-28,230.56,235.4751,227.4179,232.3091,12347
2025-09-29,232.3852,238.2818,227.5998,233.4739,367557
2025-09-30,231.9833,232.3912,231.8168,232.2246,484888
2025-10-01,235.5186,236.97,233.9321,235.3827,357365
2025-10-02,237.73,239.6923,236.2958,238.255,931074
2025-10-03,240.1126,240.1235,240.103,240.1139,388329
2025-10-04,239.7343,241.9133,238.536,240.7102,295943
2025-10-05,245.5779,251.0695,238.7438,244.2047,956734
2025-10-06,242.6253,244.648,241.6914,243.71,788473
2025-10-07,247.8431,248.4147,247.1788,247.7502,485137
2025-10-08,243.8557,246.8435,242.4949,245.4736,619499
2025-10-09,240.3664,242.8249,238.1105,240.5672,619671
2025-10-10,235.1265,235.5348,234.5942,235.0023,116419
2025-10-11,235.4323,235.4354,235.4283,235.4314,345671
