date,open,high,low,close,volume
2025-01-20,140.7387,140.8375,140.6109,140.7096,95772
2025-01-21,137.2958,137.6019,137.1877,137.4936,573909
2025-01-22,140.5425,142.407,138.5875,140.4507,249784
2025-01-23,140.6892,142.2891,138.9894,140.5882,546125
2025-01-24,134.2542,139.068,130.031,134.8268,769085
2025-01-25,132.5837,132.5878,132.5819,132.586,255362
2025-01-26,132.3604,135.2361,129.9155,132.7834,429747
2025-01-27,136.8842,138.9446,134.3024,136.3549,163274
2025-01-28,135.7901,136.2293,135.0844,135.5228,148371
2025-01-29,136.3383,136.4022,136.1197,136.1835,82727
2025-01-30,139.1358,140.6513,136.2363,137.7366,417760
2025-01-31,138.4006,138.5153,138.1084,138.2229,457753
2025-02-01,141.4128,142.6156,139.7727,140.9717,518807
2025-02-02,141.1055,142.0123,140.3162,141.2223,94781
2025-02-03,144.9949,149.4212,141.994,146.3913,514257
2025-02-04,150.2016,150.5099,150.0964,150.4045,181082
2025-02-05,149.3346,150.4388,148.1412,149.2448,516528
2025-02-06,152.3902,158.1397,145.4229,151.1246,858541
2025-02-07,149.6575,150.0341,149.2943,149.6709,460631
2025-02-08,148.9211,151.5553,146.9572,149.5827,245423
2025-02-09,148.973,149.4043,148.4766,148.9077,284428
2025-02-10,154.6022,161.845,146.4932,153.6934,42336
2025-02-11,154.2521,156.1323,151.8365,153.7101,519474
2025-02-12,150.226,151.2383,149.3873,150.3987,698619
2025-02-13,151.3783,151.7837,151.0354,151.4407,228705
2025-02-14,155.0954,155.6677,154.8077,155.3794,191536
2025-02-15,159.1188,162.8452,154.9805,158.6971,606508
2025-02-16,161.5766,161.9311,161.2093,161.5638,80111
2025-02-17,160.7882,162.6151,159.4442,161.267,755771
2025-02-18,163.0533,163.5651,161.7015,162.2107,523088
2025-02-19,160.4077,160.5747,160.2117,160.3786,604387
2025-02-20,161.0217,163.3696,159.5233,161.8633,747166
2025-02-21,163.0828,168.1383,158.079,163.133,130705
2025-02-22,161.8559,163.7949,160.9903,162.9237,937282
2025-02-23,166.4475,166.7469,166.4256,166.725,862691
2025-02-24,171.5441,172.6762,169.9518,171.0808,574917
2025-02-25,168.6311,174.8106,163.6826,169.8271,102793
