date,open,high,low,close,volume
2025-01-20,474.7385,477.0636,471.2824,473.6019,1055532
2025-01-21,465.6875,471.326,460.7352,466.3665,357228
2025-01-22,476.2614,478.0863,471.3887,473.2019,691373
2025-01-23,467.437,475.4958,459.2,467.2558,41409
2025-01-24,481.2492,481.4848,481.1092,481.3448,115819
2025-01-25,482.5208,498.2193,470.3301,485.9422,76817
2025-01-26,486.7807,489.1611,483.6365,486.0131,232894
2025-01-27,491.1532,492.7578,490.2971,491.9004,1063400
2025-01-28,486.3714,487.5775,485.0198,486.2255,929508
2025-01-29,474.4052,489.3016,457.251,472.0742,443980
2025-01-30,464.1449,473.8563,453.3049,462.9922,299701
2025-01-31,460.2298,478.2938,442.0837,460.1444,1347983
2025-02-01,450.5001,465.8648,446.6503,461.9174,79793
2025-02-02,461.0099,463.3276,458.4006,460.7169,874266
2025-02-03,446.4325,448.7741,444.8632,447.202,705660
2025-02-04,439.7666,440.5554,439.1608,439.9494,517544
2025-02-05,432.3871,433.1832,431.9388,432.7346,476555
2025-02-06,427.7313,428.167,424.8697,425.3029,104669
2025-02-07,418.3875,423.5906,411.983,417.171,549199
2025-02-08,432.2988,448.7454,412.9946,429.3281,929894
2025-02-09,416.9418,417.2959,416.1753,416.529,135190
2025-02-10,404.597,405.2923,404.2972,404.9922,562464
2025-02-11,405.2411,409.7623,404.4084,408.9221,17725
2025-02-12,420.3233,433.4062,402.7299,415.6678,313545
2025-02-13,406.8572,408.8802,405.2648,407.286,593352
2025-02-14,407.5227,408.3837,406.4629,407.3235,555731
2025-02-15,406.5278,406.6339,406.3197,406.4258,1072610
2025-02-16,411.8682,412.463,408.5118,409.1025,595422
2025-02-17,398.7971,399.2021,397.4836,397.8876,313200
2025-02-18,397.613,402.1346,391.3953,395.8974,522313
2025-02-19,382.8104,383.9209,381.95,383.0599,519134
2025-02-20,374.763,381.5612,371.3812,378.1488,252583
2025-02-21,368.9994,375.3747,361.5781,367.935,69642
2025-02-22,370.6781,374.122,368.6696,372.1057,288493
2025-02-23,380.9605,382.5583,378.8483,380.4439,45238
2025-02-24,372.5331,375.0488,369.6048,372.1176,452951
2025-02-25,382.0888,383.6204,382.0554,383.5869,734797
2025-02-26,394.417,405.3752,380.8851,391.7697,223287
2025-02-27,385.1986,385.9217,384.5339,385.2569,897246
2025-02-28,381.7516,381.8778,381.3816,381.5078,407883
2025-03-01,377.8267,385.8961,366.7627,374.7667,85827
2025-03-02,378.8772,380.5405,377.5565,379.2186,250075
2025-03-03,378.981,380.1525,377.4014,378.5716,836992
2025-03-04,385.3682,391.3477,378.4291,384.3935,547025
2025-03-05,391.815,393.2985,388.2913,389.7671,27981
2025-03-06,395.2885,397.1735,392.6178,394.499,653355
2025-03-07,395.0659,402.4132,387.0682,394.4032,939609
2025-03-08,390.8923,394.8675,388.0709,392.0379,502694
2025-03-09,408.2146,419.3999,396.4035,407.5711,812097
2025-03-10,413.7278,428.8725,398.1936,413.3235,757592
2025-03-11,436.0098,445.3121,422.5733,431.7854,940934
2025-03-12,435.0906,443.3729,424.3035,432.5372,161339
2025-03-13,440.3361,442.9052,435.1169,437.6705,412900
2025-03-14,442.1412,445.8712,440.4898,444.2121,987473
2025-03-15,445.3098,445.6126,444.5621,444.8646,568399
2025-03-16,437.4282,438.3275,437.2381,438.1371,394829
2025-03-17,437.8089,446.6058,423.2029,431.8807,550311
2025-03-18,428.4494,463.4014,395.0298,429.8709,373154
2025-03-19,454.0648,455.5629,451.2697,452.7634,1126751
2025-03-20,444.581,449.0372,441.708,446.1541,104662
2025-03-21,458.0592,463.0277,453.8877,458.849,1118055
2025-03-22,457.4773,457.5086,457.4696,457.5009,159430
2025-03-23,467.8918,479.3616,454.3638,465.7819,30974
2025-03-24,454.2486,460.1878,452.4928,458.416,199973
2025-03-25,449.3226,465.9953,437.4906,454.0391,326945
