date,open,high,low,close,volume
2025-01-20,221.263,227.2133,214.792,220.7279,362277
2025-01-21,223.1432,224.9726,222.397,224.2228,215657
2025-01-22,223.7158,229.1613,218.688,224.1243,75406
2025-01-23,234.2511,237.612,228.2279,231.55,35951
2025-01-24,227.7982,229.1962,226.2972,227.6945,306378
2025-01-25,223.09,227.8182,219.5693,224.2788,262494
2025-01-26,223.7611,225.1978,221.886,223.3199,1011125
2025-01-27,233.3405,239.3037,228.7469,234.6837,145109
2025-01-28,238.4352,238.9028,238.1201,238.5876,299739
2025-01-29,242.1435,243.7085,240.1853,241.7478,1114389
2025-01-30,238.3432,240.0685,235.7773,237.4964,423095
2025-01-31,241.9099,247.3372,235.9534,241.3685,18869
2025-02-01,234.5995,237.8026,231.0276,234.2256,390447
2025-02-02,242.1028,257.8366,229.2878,244.8749,840566
2025-02-03,242.0409,244.7315,240.2994,242.9833,843111
2025-02-04,230.6718,233.8872,229.1039,232.3082,1164352
2025-02-05,236.3693,247.0521,224.2496,234.8645,304127
2025-02-06,235.3004,238.751,231.266,234.708,752216
2025-02-07,236.8896,238.3569,233.6363,235.0925,209847
2025-02-08,230.656,234.6585,224.1974,228.1565,313764
2025-02-09,226.7764,227.224,226.207,226.6543,465969
2025-02-10,228.9786,233.2483,225.7334,229.9887,510077
2025-02-11,236.0268,237.9732,231.4719,233.3967,1124773
2025-02-12,232.2505,232.4683,231.5725,231.7898,608577
2025-02-13,231.2042,237.402,227.7002,233.8578,154497
2025-02-14,228.7425,229.7178,228.0097,228.9843,497493
2025-02-15,230.8711,238.1679,224.4938,231.7658,811410
2025-02-16,228.3763,231.3807,225.653,228.6541,1226564
2025-02-17,228.2258,230.7831,227.5637,230.1155,267325
2025-02-18,232.0062,235.209,227.7089,230.8964,852819
2025-02-19,228.9103,229.0805,228.9022,229.0724,147713
2025-02-20,233.8648,239.0256,228.5047,233.661,228202
2025-02-21,233.8918,235.9717,230.3306,232.3972,461434
2025-02-22,235.4006,235.469,235.155,235.2234,187041
2025-02-23,238.5,238.5718,238.1159,238.1876,824611
2025-02-24,242.879,251.0903,232.2066,240.3318,477314
2025-02-25,231.3924,233.2025,229.338,231.1462,743175
2025-02-26,229.3121,231.7725,226.0834,228.5355,449621
2025-02-27,228.7343,235.3903,220.74,227.356,486557
2025-02-28,233.5832,234.4813,233.3854,234.2829,164792
2025-03-01,244.0558,244.9942,242.3503,243.2858,594330
2025-03-02,240.9623,251.1976,232.9578,243.1214,539030
2025-03-03,237.1748,241.5861,236.4625,240.8627,1173231
2025-03-04,246.2971,246.682,245.8567,246.2416,767344
2025-03-05,240.5419,242.6846,239.396,241.534,910761
2025-03-06,233.2752,234.1277,232.4397,233.2922,1011806
2025-03-07,230.1306,231.4338,228.4082,229.7091,70959
2025-03-08,225.9365,235.571,217.3719,226.9673,240882
2025-03-09,218.8803,224.968,214.5965,220.6496,704495
2025-03-10,218.708,224.3811,214.8985,220.5398,830842
2025-03-11,227.7759,244.6435,207.367,223.9514,667514
2025-03-12,224.41,225.6498,221.2099,222.4388,435696
2025-03-13,230.989,233.689,224.6387,227.2955,1278334
2025-03-14,223.0898,237.4949,211.0492,225.3331,620235
2025-03-15,228.9233,229.0933,228.6391,228.8091,882357
2025-03-16,230.7835,239.8138,220.9492,229.9468,1076552
2025-03-17,227.2783,229.5868,225.0926,227.4,10238
2025-03-18,224.8479,235.6716,212.7243,223.4823,506977
2025-03-19,221.4064,223.5063,221.0306,223.1276,232577
2025-03-20,224.2909,231.7252,215.003,222.3737,446717
2025-03-21,228.7915,231.7548,225.9334,228.8954,1070437
2025-03-22,229.0117,243.6843,210.9763,225.4187,490002
2025-03-23,227.3754,231.6033,223.9427,228.1587,552415
2025-03-24,221.9784,223.8525,221.8766,223.7499,686401
2025-03-25,221.504,223.0543,220.063,221.6126,557391
2025-03-26,228.3339,228.5658,228.1486,228.3804,454033
2025-03-27,233.3239,236.7754,229.7225,233.1718,936724
2025-03-28,239.4153,250.0839,230.4086,241.017,174964
2025-03-29,239.5661,242.0248,236.9237,239.3805,72785
2025-03-30,242.5186,245.1791,242.3807,245.0397,625097
2025-03-31,242.6153,246.0744,237.5241,240.9596,92271
2025-04-01,237.0749,240.9139,234.2468,238.0739,358176
2025-04-02,241.0047,241.3177,238.9799,239.2907,423934
2025-04-03,235.7049,235.8301,235.6436,235.7688,700219
2025-04-04,237.6366,239.0096,237.0693,238.4403,468959
2025-04-05,230.9134,235.9043,229.6851,234.6561,413834
2025-04-06,235.1256,235.7404,233.7497,234.3625,446798
2025-04-07,236.398,240.2322,232.7428,236.5743,196178
2025-04-08,238.5417,239.1668,236.5409,237.1624,952725
2025-04-09,234.4904,235.927,232.7113,234.1458,722253
2025-04-10,239.4597,249.7726,229.075,239.3848,753962
2025-04-11,246.5941,254.1204,239.6378,247.1484,223555
2025-04-12,248.5633,252.8021,243.5796,247.8055,939859
2025-04-13,256.5217,260.2426,252.2918,256.0052,548346
2025-04-14,250.4065,250.6797,250.4013,250.6745,403288
2025-04-15,249.4637,249.7407,248.0743,248.35,123968
2025-04-16,247.1065,250.0437,243.0471,245.9708,337174
2025-04-17,246.681,247.6716,245.3606,246.3499,480971
2025-04-18,240.7565,245.8752,236.067,241.1775,69563
2025-04-19,242.4602,244.4777,239.0336,241.0393,1141329
2025-04-20,247.6722,248.1485,247.2929,247.7691,449669
2025-04-21,236.7158,244.8367,229.5704,237.6628,697668
2025-04-22,239.342,241.5882,236.5492,238.7902,721620
2025-04-23,238.8774,239.6288,238.3657,239.1166,564407
2025-04-24,244.8296,245.2575,244.056,244.4833,371789
2025-04-25,241.6932,245.0429,239.4409,242.7804,356874
2025-04-26,237.7537,239.0829,236.0408,237.3678,229002
2025-04-27,232.5644,237.0829,227.1379,231.6384,1373892
2025-04-28,237.007,241.1255,232.3681,236.4774,309083
2025-04-29,239.9472,245.9311,233.4063,239.376,643232
2025-04-30,234.0803,239.3476,232.5193,237.762,550909
2025-05-01,240.3581,246.2052,235.6425,241.4679,126598
2025-05-02,241.3125,244.3792,238.2184,241.2847,778038
2025-05-03,250.625,250.6653,250.5885,250.6287,97037
2025-05-04,249.4903,253.3742,246.3036,250.1787,80932
2025-05-05,251.3662,252.1141,249.1061,249.8495,563741
2025-05-06,262.7863,268.7567,250.1608,255.9765,665487
2025-05-07,259.6905,261.0349,257.0379,258.3755,559629
2025-05-08,262.8175,272.7506,254.7847,264.6615,639053
2025-05-09,263.3827,267.5044,258.7471,262.8607,762689
2025-05-10,263.1291,266.584,260.5833,264.0294,88317
2025-05-11,267.4654,271.5434,262.764,266.8323,27434
2025-05-12,263.6959,265.7913,260.2192,262.3035,29251
2025-05-13,258.8546,265.1326,253.3375,259.5997,142081
2025-05-14,256.8795,257.1268,255.8983,256.1449,932970
2025-05-15,256.5517,256.8327,256.3964,256.6773,300883
2025-05-16,255.9659,262.1844,251.3843,257.5741,774314
2025-05-17,259.6575,261.132,258.2128,259.6871,456345
2025-05-18,268.7791,270.4011,266.0911,267.7066,345380
2025-05-19,273.9086,274.4927,272.8048,273.3879,152203
2025-05-20,279.1833,280.4769,278.7194,280.0116,1161468
2025-05-21,282.0411,286.9105,276.2351,281.088,1148641
2025-05-22,282.6382,285.7104,279.6295,282.7011,1231348
2025-05-23,294.1329,299.4194,289.1109,294.3929,631252
2025-05-24,302.0697,304.2563,300.0365,302.222,216554
2025-05-25,294.9337,295.5595,294.3195,294.9453,348819
2025-05-26,292.6969,294.5813,291.8111,293.6924,865008
2025-05-27,296.0631,296.9653,295.0409,295.9427,32512
2025-05-28,308.3205,308.5126,308.0871,308.2792,139887
2025-05-29,298.7103,312.176,287.8175,301.1927,504404
2025-05-30,293.9383,305.3969,282.49,293.9482,287748
2025-05-31,299.836,300.114,299.6545,299.9324,438891
2025-06-01,295.3386,300.7649,292.819,298.2207,621154
2025-06-02,294.974,296.5607,292.5465,294.1287,162381
2025-06-03,311.8786,311.9457,311.1621,311.229,1174894
2025-06-04,311.7461,323.2163,297.403,308.7635,1129672
2025-06-05,302.1097,311.2746,295.0932,304.2093,900373
2025-06-06,309.132,315.1278,304.2192,310.1981,60607
2025-06-07,308.1553,311.3582,303.7424,306.9326,263684
2025-06-08,310.5992,311.8935,309.6279,310.9212,59059
2025-06-09,332.8017,334.579,331.621,333.3963,234292
2025-06-10,349.9707,353.7079,345.8203,349.5531,224909
2025-06-11,357.7546,374.5551,343.8439,360.5362,632222
2025-06-12,360.7821,370.3227,353.9001,363.3909,108538
2025-06-13,365.5172,376.9065,352.8307,364.1783,256205
2025-06-14,365.6643,365.836,364.0374,364.2084,313836
2025-06-15,361.9757,374.0732,351.1421,363.2029,554880
2025-06-16,367.6626,374.7954,356.9565,364.0186,606272
2025-06-17,376.7732,382.2613,370.8607,376.3425,323456
2025-06-18,384.1953,398.2943,370.479,384.5648,584109
2025-06-19,384.1419,386.776,382.0026,384.6339,903476
2025-06-20,386.6222,390.3842,383.004,386.7647,281021
2025-06-21,398.4965,433.0254,366.8503,401.1671,734687
2025-06-22,390.7502,398.6325,382.5437,390.4193,345213
2025-06-23,419.41,421.9496,415.8543,418.3877,61193
2025-06-24,419.8331,421.7638,416.6329,418.5578,673647
2025-06-25,427.1067,428.0687,425.384,426.3443,601469
2025-06-26,440.7524,443.8903,438.4575,441.5911,376168
2025-06-27,430.0645,432.3266,429.5639,431.8239,254906
2025-06-28,447.729,452.7306,440.3485,445.3233,376549
2025-06-29,431.8964,452.8468,413.9863,434.8156,640194
2025-06-30,425.3496,426.1989,424.5284,425.3776,276182
2025-07-01,424.2416,428.1924,418.5349,422.4691,605811
2025-07-02,425.5059,425.7148,424.9521,425.1609,363020
2025-07-03,436.7108,438.972,433.2339,435.4888,576292
2025-07-04,435.0415,436.8664,432.3751,434.1965,42445
2025-07-05,431.2733,431.2902,431.2569,431.2738,279180
2025-07-06,415.7413,420.6168,411.3881,416.2582,482026
2025-07-07,407.657,451.658,367.7097,411.3489,1081842
2025-07-08,414.2871,414.6279,413.5374,413.8778,1021464
2025-07-09,415.6946,417.8269,412.7322,414.8602,485874
2025-07-10,412.6563,417.0508,405.5439,409.9091,824420
2025-07-11,415.5716,423.1621,409.9871,417.551,108842
2025-07-12,411.2198,411.7059,410.4952,410.9809,637968
2025-07-13,400.4386,400.9024,400.2696,400.7333,367921
2025-07-14,402.6934,403.4576,402.4274,403.1912,982128
2025-07-15,400.4484,400.7311,395.867,396.1467,310545
2025-07-16,411.2995,413.8701,406.3689,408.9247,297369
2025-07-17,407.5566,407.5613,407.0705,407.0752,584716
2025-07-18,397.0652,400.5474,386.918,390.3412,70435
2025-07-19,395.7178,396.5609,394.7123,395.5551,291623
2025-07-20,386.1845,396.0102,380.4144,390.1804,328289
2025-07-21,394.8488,397.8432,390.6185,393.6034,217814
2025-07-22,384.4915,387.0173,383.2632,385.7849,457409
2025-07-23,381.4766,383.7849,377.4126,379.7101,151665
2025-07-24,382.619,387.984,377.195,382.5593,405676
2025-07-25,384.2922,384.317,384.26,384.2849,218365
2025-07-26,379.8643,388.9831,367.0877,376.1164,760047
2025-07-27,385.1884,385.6666,384.6162,385.0943,340996
2025-07-28,389.5635,390.7159,388.3041,389.4562,529369
2025-07-29,384.6889,387.3691,382.8651,385.5413,425639
2025-07-30,402.2562,422.265,376.8757,396.6034,31593
2025-07-31,402.351,440.6745,361.8234,399.9148,28436
2025-08-01,398.5916,402.7423,394.7629,398.9105,306001
2025-08-02,405.0162,406.1359,404.0421,405.1615,141520
2025-08-03,404.2031,419.8337,391.2836,406.8302,590635
2025-08-04,418.0098,420.1457,415.3831,417.5165,923285
2025-08-05,418.2043,418.2824,418.1765,418.2546,207977
2025-08-06,421.3552,425.0339,417.9354,421.612,370165
2025-08-07,428.4111,467.9825,393.7185,432.9244,364376
2025-08-08,418.1399,436.3157,404.7194,422.7473,44903
2025-08-09,409.9532,414.0596,408.1025,412.1988,618604
2025-08-10,408.538,413.5575,403.031,408.0445,397780
2025-08-11,399.1038,411.2708,383.5744,395.6357,517897
2025-08-12,417.2613,426.5114,410.646,419.855,564430
2025-08-13,418.6272,419.4211,417.5543,418.3476,108504
2025-08-14,419.2349,427.8126,413.6935,422.2317,693784
2025-08-15,419.3568,420.5148,416.221,417.3735,337292
2025-08-16,412.334,425.12,400.8878,413.6377,82120
2025-08-17,420.9999,425.873,416.7581,421.625,460584
2025-08-18,413.4636,422.9188,401.6592,411.0594,157846
2025-08-19,400.3745,402.089,398.2493,399.962,1149455
2025-08-20,402.19,420.5413,387.8166,406.0306,656404
2025-08-21,404.7014,407.203,402.8481,405.3467,14528
2025-08-22,408.3625,409.436,408.0582,409.1312,475528
2025-08-23,406.3018,414.6612,395.677,403.9889,670928
2025-08-24,399.0323,405.4399,394.344,400.7317,294651
2025-08-25,392.3108,392.7755,391.9256,392.3902,414052
2025-08-26,385.2504,405.4808,364.1267,384.3077,336715
2025-08-27,383.7181,388.5663,376.9997,381.824,873670
2025-08-28,391.7039,392.6922,389.1656,390.15,859017
2025-08-29,393.9138,395.0042,392.6964,393.7865,289063
2025-08-30,400.9032,403.9977,397.0789,400.1677,832755
2025-08-31,397.9426,402.6428,393.7272,398.4224,631028
2025-09-01,399.2793,407.0153,391.5113,399.2467,1164450
2025-09-02,407.6607,412.9912,402.5947,407.9219,453623
2025-09-03,414.0395,421.7368,411.784,419.4518,1133434
2025-09-04,406.0037,413.4596,399.3595,406.8023,1236949
2025-09-05,416.8697,417.5508,416.4281,417.109,908196
2025-09-06,421.6198,423.1876,421.0357,422.6021,132090
2025-09-07,426.3026,449.0784,403.3546,426.1207,516561
2025-09-08,430.5106,431.3433,430.2335,431.0658,37135
2025-09-09,429.4354,450.8287,412.5702,433.7923,1116879
2025-09-10,432.4436,432.7723,432.0746,432.4033,798092
2025-09-11,436.4304,439.9008,435.2724,438.7367,266214
2025-09-12,440.8659,447.1867,433.8019,440.1119,285619
2025-09-13,440.2629,441.5653,437.9408,439.2402,236738
2025-09-14,435.1274,437.9044,432.18,434.9559,1011984
2025-09-15,427.5944,430.5044,426.5373,429.4426,508478
2025-09-16,424.1262,438.5019,411.2741,425.605,555593
2025-09-17,427.915,442.5853,416.0513,430.6459,71908
2025-09-18,441.7852,454.2577,426.0345,438.4118,471826
2025-09-19,430.2424,440.1885,418.555,428.4599,1223031
2025-09-20,426.7243,434.2391,423.3292,430.8115,128299
2025-09-21,446.9106,448.0778,445.1668,446.3325,480675
2025-09-22,446.5991,451.1794,444.4249,448.9935,502756
2025-09-23,451.8056,453.9696,447.7121,449.8669,160503
2025-09-24,447.0785,447.6123,446.6931,447.2268,595320
2025-09-25,446.122,454.3635,440.9526,449.1589,387688
2025-09-26,451.0822,454.0191,448.1206,451.0573,982695
2025-09-27,446.6402,446.9152,445.6175,445.892,826052
2025-09-28,440.2139,471.2856,414.1436,444.9356,240533
2025-09-29,450.4567,451.2093,447.0279,447.776,793683
2025-09-30,443.7452,451.8554,441.1638,449.242,76704
2025-10-01,452.8177,478.3365,431.267,456.6054,652396
2025-10-02,450.9435,453.1135,449.3203,451.4883,131246
2025-10-03,435.6367,449.3733,432.9667,446.6359,1212785
2025-10-04,432.3092,440.0757,425.9634,433.7093,401138
2025-10-05,444.9579,448.4932,441.7572,445.2901,576372
2025-10-06,442.1677,449.978,434.5057,442.3136,48053
2025-10-07,451.5526,452.0387,450.5839,451.0695,181355
2025-10-08,434.4824,441.6054,427.1302,434.2493,215396
2025-10-09,423.0888,425.8871,418.8204,421.6089,22898
2025-10-10,437.0078,437.6628,436.1369,436.7915,451824
2025-10-11,426.9212,427.1486,426.9029,427.1303,916718
2025-10-12,416.0655,419.8741,412.9148,416.7184,709222
2025-10-13,408.4757,421.6771,394.4693,407.6438,158283
2025-10-14,408.1977,408.223,408.0881,408.1134,873720
2025-10-15,412.9583,413.464,412.4798,412.9855,99551
2025-10-16,407.434,408.7787,406.6287,407.9723,341977
2025-10-17,405.9719,409.0145,401.8656,404.9002,947093
2025-10-18,409.5192,413.3099,403.7661,407.5384,550289
2025-10-19,402.9836,403.2634,401.8926,402.1718,51204
2025-10-20,410.3646,429.9946,389.2528,408.8083,950889
2025-10-21,402.6721,405.0904,400.7606,403.1766,526563
2025-10-22,418.1907,421.5959,415.0925,418.4954,397703
2025-10-23,412.3717,414.6915,408.9671,411.2807,787704
2025-10-24,415.2658,416.7161,413.9837,415.4336,834608
2025-10-25,406.862,406.9233,406.7855,406.8468,782927
2025-10-26,411.7952,428.1784,397.9716,414.2718,667411
2025-10-27,406.3002,421.12,393.5982,408.3538,952127
2025-10-28,399.6033,400.844,396.1087,397.3423,176558
2025-10-29,398.1733,398.6805,397.7423,398.2493,688251
2025-10-30,389.0859,413.8162,363.0901,387.7345,455033
2025-10-31,384.2097,396.8744,368.5227,381.0844,813231
2025-11-01,378.1309,383.7243,374.1217,379.6986,628436
2025-11-02,376.4357,381.0291,371.2968,375.8835,754872
2025-11-03,367.9267,373.8358,363.5844,369.4752,1061964
2025-11-04,380.9424,383.1238,378.4758,380.6555,431639
2025-11-05,377.8589,384.6442,370.623,377.4001,540984
2025-11-06,387.7399,387.7616,387.5,387.5216,247398
2025-11-07,377.4217,383.9326,370.7176,377.2251,1155226
2025-11-08,383.4925,384.1544,382.9747,383.6364,519194
2025-11-09,377.0472,378.1227,376.3798,377.4546,139589
2025-11-10,389.7744,390.9934,388.0005,389.2177,887428
2025-11-11,388.567,388.7377,388.3749,388.5455,187595
2025-11-12,386.584,405.6766,370.8572,389.8182,123798
2025-11-13,402.1586,404.5376,397.7665,400.1335,76786
2025-11-14,392.3932,420.9058,368.4882,396.7362,381913
2025-11-15,390.8894,392.8549,389.735,391.6981,806815
2025-11-16,387.7567,395.3767,377.1574,384.7177,365181
2025-11-17,379.3983,394.1066,369.7245,384.3076,335739
2025-11-18,392.9234,398.6629,385.6347,391.3512,1054485
2025-11-19,396.66,396.7472,396.4226,396.5099,459778
2025-11-20,405.9618,406.0501,405.8694,405.9577,331277
2025-11-21,409.7468,412.2087,407.1886,409.6499,898309
2025-11-22,412.137,414.0713,409.881,411.8137,84825
2025-11-23,416.3697,417.8215,415.2033,416.6544,333004
2025-11-24,415.317,420.2149,408.3156,413.1884,113251
2025-11-25,407.4302,408.8948,405.7606,407.2244,802655
2025-11-26,410.3224,413.6042,406.3223,409.5983,173235
2025-11-27,411.2605,412.001,410.3166,411.0568,1096590
2025-11-28,421.5965,422.6734,420.7198,421.7963,760676
2025-11-29,422.3651,430.9263,415.5762,424.1094,203653
2025-11-30,414.7395,422.1009,413.2775,420.6182,768100
2025-12-01,417.3996,417.4203,417.3905,417.4112,193750
2025-12-02,413.2954,414.3203,412.7966,413.8208,420131
2025-12-03,422.7038,433.8355,412.2113,423.3274,790222
2025-12-04,417.5829,425.747,410.9314,419.0718,382830
2025-12-05,410.7944,415.2509,408.2729,412.7177,1078514
2025-12-06,422.6586,455.4788,395.0282,427.53,760801
2025-12-07,441.2899,441.6221,440.7705,441.1026,375477
2025-12-08,436.8144,438.1447,435.8188,437.1484,1388028
2025-12-09,427.0742,430.3377,423.5882,426.85,294313
2025-12-10,430.1356,447.9868,413.6342,431.4356,583083
2025-12-11,426.8704,431.3635,422.7331,427.2227,566815
2025-12-12,423.5777,427.5548,420.4021,424.3732,525924
2025-12-13,443.769,461.7672,424.3671,442.3059,326821
