date,open,high,low,close,volume
2025-01-20,175.6938,177.5248,172.9735,174.7952,841138
2025-01-21,179.8505,200.9418,154.9306,175.5133,54334
2025-01-22,171.0319,172.5438,170.0689,171.5778,1166601
2025-01-23,168.9926,171.1644,166.5629,168.7313,454025
2025-01-24,171.5211,171.6781,171.3217,171.4787,328473
2025-01-25,171.9984,173.9693,169.2569,171.2189,245717
2025-01-26,174.0839,174.3089,174.0612,174.2862,1007556
2025-01-27,176.2457,178.4708,171.9573,174.156,574941
2025-01-28,179.2857,180.3411,177.2468,178.2964,104982
2025-01-29,178.9301,179.1864,178.1284,178.384,467266
2025-01-30,181.5402,183.1843,180.39,182.031,638273
2025-01-31,179.4869,183.7199,175.364,179.5945,730228
2025-02-01,181.5259,184.3212,180.207,182.9917,506872
2025-02-02,181.3583,184.2887,177.8216,180.7421,736837
2025-02-03,187.2388,193.7376,177.8912,184.2875,118814
2025-02-04,187.0987,187.6112,185.4177,185.927,247809
2025-02-05,191.2207,191.2373,191.1008,191.1174,522192
2025-02-06,185.565,187.0544,182.9569,184.4373,344669
2025-02-07,186.2864,186.2963,186.2024,186.2123,686673
2025-02-08,186.6477,189.6481,184.4215,187.4128,55752
2025-02-09,193.4794,193.6496,193.355,193.5251,638892
2025-02-10,193.109,197.8136,187.4566,192.1376,390417
2025-02-11,192.1662,198.9446,186.7933,193.5335,548443
2025-02-12,184.4991,195.6978,176.9405,187.996,645591
2025-02-13,187.6839,187.917,187.4413,187.6745,128328
2025-02-14,185.6462,186.7327,185.4276,186.5131,466143
2025-02-15,180.0987,181.9696,178.7305,180.5975,479756
2025-02-16,180.1005,180.5782,179.5156,179.9929,1016245
2025-02-17,178.6802,183.7242,174.5219,179.5458,247662
2025-02-18,182.7038,188.0139,178.9958,184.274,726266
2025-02-19,177.9242,183.1902,173.8877,179.1264,463011
2025-02-20,182.4113,183.6769,180.5218,181.7831,291272
2025-02-21,178.4996,178.7942,178.3619,178.6564,1018919
2025-02-22,178.805,180.6421,176.4171,178.2485,740049
2025-02-23,176.3639,180.5854,170.5707,174.7536,974015
2025-02-24,178.9617,182.2384,176.0982,179.3684,315726
2025-02-25,172.971,177.0854,169.7644,173.8623,659809
2025-02-26,172.5156,172.5648,172.5085,172.5577,1261511
2025-02-27,171.3009,171.4732,170.7213,170.8931,877840
