date,open,high,low,close,volume
2025-01-20,317.9224,318.8514,316.9708,317.8998,240342
2025-01-21,320.0506,320.2357,319.8447,320.0299,561817
2025-01-22,319.9717,326.3099,314.8483,321.1673,1031827
2025-01-23,300.8562,301.118,299.5958,299.8568,430952
2025-01-24,309.7527,312.2481,302.5357,304.9928,312141
2025-01-25,303.6024,309.0781,297.1023,302.5592,223713
2025-01-26,299.7694,299.9991,299.5719,299.8016,664075
2025-01-27,300.7724,302.508,299.5053,301.2389,911788
2025-01-28,300.0728,300.3933,299.6018,299.9221,307404
2025-01-29,291.9823,321.9145,265.4839,295.1304,244385
2025-01-30,296.2146,299.8895,292.179,295.8494,78909
2025-01-31,302.0199,302.1048,301.3519,301.4366,327579
2025-02-01,297.8916,298.9728,296.7474,297.8285,990060
2025-02-02,287.5159,296.2929,281.7784,290.4959,609999
2025-02-03,282.5306,294.0671,269.2063,280.6667,759291
2025-02-04,281.9472,284.5266,280.2684,282.8425,530005
2025-02-05,275.2719,283.8935,265.2247,273.8002,445323
2025-02-06,266.6205,269.2863,264.5857,267.2467,493685
2025-02-07,265.8611,266.0773,265.6545,265.8707,675445
2025-02-08,267.037,271.4747,262.8767,267.3102,287567
2025-02-09,266.1436,266.8653,264.9056,265.6259,433840
2025-02-10,262.4897,268.0307,260.2062,265.7191,462407
2025-02-11,272.5505,274.2064,270.2566,271.9086,460049
2025-02-12,268.4052,269.5978,267.2687,268.461,149850
2025-02-13,267.2314,276.8979,254.9369,264.5048,214260
2025-02-14,269.8405,269.9824,268.4789,268.6202,96010
2025-02-15,263.607,264.1262,263.1369,263.656,849537
2025-02-16,267.1684,272.2389,261.5194,266.5787,557179
2025-02-17,267.8372,269.7224,267.1272,269.0093,471762
2025-02-18,269.6292,284.6651,251.5118,266.3657,1046411
2025-02-19,261.8187,262.0774,261.4976,261.7562,553136
2025-02-20,263.4888,264.1113,262.9627,263.5851,189599
2025-02-21,257.4401,258.8156,256.6295,258.0033,407580
2025-02-22,254.9716,255.8444,254.4717,255.3439,345146
2025-02-23,255.2701,256.1049,254.4236,255.2583,8783
2025-02-24,246.4983,248.5766,243.9132,245.9872,1074304
2025-02-25,243.9675,248.9218,238.5885,243.534,762835
2025-02-26,250.2194,252.704,248.0587,250.5405,451190
2025-02-27,252.8185,254.5019,251.5636,253.245,613825
2025-02-28,251.6646,253.135,249.9632,251.4323,313718
