date,open,high,low,close,volume
2025-01-20,132.5822,138.8441,126.52,132.7732,104569
2025-01-21,132.8181,135.1311,129.5195,131.8151,564140
2025-01-22,125.937,129.448,122.3355,125.8439,602844
2025-01-23,126.2692,127.2277,125.5171,126.4744,116510
2025-01-24,125.0183,126.3597,123.6347,124.9757,70741
2025-01-25,123.8653,126.4922,122.3563,124.9697,1197451
2025-01-26,124.8585,132.7769,116.7267,124.6306,199101
2025-01-27,126.6675,145.2621,110.2291,128.576,21116
2025-01-28,130.0375,131.4953,126.9753,128.415,392717
2025-01-29,131.2258,131.3787,130.7264,130.8789,209317
2025-01-30,130.3757,134.9328,126.5404,131.0769,744559
2025-01-31,132.8833,137.3286,127.3867,131.7957,437996
2025-02-01,128.6226,130.4066,127.5712,129.3492,630844
2025-02-02,131.3995,131.6216,131.2333,131.4554,770086
2025-02-03,130.4436,132.0166,128.9925,130.5641,569412
2025-02-04,129.7976,131.1157,129.1628,130.4775,373026
2025-02-05,131.8444,132.3531,131.4303,131.9388,811246
2025-02-06,132.4449,138.3924,127.7126,133.6181,503830
2025-02-07,132.7928,139.9959,124.9562,132.1229,823269
2025-02-08,130.636,130.8354,130.3712,130.5705,1165695
2025-02-09,127.1231,127.6137,127.0532,127.5436,387732
2025-02-10,132.3885,133.8136,130.4944,131.9143,312631
2025-02-11,131.2602,132.7058,128.9825,130.4188,738414
2025-02-12,126.6046,127.3413,126.406,127.1418,523636
2025-02-13,128.3306,130.5777,124.5472,126.7669,392455
2025-02-14,129.6441,132.2135,126.1197,128.6699,474249
2025-02-15,127.3329,128.9843,125.3012,126.9476,554576
2025-02-16,122.4928,124.5284,120.7773,122.8085,409947
2025-02-17,123.9663,126.8334,120.4886,123.3413,378344
2025-02-18,122.4841,124.0276,120.2438,121.7785,163139
2025-02-19,119.5449,119.6068,119.4991,119.5611,1042879
2025-02-20,120.5758,120.6903,119.3109,119.4243,866077
2025-02-21,120.9118,121.4395,120.0488,120.575,230746
2025-02-22,119.707,120.1397,119.3634,119.7959,768464
2025-02-23,119.8448,119.9349,119.7053,119.7954,156663
2025-02-24,115.847,120.9649,110.41,115.5132,144371
2025-02-25,116.2077,116.4359,116.014,116.2422,555152
2025-02-26,114.6839,114.7317,114.6769,114.7248,313332
2025-02-27,115.8733,119.1142,111.9467,115.1679,433285
2025-02-28,113.2343,117.0605,109.4917,113.3153,418587
2025-03-01,111.2013,112.7161,111.1743,112.6887,121650
2025-03-02,107.1344,107.2695,106.9342,107.0693,792143
2025-03-03,107.8745,108.056,107.6608,107.8422,242907
2025-03-04,109.249,109.635,108.895,109.2808,364842
2025-03-05,113.0778,114.7748,110.7528,112.4402,313855
2025-03-06,111.0483,113.042,110.1138,112.0987,956698
2025-03-07,110.4652,111.4747,109.8258,110.8331,441740
2025-03-08,110.088,114.516,106.3082,110.7146,962153
2025-03-09,114.9388,116.381,114.2134,115.651,403007
2025-03-10,118.9405,121.6985,116.5432,119.2941,1211923
2025-03-11,121.1862,121.9864,120.2897,121.0893,484469
2025-03-12,121.525,122.5763,120.4609,121.5121,765356
2025-03-13,120.4186,122.0035,119.3006,120.8812,86306
2025-03-14,116.6345,123.2218,110.716,117.271,223966
2025-03-15,115.2322,116.4224,113.8868,115.0754,366823
2025-03-16,117.3935,117.5325,117.3431,117.4822,767172
2025-03-17,114.864,115.9038,113.4907,114.5275,536473
2025-03-18,115.0359,116.0478,113.8927,114.9034,424676
2025-03-19,116.952,117.0857,116.9038,117.0374,383127
2025-03-20,114.6845,117.8593,112.3861,115.5437,630208
2025-03-21,111.0616,121.6307,102.088,112.5379,87509
2025-03-22,112.2387,112.3855,111.9827,112.1294,207244
2025-03-23,109.753,112.0163,108.6893,110.941,296238
2025-03-24,111.231,112.9198,109.7147,111.4012,788016
2025-03-25,111.6385,113.7067,107.6224,109.6537,872551
2025-03-26,111.7138,111.7152,111.7119,111.7133,623690
2025-03-27,109.5721,109.92,109.2922,109.6399,873616
2025-03-28,109.7652,113.6354,105.5138,109.3701,617580
2025-03-29,108.4317,108.5749,108.3225,108.4657,320390
2025-03-30,109.0861,118.4206,97.784,106.9344,784876
2025-03-31,106.382,107.2288,106.2121,107.0578,406964
2025-04-01,110.447,120.076,97.9409,107.2951,195766
2025-04-02,105.4436,105.9886,105.0561,105.6004,183968
2025-04-03,105.6821,110.6223,102.5956,107.4832,219521
2025-04-04,107.0031,109.8534,104.6529,107.4925,937177
2025-04-05,109.278,109.8902,108.6692,109.2814,720759
2025-04-06,110.3905,110.4468,109.9632,110.0194,381558
2025-04-07,112.6823,117.773,108.6385,113.693,600234
2025-04-08,113.5757,118.4136,109.195,114.0159,21926
2025-04-09,111.3393,112.642,109.8753,111.1761,782320
2025-04-10,109.4848,109.6347,109.3533,109.5031,598662
2025-04-11,110.7591,111.5838,110.2212,111.0445,368158
2025-04-12,112.3045,113.261,111.7623,112.7168,310549
2025-04-13,113.5783,114.2549,113.2825,113.9581,10136
2025-04-14,117.2593,117.3549,117.1592,117.2547,356450
2025-04-15,117.3909,124.1845,110.0374,116.7966,702375
2025-04-16,111.4827,111.846,111.3791,111.7421,385469
2025-04-17,114.7295,114.7763,114.7037,114.7505,569619
2025-04-18,114.603,116.489,111.9816,113.8553,954840
2025-04-19,114.0231,115.2504,112.4788,113.7026,76606
2025-04-20,113.0458,113.1068,112.9599,113.0208,775167
2025-04-21,114.1425,114.931,112.2098,112.9903,550063
