date,open,high,low,close,volume
2025-01-20,2087.9529,2103.762,2077.7257,2093.5077,149637
2025-01-21,2127.4971,2162.8172,2099.3088,2134.5356,359378
2025-01-22,2072.3924,2089.2169,2059.3074,2076.1084,508715
2025-01-23,2024.1402,2025.4337,2023.0787,2024.3721,583683
2025-01-24,2085.6046,2164.0278,1987.4626,2065.1153,303424
2025-01-25,2042.7695,2044.5057,2041.6356,2043.3714,973218
2025-01-26,1969.6671,1979.6353,1953.2701,1963.2056,557850
2025-01-27,1885.0179,2013.0501,1791.2546,1917.663,390556
2025-01-28,1969.2686,1981.105,1958.7186,1970.5481,513192
2025-01-29,1934.7035,1974.692,1892.3259,1932.264,398982
2025-01-30,1974.8448,2002.575,1945.5093,1973.2167,673686
2025-01-31,2019.2539,2024.9428,2014.8909,2020.5769,214591
2025-02-01,1998.1695,2007.785,1992.5831,2002.1873,64538
2025-02-02,1984.4361,1996.1858,1979.1688,1990.9014,766306
2025-02-03,1994.6767,2086.7075,1917.8034,2009.2717,436434
2025-02-04,2022.6869,2023.2101,2021.5193,2022.0423,977852
2025-02-05,2005.3491,2007.5951,2003.0797,2005.3257,436382
2025-02-06,1998.0116,2013.5313,1986.1665,2001.6647,403672
2025-02-07,1992.7213,2009.3659,1964.3944,1980.9405,400710
2025-02-08,1922.2328,1944.3083,1893.6255,1915.6251,88965
2025-02-09,1874.6426,1931.7732,1828.06,1884.9348,688257
2025-02-10,1947.6189,1958.924,1940.2019,1951.4922,825023
2025-02-11,1954.9177,1977.5083,1945.3805,1967.9076,641275
2025-02-12,2015.9665,2018.5352,2005.8832,2008.4423,915132
2025-02-13,1936.3057,1939.321,1934.5695,1937.5836,260826
2025-02-14,1970.3853,1980.8735,1950.3934,1960.8307,702989
2025-02-15,1983.2611,2048.2075,1899.0165,1963.3095,455295
2025-02-16,1938.97,1963.8184,1915.8129,1940.6413,614331
2025-02-17,1971.292,1978.6106,1965.8003,1973.1138,659682
2025-02-18,1938.9363,1961.9317,1908.662,1931.57,86115
2025-02-19,1849.7148,1900.9703,1800.9921,1852.1826,930957
2025-02-20,1857.7285,1874.4066,1841.147,1857.8243,157789
2025-02-21,1823.145,1825.256,1819.4304,1821.5395,685478
2025-02-22,1827.7376,1831.4561,1827.2513,1830.9689,260724
2025-02-23,1870.2496,1893.2003,1858.3315,1881.2124,49960
2025-02-24,1885.0362,1885.3075,1884.8301,1885.1013,464179
2025-02-25,1862.0535,1879.4533,1825.0364,1842.2511,1024226
2025-02-26,1882.185,1892.0644,1871.3794,1881.2539,651489
2025-02-27,1948.0808,1951.1459,1943.5094,1946.572,632612
2025-02-28,1883.3167,1915.3993,1853.961,1886.0018,815640
2025-03-01,1922.9052,1931.3757,1922.729,1931.1987,365948
2025-03-02,1922.346,1946.1955,1891.4103,1915.1708,236289
2025-03-03,1976.7238,1995.0627,1960.5879,1978.9089,1306545
2025-03-04,1911.3628,1946.973,1883.5046,1919.0034,621774
2025-03-05,1845.1577,1860.8325,1827.7572,1843.4172,619638
2025-03-06,1858.9121,1860.5939,1852.2131,1853.8904,255942
2025-03-07,1855.5377,1875.4382,1810.8136,1830.445,470155
2025-03-08,1812.7222,1842.5682,1789.8204,1819.5798,486379
2025-03-09,1789.6545,1790.1158,1788.8709,1789.3321,610939
2025-03-10,1788.2564,1801.771,1767.8637,1781.326,201262
2025-03-11,1748.9091,1802.0703,1708.4258,1761.3001,131839
2025-03-12,1800.6541,1806.8394,1790.9447,1797.1178,704654
2025-03-13,1773.1725,1792.8699,1758.4294,1778.086,1228373
2025-03-14,1761.69,1770.7665,1753.796,1762.8672,585257
2025-03-15,1749.0429,1855.5417,1654.4662,1760.3534,400308
2025-03-16,1764.8315,1765.6574,1760.8554,1761.6798,426138
2025-03-17,1704.7595,1705.6225,1698.455,1699.3152,34972
2025-03-18,1667.9339,1680.8339,1656.4751,1669.3652,692238
2025-03-19,1717.7421,1878.1842,1542.6136,1701.5425,167998
2025-03-20,1692.2323,1715.4911,1656.3721,1679.4553,476543
2025-03-21,1691.0345,1692.341,1689.431,1690.7373,997633
2025-03-22,1700.4416,1713.6103,1686.9655,1700.1318,176080
2025-03-23,1676.5333,1688.1028,1654.8564,1666.3556,474884
2025-03-24,1691.7116,1700.8346,1687.8678,1696.9788,322945
2025-03-25,1617.5275,1638.1638,1610.6638,1631.242,787099
2025-03-26,1577.7971,1671.4841,1495.2598,1588.3925,352407
2025-03-27,1621.3023,1626.0038,1615.4742,1620.1724,318115
2025-03-28,1612.2374,1663.3042,1543.6389,1594.1322,801357
2025-03-29,1574.9237,1668.259,1497.3557,1589.9508,69910
2025-03-30,1571.4594,1601.4696,1552.8163,1582.6932,476245
2025-03-31,1543.5229,1545.709,1539.7779,1541.9617,447708
2025-04-01,1551.838,1554.7841,1544.3528,1547.2903,22594
2025-04-02,1545.7558,1644.7042,1434.3926,1532.492,810108
2025-04-03,1522.1303,1557.3232,1497.5278,1532.5522,542842
2025-04-04,1514.7043,1520.7676,1512.5218,1518.5794,221250
2025-04-05,1539.0248,1577.4173,1499.5743,1537.9397,286643
2025-04-06,1519.4619,1545.7209,1481.6156,1507.6709,312798
2025-04-07,1496.4853,1504.3921,1485.2456,1493.1347,253732
2025-04-08,1537.6913,1775.1063,1284.1595,1518.6318,247137
2025-04-09,1584.7432,1594.5642,1572.4786,1582.2844,623677
2025-04-10,1584.7055,1587.1732,1583.7171,1586.1839,834776
2025-04-11,1628.9745,1637.0309,1622.1964,1630.2475,66270
2025-04-12,1613.0727,1613.9534,1609.7294,1610.6088,1301823
2025-04-13,1520.833,1610.6086,1421.5911,1510.7728,798383
2025-04-14,1550.2261,1568.6679,1526.663,1545.0431,1346582
2025-04-15,1612.3348,1629.0505,1597.1593,1613.8606,548154
2025-04-16,1589.3593,1606.4521,1562.4503,1579.4364,337131
2025-04-17,1655.3941,1747.9041,1538.5264,1629.5946,57575
2025-04-18,1679.9606,1690.7102,1667.1729,1677.9094,768651
2025-04-19,1698.1992,1701.7147,1674.6679,1678.1418,477165
2025-04-20,1713.3116,1749.3762,1676.6746,1712.7269,239071
2025-04-21,1715.1357,1774.4508,1639.0214,1697.7347,104584
2025-04-22,1656.6689,1656.6747,1655.8508,1655.8567,495207
2025-04-23,1602.434,1667.6916,1558.9928,1623.6745,1417449
2025-04-24,1643.4327,1647.7196,1640.4107,1644.6952,472758
2025-04-25,1577.5728,1635.7057,1506.0284,1563.6483,342065
2025-04-26,1577.6437,1680.666,1489.8239,1592.0445,167012
2025-04-27,1566.6344,1567.7928,1564.9071,1566.0651,937861
2025-04-28,1569.548,1590.7142,1552.712,1573.8323,118557
2025-04-29,1554.8137,1594.9296,1502.3886,1542.1785,250930
2025-04-30,1545.7611,1557.2357,1520.2424,1531.6119,523143
2025-05-01,1516.9472,1517.8339,1516.7496,1517.6361,426317
