date,open,high,low,close,volume
2025-01-20,59.5944,63.6664,55.0926,59.1331,1052653
2025-01-21,59.7963,60.2957,59.1906,59.6891,385411
2025-01-22,59.6199,59.8098,59.431,59.6208,605021
2025-01-23,59.8692,60.0797,59.5479,59.758,643193
2025-01-24,61.2212,62.4306,59.1985,60.3915,462433
2025-01-25,60.0145,60.6954,58.9509,59.6273,581749
2025-01-26,59.1469,59.4292,58.9513,59.2333,421617
2025-01-27,60.2354,60.5092,59.7975,60.0705,718130
2025-01-28,59.3549,60.813,58.4797,59.9293,605906
2025-01-29,60.0489,60.4319,59.5002,59.8821,312214
2025-01-30,59.7832,59.9611,59.6969,59.8746,597904
2025-01-31,57.1869,59.0271,55.7996,57.629,1007114
2025-02-01,57.5901,57.6683,57.4139,57.492,469031
2025-02-02,59.1637,60.3125,58.3532,59.4974,498958
2025-02-03,60.3547,60.5481,60.047,60.24,87903
2025-02-04,61.5175,62.3864,61.0706,61.9364,1115840
2025-02-05,61.8747,61.8938,61.719,61.7382,378942
2025-02-06,61.1601,61.8228,60.596,61.2578,283014
2025-02-07,60.8095,60.9527,60.6539,60.7972,469477
2025-02-08,60.1544,60.3088,59.8152,59.9692,1121768
2025-02-09,61.2627,62.1567,59.5507,60.4327,663214
2025-02-10,63.7093,67.7821,58.3014,62.283,638476
2025-02-11,62.0062,62.6507,61.2999,61.9438,960734
2025-02-12,60.4922,61.6631,59.4349,60.6039,385622
2025-02-13,58.4557,58.4603,58.4114,58.416,413943
2025-02-14,60.7462,60.7643,60.7196,60.7377,319103
2025-02-15,61.7251,62.2402,61.2874,61.8019,392331
2025-02-16,60.8287,63.3145,57.7447,60.205,609092
2025-02-17,58.106,58.3263,57.8393,58.0594,711209
2025-02-18,56.5094,57.0182,56.1592,56.6671,1065287
2025-02-19,57.9792,58.1971,57.6703,57.8879,561836
2025-02-20,58.5626,58.5799,58.5463,58.5635,735882
2025-02-21,57.7981,59.0166,56.7724,57.9875,93678
2025-02-22,57.1934,57.2395,57.0582,57.1043,234139
2025-02-23,56.568,59.3961,53.4963,56.3116,408119
2025-02-24,58.6672,58.913,58.3963,58.6419,52959
2025-02-25,58.4693,59.8248,56.5341,57.8758,56661
2025-02-26,58.7365,59.2093,58.343,58.8154,440290
2025-02-27,57.9443,58.731,56.4946,57.2721,426705
2025-02-28,56.8145,56.8895,56.5919,56.6666,993062
2025-03-01,55.603,57.389,54.2888,56.0639,420469
2025-03-02,53.702,53.9576,53.4361,53.6917,649097
2025-03-03,55.3549,55.7322,54.4082,54.7816,881509
2025-03-04,54.9035,55.9976,54.4235,55.5123,621272
2025-03-05,56.0803,57.3726,54.4816,55.7667,524733
2025-03-06,57.0183,59.507,54.8343,57.3118,305147
2025-03-07,55.6041,57.338,54.8404,56.5611,120077
2025-03-08,59.1831,62.0054,56.4032,59.2236,521806
2025-03-09,58.4167,58.4322,58.402,58.4175,479567
2025-03-10,54.8119,55.7039,53.7211,54.6098,176160
2025-03-11,53.3718,55.3491,51.6968,53.6649,74486
2025-03-12,54.3833,54.3901,54.3625,54.3692,263471
2025-03-13,52.4886,53.498,51.7535,52.7591,118358
2025-03-14,52.5093,53.2441,51.6223,52.355,961588
2025-03-15,51.6165,51.7933,51.4224,51.5991,1078317
2025-03-16,50.8108,51.7933,49.2526,50.2239,397161
2025-03-17,49.9954,50.5402,49.9932,50.538,344438
