date,open,high,low,close,volume
2025-01-20,3.1151,3.1472,3.0652,3.0971,339920
2025-01-21,3.0214,3.0234,3.0212,3.0232,25889
2025-01-22,2.9964,3.0218,2.9265,2.9515,282527
2025-01-23,3.0693,3.1486,3.0066,3.0855,231109
2025-01-24,3.0858,3.1167,3.0784,3.1093,254142
2025-01-25,3.1336,3.1605,3.0986,3.1254,122509
2025-01-26,3.184,3.2056,3.1574,3.1789,600151
2025-01-27,3.1652,3.1741,3.1594,3.1683,210730
2025-01-28,3.1423,3.2885,2.9802,3.1255,144695
2025-01-29,3.2259,3.3331,3.1119,3.2189,729044
2025-01-30,3.2955,3.32,3.2706,3.2951,454758
2025-01-31,3.2629,3.4819,3.0413,3.2602,243348
2025-02-01,3.1956,3.222,3.1729,3.1993,240828
2025-02-02,3.1513,3.1778,3.1395,3.1659,220923
2025-02-03,3.1562,3.2015,3.0932,3.1383,158103
2025-02-04,3.1099,3.153,3.0619,3.105,117819
2025-02-05,3.0256,3.1021,2.9574,3.0337,1128495
2025-02-06,3.0597,3.1811,2.9929,3.1132,186390
2025-02-07,3.1488,3.1765,3.0929,3.1203,240239
2025-02-08,3.0609,3.0996,3.0442,3.0827,1056492
2025-02-09,3.1589,3.1674,3.1459,3.1543,721396
2025-02-10,3.1752,3.1786,3.1728,3.1762,965691
2025-02-11,3.0673,3.0937,3.0288,3.0551,641959
2025-02-12,3.0844,3.0919,3.0831,3.0905,331775
2025-02-13,3.1387,3.1676,3.0938,3.1226,506913
2025-02-14,3.1612,3.26,3.0735,3.172,677873
2025-02-15,3.1441,3.1522,3.1308,3.1389,290066
2025-02-16,3.1168,3.13,3.108,3.1212,82605
2025-02-17,3.1501,3.2071,3.1322,3.189,937814
2025-02-18,3.0606,3.0688,3.0478,3.0559,346246
2025-02-19,2.9435,3.1311,2.77,2.9568,124762
2025-02-20,3.0717,3.1563,2.9806,3.0651,45152
2025-02-21,3.0732,3.1373,3.019,3.0829,925669
2025-02-22,3.146,3.1781,3.0901,3.122,561203
2025-02-23,3.0185,3.0252,3.0104,3.0171,665456
