date,open,high,low,close,volume
2025-01-20,938.8181,1005.6714,898.9623,964.7162,608393
2025-01-21,928.0316,950.4385,914.1633,936.4444,383773
2025-01-22,984.1979,989.448,981.1825,986.4257,517368
2025-01-23,1002.7503,1004.4048,1001.3825,1003.0366,597750
2025-01-24,1000.4908,1055.3906,962.2299,1016.5168,244188
2025-01-25,1041.7652,1041.9468,1035.4746,1035.6552,137804
2025-01-26,1044.9869,1052.9181,1031.4639,1039.3523,865096
2025-01-27,1023.7693,1023.9482,1023.4446,1023.6233,288018
2025-01-28,1039.3052,1043.3242,1031.1145,1035.1173,993030
2025-01-29,1029.7362,1034.5477,1024.0777,1028.8853,173478
2025-01-30,1007.9395,1014.2927,999.4896,1005.8295,517174
2025-01-31,1025.1104,1025.477,1024.6081,1024.9746,947011
2025-02-01,1003.727,1009.0392,998.6771,1003.988,76106
2025-02-02,1024.53,1040.8277,1003.9726,1020.2014,91084
2025-02-03,1043.4006,1047.4368,1037.6476,1041.6771,86536
2025-02-04,1040.5474,1053.6916,1023.5317,1036.6264,258933
2025-02-05,998.3831,1001.7381,987.7333,991.0637,22723
2025-02-06,994.1367,1017.2682,975.8164,998.8608,42073
2025-02-07,1008.9555,1037.9677,972.0685,1000.8475,14182
2025-02-08,999.591,1010.868,990.1042,1001.3643,526152
2025-02-09,1004.2331,1047.8336,971.8706,1015.1203,102373
2025-02-10,980.416,986.8358,974.5115,980.9282,583492
2025-02-11,965.3753,972.2224,965.3049,972.1514,632029
2025-02-12,985.8741,1026.8959,938.1038,978.8326,872021
2025-02-13,958.8494,984.498,933.4851,959.1264,279864
2025-02-14,954.5299,957.2082,952.2626,954.9399,767718
2025-02-15,939.6698,939.7733,939.577,939.6805,228595
2025-02-16,937.8735,942.077,926.932,931.1052,9604
2025-02-17,902.0812,919.0638,889.4185,906.3412,385318
2025-02-18,888.4411,914.9707,864.0006,890.4744,73891
2025-02-19,894.1132,921.0958,861.0914,887.886,460449
2025-02-20,881.7802,895.3605,871.1803,884.7252,80254
2025-02-21,861.0453,866.5479,857.9948,863.4889,425455
2025-02-22,877.3586,895.4205,866.9341,884.9063,693259
2025-02-23,882.4629,889.6942,875.4353,882.665,985349
2025-02-24,908.9295,913.0205,904.7414,908.832,70761
2025-02-25,896.7658,903.6774,894.0523,900.9512,160149
2025-02-26,880.5327,900.735,857.0021,877.1263,460236
2025-02-27,885.628,886.2545,884.1791,884.805,443141
2025-02-28,895.9642,920.4132,882.9826,907.2678,73979
2025-03-01,909.2918,910.2443,905.2689,906.2183,673933
2025-03-02,906.6622,911.4655,901.7796,906.5825,1194584
2025-03-03,890.1489,890.2515,889.9394,890.0421,251460
2025-03-04,877.2543,879.147,871.5958,873.4804,432663
2025-03-05,861.6529,864.4536,858.2411,861.0398,978443
2025-03-06,846.7905,856.3607,837.379,846.9475,158634
2025-03-07,859.9895,870.2824,849.3185,859.6068,528879
2025-03-08,851.7148,864.5916,840.3195,853.1767,384557
2025-03-09,848.1196,867.0814,823.3196,842.1479,534610
2025-03-10,808.8468,815.9346,801.6309,808.7176,151176
2025-03-11,806.3124,818.5312,798.1357,810.3139,117737
2025-03-12,800.5828,806.8868,796.7117,803.0039,411834
2025-03-13,782.8468,785.5989,779.6432,782.3936,485538
2025-03-14,803.3532,804.6071,800.5556,801.8071,291281
2025-03-15,779.9859,781.0694,777.7859,778.8678,999977
2025-03-16,751.9417,774.396,737.9488,760.2485,540766
2025-03-17,742.0445,748.7735,729.5684,736.2447,1188779
2025-03-18,749.0999,749.4154,748.7742,749.0896,418165
2025-03-19,755.972,771.1995,744.35,759.5229,1077821
2025-03-20,774.8811,781.8767,768.9806,775.9678,178559
2025-03-21,765.9417,768.9155,764.2335,767.2045,555802
2025-03-22,755.2115,778.6313,739.5307,762.7931,707939
2025-03-23,781.2821,817.1117,751.1447,786.7628,220846
2025-03-24,789.1799,802.5359,771.9193,785.2081,296926
2025-03-25,782.3138,785.4213,780.2652,783.3699,365444
2025-03-26,800.7301,806.5665,794.3836,800.2162,116410
2025-03-27,781.8764,791.1337,776.0975,785.3293,134427
2025-03-28,792.8225,809.5134,784.2605,800.8645,575729
2025-03-29,813.6256,830.7275,799.2008,816.2561,647506
2025-03-30,794.0661,809.998,785.4701,801.3235,660438
2025-03-31,832.4224,838.023,825.8458,831.4398,183341
2025-04-01,824.6592,841.6341,813.9358,830.8305,141510
2025-04-02,817.4935,821.0968,812.1652,815.7608,74501
2025-04-03,787.3994,809.0397,767.6406,789.2348,565626
2025-04-04,763.2442,763.4434,761.3389,761.5376,230204
2025-04-05,730.4015,731.3337,728.8013,729.7327,610828
2025-04-06,752.5881,753.5726,751.5226,752.5071,726481
2025-04-07,720.5494,723.1745,720.2294,722.8535,154352
2025-04-08,716.2626,718.6864,715.1833,717.605,516712
2025-04-09,712.6914,722.585,703.7791,713.6606,937965
2025-04-10,726.9565,756.8573,698.2345,728.0905,532624
2025-04-11,729.692,741.45,719.1527,730.8935,387510
2025-04-12,721.9103,725.9264,718.8624,722.8744,333970
2025-04-13,693.3227,693.8244,690.9173,691.4175,706769
2025-04-14,683.2555,685.5845,680.6343,682.9623,891049
2025-04-15,684.0144,690.5245,675.864,682.3583,493904
2025-04-16,670.7244,671.7927,668.5984,669.665,15429
2025-04-17,672.4157,684.5882,663.0886,675.2222,778033
2025-04-18,668.1343,678.941,666.1689,676.9497,420185
2025-04-19,667.3778,676.221,663.305,672.1192,163428
2025-04-20,688.3981,690.9852,686.655,689.2399,106982
2025-04-21,690.6189,701.1449,683.5053,693.9966,122653
2025-04-22,693.3402,693.7293,692.8894,693.2785,316937
2025-04-23,707.6491,709.5347,705.4294,707.314,226964
2025-04-24,711.4178,715.1196,706.9349,710.6326,799177
2025-04-25,690.9758,699.6498,686.4975,695.1444,840273
2025-04-26,699.2915,715.3079,672.2385,687.9962,478779
2025-04-27,688.5967,694.8942,680.102,686.3792,347800
2025-04-28,659.5608,669.2266,653.7281,663.3602,20001
2025-04-29,667.86,672.8496,663.7653,668.7496,110431
2025-04-30,674.7198,681.8952,671.7816,678.9386,362745
2025-05-01,676.7677,683.0241,669.1086,675.3519,149106
2025-05-02,675.666,683.209,666.6996,674.2266,447165
2025-05-03,677.2697,693.1889,655.9058,671.694,102443
2025-05-04,656.754,677.2678,645.2621,665.6208,467378
2025-05-05,669.9324,676.9261,666.6956,673.6712,72929
2025-05-06,676.0771,678.9531,674.0065,676.8801,469087
2025-05-07,683.6579,686.862,681.5951,684.7957,149747
2025-05-08,706.1111,723.8179,683.9288,701.5204,678096
2025-05-09,693.587,698.1324,686.4667,690.9952,481782
2025-05-10,680.5974,685.5172,677.2427,682.1549,612410
2025-05-11,682.1859,716.9369,648.3017,683.0117,394057
2025-05-12,694.0221,695.7722,690.3353,692.0805,513817
2025-05-13,681.7133,701.6538,666.4661,686.3039,117854
2025-05-14,679.9571,681.1235,679.612,680.778,418569
2025-05-15,675.5251,684.3429,659.8506,668.5777,362037
2025-05-16,654.1608,656.8958,652.4377,655.1701,573724
2025-05-17,673.6279,673.6995,673.5068,673.5784,628743
2025-05-18,681.4012,691.8048,669.8624,680.2485,507330
2025-05-19,677.1057,681.3524,672.3336,676.5769,58571
2025-05-20,695.2476,695.25,694.2266,694.229,212384
2025-05-21,711.7256,742.7388,676.8607,707.6984,509421
2025-05-22,697.8144,698.2941,697.0278,697.5073,375007
2025-05-23,681.6511,700.1475,659.1502,677.535,585204
2025-05-24,669.6326,672.3445,666.2899,668.9992,510254
2025-05-25,683.14,688.2274,679.2247,684.3054,114187
2025-05-26,683.2361,683.641,680.511,680.9145,459570
2025-05-27,690.5107,697.7519,679.6516,686.8545,40024
2025-05-28,695.8624,704.8268,681.7587,690.6561,714165
2025-05-29,709.8436,715.9401,707.3505,713.4345,6373
2025-05-30,718.1626,720.5437,715.2654,717.6448,232202
2025-05-31,721.3713,788.3096,644.5976,710.5299,180234
2025-06-01,727.6003,745.314,703.3884,720.94,322000
2025-06-02,736.3343,740.4329,728.0827,732.158,603690
2025-06-03,745.0094,769.2193,722.0189,746.1923,146343
2025-06-04,747.7653,759.1975,732.1155,743.4823,651352
2025-06-05,741.3207,745.46,735.9875,740.1201,336646
2025-06-06,746.0465,775.3357,727.7183,756.7446,369802
2025-06-07,741.2378,741.9326,740.4875,741.1822,1090853
2025-06-08,714.4385,716.7657,714.2011,716.5276,119477
2025-06-09,694.8881,711.4571,685.7917,702.2642,1326145
2025-06-10,684.139,687.8605,683.1863,686.9039,470773
2025-06-11,668.9918,691.5455,647.6246,670.1416,187032
2025-06-12,659.0411,679.4262,643.8606,664.1286,1113078
2025-06-13,659.3461,659.9185,658.5797,659.1519,197050
2025-06-14,649.5631,650.8261,649.4695,650.7323,35846
2025-06-15,661.5035,694.2932,633.4671,666.0636,936643
2025-06-16,690.031,720.7183,662.0451,692.6272,260952
2025-06-17,657.2592,662.547,655.6817,660.9606,616265
2025-06-18,661.335,668.4143,651.646,658.6971,211206
2025-06-19,653.3368,655.2002,651.5581,653.4213,94508
2025-06-20,639.0254,674.4432,609.5328,644.6892,716227
2025-06-21,658.1229,662.9793,643.5046,648.2884,319906
2025-06-22,645.6618,653.4457,638.1083,645.8896,124143
2025-06-23,638.4115,647.7095,627.6578,636.9343,798449
2025-06-24,652.1956,653.158,651.5832,652.5452,708713
2025-06-25,664.2641,670.2735,651.6808,657.6301,74126
2025-06-26,668.9825,700.4221,637.5716,669.01,285444
2025-06-27,651.019,659.5263,637.9859,646.4333,732469
2025-06-28,637.9905,638.6763,633.5951,634.277,831877
2025-06-29,596.5827,610.1392,587.6176,601.1061,602773
2025-06-30,617.1218,646.964,590.0282,619.7548,1256554
2025-07-01,618.5374,633.061,607.9856,622.4426,762845
2025-07-02,612.5569,614.5163,610.714,612.6731,1171156
